Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.15,7.24,7.04,7.24,3.28098,149600
2016-01-05,7.24,7.35,7.17,7.24,3.28098,169200
2016-01-06,7.26,7.35,7.24,7.29,3.303639,140300
2016-01-07,7.19,7.21,7.1,7.11,3.222068,135300
2016-01-08,7.11,7.14,7.01,7.04,3.190346,138600
2016-01-11,7.05,7.12,6.84,6.96,3.154092,209300
2016-01-12,6.99,7.0,6.75,6.75,3.058925,118800
2016-01-13,6.73,6.79,6.49,6.58,2.981886,219300
2016-01-14,6.6,6.64,6.42,6.6,2.990949,93900
2016-01-15,6.51,6.53,6.35,6.48,2.936568,108600
2016-01-19,6.51,6.51,6.32,6.38,2.891252,137600
2016-01-20,6.3,6.37,6.08,6.17,2.796084,349100
2016-01-21,6.17,6.3,6.12,6.23,2.823275,97500
2016-01-22,6.27,6.4,6.25,6.38,2.891252,97200
2016-01-25,6.38,6.4,6.26,6.26,2.83687,48300
2016-01-26,6.3,6.37,6.24,6.35,2.877656,100400
2016-01-27,6.36,6.4,6.17,6.26,2.83687,94800
2016-01-28,6.3,6.4,6.25,6.3,2.854997,87100
2016-01-29,6.37,6.54,6.32,6.54,2.963758,85400
2016-02-01,6.54,6.57,6.44,6.52,2.954696,43500
2016-02-02,6.49,6.53,6.4,6.42,2.909378,35300
2016-02-03,6.43,6.49,6.35,6.42,2.909378,52100
2016-02-04,6.41,6.52,6.35,6.39,2.895783,75800
2016-02-05,6.41,6.58,6.39,6.48,2.936568,110700
2016-02-08,6.46,6.46,6.3,6.37,2.886719,149000
2016-02-09,6.39,6.39,6.25,6.25,2.832338,125900
2016-02-10,6.29,6.34,6.02,6.09,2.759831,119200
2016-02-11,6.09,6.17,6.01,6.04,2.737172,105700
2016-02-12,6.04,6.2,6.04,6.05,2.741703,111900
2016-02-16,6.21,6.21,6.05,6.2,2.80968,137700
2016-02-17,6.25,6.37,6.12,6.33,2.868593,102700
2016-02-18,6.32,6.35,6.2,6.24,2.827807,58400
2016-02-19,6.2,6.27,6.2,6.26,2.83687,79500
2016-02-22,6.27,6.39,6.26,6.35,2.877656,89100
2016-02-23,6.37,6.39,6.31,6.37,2.886719,76800
2016-02-24,6.34,6.36,6.2,6.22,2.818744,104200
2016-02-25,6.22,6.43,6.22,6.41,2.904846,72000
2016-02-26,6.45,6.65,6.44,6.61,2.995481,282100
2016-02-29,6.6,6.86,6.59,6.8,3.081584,180500
2016-03-01,6.8,6.86,6.61,6.66,3.01814,120700
2016-03-02,6.66,6.68,6.6,6.6,2.990949,96300
2016-03-03,6.58,6.95,6.58,6.89,3.12237,164200
2016-03-04,6.9,6.92,6.76,6.81,3.086116,111900
2016-03-07,6.84,6.88,6.8,6.84,3.099711,107500
2016-03-08,6.66,6.72,6.58,6.67,3.090444,75800
2016-03-09,6.69,6.69,6.6,6.62,3.067277,55600
2016-03-10,6.67,6.67,6.52,6.54,3.03021,56900
2016-03-11,6.66,6.75,6.57,6.72,3.113612,66500
2016-03-14,6.55,6.72,6.54,6.63,3.071911,107500
2016-03-15,6.69,6.74,6.55,6.61,3.062645,92800
2016-03-16,6.64,6.71,6.6,6.67,3.090444,125000
2016-03-17,6.75,6.86,6.65,6.77,3.136778,88800
2016-03-18,6.72,6.75,6.67,6.72,3.113612,240800
2016-03-21,6.72,6.83,6.66,6.82,3.159945,89000
2016-03-22,6.75,6.83,6.71,6.81,3.155312,66400
2016-03-23,6.82,6.82,6.74,6.75,3.127511,61100
2016-03-24,6.72,6.81,6.63,6.8,3.150678,131800
2016-03-28,6.8,6.82,6.57,6.73,3.118245,127500
2016-03-29,6.67,6.81,6.67,6.8,3.150678,63400
2016-03-30,6.85,6.9,6.75,6.78,3.141411,74500
2016-03-31,6.79,6.83,6.72,6.77,3.136778,85400
2016-04-01,6.74,6.79,6.67,6.77,3.136778,78200
2016-04-04,6.77,6.77,6.64,6.71,3.108979,153800
2016-04-05,6.68,6.71,6.61,6.65,3.081178,61700
2016-04-06,6.62,6.7,6.59,6.67,3.090444,71200
2016-04-07,6.66,6.72,6.61,6.68,3.095078,81300
2016-04-08,6.7,6.74,6.68,6.68,3.095078,67000
2016-04-11,6.7,6.79,6.7,6.72,3.113612,101000
2016-04-12,6.75,6.8,6.7,6.75,3.127511,73100
2016-04-13,6.75,6.8,6.74,6.74,3.122878,75300
2016-04-14,6.77,6.78,6.68,6.74,3.122878,45500
2016-04-15,6.69,6.78,6.69,6.71,3.108979,61800
2016-04-18,6.7,6.79,6.7,6.73,3.118245,66800
2016-04-19,6.8,6.8,6.73,6.74,3.122878,66900
2016-04-20,6.75,6.79,6.73,6.73,3.118245,85000
2016-04-21,6.74,6.79,6.71,6.76,3.132145,62100
2016-04-22,6.75,6.75,6.7,6.73,3.118245,59900
2016-04-25,6.75,6.82,6.68,6.69,3.099711,148600
2016-04-26,6.67,6.77,6.64,6.76,3.132145,69100
2016-04-27,6.75,6.79,6.7,6.78,3.141411,71400
2016-04-28,6.75,6.75,6.71,6.74,3.122878,32500
2016-04-29,6.72,6.75,6.63,6.68,3.095078,126900
2016-05-02,6.71,6.76,6.71,6.74,3.122878,55200
2016-05-03,6.74,6.74,6.61,6.66,3.085811,38400
2016-05-04,6.67,6.67,6.64,6.65,3.081178,57300
2016-05-05,6.62,6.79,6.62,6.75,3.127511,94500
2016-05-06,6.74,6.94,6.67,6.91,3.201645,130800
2016-05-09,6.88,7.0,6.88,7.0,3.243345,99200
2016-05-10,7.0,7.1,6.88,7.1,3.289679,116700
2016-05-11,7.1,7.11,7.02,7.04,3.261879,71000
2016-05-12,7.05,7.19,6.95,7.12,3.298945,147900
2016-05-13,7.13,7.14,7.05,7.11,3.294312,95600
2016-05-16,6.98,7.0,6.84,6.9,3.265913,95100
2016-05-17,6.9,6.9,6.68,6.76,3.199648,74300
2016-05-18,6.7,6.82,6.64,6.7,3.171249,103100
2016-05-19,6.71,6.74,6.66,6.7,3.171249,57800
2016-05-20,6.72,6.76,6.66,6.74,3.190181,29000
2016-05-23,6.79,6.8,6.71,6.72,3.180715,44000
2016-05-24,6.77,6.79,6.73,6.74,3.190181,32400
2016-05-25,6.78,6.89,6.76,6.85,3.242246,53200
2016-05-26,6.85,6.88,6.83,6.83,3.232781,26900
2016-05-27,6.85,6.91,6.81,6.9,3.265913,41000
2016-05-31,6.96,7.09,6.92,6.98,3.303778,197300
2016-06-01,7.01,7.04,6.93,7.02,3.32271,67800
2016-06-02,7.03,7.04,6.97,7.03,3.327445,38600
2016-06-03,7.01,7.05,6.96,6.99,3.308511,49900
2016-06-06,6.96,7.01,6.94,7.0,3.313244,72800
2016-06-07,6.99,7.0,6.94,6.96,3.294312,43000
2016-06-08,6.97,7.08,6.95,7.06,3.341645,124900
2016-06-09,7.02,7.09,6.97,7.04,3.332177,210800
2016-06-10,7.0,7.05,6.95,6.99,3.308511,29400
2016-06-13,6.99,6.99,6.89,6.91,3.270646,40300
2016-06-14,6.88,6.89,6.85,6.85,3.242246,38600
2016-06-15,6.82,6.89,6.76,6.83,3.232781,97300
2016-06-16,6.8,6.85,6.76,6.79,3.213847,73300
2016-06-17,6.79,6.83,6.79,6.8,3.218581,357200
2016-06-20,6.84,6.94,6.84,6.84,3.237513,65600
2016-06-21,6.86,6.86,6.78,6.79,3.213847,83500
2016-06-22,6.77,6.84,6.77,6.8,3.218581,71400
2016-06-23,6.82,6.82,6.78,6.8,3.218581,48400
2016-06-24,6.67,6.89,6.62,6.88,3.256447,173200
2016-06-27,6.83,6.9,6.7,6.71,3.175982,144000
2016-06-28,6.71,6.9,6.71,6.89,3.261179,146900
2016-06-29,6.96,7.14,6.91,7.09,3.355843,159300
2016-06-30,7.13,7.2,7.04,7.19,3.403176,104800
2016-07-01,7.17,7.2,7.06,7.09,3.355843,64700
2016-07-05,7.1,7.12,7.0,7.11,3.36531,63100
2016-07-06,7.1,7.15,7.0,7.12,3.370042,29600
2016-07-07,7.06,7.12,7.03,7.04,3.332177,38700
2016-07-08,7.1,7.16,7.05,7.14,3.379509,37400
2016-07-11,7.18,7.18,7.1,7.16,3.388976,39700
2016-07-12,7.18,7.25,7.15,7.25,3.431574,124600
2016-07-13,7.2,7.25,7.2,7.25,3.431574,65400
2016-07-14,7.25,7.3,7.19,7.29,3.450508,100800
2016-07-15,7.25,7.28,7.19,7.2,3.407908,94100
2016-07-18,7.17,7.23,7.11,7.15,3.384242,121900
2016-07-19,7.19,7.2,7.12,7.18,3.398443,52800
2016-07-20,7.2,7.25,7.13,7.17,3.393709,89500
2016-07-21,7.17,7.22,7.11,7.12,3.370042,93100
2016-07-22,7.13,7.16,7.03,7.14,3.379509,52900
2016-07-25,7.16,7.17,7.09,7.15,3.384242,57000
2016-07-26,7.11,7.15,7.06,7.07,3.346378,40500
2016-07-27,7.06,7.17,7.04,7.16,3.388976,78700
2016-07-28,7.15,7.2,7.1,7.18,3.398443,29500
2016-07-29,7.15,7.25,7.11,7.15,3.384242,83300
2016-08-01,7.11,7.2,7.11,7.17,3.393709,62700
2016-08-02,7.19,7.2,7.13,7.2,3.407908,53600
2016-08-03,7.16,7.25,7.14,7.25,3.431574,66400
2016-08-04,7.25,7.3,7.23,7.3,3.455242,82100
2016-08-05,7.4,7.4,7.31,7.35,3.478907,138500
2016-08-08,7.3,7.38,7.23,7.3,3.455242,116400
2016-08-09,7.38,7.38,7.25,7.32,3.464707,126700
2016-08-10,7.37,7.38,7.28,7.29,3.450508,93600
2016-08-11,7.34,7.34,7.25,7.27,3.441042,95000
2016-08-12,7.3,7.35,7.28,7.3,3.455242,218700
2016-08-15,7.25,7.33,7.15,7.33,3.547187,223200
2016-08-16,7.31,7.32,7.26,7.29,3.52783,54000
2016-08-17,7.33,7.33,7.24,7.28,3.522991,50400
2016-08-18,7.32,7.32,7.27,7.32,3.542348,144700
2016-08-19,7.31,7.31,7.26,7.3,3.53267,55900
2016-08-22,7.31,7.53,7.27,7.51,3.634295,191700
2016-08-23,7.58,7.59,7.5,7.54,3.648812,134200
2016-08-24,7.55,7.7,7.5,7.61,3.682688,152800
2016-08-25,7.62,7.77,7.6,7.72,3.73592,90400
2016-08-26,7.74,7.8,7.66,7.69,3.721401,91800
2016-08-29,7.76,7.89,7.7,7.71,3.731079,86900
2016-08-30,7.75,7.86,7.75,7.8,3.774633,135500
2016-08-31,7.76,7.86,7.71,7.79,3.769793,163700
2016-09-01,7.85,7.85,7.72,7.72,3.73592,71200
2016-09-02,7.72,7.82,7.72,7.79,3.769793,101900
2016-09-06,7.83,7.99,7.8,7.96,3.852061,158800
2016-09-07,7.97,7.99,7.88,7.92,3.832706,146400
2016-09-08,7.93,7.96,7.9,7.9,3.823026,81700
2016-09-09,7.89,7.89,7.55,7.55,3.653652,182100
2016-09-12,7.54,7.65,7.46,7.61,3.682688,108300
2016-09-13,7.61,7.62,7.35,7.36,3.561705,99700
2016-09-14,7.38,7.63,7.38,7.58,3.668169,122600
2016-09-15,7.6,7.6,7.47,7.52,3.639134,41700
2016-09-16,7.5,7.5,7.38,7.38,3.571383,215200
2016-09-19,7.4,7.57,7.4,7.52,3.639134,85300
2016-09-20,7.55,7.59,7.47,7.51,3.634295,37300
2016-09-21,7.53,7.58,7.38,7.54,3.648812,101000
2016-09-22,7.5,7.66,7.5,7.6,3.677847,71600
2016-09-23,7.52,7.64,7.51,7.61,3.682688,109900
2016-09-26,7.5,7.63,7.46,7.46,3.610098,94100
2016-09-27,7.45,7.6,7.45,7.59,3.673009,79500
2016-09-28,7.53,7.68,7.53,7.66,3.706883,74900
2016-09-29,7.68,7.68,7.56,7.62,3.687525,34500
2016-09-30,7.58,7.58,7.27,7.42,3.590741,503800
2016-10-03,7.33,7.44,7.3,7.32,3.542348,112800
2016-10-04,7.36,7.36,7.27,7.3,3.53267,146600
2016-10-05,7.35,7.35,7.13,7.15,3.460081,285900
