Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.39,4.62,4.36,4.52,4.52,316800
2016-01-05,4.56,4.71,4.45,4.51,4.51,207200
2016-01-06,4.46,4.46,4.25,4.3,4.3,288800
2016-01-07,4.15,4.26,4.01,4.1,4.1,469200
2016-01-08,4.15,4.33,3.98,4.02,4.02,346200
2016-01-11,4.06,4.06,3.69,3.84,3.84,449900
2016-01-12,3.87,4.04,3.75,3.81,3.81,354000
2016-01-13,3.82,3.99,3.6,3.72,3.72,484800
2016-01-14,3.7,3.92,3.58,3.81,3.81,309700
2016-01-15,3.72,3.79,3.61,3.7,3.7,390800
2016-01-19,3.8,3.91,3.4,3.48,3.48,323300
2016-01-20,3.4,3.58,3.22,3.51,3.51,360800
2016-01-21,3.54,3.8,3.44,3.52,3.52,357800
2016-01-22,3.6,3.78,3.56,3.59,3.59,305100
2016-01-25,3.58,3.88,3.49,3.64,3.64,190100
2016-01-26,3.7,3.7,3.46,3.58,3.58,160400
2016-01-27,3.59,3.72,3.39,3.43,3.43,235300
2016-01-28,3.46,3.46,3.19,3.25,3.25,407500
2016-01-29,3.25,3.43,3.12,3.14,3.14,443600
2016-02-01,3.15,3.29,2.98,3.13,3.13,351300
2016-02-02,3.1,3.23,3.02,3.08,3.08,183400
2016-02-03,3.11,3.22,2.96,3.12,3.12,154000
2016-02-04,3.15,3.23,3.05,3.17,3.17,193800
2016-02-05,3.17,3.21,3.06,3.13,3.13,186600
2016-02-08,3.12,3.27,2.86,2.9,2.9,293900
2016-02-09,2.85,3.04,2.72,3.0,3.0,315500
2016-02-10,3.02,3.07,2.84,2.89,2.89,269500
2016-02-11,2.88,2.99,2.8,2.95,2.95,222900
2016-02-12,3.0,3.03,2.9,3.0,3.0,126700
2016-02-16,3.01,3.13,2.92,3.07,3.07,143300
2016-02-17,3.13,3.18,3.01,3.15,3.15,330200
2016-02-18,3.14,3.19,3.05,3.11,3.11,81900
2016-02-19,3.1,3.22,3.06,3.13,3.13,171300
2016-02-22,3.2,3.29,3.13,3.21,3.21,165700
2016-02-23,3.22,3.29,3.12,3.17,3.17,115600
2016-02-24,3.15,3.19,2.99,3.08,3.08,157500
2016-02-25,3.1,3.13,2.97,2.99,2.99,63100
2016-02-26,3.0,3.22,2.97,3.09,3.09,226400
2016-02-29,3.16,3.22,3.11,3.16,3.16,151300
2016-03-01,3.18,3.24,3.1,3.15,3.15,220500
2016-03-02,3.16,3.61,3.14,3.6,3.6,392700
2016-03-03,3.67,3.68,3.57,3.59,3.59,104100
2016-03-04,3.59,4.0,3.5,3.91,3.91,363700
2016-03-07,4.0,4.3,3.99,4.01,4.01,360300
2016-03-08,3.98,4.17,3.92,3.96,3.96,151400
2016-03-09,3.97,3.98,3.73,3.88,3.88,214300
