Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.72,6.94,6.68,6.84,6.677135,3100
2016-01-05,6.85,6.92,6.69,6.77,6.608802,16200
2016-01-06,6.69,6.8,6.5,6.59,6.433088,38100
2016-01-07,6.5,6.9,6.5,6.61,6.452611,11000
2016-01-08,6.68,6.79,6.59,6.7,6.540468,9600
2016-01-11,6.65,6.74,6.52,6.72,6.559992,22800
2016-01-12,6.8,6.81,6.59,6.61,6.452611,6000
2016-01-13,6.6,6.85,6.51,6.57,6.413564,15900
2016-01-14,6.54,6.8,6.42,6.58,6.423326,18400
2016-01-15,6.42,6.69,6.42,6.62,6.462373,15100
2016-01-19,6.79,7.04,6.62,6.66,6.50142,16300
2016-01-20,6.5,6.6,6.42,6.55,6.394041,13600
2016-01-21,6.8,6.8,6.43,6.55,6.394041,6400
2016-01-22,6.47,6.94,6.47,6.7,6.540468,4900
2016-01-25,6.47,6.75,6.47,6.62,6.462373,11100
2016-01-26,6.81,6.82,6.56,6.69,6.530706,4300
2016-01-27,6.46,7.0,6.46,6.92,6.75523,6800
2016-01-28,7.07,7.2,7.0,7.08,6.91142,8200
2016-01-29,7.05,7.08,7.01,7.05,6.882134,8900
2016-02-01,7.0,7.07,6.96,7.0,6.833325,6400
2016-02-02,7.05,7.1,6.95,7.0,6.833325,3000
2016-02-03,7.12,7.27,6.98,7.25,7.077373,9000
2016-02-04,7.11,7.3,7.11,7.29,7.11642,1800
2016-02-05,7.3,8.0,7.3,7.87,7.68261,10900
2016-02-08,7.61,7.66,7.3,7.52,7.340944,4400
2016-02-09,7.31,7.59,7.31,7.36,7.184753,5000
2016-02-10,7.3,7.32,6.82,6.93,6.764992,5000
2016-02-11,7.03,7.08,6.95,7.01,6.843087,3100
2016-02-12,7.0,7.23,6.95,7.18,7.009039,10000
2016-02-16,7.27,7.41,7.2,7.26,7.087134,6000
2016-02-17,7.87,8.1,7.37,7.42,7.243325,6400
2016-02-18,7.44,7.58,7.44,7.51,7.331182,3200
2016-02-19,7.53,7.62,7.45,7.55,7.370229,5800
2016-02-22,7.55,7.86,7.55,7.85,7.663086,11100
2016-02-23,7.87,8.24,7.87,8.09,7.897372,8800
2016-02-24,8.1,8.15,8.04,8.15,7.955943,7800
2016-02-25,8.02,8.02,7.91,7.91,7.721657,5600
2016-02-26,8.03,8.05,7.86,7.91,7.721657,3900
2016-02-29,8.15,8.15,7.95,7.97,7.780229,5800
2016-03-01,7.97,8.25,7.95,8.23,8.034038,20300
2016-03-02,8.24,8.26,8.01,8.19,7.99499,12300
2016-03-03,8.25,8.56,8.23,8.56,8.356181,20300
2016-03-04,8.56,8.7,8.4,8.46,8.258561,122600
2016-03-07,8.46,8.7,8.43,8.47,8.268324,13600
2016-03-08,8.54,8.65,8.31,8.52,8.317133,18000
2016-03-09,8.65,8.66,8.5,8.61,8.40499,14000
2016-03-10,8.53,8.64,8.5,8.58,8.375705,8200
2016-03-11,8.62,8.63,8.49,8.6,8.395228,24300
2016-03-14,8.52,8.64,8.46,8.57,8.365942,13200
2016-03-15,8.55,8.55,8.32,8.32,8.121895,15100
2016-03-16,8.45,8.61,8.35,8.61,8.40499,11900
2016-03-17,8.55,8.7,8.55,8.63,8.424514,20600
2016-03-18,8.6,9.83,8.6,9.6,9.371418,34200
2016-03-21,9.78,10.07,9.35,9.35,9.127371,21000
2016-03-22,9.39,9.39,9.01,9.23,9.010227,10400
2016-03-23,9.13,9.13,8.52,8.65,8.444037,13500
2016-03-24,8.5,8.62,8.33,8.37,8.170705,22400
2016-03-28,8.3,8.58,8.2,8.21,8.014514,18100
2016-03-29,8.19,8.19,7.97,8.05,7.858324,19600
2016-03-30,8.13,8.25,7.99,8.0,7.809515,13700
2016-03-31,7.97,8.0,7.75,7.92,7.73142,23800
2016-04-01,7.82,7.95,7.65,7.7,7.516658,24000
2016-04-04,7.7,7.95,7.69,7.89,7.702133,23900
2016-04-05,7.7,7.94,7.7,7.79,7.604515,23000
2016-04-06,7.88,7.88,7.7,7.75,7.565467,9400
2016-04-07,7.78,7.78,7.7,7.74,7.555705,10100
2016-04-08,7.9,7.9,7.7,7.71,7.52642,17400
2016-04-11,7.71,7.86,7.7,7.86,7.672848,9800
2016-04-12,7.85,7.89,7.79,7.89,7.702133,21700
2016-04-13,7.86,8.31,7.85,8.0,7.809515,19900
2016-04-14,8.13,8.2,8.0,8.05,7.858324,8200
2016-04-15,8.1,8.27,7.99,8.03,7.8388,10000
2016-04-18,8.0,8.2,7.96,8.08,7.887609,11200
2016-04-19,8.09,8.09,7.93,7.95,7.760705,2700
2016-04-20,8.01,8.49,7.99,8.29,8.092609,44800
2016-04-21,8.27,8.27,8.05,8.1,7.907134,26500
2016-04-22,8.1,8.15,8.06,8.06,7.868086,180500
2016-04-25,8.01,8.1,8.01,8.07,7.877848,11200
2016-04-26,8.03,8.15,8.0,8.15,7.955943,12900
2016-04-27,8.1,8.39,8.01,8.37,8.170705,28800
2016-04-28,8.25,8.47,8.23,8.33,8.131657,12200
2016-04-29,8.3,8.5,8.25,8.4,8.19999,20500
2016-05-02,8.48,8.5,8.19,8.19,7.99499,11700
2016-05-03,8.06,8.18,8.05,8.15,7.955943,8900
2016-05-04,8.15,8.15,7.95,7.97,7.780229,12500
2016-05-05,7.99,8.0,7.71,7.73,7.545944,10700
2016-05-06,7.76,7.85,7.7,7.83,7.643562,24200
2016-05-09,7.9,7.98,7.55,7.6,7.419039,38200
2016-05-10,7.65,7.81,7.65,7.8,7.614277,37000
2016-05-11,7.8,7.92,7.67,7.74,7.555705,20600
2016-05-12,7.75,7.75,7.58,7.58,7.399515,15200
2016-05-13,7.69,7.69,7.25,7.38,7.204277,16900
2016-05-16,7.38,7.64,7.25,7.62,7.438562,21700
2016-05-17,7.32,7.82,7.3,7.34,7.16523,7800
2016-05-18,7.42,7.55,7.35,7.38,7.204277,21400
2016-05-19,7.38,7.48,7.34,7.39,7.214039,6900
2016-05-20,7.35,7.41,7.34,7.38,7.204277,20100
2016-05-23,7.35,7.48,7.27,7.33,7.155468,15600
2016-05-24,7.34,7.65,7.29,7.55,7.370229,19700
2016-05-25,7.6,7.65,7.53,7.65,7.467848,19200
2016-05-26,7.65,7.75,7.44,7.47,7.292134,6800
2016-05-27,7.42,7.56,7.33,7.55,7.370229,29800
2016-05-31,7.48,7.6,7.36,7.6,7.419039,140400
2016-06-01,7.66,7.66,7.33,7.6,7.419039,71400
2016-06-02,7.56,7.91,7.49,7.74,7.555705,14400
2016-06-03,7.74,7.99,7.72,7.83,7.643562,12800
2016-06-06,7.81,8.0,7.81,7.98,7.789991,9800
2016-06-07,7.97,7.98,7.83,7.9,7.711896,6600
