Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,23.549999,23.65,22.780001,23.34,21.641401,691000
2016-01-05,23.35,23.389999,22.68,22.719999,21.066523,462800
2016-01-06,22.290001,22.379999,21.84,22.059999,20.454554,348900
2016-01-07,21.610001,21.809999,21.110001,21.110001,19.573692,493800
2016-01-08,21.299999,21.66,21.110001,21.15,19.610783,670500
2016-01-11,21.299999,21.299999,20.49,20.790001,19.276981,599700
2016-01-12,21.0,21.209999,19.66,19.9,18.451752,1003600
2016-01-13,19.9,20.620001,19.049999,19.1,17.709976,880500
2016-01-14,19.23,19.370001,18.559999,19.01,17.626522,1184400
2016-01-15,18.459999,18.85,18.290001,18.74,17.376171,906700
2016-01-19,18.959999,19.01,17.5,17.690001,16.402586,947800
2016-01-20,17.360001,17.83,16.92,17.6,16.319138,915100
2016-01-21,17.58,17.76,16.969999,17.030001,15.790618,811100
2016-01-22,17.25,17.83,17.25,17.719999,16.430403,797200
2016-01-25,17.6,17.68,16.74,16.77,15.549542,616900
2016-01-26,16.940001,17.51,16.9,17.309999,16.050243,497000
2016-01-27,17.309999,17.639999,17.01,17.17,15.920432,484300
2016-01-28,17.360001,17.469999,17.040001,17.370001,16.105875,523600
2016-01-29,17.6,18.190001,17.58,18.190001,16.866198,1001400
2016-02-01,17.860001,18.1,16.950001,17.1,15.855525,1327300
2016-02-02,16.91,16.92,16.18,16.24,15.058114,894300
2016-02-03,16.4,16.43,15.64,15.87,14.715039,987000
2016-02-04,15.8,16.09,15.5,15.81,14.659408,928400
2016-02-05,15.73,15.82,15.39,15.49,14.362695,816200
2016-02-08,15.33,15.37,14.58,14.72,13.648735,922700
2016-02-09,14.37,14.46,13.73,14.03,13.008948,1518000
2016-02-10,14.18,14.65,13.95,14.1,13.073854,971500
2016-02-11,13.97,13.97,12.65,12.81,11.877736,1395200
2016-02-12,12.81,13.48,12.75,13.15,12.19299,1146600
2016-02-16,13.31,13.5,12.74,13.47,12.489703,962600
2016-02-17,13.57,14.17,13.51,13.68,12.684422,1160400
2016-02-18,13.7,13.87,13.42,13.54,12.55461,1036900
2016-02-19,13.51,14.24,13.45,14.19,13.157304,1197300
2016-02-22,14.3,14.68,14.2,14.46,13.407653,1127900
2016-02-23,14.36,14.53,14.04,14.04,13.01822,861100
2016-02-24,13.84,13.89,13.47,13.59,12.60097,825900
2016-02-25,13.65,13.74,13.37,13.65,12.656604,693900
2016-02-26,13.65,13.95,13.54,13.91,12.897682,550200
2016-02-29,13.87,13.89,13.6,13.6,12.610244,800200
2016-03-01,13.75,14.57,13.74,14.55,13.491106,766300
2016-03-02,14.54,14.78,14.24,14.42,13.370566,1288900
2016-03-03,14.42,14.66,14.32,14.47,13.416928,665300
2016-03-04,14.56,14.68,13.87,14.1,13.073854,1567600
2016-03-07,14.05,14.4,14.0,14.24,13.203664,1453100
2016-03-08,14.12,14.52,13.71,13.93,12.916225,1235800
2016-03-09,13.99,14.21,13.69,14.1,13.073854,1089200
2016-03-10,14.18,14.38,13.79,13.89,12.879136,705100
2016-03-11,14.1,15.52,14.09,15.29,14.177251,1476800
2016-03-14,15.37,15.79,15.23,15.66,14.520325,945000
2016-03-15,15.49,15.49,14.47,14.75,13.676549,943800
2016-03-16,14.7,15.1,14.52,14.8,13.722912,730300
2016-03-17,14.77,15.42,14.6,15.24,14.130889,1084900
2016-03-18,15.41,16.559999,15.33,16.540001,15.336281,2714600
2016-03-21,16.459999,16.709999,16.09,16.34,15.150836,1003200
2016-03-22,16.139999,16.59,16.059999,16.52,15.317735,1118800
2016-03-23,16.42,16.610001,15.98,16.059999,14.891212,1405300
2016-03-24,15.88,15.94,15.26,15.77,14.622318,961000
2016-03-28,15.78,16.120001,15.74,16.040001,14.872669,559000
2016-03-29,15.94,16.42,15.48,16.360001,15.169378,896500
2016-03-30,16.49,16.860001,16.32,16.73,15.51245,850200
2016-03-31,16.73,16.93,16.700001,16.799999,15.577359,902700
2016-04-01,16.59,16.959999,16.459999,16.889999,15.660808,541100
2016-04-04,16.85,16.93,16.41,16.42,15.225012,545800
2016-04-05,16.24,16.42,16.02,16.17,14.993208,581100
2016-04-06,15.05,15.11,13.28,13.69,12.693691,5544600
2016-04-07,13.88,13.95,12.82,12.88,11.942642,3025600
2016-04-08,12.99,13.21,12.77,13.01,12.06318,3245200
2016-04-11,13.06,14.05,12.97,13.69,12.693691,2067300
2016-04-12,13.69,14.56,13.69,14.2,13.166576,1861900
2016-04-13,14.45,14.86,14.42,14.7,13.630187,919700
2016-04-14,14.78,15.37,14.59,15.11,14.010349,953500
2016-04-15,15.11,15.42,15.08,15.09,13.991806,1136800
2016-04-18,15.04,15.22,14.68,15.18,14.075256,820000
2016-04-19,15.25,15.88,15.25,15.58,14.446146,620400
2016-04-20,15.56,16.110001,15.56,16.0,14.835579,911600
2016-04-21,16.02,16.42,15.9,15.99,14.826305,662300
2016-04-22,16.07,16.57,16.07,16.27,15.085932,631600
2016-04-25,16.1,16.129999,15.7,16.030001,14.863397,482000
2016-04-26,16.09,16.459999,15.98,16.450001,15.25283,889700
2016-04-27,16.389999,16.73,16.290001,16.41,15.215743,721900
2016-04-28,15.53,15.53,13.72,14.33,13.287115,2306200
2016-04-29,14.25,14.46,13.8,14.0,12.981132,1571400
2016-05-02,14.19,14.24,13.73,13.9,12.888409,1604300
2016-05-03,13.6,13.6,13.03,13.31,12.341349,1641000
2016-05-04,13.2,13.78,13.11,13.29,12.322802,1159100
2016-05-05,13.42,13.79,13.24,13.58,12.591698,1227900
2016-05-06,13.46,13.79,13.3,13.72,12.721508,842600
2016-05-09,13.66,13.76,13.29,13.47,12.489703,945500
2016-05-10,13.61,14.16,13.57,14.14,13.110944,705300
2016-05-11,14.04,14.56,14.0,14.2,13.166576,652200
2016-05-12,14.32,14.44,13.83,13.99,12.97186,537200
2016-05-13,13.96,14.47,13.87,14.06,13.036766,630600
2016-05-16,14.1,14.44,14.0,14.33,13.287115,669400
2016-05-17,14.33,14.76,14.24,14.39,13.342751,581600
2016-05-18,14.3,15.4,14.22,15.27,14.158705,850700
2016-05-19,15.19,15.36,14.61,14.91,13.824904,725000
2016-05-20,15.05,15.49,14.99,15.31,14.195795,467700
2016-05-23,15.26,15.39,15.15,15.32,14.205067,827500
2016-05-24,15.48,15.85,15.43,15.8,14.650135,703800
2016-05-25,15.83,16.190001,15.8,16.0,14.835579,575500
2016-05-26,16.09,16.15,15.72,15.9,14.742855,483700
2016-05-27,15.89,16.15,15.82,16.15,14.974663,622200
2016-05-31,16.25,16.35,16.02,16.209999,15.030295,630100
2016-06-01,16.1,16.389999,15.62,16.280001,15.095201,521300
2016-06-02,16.200001,16.459999,15.69,16.389999,15.197195,481900
2016-06-03,16.09,16.09,15.69,15.85,14.696496,615800
2016-06-06,16.379999,16.860001,16.280001,16.709999,15.493909,781700
2016-06-07,16.84,16.879999,16.52,16.610001,15.401185,394100
2016-06-08,16.610001,16.73,16.530001,16.620001,15.41046,417800
2016-06-09,16.459999,16.459999,15.77,15.95,14.789218,547900
2016-06-10,15.63,15.84,15.36,15.62,14.483234,472800
2016-06-13,15.5,15.71,15.19,15.45,14.325606,518500
2016-06-14,15.35,15.61,15.14,15.34,14.223611,491000
2016-06-15,15.41,15.76,15.26,15.33,14.214338,354300
2016-06-16,15.11,15.53,14.9,15.5,14.371967,545500
2016-06-17,15.47,16.02,15.45,15.56,14.427601,805200
2016-06-20,15.88,16.110001,15.65,15.77,14.622318,471200
2016-06-21,15.81,15.81,15.44,15.64,14.501779,368400
2016-06-22,15.68,16.040001,15.64,15.83,14.677952,496900
2016-06-23,16.15,16.65,16.15,16.620001,15.41046,623100
2016-06-24,15.68,15.7,14.52,14.81,13.732182,1185100
2016-06-27,14.67,14.68,13.43,13.6,12.610244,903300
2016-06-28,13.89,14.03,13.4,13.62,12.628788,776000
2016-06-29,13.81,13.92,13.54,13.83,12.823504,886300
2016-06-30,13.93,14.26,13.68,14.25,13.212939,916600
2016-07-01,14.13,14.54,14.13,14.34,13.296389,433100
2016-07-05,14.13,14.14,13.07,13.54,12.55461,834100
2016-07-06,13.44,13.71,13.24,13.64,12.647331,548700
2016-07-07,13.75,14.33,13.47,13.76,12.758598,563100
2016-07-08,14.14,14.81,14.12,14.77,13.695094,689400
2016-07-11,14.88,15.33,14.88,15.21,14.103071,590000
2016-07-12,15.48,15.8,15.41,15.58,14.446146,665400
2016-07-13,15.81,15.88,15.37,15.87,14.715039,499000
2016-07-14,15.87,16.32,15.87,16.01,14.844852,455100
2016-07-15,16.17,16.23,15.66,15.86,14.705768,425300
2016-07-18,15.85,16.08,15.75,15.99,14.826305,291000
2016-07-19,15.86,16.02,15.79,16.0,14.835579,310900
2016-07-20,16.02,16.27,15.87,16.219999,15.039566,408300
2016-07-21,16.16,16.379999,16.01,16.26,15.076658,514100
2016-07-22,16.25,16.34,15.99,16.25,15.067385,256900
2016-07-25,16.129999,16.23,15.85,15.87,14.715039,576200
2016-07-26,15.81,16.02,15.69,15.86,14.705768,504300
2016-07-27,15.84,15.99,15.64,15.84,14.687223,381500
2016-07-28,15.75,15.92,15.63,15.77,14.622318,378700
2016-07-29,15.67,16.030001,15.65,15.93,14.770674,803800
2016-08-01,15.91,16.02,15.18,15.35,14.232883,505500
2016-08-02,15.28,15.66,15.23,15.65,14.511049,828600
2016-08-03,15.67,16.200001,15.67,16.08,14.909757,754900
2016-08-04,16.059999,16.459999,15.07,15.12,14.019623,941000
2016-08-05,15.33,15.77,15.21,15.75,14.603774,735400
2016-08-08,15.81,16.059999,15.56,15.58,14.446146,452400
2016-08-09,15.65,15.85,15.57,15.6,14.464691,487300
2016-08-10,15.61,15.81,15.51,15.64,14.501779,372000
2016-08-11,15.69,15.98,15.69,15.85,14.696496,442800
2016-08-12,15.65,15.79,15.27,15.61,14.473963,504000
2016-08-15,15.7,16.17,15.7,16.110001,14.937574,437000
2016-08-16,16.049999,16.35,15.97,16.18,15.002481,484100
2016-08-17,16.16,16.35,16.049999,16.35,15.160108,436400
2016-08-18,16.32,16.440001,16.030001,16.4,15.20647,600500
2016-08-19,16.219999,16.559999,16.15,16.559999,15.354824,1064700
2016-08-22,16.469999,16.530001,16.190001,16.51,15.308462,459700
2016-08-23,16.620001,16.799999,16.51,16.59,15.382641,390300
2016-08-24,16.58,16.85,16.58,16.73,15.51245,407000
2016-08-25,16.700001,17.110001,16.700001,17.110001,15.864799,490600
2016-08-26,17.23,17.700001,17.08,17.42,16.152235,802800
2016-08-29,17.4,17.870001,17.4,17.709999,16.421131,366800
2016-08-30,17.709999,17.959999,17.709999,17.83,16.5324,550500
2016-08-31,17.799999,17.9,17.48,17.620001,16.337679,1043600
2016-09-01,17.690001,17.870001,17.25,17.690001,16.402586,454900
2016-09-02,17.73,17.98,17.690001,17.85,16.550943,422500
2016-09-06,17.85,17.98,17.35,17.629999,16.346956,396200
2016-09-07,17.67,18.120001,17.66,18.120001,16.801296,533300
2016-09-08,18.120001,18.219999,17.91,18.049999,16.736387,383300
2016-09-09,17.93,18.209999,17.799999,17.809999,16.513851,550600
2016-09-12,17.639999,17.969999,17.26,17.889999,16.588032,552000
2016-09-13,17.59,17.77,17.35,17.629999,16.346956,427200
2016-09-14,17.610001,17.620001,17.25,17.290001,16.031698,660100
2016-09-15,17.26,17.93,17.25,17.83,16.5324,391200
2016-09-16,17.65,17.690001,17.299999,17.530001,16.25423,1487600
2016-09-19,17.690001,18.0,17.58,17.690001,16.402586,428900
2016-09-20,17.879999,17.92,17.530001,17.610001,16.328411,363500
2016-09-21,17.790001,18.15,17.690001,17.98,16.671482,461500
2016-09-22,18.129999,18.32,17.93,17.98,16.671482,597400
2016-09-23,17.950001,18.110001,17.59,17.85,16.550943,1041000
2016-09-26,17.74,17.74,17.25,17.59,16.309866,902900
2016-09-27,17.469999,17.77,17.219999,17.75,16.458223,677500
2016-09-28,17.780001,18.02,17.51,18.0,16.690027,643000
2016-09-29,18.02,18.24,17.43,17.459999,16.189322,501900
2016-09-30,17.620001,17.83,17.32,17.73,16.439678,575000
2016-10-03,17.540001,17.73,17.42,17.549999,16.272776,465000
