Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1038.0,1038.0,933.0,945.0,945.0,115
2016-01-05,963.0,1081.5,963.0,1051.5,1051.5,139
2016-01-06,1030.5,1093.5,972.0,1012.5,1012.5,208
2016-01-07,991.5,1047.0,990.0,1011.0,1011.0,87
2016-01-08,1020.0,1087.5,951.0,993.0,993.0,143
2016-01-11,967.5,1000.5,961.5,984.0,984.0,71
2016-01-12,988.5,1035.0,937.5,1030.5,1030.5,141
2016-01-13,1032.0,1032.0,940.5,961.5,961.5,109
2016-01-14,967.5,975.0,942.0,948.0,948.0,93
2016-01-15,939.0,1002.0,939.0,975.0,975.0,75
2016-01-19,976.5,1045.5,937.5,951.0,951.0,68
2016-01-20,942.0,964.5,937.5,951.0,951.0,47
2016-01-21,937.5,967.5,937.5,945.0,945.0,48
2016-01-22,937.5,958.5,937.5,955.5,955.5,97
2016-01-25,957.0,961.5,937.5,940.5,940.5,83
2016-01-26,945.0,961.5,922.5,931.5,931.5,57
2016-01-27,937.5,973.5,922.5,970.5,970.5,94
2016-01-28,975.0,975.0,940.5,966.0,966.0,40
2016-01-29,952.5,994.5,931.5,943.5,943.5,61
2016-02-01,945.0,973.5,939.0,973.5,973.5,53
2016-02-02,963.0,963.0,898.5,945.0,945.0,195
2016-02-03,954.0,966.0,907.5,922.5,922.5,214
2016-02-04,957.0,957.0,900.0,900.0,900.0,120
2016-02-05,900.0,909.0,640.5,735.0,735.0,561
2016-02-08,735.0,750.0,675.0,697.5,697.5,137
2016-02-09,661.5,672.0,603.0,651.0,651.0,240
2016-02-10,651.0,739.5,637.5,688.5,688.5,297
2016-02-11,688.5,900.0,682.5,810.0,810.0,608
2016-02-12,790.5,790.5,724.5,726.0,726.0,97
2016-02-16,685.5,711.0,643.5,702.0,702.0,134
2016-02-17,739.5,739.5,675.0,732.0,732.0,51
2016-02-18,703.5,739.5,675.0,708.0,708.0,243
2016-02-19,690.0,730.5,687.0,694.5,694.5,287
2016-02-22,678.0,741.0,678.0,733.5,733.5,246
2016-02-23,679.5,703.5,679.5,702.0,702.0,17
2016-02-24,703.5,748.5,694.5,721.5,721.5,92
2016-02-25,747.0,747.0,675.0,714.0,714.0,143
2016-02-26,738.0,750.0,697.5,736.5,736.5,103
2016-02-29,733.5,735.0,721.5,721.5,721.5,55
2016-03-01,714.0,825.0,714.0,805.5,805.5,195
2016-03-02,823.5,883.5,811.5,883.5,883.5,347
2016-03-03,883.5,883.5,826.5,826.5,826.5,300
2016-03-04,864.0,874.5,826.5,828.0,828.0,303
2016-03-07,828.0,877.5,816.0,843.0,843.0,299
2016-03-08,838.5,883.5,805.5,832.5,832.5,543
2016-03-09,846.0,870.0,826.5,847.5,847.5,71
2016-03-10,885.0,885.0,840.0,865.5,865.5,279
2016-03-11,862.5,862.5,772.5,838.5,838.5,467
2016-03-14,832.5,847.5,804.0,804.0,804.0,264
2016-03-15,801.0,861.0,801.0,805.5,805.5,90
2016-03-16,831.0,831.0,763.5,822.0,822.0,29
2016-03-17,775.5,784.5,745.5,745.5,745.5,171
2016-03-18,753.0,831.0,735.0,748.5,748.5,207
2016-03-21,756.0,799.5,756.0,760.5,760.5,65
2016-03-22,768.0,795.0,763.5,766.5,766.5,17
2016-03-23,772.5,817.5,768.0,811.5,811.5,60
2016-03-24,805.5,805.5,777.0,790.5,790.5,49
2016-03-28,786.0,789.0,772.5,786.0,786.0,29
2016-03-29,778.5,786.0,751.5,759.0,759.0,117
2016-03-30,769.5,853.5,769.5,798.0,798.0,246
2016-03-31,853.5,853.5,802.5,804.0,804.0,63
2016-04-01,819.0,870.0,819.0,849.0,849.0,135
2016-04-04,855.0,898.5,855.0,883.5,883.5,175
2016-04-05,886.5,934.5,856.5,856.5,856.5,162
2016-04-06,874.5,900.0,808.5,837.0,837.0,123
2016-04-07,829.5,897.0,829.5,888.0,888.0,212
2016-04-08,862.5,889.5,843.0,874.5,874.5,109
2016-04-11,864.0,885.0,864.0,870.0,870.0,121
2016-04-12,832.5,882.0,825.0,846.0,846.0,163
2016-04-13,826.5,853.5,826.5,840.0,840.0,50
2016-04-14,838.5,838.5,826.5,831.0,831.0,144
2016-04-15,828.0,843.0,825.0,825.0,825.0,95
2016-04-18,826.5,888.0,826.5,834.0,834.0,104
2016-04-19,885.0,885.0,838.5,840.0,840.0,79
2016-04-20,826.5,868.5,826.5,840.0,840.0,97
2016-04-21,834.0,838.5,825.0,831.0,831.0,123
2016-04-22,837.0,840.0,823.5,823.5,823.5,113
2016-04-25,823.5,861.0,823.5,847.5,847.5,61
2016-04-26,883.5,883.5,825.0,841.5,841.5,93
2016-04-27,832.5,858.0,823.5,826.5,826.5,41
2016-04-28,826.5,847.5,721.5,723.0,723.0,261
2016-04-29,733.5,801.0,721.5,729.0,729.0,182
2016-05-02,715.5,849.0,712.5,774.0,774.0,621
2016-05-03,778.5,792.0,750.0,765.0,765.0,43
2016-05-04,780.0,808.5,750.0,760.5,760.5,146
2016-05-05,756.0,763.5,730.5,739.5,739.5,163
2016-05-06,747.0,747.0,738.0,744.0,744.0,49
2016-05-09,744.0,768.0,744.0,757.5,757.5,110
2016-05-10,750.0,799.5,739.5,763.5,763.5,211
2016-05-11,759.0,766.5,742.5,742.5,742.5,184
2016-05-12,742.5,757.5,739.5,739.5,739.5,152
2016-05-13,751.5,757.5,729.0,730.5,730.5,162
2016-05-16,726.0,763.5,691.5,708.0,708.0,181
2016-05-17,714.0,715.5,685.5,696.0,696.0,291
2016-05-18,700.5,729.0,700.5,706.5,706.5,135
2016-05-19,712.5,712.5,682.5,708.0,708.0,35
2016-05-20,709.5,735.0,688.5,706.5,706.5,141
2016-05-23,714.0,718.5,697.5,714.0,714.0,109
2016-05-24,706.5,732.0,706.5,709.5,709.5,45
2016-05-25,717.0,741.0,700.5,741.0,741.0,174
2016-05-26,735.0,735.0,715.5,717.0,717.0,24
2016-05-27,717.0,760.5,717.0,757.5,757.5,120
2016-05-31,762.0,763.5,714.0,762.0,762.0,105
2016-06-01,765.0,795.0,736.5,795.0,795.0,152
2016-06-02,793.5,847.5,793.5,814.5,814.5,141
2016-06-03,819.0,840.0,781.5,840.0,840.0,199
2016-06-06,834.0,936.0,834.0,909.0,909.0,337
2016-06-07,924.0,1033.5,862.5,891.0,891.0,591
2016-06-08,898.5,898.5,783.0,856.5,856.5,351
2016-06-09,837.0,844.5,783.0,813.0,813.0,116
2016-06-10,799.5,802.5,771.0,771.0,771.0,41
2016-06-13,784.5,814.5,760.5,763.5,763.5,70
2016-06-14,798.0,889.5,766.5,840.0,840.0,427
2016-06-15,831.0,898.5,823.5,892.5,892.5,247
2016-06-16,913.5,913.5,828.0,856.5,856.5,50
