Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,17.5,17.860001,15.77,16.950001,16.125946,6072600
2023-03-10,17.24,17.49,16.25,16.5,15.697824,1639600
2023-03-13,16.889999,16.9,15.705,15.99,15.212619,1395500
2023-03-14,16.23,17.212,16.0,16.610001,15.802477,1219900
2023-03-15,16.440001,17.139999,15.06,16.049999,15.269701,2951800
2023-03-16,16.049999,16.42,15.65,16.120001,15.336299,918300
2023-03-17,15.87,16.385,15.5,15.93,15.155536,690300
2023-03-20,16.09,16.27,15.93,16.1,15.317271,402800
2023-03-21,16.26,16.559999,16.110001,16.360001,15.564631,900300
2023-03-22,16.219999,16.610001,16.219999,16.41,15.612199,179800
2023-03-23,16.469999,16.77,15.75,16.0,15.222133,432300
2023-03-24,15.99,16.15,15.84,16.120001,15.336299,174200
2023-03-27,16.27,16.59,16.24,16.52,15.716851,212600
2023-03-28,16.65,16.719999,16.25,16.610001,15.802477,433600
2023-03-29,16.870001,16.870001,16.145,16.780001,15.964211,335200
2023-03-30,16.99,17.040001,16.57,16.959999,16.135458,267400
2023-03-31,17.0,17.200001,16.799999,17.030001,16.202057,365700
2023-04-03,17.870001,17.92,17.33,17.84,16.972677,1048400
2023-04-04,18.0,18.198999,17.0,17.219999,16.382818,792500
2023-04-05,17.059999,17.68,16.870001,17.309999,16.468443,601500
2023-04-06,17.26,17.83,17.219999,17.610001,16.753859,697500
2023-04-10,17.700001,18.1,17.17,17.34,16.496986,437000
2023-04-11,17.43,17.85,17.15,17.790001,16.92511,315600
2023-04-12,17.940001,18.129999,17.601,17.809999,16.944136,502900
2023-04-13,17.85,18.120001,17.85,17.950001,17.077332,485000
2023-04-14,18.040001,18.57,17.938,18.24,17.353231,529200
2023-04-17,18.639999,18.915001,18.105,18.219999,17.3342,425700
2023-04-18,18.26,18.569,17.799999,17.93,17.0583,350700
2023-04-19,17.85,18.43,17.85,18.07,17.191494,216800
2023-04-20,17.91,18.33,17.85,17.91,17.039274,230400
2023-04-21,17.9,18.35,17.9,18.18,17.296146,175300
2023-04-24,18.16,18.950001,18.16,18.790001,17.876493,349100
2023-04-25,18.75,18.915001,18.120001,18.200001,17.315176,253300
2023-04-26,18.1,18.379999,17.92,18.0,17.124897,263100
2023-04-27,18.01,18.285,17.780001,17.889999,17.020245,198800
2023-04-28,17.889999,18.267,17.889999,18.040001,17.162954,158100
2023-05-01,17.98,18.26,17.940001,18.17,17.286634,257600
2023-05-02,18.0,18.155001,16.934999,17.110001,16.278168,381900
2023-05-03,16.98,17.34,16.75,16.950001,16.125946,217100
2023-05-04,16.860001,17.15,16.719999,16.870001,16.049835,210200
2023-05-05,17.110001,17.353001,16.91,17.0,16.173515,202700
2023-05-08,17.18,17.309999,16.620001,17.040001,16.211573,175200
2023-05-09,17.139999,17.73,16.74,17.549999,16.696774,486300
2023-05-10,17.610001,17.879999,17.360001,17.4,16.554068,184100
2023-05-11,17.25,17.35,16.690001,17.139999,16.306709,139800
2023-05-12,17.08,17.08,16.549999,16.879999,16.34544,188200
2023-05-15,16.879999,17.59,16.75,17.469999,16.916758,152800
2023-05-16,17.4,17.549999,17.16,17.5,16.945807,93000
2023-05-17,17.57,17.6,17.25,17.51,16.95549,221000
2023-05-18,17.219999,17.59,17.000999,17.540001,16.984543,125300
2023-05-19,17.51,17.860001,17.465,17.719999,17.15884,177000
2023-05-22,17.65,17.860001,17.59,17.68,17.120108,164300
2023-05-23,17.799999,18.066999,17.700001,17.73,17.168524,107300
2023-05-24,17.68,17.799999,17.200001,17.280001,16.732775,155800
2023-05-25,17.049999,17.190001,16.855,16.98,16.442274,147400
2023-05-26,16.85,16.975,15.95,16.290001,15.774126,234500
2023-05-30,16.07,16.15,15.44,15.61,15.115661,300900
2023-05-31,15.28,15.87,15.28,15.62,15.125344,318200
