Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,81.400002,82.699997,81.199997,82.300003,82.300003,560
2016-01-05,81.699997,81.699997,80.199997,80.199997,80.199997,100
2016-01-06,81.5,81.5,81.5,81.5,81.5,10
2016-01-07,80.599998,81.5,77.5,78.300003,78.300003,340
2016-01-08,79.400002,80.300003,78.699997,79.300003,79.300003,510
2016-01-11,74.5,78.400002,73.099998,76.0,76.0,210
2016-01-12,74.800003,74.800003,72.5,72.5,72.5,500
2016-01-13,73.0,75.800003,72.5,72.5,72.5,70
2016-01-14,76.599998,77.0,75.0,77.0,77.0,100
2016-01-15,75.0,77.0,71.5,72.5,72.5,350
2016-01-19,71.300003,72.599998,71.0,71.0,71.0,310
2016-01-20,71.5,73.400002,60.5,64.400002,64.400002,1570
2016-01-21,62.5,74.900002,62.5,70.400002,70.400002,480
2016-01-22,72.599998,73.900002,71.199997,73.400002,73.400002,170
2016-01-25,71.300003,71.300003,71.300003,71.300003,71.300003,30
2016-01-26,70.099998,71.900002,70.099998,71.0,71.0,210
2016-01-27,71.099998,72.400002,71.099998,71.199997,71.199997,90
2016-01-28,71.400002,73.0,71.400002,72.5,72.5,180
2016-01-29,71.699997,74.599998,71.699997,74.599998,74.599998,90
2016-02-01,71.800003,75.599998,71.800003,72.0,72.0,500
2016-02-02,74.699997,74.699997,67.0,67.0,67.0,430
2016-02-03,67.0,68.599998,65.900002,66.800003,66.800003,110
2016-02-04,69.199997,69.900002,66.699997,68.5,68.5,260
2016-02-05,67.099998,67.099998,65.400002,66.400002,66.400002,170
2016-02-08,65.199997,65.699997,65.199997,65.699997,65.699997,240
2016-02-09,64.400002,66.0,64.400002,66.0,66.0,250
2016-02-10,66.0,66.0,65.400002,65.400002,65.400002,120
2016-02-11,63.0,63.0,63.0,63.0,63.0,80
2016-02-12,64.5,65.699997,64.5,64.599998,64.599998,40
2016-02-16,65.0,65.0,62.700001,64.400002,64.400002,800
2016-02-17,63.5,63.5,60.799999,61.200001,61.200001,590
2016-02-18,61.900002,63.0,61.200001,61.200001,61.200001,1160
2016-02-19,61.400002,62.400002,60.0,62.0,62.0,1660
2016-02-22,62.5,67.400002,62.5,66.0,66.0,290
2016-02-23,64.300003,65.599998,64.300003,64.300003,64.300003,90
2016-02-24,64.599998,64.599998,64.599998,64.599998,64.599998,20
2016-02-25,66.599998,66.599998,62.299999,62.299999,62.299999,110
2016-02-26,64.300003,65.0,62.299999,62.299999,62.299999,640
2016-02-29,62.5,62.5,62.5,62.5,62.5,10
2016-03-01,63.099998,63.799999,63.099998,63.799999,63.799999,460
2016-03-02,60.299999,61.0,60.299999,61.0,61.0,150
2016-03-03,63.900002,63.900002,61.099998,62.5,62.5,370
2016-03-04,64.0,66.5,63.900002,64.199997,64.199997,830
2016-03-07,65.599998,67.5,65.599998,66.599998,66.599998,1020
2016-03-08,65.5,67.699997,64.0,64.0,64.0,460
2016-03-09,66.300003,66.300003,61.099998,65.699997,65.699997,850
2016-03-10,62.099998,62.700001,59.599998,60.900002,60.900002,510
2016-03-11,63.099998,65.0,63.099998,65.0,65.0,300
2016-03-14,65.0,65.0,65.0,65.0,65.0,0
2016-03-15,67.400002,67.400002,60.0,60.400002,60.400002,510
2016-03-16,59.900002,62.5,59.900002,62.400002,62.400002,90
2016-03-17,61.700001,62.200001,59.400002,59.400002,59.400002,450
2016-03-18,59.299999,61.299999,59.0,59.0,59.0,240
2016-03-21,59.799999,59.799999,59.099998,59.099998,59.099998,80
2016-03-22,59.200001,59.200001,59.0,59.0,59.0,80
2016-03-23,59.299999,60.299999,59.200001,59.200001,59.200001,90
2016-03-24,60.0,62.299999,59.900002,62.200001,62.200001,210
2016-03-28,62.200001,62.200001,62.200001,62.200001,62.200001,0
2016-03-29,61.900002,67.900002,61.099998,64.900002,64.900002,1150
2016-03-30,64.900002,64.900002,64.900002,64.900002,64.900002,0
2016-03-31,60.599998,62.5,60.5,60.700001,60.700001,260
2016-04-01,61.599998,61.700001,60.700001,60.700001,60.700001,60
2016-04-04,61.0,61.0,60.700001,60.700001,60.700001,110
2016-04-05,60.599998,60.799999,60.599998,60.799999,60.799999,80
2016-04-06,60.799999,61.200001,60.599998,60.599998,60.599998,160
2016-04-07,60.599998,61.799999,60.200001,60.200001,60.200001,290
2016-04-08,60.400002,60.400002,59.0,60.400002,60.400002,420
2016-04-11,60.400002,60.400002,60.400002,60.400002,60.400002,0
2016-04-12,59.0,60.0,58.799999,60.0,60.0,1000
2016-04-13,60.400002,60.400002,58.799999,59.200001,59.200001,5160
2016-04-14,59.5,59.5,59.0,59.0,59.0,250
2016-04-15,59.700001,59.700001,57.900002,57.900002,57.900002,90
2016-04-18,59.5,59.5,57.5,57.5,57.5,80
2016-04-19,57.5,58.0,55.5,55.5,55.5,1070
2016-04-20,56.099998,58.799999,55.0,58.700001,58.700001,510
2016-04-21,58.900002,60.799999,58.700001,60.799999,60.799999,130
2016-04-22,60.799999,60.799999,60.799999,60.799999,60.799999,0
2016-04-25,60.900002,60.900002,58.5,59.900002,59.900002,230
2016-04-26,61.0,61.0,58.299999,58.299999,58.299999,370
2016-04-27,59.200001,59.5,58.400002,58.400002,58.400002,70
2016-04-28,58.900002,59.400002,58.200001,58.299999,58.299999,810
2016-04-29,57.700001,57.700001,57.700001,57.700001,57.700001,240
2016-05-02,55.0,57.099998,55.0,56.099998,56.099998,60
2016-05-03,49.0,51.5,45.0,48.200001,48.200001,1320
2016-05-04,48.200001,55.700001,47.900002,55.700001,55.700001,1040
2016-05-05,56.599998,56.599998,53.5,53.5,53.5,290
2016-05-06,53.5,53.700001,52.5,52.5,52.5,250
2016-05-09,52.599998,54.200001,51.5,51.700001,51.700001,400
2016-05-10,53.5,54.0,52.799999,54.0,54.0,90
2016-05-11,54.900002,54.900002,54.900002,54.900002,54.900002,30
2016-05-12,53.700001,56.0,51.5,51.5,51.5,330
2016-05-13,52.5,53.5,51.5,51.5,51.5,100
2016-05-16,53.200001,53.200001,48.599998,48.599998,48.599998,310
2016-05-17,50.099998,51.700001,50.0,50.0,50.0,130
2016-05-18,50.0,52.299999,50.0,50.299999,50.299999,180
2016-05-19,52.0,52.0,50.299999,50.299999,50.299999,80
2016-05-20,50.400002,52.299999,50.0,50.0,50.0,490
2016-05-23,48.200001,48.200001,48.200001,48.200001,48.200001,60
2016-05-24,49.200001,49.200001,49.200001,49.200001,49.200001,150
2016-05-25,50.0,50.400002,49.200001,50.400002,50.400002,210
2016-05-26,49.599998,49.599998,46.0,46.099998,46.099998,7220
2016-05-27,47.5,49.0,47.5,49.0,49.0,340
2016-05-31,47.099998,48.0,45.5,48.0,48.0,710
2016-06-01,46.400002,47.0,46.400002,46.400002,46.400002,530
2016-06-02,46.400002,47.0,46.400002,46.400002,46.400002,290
2016-06-03,46.400002,46.400002,46.400002,46.400002,46.400002,30
2016-06-06,46.0,46.5,42.0,42.0,42.0,1670
2016-06-07,42.0,46.0,41.200001,44.5,44.5,4080
2016-06-08,45.599998,47.5,44.5,47.400002,47.400002,1000
2016-06-09,47.5,50.099998,47.0,47.0,47.0,1140
2016-06-10,48.0,50.599998,48.0,48.200001,48.200001,2870
2016-06-13,50.400002,50.400002,48.0,48.0,48.0,1120
2016-06-14,48.700001,49.700001,47.799999,47.799999,47.799999,800
2016-06-15,47.799999,48.5,47.0,48.5,48.5,1680
2016-06-16,47.299999,49.700001,46.099998,47.799999,47.799999,2720
2016-06-17,48.799999,49.700001,45.5,47.099998,47.099998,10320
2016-06-20,46.599998,48.099998,46.599998,47.5,47.5,300
2016-06-21,48.099998,48.200001,46.299999,46.599998,46.599998,900
2016-06-22,47.200001,48.0,46.599998,46.599998,46.599998,1020
2016-06-23,47.5,48.099998,46.599998,46.599998,46.599998,540
2016-06-24,46.5,47.400002,45.5,45.700001,45.700001,1630
2016-06-27,45.200001,47.0,45.200001,45.200001,45.200001,330
2016-06-28,45.799999,46.700001,45.799999,45.799999,45.799999,30
2016-06-29,46.400002,48.599998,46.099998,47.0,47.0,1150
2016-06-30,48.200001,49.799999,47.5,47.5,47.5,750
2016-07-01,47.5,48.5,46.700001,46.799999,46.799999,250
2016-07-05,45.900002,47.0,45.599998,45.599998,45.599998,250
2016-07-06,45.799999,45.799999,45.0,45.0,45.0,140
2016-07-07,45.599998,45.599998,44.0,44.0,44.0,830
2016-07-08,45.799999,47.0,45.799999,46.0,46.0,1420
2016-07-11,47.5,47.5,46.099998,46.099998,46.099998,750
2016-07-12,46.5,48.400002,46.5,46.5,46.5,180
2016-07-13,46.799999,46.799999,46.0,46.0,46.0,740
2016-07-14,46.0,46.0,46.0,46.0,46.0,0
2016-07-15,47.0,50.799999,47.0,47.200001,47.200001,440
2016-07-18,46.299999,47.700001,46.299999,46.900002,46.900002,190
2016-07-19,48.400002,48.400002,45.799999,45.799999,45.799999,310
2016-07-20,46.799999,47.5,46.599998,47.5,47.5,990
2016-07-21,46.0,47.5,45.799999,45.799999,45.799999,540
2016-07-22,45.900002,47.400002,45.799999,47.400002,47.400002,2010
2016-07-25,47.900002,48.0,47.0,47.0,47.0,1360
2016-07-26,48.200001,48.700001,46.900002,47.0,47.0,730
2016-07-27,47.299999,50.0,46.900002,48.099998,48.099998,1640
2016-07-28,48.799999,48.799999,48.0,48.0,48.0,1130
2016-07-29,47.200001,47.200001,47.200001,47.200001,47.200001,70
2016-08-01,48.0,48.0,47.200001,47.200001,47.200001,310
2016-08-02,47.099998,47.799999,47.0,47.200001,47.200001,300
2016-08-03,47.200001,47.200001,45.0,45.5,45.5,1630
2016-08-04,45.400002,46.0,44.200001,44.200001,44.200001,2280
2016-08-05,44.099998,44.099998,41.599998,42.700001,42.700001,1020
2016-08-08,43.5,43.5,42.599998,43.0,43.0,640
