Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.9,18.9,18.75,18.75,14.936478,800
2016-01-05,18.75,18.75,18.75,18.75,14.936478,0
2016-01-06,18.75,18.75,18.75,18.75,14.936478,0
2016-01-07,18.75,18.75,18.65,18.65,14.856821,800
2016-01-08,18.700001,18.700001,18.65,18.65,14.856821,2200
2016-01-11,18.65,18.799999,18.6,18.6,14.816988,1100
2016-01-12,18.6,18.6,18.4,18.4,14.657664,3000
2016-01-13,18.4,18.4,18.360001,18.360001,14.625804,500
2016-01-14,18.35,18.35,18.33,18.33,14.601902,1500
2016-01-15,18.299999,18.299999,17.85,18.0,14.339026,2800
2016-01-19,17.9,17.9,17.9,17.9,14.259359,1000
2016-01-20,17.85,17.85,17.75,17.75,14.139868,1300
2016-01-21,18.049999,18.049999,18.049999,18.049999,14.378854,1000
2016-01-22,18.049999,18.049999,18.049999,18.049999,14.378854,0
2016-01-25,17.950001,17.950001,17.950001,17.950001,14.299191,400
2016-01-26,17.950001,17.950001,17.75,17.75,14.139868,900
2016-01-27,17.799999,17.799999,17.5,17.5,13.940718,900
2016-01-28,17.6,17.85,17.5,17.85,14.219528,4100
2016-01-29,17.75,17.99,17.75,17.799999,14.179704,4500
2016-02-01,17.799999,17.799999,17.799999,17.799999,14.179704,0
2016-02-02,17.75,17.879999,17.75,17.879999,14.24343,3000
2016-02-03,17.65,17.799999,17.65,17.65,14.060205,800
2016-02-04,17.65,17.85,17.65,17.85,14.219528,5700
2016-02-05,17.5,17.5,17.4,17.4,13.861054,3500
2016-02-08,17.450001,17.450001,17.450001,17.450001,13.900886,800
2016-02-09,17.450001,17.549999,17.450001,17.549999,13.980545,2800
2016-02-10,17.5,17.5,17.1,17.1,13.622073,1300
2016-02-11,17.549999,17.549999,16.65,16.75,13.343255,7300
2016-02-12,16.75,16.75,16.65,16.65,13.263592,1700
2016-02-16,17.5,17.65,17.0,17.1,13.622073,4100
2016-02-17,17.1,17.25,17.049999,17.25,13.741563,3400
2016-02-18,17.35,17.549999,17.35,17.549999,13.980545,2300
2016-02-19,17.6,17.65,17.59,17.59,14.012413,23700
2016-02-22,17.65,17.65,17.6,17.6,14.020378,1100
2016-02-23,17.65,17.65,17.549999,17.65,14.060205,3900
2016-02-24,17.65,17.75,17.65,17.75,14.139868,2500
2016-02-25,17.85,18.0,17.85,18.0,14.339026,3900
2016-02-26,18.0,18.030001,17.969999,17.969999,14.315122,20600
