Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,22.15,22.68,21.559999,22.0,11.388691,13740800
2017-05-05,22.0,22.43,22.0,22.280001,11.533637,1925700
2017-05-08,22.190001,22.34,21.74,22.030001,11.404223,1312200
2017-05-09,22.0,22.073999,21.65,22.0,11.388691,818400
2017-05-10,21.91,21.959999,21.309999,21.540001,11.150564,1154600
2017-05-11,21.65,21.76,21.219999,21.25,11.000442,853300
2017-05-12,21.25,21.559999,20.969999,21.5,11.129858,671200
2017-05-15,21.700001,21.75,21.219999,21.290001,11.021152,852700
2017-05-16,21.299999,21.709999,21.16,21.35,11.052207,1420300
2017-05-17,21.43,21.43,21.0,21.0,10.871025,929600
2017-05-18,21.040001,21.1,20.83,21.01,10.8762,480800
2017-05-19,20.889999,21.120001,20.68,21.0,10.871025,916100
2017-05-22,21.15,21.91,21.1,21.91,11.342104,484300
2017-05-23,21.52,22.209999,21.52,22.030001,11.404223,873700
2017-05-24,21.940001,22.09,21.5,21.68,11.223039,911300
2017-05-25,21.469999,22.23,21.41,22.059999,11.419751,656600
2017-05-26,22.049999,22.25,21.860001,21.969999,11.373158,598000
2017-05-30,22.26,22.700001,21.959999,22.110001,11.445634,1104800
2017-05-31,22.110001,22.209999,21.85,22.08,11.430106,1081300
2017-06-01,22.110001,22.6,21.82,22.57,11.683762,856300
2017-06-02,22.51,22.870001,22.02,22.280001,11.533637,1167100
2017-06-05,22.129999,22.41,21.879999,22.299999,11.543991,718600
2017-06-06,22.209999,22.57,21.91,22.549999,11.673408,694900
2017-06-07,22.41,22.549999,22.17,22.24,11.512935,649700
2017-06-08,22.18,22.48,21.9,22.01,11.39387,598500
2017-06-09,21.98,22.15,21.43,21.98,11.378338,732100
2017-06-12,22.040001,22.045,21.629999,21.629999,11.197155,352400
2017-06-13,21.75,22.190001,21.459999,22.07,11.424928,374000
2017-06-14,22.120001,22.18,21.889999,22.040001,11.409401,351500
2017-06-15,21.959999,22.5,20.799999,20.98,10.860672,967900
2017-06-16,20.66,21.58,20.559999,21.379999,11.067736,368600
2017-06-19,21.280001,21.59,21.17,21.280001,11.015968,169700
2017-06-20,21.200001,21.295,20.5,20.549999,10.638072,342600
2017-06-21,20.629999,20.629999,19.99,20.450001,10.586307,332100
2017-06-22,20.48,20.969999,20.110001,20.620001,10.674314,658900
2017-06-23,20.639999,20.969999,20.059999,20.879999,10.808903,966400
2017-06-26,20.84,21.43,20.51,21.32,11.036678,750000
2017-06-27,21.26,21.594999,20.82,21.469999,11.114328,896100
2017-06-28,21.48,22.110001,21.15,22.02,11.399044,632000
2017-06-29,22.1,22.139999,21.639999,21.65,11.20751,353400
2017-06-30,21.530001,22.440001,21.209999,21.98,11.378338,475800
2017-07-03,21.92,22.16,21.67,21.91,11.342104,171100
2017-07-05,21.870001,21.870001,20.84,21.120001,10.933147,220900
2017-07-06,21.059999,21.6,20.99,21.32,11.036678,414100
2017-07-07,21.32,21.41,20.610001,21.18,10.964203,242100
2017-07-10,21.1,21.43,20.790001,21.049999,10.896907,256000
2017-07-11,20.98,21.49,20.860001,21.35,11.052207,282500
2017-07-12,21.32,21.57,21.129999,21.49,11.124681,83700
2017-07-13,21.370001,21.875,21.049999,21.700001,11.233392,260100
2017-07-14,21.530001,21.940001,21.35,21.51,11.135032,377800
2017-07-17,21.379999,21.84,21.35,21.76,11.264451,77200
2017-07-18,21.65,21.709999,21.35,21.57,11.166096,145900
2017-07-19,21.66,21.674999,21.299999,21.379999,11.067736,211100
2017-07-20,21.4,21.549999,20.799999,21.299999,11.026322,292000
2017-07-21,21.190001,21.719999,21.049999,21.120001,10.933147,208400
2017-07-24,21.17,21.299999,21.0,21.02,10.881377,123300
2017-07-25,21.18,21.34,20.799999,21.01,10.8762,307500
2017-07-26,21.01,21.469999,20.84,21.01,10.8762,173800
2017-07-27,21.1,21.18,20.84,21.02,10.881377,78300
2017-07-28,20.969999,21.209999,20.959999,21.09,10.917614,110100
2017-07-31,21.120001,21.360001,21.0,21.23,10.990088,224900
2017-08-01,21.129999,21.59,21.129999,21.530001,11.159582,613900
2017-08-02,21.389999,21.41,20.33,20.959999,10.864136,266200
2017-08-03,20.799999,21.219999,20.110001,20.290001,10.516854,625600
2017-08-04,20.190001,20.4,20.135,20.33,10.537586,316200
2017-08-07,20.16,20.16,19.879999,20.01,10.371722,262200
2017-08-08,19.91,19.91,19.35,19.5,10.107375,564800
2017-08-09,19.42,19.549999,19.18,19.370001,10.039995,676600
2017-08-10,19.299999,19.379999,18.91,18.940001,9.817113,481300
2017-08-11,18.780001,19.1,18.549999,18.969999,9.832663,494000
2017-08-14,19.469999,19.469999,19.01,19.07,9.884498,376500
2017-08-15,19.01,19.01,18.540001,18.709999,9.697901,222500
2017-08-16,18.68,18.950001,18.549999,18.629999,9.656434,195400
2017-08-17,18.59,18.885,18.41,18.48,9.578684,143700
2017-08-18,18.440001,18.615,18.125,18.370001,9.521666,240600
2017-08-21,18.35,18.440001,18.049999,18.139999,9.402453,191300
2017-08-22,18.24,18.256001,17.98,18.16,9.412818,333300
2017-08-23,18.15,18.65,18.0,18.43,9.552766,188700
2017-08-24,18.4,18.58,18.200001,18.48,9.578684,133400
2017-08-25,18.58,18.58,18.33,18.379999,9.526848,129300
2017-08-28,18.389999,18.48,18.0,18.07,9.366168,277800
2017-08-29,17.92,18.02,17.66,17.940001,9.298788,344500
2017-08-30,18.09,18.719999,17.84,18.450001,9.563135,1256800
2017-08-31,18.459999,19.1,18.370001,19.059999,9.879313,293300
2017-09-01,19.15,19.41,18.860001,19.299999,10.00371,310800
2017-09-05,19.299999,19.709999,19.219999,19.6,10.159208,243800
2017-09-06,19.77,19.940001,19.6,19.85,10.288791,681600
2017-09-07,19.93,19.955,19.650999,19.790001,10.257693,532800
2017-09-08,19.450001,19.5,19.1,19.23,9.967428,580400
2017-09-11,19.35,19.42,19.0,19.16,9.931146,346800
2017-09-12,19.110001,19.540001,19.110001,19.34,10.024444,180900
2017-09-13,19.24,19.52,19.139999,19.43,10.071096,190200
2017-09-14,19.389999,19.540001,19.17,19.42,10.06591,237700
2017-09-15,19.5,19.530001,19.15,19.5,10.107375,392500
2017-09-18,19.540001,19.559999,19.27,19.459999,10.086644,122200
2017-09-19,19.450001,19.5,19.18,19.389999,10.050359,333000
2017-09-20,19.32,19.66,19.190001,19.620001,10.169576,169800
2017-09-21,19.67,19.67,19.355,19.540001,10.128109,182400
2017-09-22,19.549999,19.66,19.459,19.59,10.154026,99500
2017-09-25,19.49,20.239,19.370001,20.09,10.413189,315800
2017-09-26,19.98,20.42,19.844999,20.35,10.547956,443200
2017-09-27,20.280001,20.280001,19.91,20.1,10.418375,246500
2017-09-28,20.02,20.16,19.530001,20.139999,10.439105,260100
2017-09-29,20.15,20.469999,20.1,20.469999,10.610154,381200
2017-10-02,20.32,20.58,20.040001,20.389999,10.568687,178500
2017-10-03,20.42,20.687,19.975,20.23,10.485758,102500
2017-10-04,20.17,20.17,19.799999,20.02,10.376905,147700
2017-10-05,20.09,20.219999,19.940001,20.190001,10.465023,77200
2017-10-06,20.049999,20.16,19.969999,20.07,10.402822,116700
2017-10-09,20.120001,20.33,20.07,20.120001,10.42874,62100
2017-10-10,20.370001,20.84,20.23,20.459999,10.60497,163400
2017-10-11,20.51,20.52,20.360001,20.459999,10.60497,72000
2017-10-12,20.280001,20.395,20.1,20.27,10.506489,137400
2017-10-13,20.32,20.32,19.860001,20.09,10.413189,248800
2017-10-16,20.110001,20.195,19.690001,19.75,10.236959,325400
2017-10-17,19.690001,19.9,19.6,19.67,10.195493,163300
2017-10-18,19.709999,19.709999,19.23,19.360001,10.034812,135100
