Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.05,14.11,13.61,13.77,13.77,341000
2016-01-05,13.75,13.95,13.62,13.78,13.78,152600
2016-01-06,13.65,13.91,13.52,13.66,13.66,214200
2016-01-07,13.46,13.54,12.82,12.83,12.83,332000
2016-01-08,12.82,12.91,12.19,12.61,12.61,557000
2016-01-11,12.88,12.98,12.56,12.89,12.89,284700
2016-01-12,13.04,13.26,12.54,12.68,12.68,319500
2016-01-13,12.71,13.01,12.14,12.42,12.42,432700
2016-01-14,12.5,12.88,12.13,12.81,12.81,311200
2016-01-15,12.45,13.2,12.32,13.19,13.19,629600
2016-01-19,13.24,13.39,12.42,12.9,12.9,969200
2016-01-20,12.72,12.75,12.07,12.49,12.49,613500
2016-01-21,12.49,12.93,12.33,12.44,12.44,430600
2016-01-22,12.66,12.87,12.28,12.44,12.44,303200
2016-01-25,12.35,12.42,11.92,11.94,11.94,502300
2016-01-26,13.79,14.59,13.43,13.79,13.79,1276600
2016-01-27,13.83,14.2,13.55,13.9,13.9,499700
2016-01-28,14.18,14.35,13.43,13.55,13.55,361800
2016-01-29,13.51,14.09,13.51,14.04,14.04,299600
2016-02-01,13.89,14.04,13.58,13.89,13.89,198900
2016-02-02,13.61,14.04,13.21,13.39,13.39,232700
2016-02-03,13.42,13.68,12.8,13.59,13.59,272400
2016-02-04,13.52,13.99,13.31,13.58,13.58,815700
2016-02-05,13.59,13.97,13.15,13.74,13.74,247700
2016-02-08,13.54,13.54,13.03,13.43,13.43,255500
2016-02-09,13.16,13.16,12.44,12.81,12.81,315500
2016-02-10,12.85,13.05,12.25,12.43,12.43,353900
2016-02-11,12.18,12.59,12.11,12.57,12.57,642400
2016-02-12,12.74,13.35,12.56,13.35,13.35,352000
2016-02-16,13.48,13.77,13.16,13.62,13.62,224800
2016-02-17,13.75,14.12,13.65,13.96,13.96,289100
2016-02-18,13.94,14.42,13.3,14.32,14.32,382300
2016-02-19,14.4,15.86,14.4,15.21,15.21,831600
2016-02-22,15.21,15.82,15.21,15.52,15.52,331000
2016-02-23,15.57,15.62,14.86,14.89,14.89,366800
2016-02-24,14.71,15.21,14.38,15.16,15.16,221700
2016-02-25,15.2,15.27,15.05,15.05,15.05,214800
2016-02-26,15.24,15.41,14.68,15.07,15.07,237000
2016-02-29,15.13,15.6,14.82,15.27,15.27,263100
2016-03-01,15.25,15.65,14.3,15.55,15.55,268100
2016-03-02,15.59,16.16,15.51,16.01,16.01,357600
2016-03-03,15.95,16.889999,15.95,16.4,16.4,499600
2016-03-04,16.360001,16.6,16.07,16.290001,16.290001,265800
2016-03-07,16.280001,16.76,16.280001,16.370001,16.370001,244800
2016-03-08,16.26,16.360001,15.73,16.059999,16.059999,291800
2016-03-09,16.1,16.459999,15.91,16.190001,16.190001,145400
2016-03-10,16.299999,16.59,15.86,16.200001,16.200001,280500
2016-03-11,16.290001,16.84,16.290001,16.309999,16.309999,235900
2016-03-14,16.35,16.41,15.86,16.0,16.0,356900
2016-03-15,15.97,16.07,15.51,15.58,15.58,203200
2016-03-16,15.55,16.030001,15.52,15.9,15.9,203900
2016-03-17,16.01,16.290001,15.67,16.16,16.16,232500
2016-03-18,16.27,17.16,15.91,17.1,17.1,628000
2016-03-21,17.129999,17.32,16.309999,16.440001,16.440001,323300
2016-03-22,16.299999,16.65,16.190001,16.360001,16.360001,193100
2016-03-23,16.379999,16.629999,15.57,15.59,15.59,328100
2016-03-24,15.52,15.9,15.27,15.69,15.69,279800
2016-03-28,15.82,15.97,15.61,15.71,15.71,261200
2016-03-29,15.66,15.94,15.4,15.68,15.68,328100
2016-03-30,15.72,16.219999,15.6,16.07,16.07,416400
2016-03-31,16.040001,16.209999,15.58,15.8,15.8,268700
2016-04-01,16.24,17.77,16.24,16.77,16.77,399400
2016-04-04,16.68,16.799999,16.01,16.02,16.02,329900
2016-04-05,15.82,16.09,15.46,15.52,15.52,287000
2016-04-06,15.46,15.57,14.62,14.85,14.85,655500
2016-04-07,14.67,15.01,14.42,14.57,14.57,340500
2016-04-08,15.06,15.36,14.97,15.15,15.15,373800
2016-04-11,15.23,15.61,15.09,15.15,15.15,325800
2016-04-12,15.29,16.280001,15.13,15.86,15.86,428500
2016-04-13,15.87,16.33,15.83,16.18,16.18,188900
2016-04-14,16.110001,16.469999,16.09,16.16,16.16,434100
2016-04-15,16.040001,16.42,16.040001,16.17,16.17,284300
2016-04-18,16.07,16.559999,15.94,16.450001,16.450001,243400
2016-04-19,16.530001,16.58,15.93,16.129999,16.129999,373600
2016-04-20,16.08,16.959999,16.08,16.809999,16.809999,262400
2016-04-21,16.76,17.07,16.469999,16.469999,16.469999,454800
2016-04-22,16.469999,17.07,16.469999,16.889999,16.889999,195200
2016-04-25,16.780001,16.780001,15.81,16.190001,16.190001,415600
2016-04-26,16.26,16.82,16.129999,16.66,16.66,196400
2016-04-27,16.639999,16.99,16.48,16.540001,16.540001,193900
2016-04-28,16.49,16.67,16.07,16.07,16.07,201400
2016-04-29,16.02,16.23,15.8,16.23,16.23,209300
2016-05-02,16.25,16.459999,16.1,16.4,16.4,177800
2016-05-03,16.26,16.440001,15.5,15.8,15.8,314700
2016-05-04,15.72,15.89,15.47,15.59,15.59,184900
2016-05-05,15.69,16.059999,15.54,15.72,15.72,144900
2016-05-06,15.63,15.81,15.41,15.62,15.62,190500
2016-05-09,15.56,15.67,15.24,15.56,15.56,206900
2016-05-10,15.68,16.030001,15.46,16.030001,16.030001,209800
2016-05-11,16.120001,16.120001,14.9,15.38,15.38,691900
2016-05-12,15.45,15.61,15.14,15.41,15.41,331600
2016-05-13,15.42,16.040001,15.23,15.76,15.76,324400
2016-05-16,15.63,15.9,15.19,15.4,15.4,476700
2016-05-17,15.32,15.59,15.17,15.41,15.41,343600
2016-05-18,15.39,15.96,15.33,15.88,15.88,285100
2016-05-19,15.72,16.059999,15.54,16.059999,16.059999,325500
2016-05-20,16.18,16.540001,15.87,16.440001,16.440001,305700
2016-05-23,16.790001,16.879999,16.17,16.18,16.18,282100
2016-05-24,16.33,16.66,15.93,16.5,16.5,255700
2016-05-25,16.57,16.77,16.200001,16.52,16.52,339200
2016-05-26,16.57,16.57,16.209999,16.360001,16.360001,199400
2016-05-27,16.33,16.68,16.299999,16.459999,16.459999,147500
2016-05-31,16.530001,16.74,16.41,16.49,16.49,184600
2016-06-01,16.389999,16.74,16.16,16.66,16.66,208700
2016-06-02,16.610001,16.700001,16.51,16.68,16.68,169400
2016-06-03,16.57,16.76,16.17,16.5,16.5,171300
2016-06-06,16.5,16.75,16.41,16.639999,16.639999,157700
2016-06-07,16.59,17.02,16.4,16.9,16.9,250900
2016-06-08,16.91,17.07,16.74,16.969999,16.969999,218600
2016-06-09,16.84,17.059999,16.51,16.98,16.98,209800
2016-06-10,16.75,16.84,16.299999,16.440001,16.440001,222600
2016-06-13,16.4,16.469999,15.91,15.99,15.99,241000
2016-06-14,15.98,16.07,15.47,15.65,15.65,262400
2016-06-15,15.71,15.95,15.52,15.75,15.75,145300
2016-06-16,16.0,16.23,15.67,16.030001,16.030001,183200
2016-06-17,16.02,16.440001,15.67,16.43,16.43,410000
2016-06-20,16.610001,16.82,15.89,15.92,15.92,198600
2016-06-21,15.92,15.98,15.54,15.64,15.64,150900
2016-06-22,15.71,16.09,15.68,15.7,15.7,160200
2016-06-23,15.91,16.26,15.79,16.139999,16.139999,155200
2016-06-24,15.38,15.77,15.09,15.27,15.27,496000
2016-06-27,15.14,15.59,14.76,15.01,15.01,311000
2016-06-28,15.23,15.32,14.92,15.07,15.07,177300
2016-06-29,15.36,15.95,15.22,15.84,15.84,250600
2016-06-30,15.86,16.459999,15.86,16.459999,16.459999,295800
2016-07-01,16.370001,16.65,16.129999,16.4,16.4,283700
2016-07-05,16.27,16.290001,15.76,15.82,15.82,245900
2016-07-06,15.77,16.15,15.42,16.0,16.0,169000
2016-07-07,15.98,16.25,15.9,16.08,16.08,146800
2016-07-08,16.25,16.75,15.54,16.629999,16.629999,208900
2016-07-11,16.74,17.049999,16.59,16.76,16.76,186300
2016-07-12,16.860001,17.24,16.860001,17.219999,17.219999,355000
2016-07-13,17.27,17.57,17.16,17.25,17.25,230200
2016-07-14,17.389999,17.73,16.73,17.469999,17.469999,267400
2016-07-15,17.620001,17.68,17.290001,17.610001,17.610001,252300
2016-07-18,17.540001,18.110001,17.540001,18.09,18.09,306600
2016-07-19,18.059999,18.200001,17.74,18.0,18.0,226500
2016-07-20,18.049999,18.17,17.83,18.01,18.01,251400
