Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.72,10.72,10.06,10.31,10.31,100900
2016-01-05,10.28,10.39,10.18,10.28,10.28,33100
2016-01-06,10.11,10.38,10.11,10.33,10.33,82500
2016-01-07,10.13,10.27,10.02,10.02,10.02,76400
2016-01-08,10.06,10.18,9.78,9.86,9.86,109100
2016-01-11,9.9,10.14,9.74,9.89,9.89,45700
2016-01-12,9.99,10.15,9.68,9.92,9.92,71800
2016-01-13,9.92,9.94,9.4,9.47,9.47,124300
2016-01-14,9.5,9.74,9.47,9.6,9.6,66500
2016-01-15,9.33,9.64,9.24,9.61,9.61,73700
2016-01-19,9.72,9.79,9.22,9.32,9.32,104600
2016-01-20,9.18,9.46,9.05,9.34,9.34,138300
2016-01-21,9.35,9.59,9.24,9.46,9.46,134900
2016-01-22,9.56,9.74,9.48,9.74,9.74,60600
2016-01-25,9.68,9.75,9.5,9.5,9.5,43400
2016-01-26,9.47,9.74,9.47,9.54,9.54,153500
2016-01-27,9.47,9.62,9.37,9.51,9.51,56200
2016-01-28,9.49,9.63,9.45,9.53,9.53,47100
2016-01-29,9.49,9.83,9.44,9.83,9.83,124200
2016-02-01,9.73,9.77,9.62,9.66,9.66,47200
2016-02-02,9.59,9.7,9.51,9.62,9.62,42100
2016-02-03,9.74,9.74,9.43,9.61,9.61,42400
2016-02-04,9.56,9.67,9.41,9.56,9.56,97200
2016-02-05,9.52,9.56,9.19,9.27,9.27,90500
2016-02-08,9.2,9.41,9.03,9.36,9.36,48300
2016-02-09,9.28,9.59,9.11,9.3,9.3,48000
2016-02-10,9.39,9.5,9.15,9.24,9.24,45400
2016-02-11,9.12,9.15,8.94,8.97,8.97,163100
2016-02-12,9.02,9.11,8.94,9.06,9.06,95100
2016-02-16,9.21,9.97,9.1,9.79,9.79,176600
2016-02-17,9.77,10.25,9.57,10.2,10.2,118300
2016-02-18,10.2,10.36,10.09,10.2,10.2,132300
2016-02-19,10.13,10.38,10.13,10.24,10.24,106200
2016-02-22,10.3,10.61,10.04,10.48,10.48,190900
2016-02-23,10.45,10.56,10.26,10.3,10.3,77500
2016-02-24,10.2,10.56,10.06,10.53,10.53,54200
2016-02-25,10.46,10.77,10.41,10.76,10.76,79300
2016-02-26,10.81,10.91,10.5,10.54,10.54,105500
2016-02-29,10.6,10.8,10.49,10.71,10.71,108900
2016-03-01,10.74,10.99,10.66,10.85,10.85,200900
2016-03-02,10.75,10.92,10.53,10.91,10.91,66900
2016-03-03,10.87,10.97,10.78,10.86,10.86,86600
2016-03-04,10.88,10.99,10.74,10.83,10.83,65000
2016-03-07,11.0,11.32,10.95,11.21,11.21,166300
2016-03-08,11.2,11.33,11.04,11.06,11.06,95700
2016-03-09,11.19,11.19,11.0,11.08,11.08,67100
2016-03-10,11.15,11.15,10.73,10.81,10.81,49300
2016-03-11,10.84,10.93,10.68,10.76,10.76,103100
2016-03-14,10.8,11.08,10.72,10.91,10.91,151000
2016-03-15,10.91,11.01,10.59,10.63,10.63,84700
2016-03-16,10.59,10.76,10.58,10.71,10.71,58300
2016-03-17,10.68,10.85,10.54,10.78,10.78,77500
2016-03-18,10.87,10.87,10.58,10.64,10.64,229700
2016-03-21,10.64,10.71,10.51,10.55,10.55,56400
2016-03-22,10.51,10.68,10.48,10.61,10.61,45500
2016-03-23,10.53,10.57,10.34,10.47,10.47,61300
2016-03-24,10.41,10.47,10.21,10.4,10.4,68900
2016-03-28,10.33,10.87,10.3,10.78,10.78,109800
2016-03-29,10.81,11.0,10.63,10.99,10.99,80700
2016-03-30,11.0,11.22,10.93,11.15,11.15,87300
2016-03-31,11.07,11.23,10.75,10.75,10.75,281800
2016-04-01,10.72,11.0,10.66,10.94,10.94,48600
2016-04-04,10.97,10.97,10.78,10.87,10.87,67100
2016-04-05,10.76,10.91,10.67,10.75,10.75,77200
2016-04-06,10.73,10.87,10.64,10.86,10.86,74300
2016-04-07,10.8,10.98,10.78,10.92,10.92,143000
2016-04-08,10.97,11.11,10.84,11.01,11.01,92600
