Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.65,2.65,2.45,2.56,2.56,24100
2016-01-05,2.52,2.61,2.41,2.48,2.48,16300
2016-01-06,2.44,2.44,2.28,2.31,2.31,6200
2016-01-07,2.26,2.3,2.06,2.3,2.3,17100
2016-01-08,2.35,2.35,2.2,2.32,2.32,11400
2016-01-11,2.4,2.49,2.25,2.28,2.28,8500
2016-01-12,2.37,2.37,2.1,2.16,2.16,14000
2016-01-13,2.16,2.17,2.03,2.11,2.11,8600
2016-01-14,2.06,2.14,2.06,2.1,2.1,3600
2016-01-15,2.11,2.21,2.01,2.12,2.12,6400
2016-01-19,2.21,2.21,2.06,2.07,2.07,10000
2016-01-20,2.06,2.14,2.05,2.14,2.14,5000
2016-01-21,2.2,2.28,2.15,2.27,2.27,9200
2016-01-22,2.38,2.5,2.36,2.49,2.49,20200
2016-01-25,2.54,2.85,2.45,2.56,2.56,17300
2016-01-26,2.61,2.9,2.58,2.9,2.9,28900
2016-01-27,3.41,3.41,2.74,2.92,2.92,32500
2016-01-28,3.07,3.07,2.88,2.97,2.97,20600
2016-01-29,2.91,3.0,2.9,2.94,2.94,13300
2016-02-01,2.92,2.98,2.75,2.89,2.89,26400
2016-02-02,2.85,2.95,2.8,2.92,2.92,13400
2016-02-03,2.95,2.98,2.84,2.94,2.94,7200
2016-02-04,2.82,3.01,2.82,2.89,2.89,7600
2016-02-05,2.82,2.84,2.54,2.76,2.76,22700
2016-02-08,2.87,2.87,2.43,2.63,2.63,13900
2016-02-09,2.8,2.8,2.26,2.31,2.31,20500
2016-02-10,2.36,2.37,2.27,2.37,2.37,7600
2016-02-11,2.33,2.48,2.24,2.42,2.42,7700
2016-02-12,2.52,2.67,2.37,2.61,2.61,12000
2016-02-16,2.7,2.7,2.53,2.61,2.61,8700
2016-02-17,2.66,2.71,2.57,2.67,2.67,13200
2016-02-18,2.78,2.8,2.72,2.75,2.75,10200
2016-02-19,2.89,2.94,2.65,2.93,2.93,15300
2016-02-22,2.96,3.0,2.89,2.92,2.92,9800
2016-02-23,2.93,2.97,2.84,2.96,2.96,3200
2016-02-24,2.94,3.0,2.44,3.0,3.0,6700
2016-02-25,3.0,3.0,2.82,2.82,2.82,2000
2016-02-26,2.84,2.85,2.78,2.78,2.78,3400
2016-02-29,2.77,2.77,2.77,2.77,2.77,700
2016-03-01,2.8,2.84,2.5,2.7,2.7,4700
2016-03-02,2.64,2.64,2.56,2.64,2.64,3400
2016-03-03,2.65,2.7,2.6,2.62,2.62,7000
2016-03-04,2.75,2.81,2.65,2.68,2.68,4100
2016-03-07,2.68,2.98,2.68,2.83,2.83,10500
