Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.200001,17.200001,16.959999,16.959999,6.56763,691200
2016-01-05,17.059999,17.379999,16.99,17.35,6.718655,529000
2016-01-06,17.360001,17.43,17.280001,17.34,6.714784,743800
2016-01-07,17.309999,17.32,16.99,17.01,6.586993,504900
2016-01-08,17.059999,17.120001,16.68,16.73,6.478565,679600
2016-01-11,16.76,17.08,16.76,16.84,6.521162,865900
2016-01-12,17.0,17.02,16.690001,16.790001,6.501801,656100
2016-01-13,16.790001,16.82,16.219999,16.42,6.35852,971700
2016-01-14,16.42,16.620001,16.110001,16.469999,6.377882,799500
2016-01-15,16.24,16.290001,15.68,15.92,6.1649,1276900
2016-01-19,16.0,16.049999,15.41,15.49,5.998384,1117000
2016-01-20,15.3,15.33,13.8,15.16,5.870596,1980400
2016-01-21,14.79,15.35,14.79,15.13,5.858977,705300
2016-01-22,15.24,15.74,15.18,15.66,6.064214,791600
2016-01-25,15.6,15.62,15.3,15.3,5.924808,489400
2016-01-26,15.34,15.66,15.09,15.57,6.029364,748300
2016-01-27,15.55,15.63,15.27,15.36,5.948041,528200
2016-01-28,15.49,15.67,15.35,15.53,6.013875,495700
2016-01-29,15.6,15.9,15.54,15.9,6.157153,646200
2016-02-01,15.83,15.96,15.64,15.83,6.130046,516800
2016-02-02,15.78,15.86,15.5,15.86,6.141664,560200
2016-02-03,15.87,16.0,15.66,15.9,6.157153,636000
2016-02-04,15.88,15.9,15.68,15.75,6.099066,390000
2016-02-05,15.72,15.91,15.69,15.7,6.079705,562300
2016-02-08,15.7,15.7,15.34,15.61,6.044854,943800
2016-02-09,15.45,15.54,15.21,15.48,5.994512,720700
2016-02-10,15.64,15.95,15.36,15.71,6.083577,589600
2016-02-11,15.62,15.62,15.03,15.28,5.917063,938700
2016-02-12,15.36,15.56,15.23,15.47,5.990641,665800
2016-02-16,15.54,15.9,15.42,15.8,6.11843,620200
2016-02-17,15.84,16.120001,15.84,16.0,6.195877,716700
2016-02-18,16.02,16.440001,16.0,16.42,6.35852,811400
2016-02-19,16.309999,16.42,16.200001,16.24,6.288817,357300
2016-02-22,16.309999,16.690001,16.290001,16.530001,6.401117,457900
2016-02-23,16.49,16.68,16.43,16.57,6.416607,382200
2016-02-24,16.48,16.68,16.120001,16.57,6.416607,426600
2016-02-25,16.65,16.99,16.620001,16.93,6.556015,342100
2016-02-26,16.26,16.280001,15.39,15.52,6.010003,2907300
2016-02-29,15.53,15.69,15.31,15.45,5.982893,1875600
2016-03-01,15.56,15.68,15.47,15.6,6.040979,1231800
2016-03-02,15.58,15.7,15.46,15.68,6.07196,1090600
2016-03-03,15.66,15.89,15.64,15.82,6.126174,746800
2016-03-04,15.84,16.030001,15.79,15.95,6.176515,614200
2016-03-07,15.93,16.110001,15.79,15.95,6.176515,513300
2016-03-08,15.99,15.99,15.67,15.81,6.122302,817900
2016-03-09,15.84,15.96,15.65,15.94,6.172643,814600
2016-03-10,15.99,16.01,15.65,15.82,6.126174,506600
2016-03-11,15.9,16.129999,15.89,16.07,6.222983,634700
2016-03-14,16.07,16.08,15.85,15.91,6.161024,881800
2016-03-15,15.83,15.97,15.56,15.86,6.141664,650700
2016-03-16,15.9,16.26,15.73,16.16,6.257836,772600
2016-03-17,16.200001,16.59,16.1,16.42,6.35852,757800
2016-03-18,16.52,16.52,16.190001,16.280001,6.304306,1753500
2016-03-21,16.33,16.790001,16.280001,16.59,6.424352,1275700
2016-03-22,16.6,16.799999,16.389999,16.66,6.451458,1548400
2016-03-23,16.65,16.700001,16.32,16.33,6.323668,782300
2016-03-24,16.32,16.559999,16.200001,16.450001,6.370139,743800
2016-03-28,16.459999,16.540001,16.27,16.43,6.362391,656600
2016-03-29,15.99,16.129999,15.62,16.110001,6.418169,929900
2016-03-30,16.15,16.49,16.120001,16.219999,6.461989,809100
2016-03-31,16.190001,16.389999,16.15,16.299999,6.493863,597200
2016-04-01,16.24,16.280001,16.02,16.120001,6.422152,647600
2016-04-04,16.16,16.200001,15.94,16.01,6.378327,680400
2016-04-05,15.97,16.1,15.84,16.02,6.382313,467600
2016-04-06,16.07,16.139999,15.91,16.1,6.414184,517800
2016-04-07,16.049999,16.1,15.8,15.94,6.350439,830700
2016-04-08,16.0,16.08,15.83,15.84,6.310601,387200
2016-04-11,15.75,16.09,15.65,15.87,6.322551,1039900
2016-04-12,15.83,16.15,15.82,15.89,6.330519,703900
2016-04-13,15.95,16.049999,15.89,15.99,6.37036,389800
2016-04-14,16.0,16.049999,15.93,15.98,6.366376,463000
2016-04-15,15.98,16.02,15.82,15.95,6.354425,585200
2016-04-18,15.99,16.030001,15.87,15.97,6.362391,534500
2016-04-19,15.99,16.120001,15.95,16.08,6.406216,550200
2016-04-20,16.08,16.129999,15.88,15.9,6.334505,484300
2016-04-21,15.88,15.91,15.55,15.63,6.226936,751500
2016-04-22,15.71,15.79,15.61,15.7,6.254823,683200
2016-04-25,15.65,15.92,15.6,15.89,6.330519,672600
