Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.8,4.14,3.71,4.07,3.64375,173400
2016-01-05,4.13,4.17,4.04,4.12,3.688513,55700
2016-01-06,3.96,4.06,3.91,4.0,3.581081,101800
2016-01-07,3.96,4.17,3.95,4.07,3.64375,73000
2016-01-08,4.09,4.15,3.81,4.02,3.598987,41000
2016-01-11,4.06,4.15,4.02,4.05,3.625845,67600
2016-01-12,4.08,4.13,4.06,4.1,3.670609,36900
2016-01-13,4.11,4.15,4.01,4.05,3.625845,43500
2016-01-14,4.04,4.08,3.97,4.0,3.581081,71400
2016-01-15,3.92,3.96,3.83,3.94,3.527365,50000
2016-01-19,3.98,3.99,3.84,3.86,3.455743,49600
2016-01-20,3.73,3.8,3.66,3.77,3.375169,71300
2016-01-21,3.79,3.8,3.71,3.79,3.393075,65000
2016-01-22,3.8,4.07,3.79,3.93,3.518412,87800
2016-01-25,3.9,4.08,3.9,3.97,3.554223,84500
2016-01-26,3.94,4.08,3.81,4.01,3.590034,113300
2016-01-27,3.96,4.32,3.91,4.21,3.769088,114200
2016-01-28,4.22,4.29,4.19,4.21,3.769088,51700
2016-01-29,4.21,4.35,4.21,4.32,3.867568,65400
2016-02-01,4.26,4.38,4.16,4.32,3.867568,84100
2016-02-02,4.21,4.39,4.19,4.31,3.858615,68800
2016-02-03,4.34,4.34,4.28,4.3,3.849662,37700
2016-02-04,4.32,4.35,4.2,4.3,3.849662,54500
2016-02-05,4.26,4.35,4.19,4.31,3.858615,73700
2016-02-08,4.16,4.33,4.14,4.24,3.795945,64000
2016-02-09,4.13,4.39,4.12,4.17,3.733277,189000
2016-02-10,4.17,4.25,4.09,4.12,3.688513,210000
2016-02-11,3.89,4.03,3.89,3.94,3.527365,63200
2016-02-12,3.91,4.14,3.69,4.02,3.598987,50700
2016-02-16,4.11,4.23,4.08,4.16,3.724325,89000
2016-02-17,4.21,4.35,4.21,4.28,3.831757,60200
2016-02-18,4.22,4.52,4.21,4.38,3.921285,114200
2016-02-19,4.4,4.45,4.3,4.32,3.867568,61000
2016-02-22,4.38,4.43,4.35,4.35,3.894426,59500
2016-02-23,4.32,4.36,4.2,4.2,3.760135,55300
2016-02-24,4.13,4.3,4.11,4.27,3.822805,54600
2016-02-25,4.24,4.28,4.2,4.25,3.804899,36600
2016-02-26,4.24,4.29,4.24,4.27,3.822805,46900
2016-02-29,4.3,4.35,4.22,4.31,3.858615,97900
2016-03-01,4.3,4.4,4.3,4.4,3.939189,78300
2016-03-02,4.35,4.41,4.35,4.38,3.921285,51600
2016-03-03,4.41,4.49,4.38,4.45,3.983953,87300
2016-03-04,4.44,4.57,4.44,4.51,4.03767,67900
2016-03-07,4.5,4.72,4.49,4.65,4.163008,89000
2016-03-08,4.65,4.66,4.62,4.62,4.136149,40400
2016-03-09,4.65,4.76,4.65,4.68,4.189865,46200
2016-03-10,4.76,4.77,4.53,4.54,4.064527,69900
2016-03-11,4.23,4.72,4.14,4.69,4.198818,50300
2016-03-14,4.53,4.65,4.52,4.57,4.091386,63600
2016-03-15,4.52,4.57,4.41,4.51,4.03767,35800
2016-03-16,4.49,4.56,4.47,4.52,4.046622,41100
2016-03-17,4.51,4.55,4.43,4.49,4.019763,70700
2016-03-18,4.52,4.58,4.43,4.48,4.010811,35500
2016-03-21,4.49,4.61,4.49,4.54,4.064527,28200
2016-03-22,4.51,4.63,4.47,4.57,4.091386,52600
2016-03-23,4.6,4.63,4.49,4.58,4.100338,55000
2016-03-24,4.54,4.62,4.51,4.52,4.046622,26100
2016-03-28,4.53,4.65,4.52,4.59,4.109291,41000
2016-03-29,4.53,4.68,4.53,4.68,4.189865,36800
2016-03-30,4.75,4.75,4.39,4.68,4.189865,86200
2016-03-31,4.71,4.71,4.6,4.65,4.163008,32000
2016-04-01,4.59,4.71,4.39,4.68,4.189865,60700
2016-04-04,4.64,4.72,4.61,4.7,4.207771,32200
2016-04-05,4.62,4.7,4.59,4.68,4.189865,35700
2016-04-06,4.7,4.72,4.59,4.7,4.207771,68100
2016-04-07,4.59,4.62,4.48,4.54,4.064527,73100
2016-04-08,4.54,4.55,4.46,4.5,4.028716,64000
2016-04-11,4.51,4.59,4.51,4.51,4.03767,31300
2016-04-12,4.5,4.5,4.38,4.46,3.992906,58700
2016-04-13,4.53,4.54,4.42,4.44,3.975,59100
2016-04-14,4.43,4.47,4.32,4.34,3.885473,66500
2016-04-15,4.34,4.51,4.31,4.48,4.010811,36600
2016-04-18,4.44,4.51,4.41,4.41,3.948141,27900
2016-04-19,4.43,4.46,4.36,4.4,3.939189,27400
2016-04-20,4.38,4.41,4.31,4.36,3.903378,40100
2016-04-21,4.36,4.45,4.36,4.45,3.983953,31000
2016-04-22,4.47,4.48,4.2,4.41,3.948141,38000
2016-04-25,4.36,4.52,4.25,4.26,3.813852,43800
2016-04-26,4.15,4.38,4.15,4.37,3.912332,48500
2016-04-27,4.38,4.53,4.36,4.51,4.03767,54400
2016-04-28,4.51,4.51,4.38,4.38,3.921285,37500
2016-04-29,4.4,4.45,4.33,4.35,3.894426,22000
2016-05-02,4.33,4.34,4.16,4.28,3.831757,71900
2016-05-03,4.16,4.21,3.95,4.02,3.598987,87700
2016-05-04,3.97,4.25,3.96,4.25,3.804899,112300
2016-05-05,4.11,4.11,3.88,3.88,3.473649,54600
2016-05-06,3.9,3.98,3.84,3.96,3.545271,59200
2016-05-09,3.96,3.96,3.86,3.91,3.500507,72900
2016-05-10,3.9,3.94,3.83,3.92,3.50946,45700
