Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.21,7.24,7.08,7.23,4.684792,3052200
2016-01-05,7.23,7.24,7.11,7.19,4.658873,2738500
2016-01-06,6.98,7.04,6.95,7.0,4.53576,2256900
2016-01-07,6.83,6.93,6.82,6.85,4.494424,2809700
2016-01-08,6.87,6.89,6.69,6.69,4.389445,3232400
2016-01-11,6.77,6.82,6.72,6.77,4.441934,2858700
2016-01-12,6.84,6.86,6.72,6.81,4.468178,2062100
2016-01-13,6.82,6.85,6.6,6.62,4.343516,7301900
2016-01-14,6.68,6.8,6.6,6.76,4.435373,2709600
2016-01-15,6.55,6.59,6.41,6.46,4.238537,3106200
2016-01-19,6.42,6.44,6.31,6.37,4.179486,4169300
2016-01-20,6.22,6.24,6.06,6.2,4.067946,4300200
2016-01-21,6.2,6.32,6.13,6.28,4.120436,2408500
2016-01-22,6.48,6.53,6.44,6.51,4.271343,5037400
2016-01-25,6.3,6.33,6.23,6.26,4.107313,3692500
2016-01-26,6.34,6.49,6.33,6.48,4.25166,2970000
2016-01-27,6.4,6.49,6.37,6.38,4.186048,1914000
2016-01-28,6.35,6.38,6.22,6.31,4.14012,3321500
2016-01-29,6.38,6.47,6.33,6.47,4.245099,2874600
2016-02-01,6.34,6.4,6.29,6.37,4.179486,2798000
2016-02-02,6.18,6.18,6.05,6.08,3.989211,3171000
2016-02-03,6.09,6.19,5.89,6.18,4.054823,3813400
2016-02-04,6.19,6.51,6.19,6.51,4.271343,3112900
2016-02-05,6.56,6.63,6.53,6.58,4.317271,2187700
2016-02-08,6.31,6.33,6.21,6.29,4.126997,3965600
2016-02-09,6.03,6.14,5.98,6.09,3.995772,4960900
2016-02-10,6.31,6.42,6.25,6.31,4.14012,2698300
2016-02-11,6.02,6.08,5.91,5.97,3.917038,4547100
2016-02-12,6.09,6.23,5.99,6.22,4.081068,2207600
2016-02-16,6.37,6.37,6.24,6.3,4.133558,1766000
2016-02-17,6.44,6.56,6.43,6.54,4.291027,3057600
2016-02-18,6.46,6.46,6.25,6.28,4.120436,1780500
2016-02-19,6.11,6.2,6.06,6.17,4.048262,2720600
2016-02-22,6.28,6.36,6.27,6.35,4.166364,1513600
2016-02-23,6.3,6.31,6.15,6.18,4.054823,1571200
2016-02-24,5.94,6.01,5.86,6.01,3.943283,2916700
2016-02-25,6.06,6.09,5.99,6.08,3.989211,2827100
