Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,49.650002,50.09,48.869999,49.919998,43.90929,1107600
2016-01-05,49.919998,50.310001,49.049999,49.310001,43.372726,1011100
2016-01-06,48.57,49.130001,47.950001,48.130001,42.33482,1128000
2016-01-07,47.290001,47.59,46.450001,46.459999,40.865902,1165800
2016-01-08,46.720001,46.740002,45.43,45.5,40.021481,1345800
2016-01-11,45.080002,45.349998,43.43,44.52,39.159485,2111500
2016-01-12,44.84,45.720001,44.48,45.459999,39.986301,1733900
2016-01-13,45.549999,45.650002,42.869999,42.93,37.760929,1658000
2016-01-14,42.93,43.02,40.720001,40.990002,36.054508,3732700
2016-01-15,39.869999,39.869999,36.889999,37.98,33.406948,4409900
2016-01-19,38.419998,39.369999,37.860001,38.060001,33.47731,1804200
2016-01-20,37.419998,38.900002,36.049999,38.490002,33.855537,2351200
2016-01-21,41.779999,42.610001,40.650002,41.459999,36.467918,3753800
2016-01-22,42.5,43.459999,41.400002,42.23,37.145214,1573800
2016-01-25,42.23,42.900002,41.84,42.189999,37.110039,1364400
2016-01-26,43.080002,43.139999,41.919998,42.259998,37.171597,1827400
2016-01-27,42.68,43.259998,41.91,42.16,37.083641,1436200
2016-01-28,43.279999,44.799999,38.470001,39.950001,35.13974,3790100
2016-01-29,39.950001,40.32,38.549999,39.849998,35.051777,4188400
2016-02-01,39.369999,39.57,38.639999,39.299999,34.568005,1992400
2016-02-02,39.09,39.189999,37.990002,38.34,33.723602,1872600
2016-02-03,38.84,39.0,37.310001,38.470001,33.837936,2399000
2016-02-04,38.5,40.549999,38.5,40.41,35.544357,3414400
2016-02-05,40.080002,40.990002,39.48,39.919998,35.11335,2433300
2016-02-08,38.900002,39.189999,37.849998,38.720001,34.057835,1719100
2016-02-09,38.34,39.200001,38.119999,38.66,34.005066,1447500
2016-02-10,38.869999,40.349998,38.709999,39.540001,34.779106,1796500
2016-02-11,38.560001,38.98,38.080002,38.5,33.86433,1618300
2016-02-12,39.299999,39.970001,38.93,39.580002,34.814293,1359000
2016-02-16,40.139999,40.330002,39.549999,39.959999,35.14854,2025800
2016-02-17,40.41,42.959999,40.080002,42.779999,37.628983,2199600
2016-02-18,43.009998,43.110001,41.869999,42.290001,37.197987,1547900
2016-02-19,41.98,42.32,41.439999,42.220001,37.268623,928000
2016-02-22,42.779999,44.130001,42.740002,44.040001,38.875179,1591400
2016-02-23,43.82,44.380001,42.709999,42.860001,37.833561,1107100
2016-02-24,41.990002,42.009998,40.759998,41.73,36.836067,2036000
2016-02-25,41.939999,42.48,41.68,42.48,37.498123,1107200
2016-02-26,42.919998,43.27,42.220001,42.540001,37.551086,1402900
2016-02-29,42.610001,43.169998,42.52,42.540001,37.551086,829400
2016-03-01,43.009998,44.189999,42.599998,44.18,38.998741,1130200
2016-03-02,43.889999,44.619999,43.310001,44.490002,39.272396,1292600
2016-03-03,44.360001,44.57,43.73,44.540001,39.316536,818200
2016-03-04,44.509998,45.07,44.0,44.91,39.643135,1120100
2016-03-07,44.59,45.360001,44.48,45.009998,39.731411,994400
2016-03-08,45.009998,45.009998,42.630001,42.720001,37.709969,1200000
2016-03-09,42.98,43.540001,42.48,43.459999,38.363194,1048800
2016-03-10,43.619999,44.029999,43.0,43.619999,38.50441,945200
2016-03-11,44.41,45.459999,44.23,45.040001,39.757885,1311700
2016-03-14,44.790001,45.68,44.689999,44.939999,39.669624,894700
2016-03-15,44.610001,44.630001,43.82,44.029999,38.866337,523600
2016-03-16,43.990002,45.59,43.849998,45.279999,39.969742,782800
2016-03-17,45.23,46.869999,44.970001,46.580002,41.117283,1397200
2016-03-18,46.799999,48.220001,46.720001,47.150002,41.620438,1489600
2016-03-21,47.139999,47.48,46.790001,47.220001,41.682236,962700
2016-03-22,46.869999,47.959999,46.849998,47.73,42.132412,1380500
