Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.02,7.09,6.97,7.08,3.944205,370100
2016-01-05,7.11,7.15,7.03,7.07,3.938636,339300
2016-01-06,6.91,6.94,6.75,6.8,3.788219,627900
2016-01-07,6.69,6.74,6.55,6.59,3.67123,609100
2016-01-08,6.61,6.64,6.49,6.53,3.637805,504500
2016-01-11,6.51,6.54,6.18,6.26,3.487391,1022900
2016-01-12,6.34,6.37,6.11,6.22,3.465106,1045400
2016-01-13,6.18,6.28,6.01,6.06,3.412179,576600
2016-01-14,6.08,6.24,6.01,6.19,3.485377,817500
2016-01-15,5.99,6.07,5.95,6.01,3.384024,674700
2016-01-19,6.03,6.06,5.89,5.92,3.333349,512600
2016-01-20,5.8,5.83,5.57,5.75,3.237628,584000
2016-01-21,5.71,5.94,5.67,5.91,3.327719,788300
2016-01-22,6.06,6.12,6.0,6.1,3.434703,732300
2016-01-25,6.03,6.09,5.95,5.96,3.355871,568200
2016-01-26,6.03,6.23,6.02,6.19,3.485377,620000
2016-01-27,6.16,6.26,6.11,6.13,3.451593,270600
2016-01-28,6.22,6.29,6.16,6.26,3.524792,711900
2016-01-29,6.3,6.44,6.26,6.43,3.620513,556100
2016-02-01,6.36,6.44,6.31,6.42,3.614881,483700
2016-02-02,6.1,6.24,6.06,6.18,3.479748,506400
2016-02-03,6.22,6.39,6.14,6.38,3.592361,402000
2016-02-04,6.44,6.6,6.43,6.59,3.710603,566700
2016-02-05,6.53,6.62,6.48,6.51,3.665558,265100
2016-02-08,6.39,6.44,6.29,6.44,3.626144,420100
2016-02-09,6.34,6.39,6.24,6.29,3.541684,486300
2016-02-10,6.28,6.41,6.24,6.36,3.581099,836200
2016-02-11,6.16,6.23,6.09,6.18,3.516237,273200
2016-02-12,6.29,6.42,6.2,6.37,3.62434,571600
2016-02-16,6.47,6.47,6.33,6.42,3.652788,306200
2016-02-17,6.46,6.64,6.46,6.62,3.766584,273900
2016-02-18,6.75,6.78,6.58,6.63,3.772273,385300
2016-02-19,6.61,6.61,6.47,6.61,3.760893,378100
2016-02-22,6.76,6.78,6.69,6.77,3.851925,603900
2016-02-23,6.77,6.77,6.57,6.6,3.755202,348200
2016-02-24,6.54,6.62,6.47,6.62,3.766584,429300
2016-02-25,6.59,6.68,6.54,6.67,3.795031,379400
2016-02-26,6.75,6.77,6.68,6.74,3.834858,462400
2016-02-29,6.79,6.84,6.69,6.73,3.829171,483800
2016-03-01,6.79,6.9,6.75,6.86,3.903136,454800
2016-03-02,6.73,6.94,6.67,6.94,3.948654,903400
2016-03-03,6.94,7.05,6.91,6.98,3.971411,789800
2016-03-04,7.0,7.18,6.95,7.08,4.028308,641500
2016-03-07,7.09,7.25,7.09,7.21,4.102276,683200
2016-03-08,7.2,7.2,6.97,7.01,3.98848,716400
2016-03-09,7.09,7.16,7.03,7.13,4.056759,372000
2016-03-10,7.17,7.17,7.04,7.1,4.039688,335700
2016-03-11,7.16,7.25,7.14,7.17,4.105537,402600
2016-03-14,7.15,7.2,7.11,7.15,4.094083,452700
2016-03-15,7.1,7.13,7.02,7.11,4.071183,380300
2016-03-16,7.15,7.31,7.09,7.31,4.1857,319100
2016-03-17,7.35,7.46,7.21,7.4,4.237236,602200
2016-03-18,7.43,7.48,7.34,7.43,4.254411,468700
2016-03-21,7.46,7.48,7.34,7.41,4.242959,301500
2016-03-22,7.35,7.43,7.32,7.41,4.242959,279400
2016-03-23,7.32,7.36,7.22,7.22,4.134169,184900
2016-03-24,7.14,7.19,6.96,7.13,4.082635,335700
2016-03-28,7.12,7.15,7.11,7.13,4.082635,219300
2016-03-29,7.11,7.19,7.06,7.18,4.111265,351800
2016-03-30,7.2,7.29,7.18,7.23,4.139894,266900
2016-03-31,7.26,7.3,7.15,7.21,4.128442,562600
2016-04-01,7.15,7.16,7.11,7.15,4.094083,284100
2016-04-04,7.17,7.17,7.06,7.06,4.042552,242300
2016-04-05,7.03,7.04,6.95,6.98,3.996742,414700
2016-04-06,7.04,7.14,6.99,7.07,4.048277,232000
2016-04-07,7.09,7.12,7.0,7.0,4.008196,318200
2016-04-08,7.1,7.18,7.08,7.08,4.054003,203300
2016-04-11,7.14,7.25,7.13,7.2,4.122715,351500
2016-04-12,7.21,7.41,7.21,7.37,4.220056,437900
2016-04-13,7.29,7.4,7.28,7.38,4.251742,456200
2016-04-14,7.4,7.4,7.33,7.35,4.234458,244100
2016-04-15,7.27,7.36,7.2,7.27,4.188372,311400
2016-04-18,7.19,7.38,7.18,7.38,4.251742,265700
