Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,222.5,290.0,222.5,265.0,265.0,53
2016-01-05,290.0,292.5,252.5,260.0,260.0,50
2016-01-06,272.5,280.0,232.5,232.5,232.5,24
2016-01-07,237.5,260.0,237.5,242.5,242.5,13
2016-01-08,262.5,262.5,237.5,237.5,237.5,6
2016-01-11,267.5,267.5,250.0,250.0,250.0,10
2016-01-12,250.0,250.0,235.0,235.0,235.0,31
2016-01-13,237.5,240.0,200.0,210.0,210.0,178
2016-01-14,225.0,242.5,225.0,242.5,242.5,70
2016-01-15,252.5,262.5,240.0,242.5,242.5,55
2016-01-19,242.5,242.5,242.5,242.5,242.5,2
2016-01-20,242.5,260.0,212.5,212.5,212.5,46
2016-01-21,232.5,232.5,212.5,212.5,212.5,8
2016-01-22,237.5,237.5,220.0,220.0,220.0,18
2016-01-25,230.0,235.0,225.0,225.0,225.0,7
2016-01-26,225.0,230.0,222.5,225.0,225.0,19
2016-01-27,237.5,237.5,237.5,237.5,237.5,7
2016-01-28,232.5,235.0,210.0,232.5,232.5,8
2016-01-29,220.0,230.0,220.0,222.5,222.5,6
2016-02-01,232.5,232.5,227.5,227.5,227.5,6
2016-02-02,235.0,275.0,212.5,217.5,217.5,155
2016-02-03,210.0,225.0,210.0,225.0,225.0,10
2016-02-04,212.5,212.5,190.0,202.5,202.5,233
2016-02-05,135.0,182.5,107.5,175.0,175.0,85
2016-02-08,172.5,180.0,172.5,180.0,180.0,2
2016-02-09,150.0,187.5,150.0,155.0,155.0,22
2016-02-10,170.0,195.0,162.5,195.0,195.0,3
2016-02-11,187.5,190.0,187.5,190.0,190.0,5
2016-02-12,212.5,222.5,187.5,212.5,212.5,82
2016-02-16,222.5,222.5,205.0,220.0,220.0,15
2016-02-17,212.5,225.0,210.0,225.0,225.0,25
2016-02-18,220.0,220.0,190.0,210.0,210.0,64
2016-02-19,220.0,232.5,212.5,232.5,232.5,33
2016-02-22,232.5,232.5,227.5,232.5,232.5,16
2016-02-23,232.5,232.5,232.5,232.5,232.5,8
2016-02-24,227.5,227.5,227.5,227.5,227.5,8
2016-02-25,230.0,232.5,230.0,230.0,230.0,33
2016-02-26,230.0,235.0,230.0,235.0,235.0,5
2016-02-29,235.0,235.0,212.5,222.5,222.5,13
2016-03-01,225.0,235.0,220.0,220.0,220.0,166
2016-03-02,235.0,235.0,215.0,222.5,222.5,11
2016-03-03,232.5,235.0,217.5,225.0,225.0,53
2016-03-04,235.0,235.0,215.0,215.0,215.0,34
2016-03-07,210.0,212.5,210.0,212.5,212.5,6
2016-03-08,202.5,210.0,202.5,210.0,210.0,8
2016-03-09,220.0,227.5,207.5,217.5,217.5,15
2016-03-10,217.5,217.5,217.5,217.5,217.5,0
2016-03-11,212.5,220.0,212.5,220.0,220.0,4
2016-03-14,210.0,210.0,205.0,205.0,205.0,76
2016-03-15,195.0,202.5,195.0,202.5,202.5,7
2016-03-16,202.5,202.5,202.5,202.5,202.5,0
2016-03-17,202.5,202.5,202.5,202.5,202.5,0
2016-03-18,197.5,205.0,197.5,205.0,205.0,3
2016-03-21,215.0,215.0,212.5,212.5,212.5,28
2016-03-22,212.5,217.5,212.5,217.5,217.5,14
2016-03-23,202.5,215.0,202.5,205.0,205.0,15
2016-03-24,192.5,202.5,192.5,202.5,202.5,3
2016-03-28,195.0,197.5,190.0,195.0,195.0,41
2016-03-29,202.5,202.5,192.5,192.5,192.5,6
2016-03-30,200.0,202.5,197.5,202.5,202.5,33
2016-03-31,197.5,210.0,197.5,210.0,210.0,12
2016-04-01,212.5,212.5,197.5,210.0,210.0,21
2016-04-04,210.0,215.0,210.0,215.0,215.0,78
2016-04-05,215.0,215.0,215.0,215.0,215.0,0
2016-04-06,215.0,215.0,215.0,215.0,215.0,0
2016-04-07,205.0,207.5,205.0,207.5,207.5,6
2016-04-08,217.5,217.5,210.0,210.0,210.0,6
2016-04-11,212.5,212.5,212.5,212.5,212.5,0
