Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,67.449997,67.910004,66.379997,67.029999,51.913082,7113700
2016-01-05,67.5,68.900002,67.419998,68.349998,52.935375,7836700
2016-01-06,67.470001,68.269997,66.849998,67.150002,52.006016,6691400
2016-01-07,65.849998,66.690002,64.949997,65.290001,50.565487,8436600
2016-01-08,65.599998,65.790001,63.5,63.630001,49.279865,9076400
2016-01-11,63.709999,63.990002,61.98,62.98,48.776451,10337800
2016-01-12,63.25,63.790001,62.119999,63.439999,49.132713,7796200
2016-01-13,63.599998,64.480003,61.189999,61.279999,47.459835,9706400
2016-01-14,61.32,63.91,60.889999,63.509998,49.186924,9343600
2016-01-15,61.689999,62.919998,61.07,62.779999,48.621548,11230600
2016-01-19,63.610001,64.43,62.560001,63.209999,48.954586,8463200
2016-01-20,62.240002,64.580002,61.799999,63.549999,49.217896,8702900
2016-01-21,63.939999,63.970001,62.5,63.130001,48.892628,5665200
2016-01-22,64.459999,64.800003,63.650002,64.400002,49.876202,6644000
2016-01-25,64.230003,64.419998,62.639999,62.919998,48.729977,7957100
2016-01-26,63.029999,63.049999,61.919998,62.689999,48.551857,5531500
2016-01-27,62.939999,62.950001,61.16,61.709999,47.792858,7537400
2016-01-28,64.169998,64.25,60.0,61.16,47.366901,17001400
2016-01-29,61.650002,62.639999,61.16,62.16,48.14138,10139300
2016-02-01,61.869999,62.360001,60.049999,60.82,47.103577,10195800
2016-02-02,60.029999,60.299999,58.459999,58.869999,45.593349,9915400
2016-02-03,59.200001,60.18,57.939999,60.119999,46.561436,11153900
2016-02-04,59.619999,60.75,59.189999,59.700001,46.236179,7987200
2016-02-05,59.75,60.060001,58.990002,59.630001,46.181953,7129500
2016-02-08,59.040001,61.169998,58.77,60.720001,47.026134,10656000
2016-02-09,60.27,61.98,60.029999,61.02,47.25848,6391900
2016-02-10,61.25,62.419998,60.919998,61.080002,47.304947,5933600
2016-02-11,59.880001,60.25,58.939999,59.52,46.096767,6632300
2016-02-12,60.200001,60.41,59.16,60.200001,46.623405,5979600
2016-02-16,62.720001,62.720001,61.349998,62.18,48.156876,7808000
2016-02-17,62.889999,64.019997,61.959999,63.919998,49.504463,6971400
2016-02-18,63.950001,64.019997,62.91,63.32,49.039772,6338700
2016-02-19,62.919998,64.540001,62.91,63.799999,49.41153,5873200
2016-02-22,63.900002,64.419998,63.330002,63.700001,49.334068,5821700
2016-02-23,63.279999,63.349998,62.02,62.07,48.071678,6293900
2016-02-24,61.84,62.360001,60.830002,62.23,48.195606,4825800
2016-02-25,62.630001,63.060001,62.299999,63.029999,48.815178,4499900
2016-02-26,63.349998,63.580002,62.240002,62.25,48.211075,5345100
2016-02-29,62.259998,62.73,61.919998,61.93,47.963249,7416300
2016-03-01,62.310001,64.239998,61.919998,64.220001,49.736801,5203800
2016-03-02,64.18,65.089996,63.709999,64.900002,50.263443,6150500
2016-03-03,64.489998,65.239998,63.639999,65.0,50.340893,8198200
2016-03-04,65.0,65.290001,64.169998,64.709999,50.116287,7112000
2016-03-07,64.5,66.629997,64.449997,66.489998,51.494862,6979800
2016-03-08,66.110001,66.360001,65.730003,66.260002,51.31673,6494600
2016-03-09,66.660004,66.68,64.949997,65.540001,50.759113,5431200
2016-03-10,66.169998,66.260002,64.480003,64.940002,50.294418,5992100
2016-03-11,65.18,65.589996,64.540001,64.959999,50.309902,7107600
2016-03-14,64.68,64.699997,64.010002,64.120003,49.659355,5721800
2016-03-15,63.970001,64.279999,63.32,63.68,49.318581,5400300
2016-03-16,63.380001,64.32,62.209999,62.639999,48.513134,8666400
2016-03-17,62.52,62.610001,60.98,61.470001,47.606995,9640100
2016-03-18,61.540001,62.830002,61.0,62.830002,48.660282,17343800
2016-03-21,62.529999,62.880001,62.130001,62.700001,48.559601,4002100
2016-03-22,62.580002,63.25,62.380001,62.799999,48.637043,5756300
2016-03-23,63.080002,63.080002,62.259998,62.34,48.280785,3651500
2016-03-24,62.18,62.560001,61.73,62.52,48.4202,5342100
2016-03-28,62.580002,63.150002,62.220001,62.77,48.613811,4699300
2016-03-29,62.450001,64.449997,62.330002,64.190002,49.71357,6146300
2016-03-30,63.959999,64.160004,63.200001,63.439999,49.425304,4489200
2016-03-31,63.599998,64.040001,63.299999,63.880001,49.768105,5811600
2016-04-01,63.66,65.190002,63.5,64.910004,50.570557,5804400
2016-04-04,65.010002,66.330002,64.769997,65.970001,51.396389,5726500
2016-04-05,65.830002,66.800003,65.599998,65.760002,51.232777,4340100
2016-04-06,65.760002,67.139999,65.760002,66.540001,51.840462,5743900
2016-04-07,66.050003,66.629997,65.599998,66.279999,51.637917,6309200
2016-04-08,66.830002,66.93,65.639999,66.07,51.474308,4404500
2016-04-11,66.199997,66.489998,65.769997,65.980003,51.40419,3545800
2016-04-12,65.959999,67.290001,65.860001,66.839996,52.074203,4394100
2016-04-13,67.0,67.660004,66.419998,67.57,52.642921,5643600
2016-04-14,67.660004,68.309998,67.519997,67.870003,52.876659,3456900
2016-04-15,67.940002,68.300003,67.57,68.050003,53.016891,3247400
2016-04-18,68.080002,68.949997,67.589996,68.860001,53.647957,3346300
2016-04-19,68.849998,69.739998,68.190002,68.910004,53.686901,4019900
2016-04-20,69.18,69.550003,68.410004,69.230003,53.936207,6918800
2016-04-21,69.019997,70.239998,68.879997,70.160004,54.660778,5420500
2016-04-22,70.25,71.07,70.25,70.68,55.065895,5804000
2016-04-25,70.610001,70.830002,70.040001,70.629997,55.026932,4231400
2016-04-26,70.639999,71.07,70.129997,70.860001,55.206127,4608400
2016-04-27,70.860001,71.0,68.610001,70.230003,54.715313,7572200
2016-04-28,71.779999,73.059998,69.5,72.260002,56.296856,13740700
2016-04-29,72.059998,72.690002,71.370003,72.18,56.234516,9503400
2016-05-02,72.190002,72.339996,71.489998,71.959999,56.063133,7739100
2016-05-03,71.949997,72.029999,70.75,71.129997,55.416477,5758700
2016-05-04,70.419998,70.949997,70.139999,70.779999,55.143806,6835200
2016-05-05,70.559998,71.190002,70.040001,71.150002,55.432072,6368300
2016-05-06,71.0,71.5,69.879997,71.220001,55.486599,4770100
2016-05-09,71.339996,71.980003,71.290001,71.339996,55.580101,5283500
2016-05-10,71.75,71.75,70.849998,71.529999,55.728107,5758800
2016-05-11,71.32,71.519997,70.599998,70.809998,55.167183,5356500
2016-05-12,71.040001,71.389999,70.589996,71.279999,55.533348,4922600
2016-05-13,71.269997,71.900002,71.0,71.18,55.455448,3935200
2016-05-16,71.419998,73.010002,71.019997,72.830002,56.740936,5030700
2016-05-17,72.230003,72.970001,70.900002,71.209999,55.478817,10779600
2016-05-18,70.910004,71.800003,70.639999,71.089996,55.385319,5071000
2016-05-19,70.629997,71.0,69.559998,70.330002,54.793217,5425000
2016-05-20,70.550003,71.160004,70.32,70.769997,55.136005,5164000
2016-05-23,70.93,71.0,69.610001,70.400002,54.847748,5905300
2016-05-24,70.940002,71.440002,70.830002,71.230003,55.494411,3878800
2016-05-25,71.300003,71.57,70.540001,70.690002,55.073708,5810100
2016-05-26,70.540001,70.980003,70.290001,70.730003,55.104858,3995000
2016-05-27,70.940002,71.540001,70.709999,71.309998,55.556717,3630900
2016-05-31,71.360001,71.879997,70.940002,71.699997,55.860565,7162500
2016-06-01,71.709999,72.110001,71.400002,71.870003,55.993011,3726000
2016-06-02,71.919998,73.0,71.790001,73.0,56.873383,4610800
2016-06-03,72.760002,73.370003,72.330002,72.889999,56.787693,5039500
2016-06-06,73.419998,75.120003,73.410004,74.290001,57.878418,9599500
2016-06-07,74.239998,74.650002,73.690002,73.910004,57.582355,5037500
2016-06-08,73.959999,73.989998,73.279999,73.410004,57.192787,5702700
2016-06-09,73.370003,73.709999,72.639999,72.730003,56.663025,5693700
2016-06-10,72.5,72.980003,72.18,72.650002,56.600712,5007100
2016-06-13,72.669998,73.169998,72.0,72.220001,56.265697,4726800
2016-06-14,72.220001,73.150002,72.160004,73.099998,56.95129,4691900
2016-06-15,73.25,73.760002,72.489998,72.57,56.538376,5390100
2016-06-16,72.349998,72.519997,70.769997,71.730003,55.883938,10778200
2016-06-17,72.0,72.0,70.129997,70.669998,55.058098,15007700
2016-06-20,71.330002,71.75,70.959999,70.959999,55.284046,5165800
2016-06-21,71.160004,71.5,70.360001,71.25,55.509972,6450900
2016-06-22,71.25,73.440002,71.220001,72.309998,56.335823,8093800
2016-06-23,72.860001,72.910004,72.150002,72.639999,56.592896,5624500
2016-06-24,70.75,71.849998,70.529999,70.610001,55.011364,7414100
2016-06-27,70.389999,71.129997,70.089996,70.32,54.785431,7473500
2016-06-28,70.949997,72.080002,70.669998,72.010002,56.102074,7066400
2016-06-29,72.120003,73.169998,71.959999,73.0,57.175095,6539800
2016-06-30,73.099998,73.75,72.709999,73.550003,57.605873,5763900
2016-07-01,73.660004,74.160004,73.330002,73.779999,57.786007,3123100
2016-07-05,73.75,74.190002,73.290001,73.779999,57.786007,4255900
2016-07-06,74.010002,74.059998,72.870003,73.860001,57.848671,6517600
2016-07-07,73.849998,74.150002,73.629997,74.080002,58.020981,4056700
2016-07-08,74.290001,75.720001,74.0,75.279999,58.960835,5428100
2016-07-11,75.300003,75.839996,75.029999,75.389999,59.046978,5278000
2016-07-12,75.480003,76.550003,75.480003,76.199997,59.681377,5934800
2016-07-13,76.690002,76.889999,76.099998,76.580002,59.979023,4651000
2016-07-14,76.790001,76.919998,76.290001,76.769997,60.127834,4352600
2016-07-15,77.110001,77.120003,75.080002,76.0,59.524765,7523600
2016-07-18,76.269997,76.360001,75.620003,75.959999,59.49342,3793900
2016-07-19,75.900002,76.190002,75.43,75.470001,59.109646,3693200
2016-07-20,75.709999,76.040001,75.540001,75.720001,59.305458,3949500
2016-07-21,75.610001,76.080002,75.150002,75.5,59.133152,3376600
2016-07-22,75.5,75.980003,75.0,75.68,59.274132,5276200
2016-07-25,75.699997,75.75,75.07,75.559998,59.180134,3989000
2016-07-26,75.779999,75.870003,74.889999,75.059998,58.788528,3826400
2016-07-27,75.199997,76.800003,75.010002,76.470001,59.892879,5542600
2016-07-28,75.410004,76.480003,74.5,74.660004,58.475246,7412600
2016-07-29,74.57,75.160004,74.220001,74.809998,58.59272,4861100
2016-08-01,75.129997,76.300003,74.889999,76.190002,59.673565,5081900
2016-08-02,76.019997,76.07,74.709999,75.050003,58.780693,4479000
2016-08-03,74.93,75.059998,74.25,74.800003,58.584904,4349600
2016-08-04,74.959999,75.620003,74.57,75.32,58.992172,3474900
2016-08-05,62.0,64.769997,61.560001,63.279999,49.562191,86212600
2016-08-08,63.5,63.650002,60.0,60.299999,47.228195,60132800
2016-08-09,60.650002,62.25,60.57,61.610001,48.254211,25005600
2016-08-10,61.77,61.830002,60.5,60.580002,47.447491,14455100
2016-08-11,60.700001,61.130001,60.25,60.970001,47.752953,14576300
2016-08-12,61.23,61.299999,60.610001,60.630001,47.486652,9376500
2016-08-15,60.740002,60.860001,60.009998,60.029999,47.016724,12142900
2016-08-16,60.02,60.389999,59.299999,59.41,46.531132,13273700
2016-08-17,59.5,59.52,58.07,58.299999,45.661747,21007400
2016-08-18,58.27,59.48,58.259998,58.68,45.959373,14693300
2016-08-19,58.740002,59.349998,58.529999,59.290001,46.437138,12134900
2016-08-22,59.650002,59.68,59.009998,59.259998,46.413654,11133600
2016-08-23,59.509998,60.040001,59.299999,59.860001,46.883575,10583000
2016-08-24,59.799999,60.0,58.400002,58.59,45.888878,13198700
2016-08-25,58.59,59.41,58.360001,58.759998,46.022034,9116500
2016-08-26,58.759998,59.400002,58.540001,58.77,46.029861,7845200
2016-08-29,58.889999,59.139999,58.459999,58.759998,46.022034,6573300
2016-08-30,58.970001,58.970001,57.16,57.240002,44.831543,16800500
2016-08-31,57.369999,57.509998,56.919998,57.389999,44.949013,12533900
2016-09-01,57.599998,57.619999,56.490002,56.759998,44.455601,12873900
2016-09-02,56.93,56.93,55.110001,56.349998,44.134468,34001000
2016-09-06,56.689999,57.130001,56.119999,56.959999,44.612232,11710600
2016-09-07,57.02,57.450001,56.419998,56.57,44.306774,11719300
2016-09-08,56.630001,57.25,56.279999,56.810001,44.494751,11571500
2016-09-09,56.599998,57.009998,55.66,55.66,43.594051,12349600
2016-09-12,55.299999,56.439999,55.02,56.32,44.110985,9958900
2016-09-13,56.080002,56.130001,55.09,55.599998,43.547062,9473400
2016-09-14,55.849998,56.09,55.110001,55.23,43.257259,9007200
2016-09-15,55.349998,56.34,55.27,55.970001,43.836853,9835200
2016-09-16,56.220001,56.41,55.529999,55.599998,43.547062,12082900
2016-09-19,55.950001,55.970001,55.02,55.080002,43.139771,10517400
2016-09-20,55.349998,56.279999,55.16,55.560001,43.51572,9940200
