Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,53.0,85.0,53.0,62.099998,60.91394,162200
2021-06-29,58.0,59.139,54.0,57.0,55.91135,195900
2021-06-30,58.400002,58.400002,51.540001,52.02,51.026455,250100
2021-07-01,52.0,54.93,52.0,52.700001,51.693474,290400
2021-07-02,51.970001,53.32,51.330002,52.48,51.477673,284800
2021-07-06,52.25,52.25,51.0,51.299999,50.320213,214900
2021-07-07,51.0,52.290001,50.91,51.02,50.045559,106600
2021-07-08,50.43,51.060001,49.439999,50.880001,49.908237,214300
2021-07-09,50.950001,52.450001,50.950001,52.119999,51.124554,97000
2021-07-12,52.02,52.029999,51.299999,51.34,50.359447,149900
2021-07-13,51.040001,51.240002,50.599998,51.029999,50.05537,125400
2021-07-14,51.060001,51.990002,51.060001,51.290001,50.310402,190500
2021-07-15,50.970001,51.400002,50.700001,51.25,50.271164,98100
2021-07-16,51.290001,51.360001,50.0,50.330002,49.368744,95500
2021-07-19,49.619999,49.619999,47.98,48.330002,47.406944,90700
2021-07-20,48.459999,49.700001,48.360001,49.57,48.623253,92800
2021-07-21,49.650002,51.580002,49.650002,51.16,50.182888,70200
2021-07-22,51.23,52.25,51.23,52.139999,51.144165,70500
2021-07-23,52.32,52.799999,51.630001,51.779999,50.791042,56000
2021-07-26,51.779999,51.830002,50.854,51.049999,50.074989,128000
2021-07-27,51.209999,52.849998,50.772999,52.630001,51.624809,63100
2021-07-28,52.77,54.27,52.75,53.950001,52.919609,42500
2021-07-29,53.98,55.27,53.709999,54.990002,53.939743,59600
2021-07-30,54.790001,55.119999,54.080002,54.200001,53.164825,39400
2021-08-02,54.0,54.898998,54.0,54.349998,53.311958,32800
2021-08-03,54.130001,54.689999,53.98,54.529999,53.488525,137000
2021-08-04,54.139999,56.424999,54.139999,55.599998,54.53809,39400
2021-08-05,55.290001,56.380001,55.290001,56.310001,55.234531,26500
2021-08-06,56.459999,57.560001,56.459999,57.470001,56.372375,107600
2021-08-09,57.98,58.09,56.904999,57.98,56.872627,128900
2021-08-10,58.0,58.919998,58.0,58.689999,57.569073,126600
2021-08-11,58.810001,59.860001,58.601002,59.860001,58.716724,68800
2021-08-12,59.900002,60.0,57.790001,59.959999,58.814812,148900
2021-08-13,61.700001,65.849998,59.900002,61.509998,60.335213,103200
2021-08-16,61.740002,62.049999,61.277,61.779999,60.600052,70700
2021-08-17,61.23,62.139999,59.549999,59.790001,58.648064,75800
2021-08-18,59.669998,61.439999,59.556999,60.950001,59.785908,77300
2021-08-19,60.57,60.775002,59.794998,60.220001,59.069851,74400
