Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,13.5,13.75,13.5,13.75,8.89384,6900
2018-07-19,14.5,14.5,14.5,14.5,9.378961,400
2018-07-20,14.5,16.0,14.5,16.0,10.349196,2900
2018-07-23,16.0,16.0,16.0,16.0,10.349196,200
2018-07-24,14.5,14.5,14.5,14.5,9.378961,400
2018-07-25,17.0,17.0,14.5,14.5,9.378961,3400
2018-07-26,13.25,14.1,12.9,13.25,8.57043,5064700
2018-07-27,13.06,13.99,12.51,13.29,8.596301,1036900
2018-07-30,13.23,13.84,13.23,13.8,8.926181,845100
2018-07-31,13.87,13.95,13.65,13.75,8.89384,737200
2018-08-01,13.77,13.87,13.5,13.61,8.803284,362200
2018-08-02,13.55,13.63,13.3,13.3,8.60277,583900
2018-08-03,13.36,13.64,13.11,13.38,8.654514,594600
2018-08-06,13.39,13.69,13.25,13.55,8.764474,246800
2018-08-07,13.74,13.75,12.9,13.33,8.622172,548700
2018-08-08,13.74,13.75,12.86,13.23,8.557492,473200
2018-08-09,13.24,13.54,13.1,13.1,8.473404,263600
2018-08-10,13.01,13.5,11.71,13.39,8.660983,375100
2018-08-13,13.28,13.71,12.89,13.0,8.408722,545400
2018-08-14,13.09,13.27,12.82,12.99,8.402255,276400
2018-08-15,12.11,13.1,12.11,12.73,8.234077,439000
2018-08-16,12.72,13.3,12.53,12.74,8.240546,589600
2018-08-17,12.62,13.1,12.62,12.84,8.305231,253800
2018-08-20,13.11,13.14,12.8,13.0,8.408722,710300
2018-08-21,13.15,13.48,12.91,13.28,8.589832,1096100
2018-08-22,13.49,13.76,13.15,13.5,8.732134,1174800
2018-08-23,13.74,14.03,13.35,14.03,9.07495,1272500
2018-08-24,14.25,16.26,14.24,15.46,9.99991,1283500
2018-08-27,15.44,15.96,15.28,15.73,10.174551,595900
2018-08-28,15.75,16.049999,15.69,15.99,10.342726,570600
2018-08-29,15.94,16.110001,15.69,16.0,10.349196,447500
2018-08-30,16.01,16.450001,15.83,16.280001,10.530305,401300
2018-08-31,16.5,16.5,16.25,16.389999,10.601458,516600
2018-09-04,16.389999,16.48,15.72,15.85,10.252171,667000
2018-09-05,15.88,16.299999,15.88,16.26,10.51737,659500
2018-09-06,16.280001,16.5,15.37,15.69,10.148681,749600
2018-09-07,15.7,16.1,15.46,15.75,10.187491,449800
2018-09-10,15.87,16.309999,15.66,15.93,10.303919,394800
2018-09-11,15.9,16.389999,15.71,16.139999,10.43975,456000
2018-09-12,16.129999,16.73,15.6,15.7,10.155147,655600
2018-09-13,15.61,16.139999,15.61,16.01,10.415369,420400
2018-09-14,16.0,16.27,15.68,15.76,10.252731,381800
2018-09-17,15.76,16.1,15.76,15.93,10.363326,532300
2018-09-18,16.09,16.65,16.059999,16.34,10.630053,730700
2018-09-19,16.34,16.73,16.25,16.360001,10.643064,705600
2018-09-20,16.379999,16.48,16.09,16.370001,10.649571,552400
2018-09-21,16.370001,16.48,15.71,16.0,10.408861,2803700
2018-09-24,16.129999,16.870001,16.1,16.85,10.961836,1206600
2018-09-25,16.99,17.059999,16.75,16.99,11.052914,813200
2018-09-26,16.950001,16.950001,16.469999,16.74,10.890274,368500
2018-09-27,16.84,17.16,16.690001,17.09,11.117967,297200
2018-09-28,17.08,17.639999,17.0,17.620001,11.462763,284000
2018-10-01,17.950001,17.98,17.129999,17.530001,11.404213,477000
2018-10-02,17.67,18.01,17.540001,17.93,11.664433,254100
2018-10-03,18.0,18.02,17.440001,17.780001,11.56685,225300
2018-10-04,17.790001,17.99,17.34,17.73,11.534322,172200
2018-10-05,17.809999,18.280001,17.190001,18.24,11.866105,311500
2018-10-08,18.48,18.549999,17.49,17.52,11.397706,493100
2018-10-09,17.6,18.07,17.0,17.98,11.69696,323200
2018-10-10,18.059999,18.1,16.52,16.530001,10.753659,555000
2018-10-11,16.5,16.719999,16.01,16.209999,10.54548,621400
2018-10-12,16.48,16.700001,15.62,15.93,10.363326,406900
2018-10-15,16.040001,16.32,15.7,16.27,10.584516,199800
2018-10-16,16.34,16.889999,15.75,16.809999,10.935813,494300
2018-10-17,16.75,16.75,16.200001,16.65,10.831722,272600
2018-10-18,16.620001,16.879999,16.18,16.290001,10.597525,471700
2018-10-19,16.290001,16.83,16.219999,16.32,10.617041,259600
2018-10-22,16.26,16.4,15.86,16.139999,10.499941,335300
2018-10-23,15.79,16.040001,15.33,15.72,10.22671,1100100
2018-10-24,15.69,15.98,14.88,14.96,9.732287,465100
2018-10-25,15.0,15.3,14.63,15.28,9.940466,230000
2018-10-26,15.04,15.06,14.6,14.71,9.569651,193600
2018-10-29,14.66,15.1,13.78,14.15,9.205339,354700
2018-10-30,13.87,14.22,13.67,13.96,9.081734,430500
2018-10-31,13.9,14.25,13.89,14.0,9.107756,201200
2018-11-01,14.07,14.51,13.9,14.13,9.192327,430100
2018-11-02,14.25,14.48,13.74,13.85,9.010173,518500
2018-11-05,14.0,14.89,13.93,14.62,9.511102,209100
2018-11-06,14.63,14.94,14.08,14.52,9.446044,173900
2018-11-07,14.72,14.9,14.25,14.84,9.654221,171100
2018-11-08,14.42,14.73,12.91,14.02,9.120766,373400
2018-11-09,13.82,14.05,12.93,13.96,9.081734,254700
2018-11-12,14.11,14.35,13.17,13.2,8.587314,521200
2018-11-13,13.12,13.53,12.43,12.59,8.190475,459400
2018-11-14,12.81,13.21,12.73,13.03,8.476718,429300
2018-11-15,12.89,13.47,12.73,13.1,8.52226,202300
2018-11-16,13.1,13.61,13.06,13.26,8.626347,341200
2018-11-19,13.01,13.39,12.88,13.08,8.509246,188100
2018-11-20,12.84,13.22,12.25,12.58,8.183969,260200
2018-11-21,12.74,13.99,12.71,13.68,8.89958,311200
2018-11-23,13.33,13.47,12.8,12.94,8.418169,120400
2018-11-26,12.95,13.4,12.72,12.99,8.450696,313000
2018-11-27,12.86,13.14,12.53,12.8,8.32709,176800
2018-11-28,12.77,12.93,12.54,12.77,8.307575,254200
2018-11-29,12.84,13.08,12.52,12.81,8.333596,310400
2018-11-30,12.62,12.94,12.15,12.39,8.060365,546900
2018-12-03,12.78,13.36,12.73,13.15,8.554787,488000
2018-12-04,13.31,13.49,12.67,12.96,8.431179,640900
2018-12-06,12.61,12.67,11.62,12.23,7.956274,397600
2018-12-07,12.5,12.87,12.25,12.3,8.001815,99700
2018-12-10,11.89,12.08,11.15,11.34,7.377284,352500
2018-12-11,11.35,11.85,10.22,10.26,6.674685,790800
2018-12-12,10.54,11.22,10.27,10.68,6.947917,775500
2018-12-13,10.69,10.78,9.94,10.41,6.772268,683200
2018-12-14,10.3,11.02,10.24,10.43,6.864406,847900
2018-12-17,10.44,10.52,9.43,9.51,6.258918,435400
2018-12-18,9.52,9.52,9.1,9.26,6.094382,344600
2018-12-19,9.26,9.48,8.94,9.04,5.949593,350900
2018-12-20,8.74,9.19,7.87,7.91,5.205893,548200
2018-12-21,7.94,8.61,7.94,8.3,5.462567,1096100
2018-12-24,8.25,8.49,7.94,7.94,5.225636,207000
2018-12-26,8.04,8.76,7.97,8.75,5.75873,461300
2018-12-27,8.73,8.96,8.5,8.69,5.719242,248900
2018-12-28,8.72,8.83,8.42,8.5,5.594195,411900
2018-12-31,8.5,8.78,8.45,8.75,5.75873,277800
2019-01-02,8.56,9.39,8.4,8.99,5.916685,287200
2019-01-03,8.98,9.42,8.63,8.93,5.877196,276900
2019-01-04,9.13,9.65,9.13,9.64,6.344476,225900
2019-01-07,9.63,10.61,9.58,10.23,6.732778,284600
2019-01-08,10.54,10.92,10.15,10.5,6.910476,766000
2019-01-09,10.71,11.44,10.7,10.76,7.081592,655000
2019-01-10,10.6,11.1,10.34,10.54,6.936803,687600
2019-01-11,10.43,10.43,9.97,10.28,6.765685,535300
2019-01-14,10.22,10.74,10.09,10.45,6.87757,398100
2019-01-15,10.5,10.68,9.75,9.88,6.50243,756900
2019-01-16,10.06,10.33,9.88,10.03,6.601151,805700
2019-01-17,9.96,10.75,9.8,10.62,6.989454,512200
2019-01-18,10.8,11.09,10.51,10.94,7.200058,267000
2019-01-22,10.88,11.0,10.18,10.24,6.739362,709400
2019-01-23,10.34,10.55,10.03,10.31,6.785432,757200
2019-01-24,10.29,10.46,9.59,10.45,6.87757,3640900
2019-01-25,10.54,11.34,10.39,10.95,7.20664,968900
2019-01-28,10.87,11.28,10.69,11.18,7.358012,1581000
2019-01-29,11.24,11.57,11.14,11.24,7.397502,705200
2019-01-30,11.37,11.87,11.2,11.7,7.700245,476200
2019-01-31,11.82,12.15,11.48,11.79,7.759478,728300
2019-02-01,11.89,12.55,11.48,12.13,7.983248,1630100
2019-02-04,12.03,12.36,11.84,12.1,7.963504,668400
2019-02-05,12.1,12.17,11.76,11.77,7.746316,320100
2019-02-06,11.78,12.03,11.56,11.67,7.680502,585300
2019-02-07,11.55,11.6,10.99,11.0,7.239546,711000
2019-02-08,10.99,11.12,10.19,10.74,7.068432,1191200
2019-02-11,10.62,10.83,10.28,10.65,7.009197,1647800
2019-02-12,10.77,11.12,10.67,10.86,7.147408,1333700
2019-02-13,10.9,11.58,10.9,11.57,7.614687,1006300
2019-02-14,11.53,11.9,11.36,11.42,7.515966,826700
2019-02-15,11.53,11.99,11.53,11.95,7.864779,488600
2019-02-19,11.94,12.07,11.77,11.91,7.838455,378600
2019-02-20,11.85,12.03,11.81,11.89,7.825291,642900
2019-02-21,11.88,12.17,11.72,11.9,7.831872,356600
2019-02-22,12.08,12.69,11.94,12.67,8.338643,1004000
2019-02-25,12.62,13.05,12.45,12.81,8.430781,877400
2019-02-26,12.77,13.16,12.6,12.7,8.358388,1088000
2019-02-27,12.81,13.03,12.62,12.73,8.37813,1530000
2019-02-28,12.84,12.97,12.42,12.73,8.37813,1230000
2019-03-01,12.73,13.05,12.56,12.75,8.391293,853900
2019-03-04,12.84,13.22,12.66,12.81,8.430781,718100
2019-03-05,12.87,13.09,12.5,12.65,8.325479,1177400
2019-03-06,12.63,12.76,12.09,12.19,8.022735,885500
2019-03-07,12.09,12.36,11.5,11.9,7.831872,1301500
2019-03-08,11.68,11.97,11.44,11.68,7.687084,1100900
2019-03-11,11.71,12.06,11.66,11.82,7.779223,1038100
2019-03-12,11.9,12.2,11.8,11.99,7.891107,586000
2019-03-13,12.12,12.33,11.39,11.61,7.641012,2226300
2019-03-14,11.47,11.88,11.47,11.7,7.780666,1948800
2019-03-15,11.63,11.87,11.43,11.82,7.860469,6436600
2019-03-18,11.84,12.13,11.8,11.94,7.940268,1383800
2019-03-19,12.13,12.45,12.03,12.12,8.059973,1906700
2019-03-20,12.12,12.45,11.97,12.23,8.133121,954100
2019-03-21,12.21,12.46,11.88,11.91,7.920319,513800
2019-03-22,11.87,11.91,11.08,11.12,7.394957,664200
2019-03-25,11.02,11.27,10.91,10.97,7.295205,589600
2019-03-26,11.11,11.45,10.93,11.4,7.581163,725700
2019-03-27,11.41,11.53,11.15,11.27,7.494709,529100
2019-03-28,11.16,12.0,11.16,11.71,7.787318,973500
2019-03-29,12.01,12.17,11.5,11.54,7.674264,952600
2019-04-01,11.69,12.22,11.69,12.11,8.053323,654300
2019-04-02,12.11,12.39,12.1,12.13,8.066624,447800
2019-04-03,12.26,12.4,11.76,11.79,7.840518,640500
2019-04-04,11.82,12.05,11.74,11.91,7.920319,529800
2019-04-05,11.95,12.47,11.95,12.29,8.173022,824800
2019-04-08,12.3,12.58,12.3,12.45,8.279425,629900
2019-04-09,12.42,12.55,12.25,12.34,8.206276,280200
2019-04-10,12.44,12.77,12.35,12.73,8.465631,581700
2019-04-11,12.66,12.93,12.59,12.81,8.518831,655600
2019-04-12,13.15,13.29,12.7,12.77,8.492231,648900
2019-04-15,12.76,12.91,12.43,12.5,8.312675,292300
2019-04-16,12.58,12.7,12.41,12.55,8.34593,223200
2019-04-17,12.62,12.63,12.41,12.57,8.359228,155800
2019-04-18,12.57,12.66,12.34,12.62,8.392479,212100
2019-04-22,12.75,13.04,12.62,12.91,8.585333,428600
2019-04-23,12.95,13.24,12.93,12.95,8.611934,727200
2019-04-24,13.03,13.03,12.54,12.79,8.50553,371700
2019-04-25,12.77,12.77,11.02,11.67,7.760715,2671100
2019-04-26,11.55,11.67,11.37,11.56,7.687563,391800
2019-04-29,11.56,11.65,11.19,11.26,7.48806,322600
2019-04-30,11.37,11.43,11.05,11.36,7.55456,461300
2019-05-01,11.29,11.55,11.03,11.05,7.348407,218800
2019-05-02,10.92,11.05,10.72,10.88,7.235356,329200
2019-05-03,11.07,11.31,10.87,11.23,7.468108,382200
2019-05-06,11.07,11.39,10.9,11.3,7.51466,438200
2019-05-07,11.14,11.21,10.88,10.97,7.295205,281400
2019-05-08,10.97,11.26,10.97,11.07,7.361706,543200
2019-05-09,11.07,11.7,10.77,11.44,7.607761,597600
2019-05-10,11.39,11.56,11.04,11.48,7.634363,322400
2019-05-13,11.38,11.64,11.13,11.23,7.468108,251900
2019-05-14,11.29,11.78,11.25,11.36,7.55456,573500
2019-05-15,11.23,11.25,10.86,11.1,7.381659,509500
2019-05-16,11.14,11.88,11.0,11.3,7.51466,978000
2019-05-17,11.17,11.18,10.77,10.97,7.295205,756500
2019-05-20,10.93,11.19,10.83,11.06,7.355057,484500
2019-05-21,11.12,11.61,11.07,11.5,7.647664,483900
2019-05-22,11.41,11.55,11.05,11.08,7.368356,545100
2019-05-23,10.79,11.05,10.53,10.59,7.042498,722800
2019-05-24,10.75,10.93,10.6,10.81,7.188804,720700
2019-05-28,10.84,11.08,10.76,10.76,7.155551,670400
2019-05-29,10.57,11.12,10.41,11.06,7.355057,563700
2019-05-30,11.08,11.16,10.74,10.75,7.148902,636900
2019-05-31,10.49,10.92,10.49,10.75,7.148902,732400
2019-06-03,10.7,11.02,10.7,10.79,7.175502,559500
2019-06-04,10.91,11.17,10.72,11.17,7.428207,545600
2019-06-05,11.12,11.17,10.36,10.45,6.949399,340400
2019-06-06,10.5,10.7,10.05,10.34,6.876246,498400
2019-06-07,10.42,10.45,10.13,10.33,6.869596,344500
2019-06-10,10.45,10.6,10.2,10.44,6.942746,591900
2019-06-11,10.58,10.61,10.25,10.34,6.876246,391600
2019-06-12,10.37,10.37,10.01,10.19,6.776494,10484300
2019-06-13,10.48,10.5,10.17,10.39,6.991836,548100
2019-06-14,10.4,10.67,10.24,10.51,7.072588,407500
2019-06-17,10.51,10.89,10.47,10.77,7.247552,623100
2019-06-18,10.78,11.13,10.7,10.95,7.368682,417300
2019-06-19,10.95,11.05,10.72,10.93,7.355223,399300
2019-06-20,11.14,11.23,10.97,11.09,7.462893,430700
2019-06-21,11.03,11.24,10.96,10.99,7.395599,323200
2019-06-24,10.92,10.95,10.44,10.58,7.119692,381000
2019-06-25,10.59,10.59,10.29,10.39,6.991836,661500
2019-06-26,10.52,10.9,10.48,10.59,7.126422,1148400
2019-06-27,10.55,10.75,10.26,10.31,6.938001,1689000
2019-06-28,10.38,10.9,10.38,10.6,7.133152,3291500
2019-07-01,10.84,10.89,10.35,10.62,7.14661,906400
2019-07-02,10.78,10.78,9.99,10.04,6.756306,635900
2019-07-03,10.09,10.6,9.89,10.12,6.810142,985100
2019-07-05,10.0,10.44,10.0,10.42,7.012024,333500
2019-07-08,10.29,10.65,10.18,10.23,6.884163,954000
2019-07-09,10.2,10.3,10.02,10.12,6.810142,477900
2019-07-10,10.27,10.45,10.14,10.35,6.964918,520500
2019-07-11,10.41,10.47,10.26,10.33,6.951458,306100
2019-07-12,10.36,10.54,10.25,10.47,7.04567,527800
2019-07-15,10.53,10.6,10.29,10.39,6.991836,516600
2019-07-16,10.41,10.6,10.32,10.4,6.998563,455300
2019-07-17,10.4,10.45,10.18,10.2,6.863976,629800
2019-07-18,10.25,10.27,10.07,10.18,6.850518,227100
2019-07-19,10.15,10.28,10.12,10.25,6.897623,268600
2019-07-22,10.22,10.47,10.17,10.23,6.884163,495200
2019-07-23,10.29,10.52,10.22,10.41,7.005295,314400
2019-07-24,10.4,10.69,10.4,10.51,7.072588,412500
2019-07-25,10.58,10.7,10.32,10.39,6.991836,421700
2019-07-26,10.42,10.55,10.28,10.5,7.065857,361600
2019-07-29,10.46,10.47,9.25,9.4,6.325625,717200
2019-07-30,9.45,9.92,9.31,9.91,6.668823,562600
2019-07-31,9.87,10.19,9.78,9.8,6.594801,440100
2019-08-01,9.7,9.7,8.86,9.04,6.083368,514900
2019-08-02,9.03,9.23,8.8,8.99,6.04972,347800
2019-08-05,8.79,8.95,8.54,8.81,5.928592,490400
2019-08-06,8.84,9.1,8.53,8.9,5.989156,689000
2019-08-07,8.7,8.92,8.58,8.86,5.962239,745400
2019-08-08,8.23,8.96,8.03,8.5,5.719981,2984300
2019-08-09,8.48,8.9,8.29,8.59,5.780545,1096900
2019-08-12,8.51,8.83,8.46,8.77,5.901674,1012500
2019-08-13,8.73,8.86,8.51,8.61,5.794003,1054900
2019-08-14,8.48,8.51,8.23,8.45,5.686333,541700
2019-08-15,8.46,8.56,8.14,8.22,5.531558,442600
2019-08-16,8.24,8.67,8.16,8.6,5.787275,343800
2019-08-19,8.73,8.84,8.52,8.6,5.787275,362300
2019-08-20,8.51,8.6,8.37,8.47,5.699792,407900
2019-08-21,8.53,8.64,8.41,8.45,5.686333,414600
2019-08-22,8.42,8.43,8.15,8.21,5.524828,565600
2019-08-23,8.07,8.14,7.65,7.71,5.188358,648400
2019-08-26,7.89,8.06,7.69,7.89,5.309488,959700
2019-08-27,7.91,8.0,7.58,7.77,5.228735,995200
2019-08-28,7.77,8.23,7.77,8.03,5.403699,851200
2019-08-29,8.17,8.32,8.11,8.22,5.531558,658700
2019-08-30,8.25,8.25,7.92,7.99,5.376782,426500
2019-09-03,7.84,8.06,7.68,7.95,5.349864,528400
2019-09-04,8.03,8.27,8.03,8.17,5.49791,741200
2019-09-05,8.24,8.66,8.23,8.6,5.787275,493700
2019-09-06,8.56,8.67,8.43,8.66,5.827651,399200
2019-09-09,8.7,9.18,8.7,9.11,6.130473,625200
2019-09-10,9.14,9.88,9.14,9.55,6.426567,1053000
2019-09-11,9.67,10.04,9.57,9.81,6.60153,570000
2019-09-12,9.59,9.93,9.51,9.72,6.621968,465900
2019-09-13,9.81,9.99,9.64,9.83,6.69691,348500
2019-09-16,10.42,10.86,10.18,10.77,7.337305,1745800
2019-09-17,10.74,10.75,10.32,10.44,7.112484,674400
2019-09-18,10.33,10.59,9.61,10.43,7.105671,967600
2019-09-19,10.55,10.68,9.68,10.09,6.874041,1008600
2019-09-20,10.15,10.42,10.07,10.25,6.983042,1502400
2019-09-23,10.19,10.66,10.13,10.57,7.20105,581600
2019-09-24,10.56,10.56,9.78,9.83,6.69691,567700
2019-09-25,9.69,9.9,9.6,9.71,6.615156,502900
2019-09-26,9.61,9.65,9.22,9.57,6.519777,383900
2019-09-27,9.45,9.74,9.45,9.6,6.540216,784200
2019-09-30,9.56,9.56,9.33,9.36,6.37671,357300
2019-10-01,9.4,9.61,9.19,9.26,6.308583,420900
2019-10-02,9.17,9.5,9.03,9.35,6.369898,411400
2019-10-03,9.21,9.38,9.06,9.32,6.34946,316300
2019-10-04,9.36,9.4,9.16,9.32,6.34946,268100
2019-10-07,9.33,9.43,9.17,9.28,6.322208,583200
2019-10-08,9.15,9.54,9.15,9.34,6.363086,619900
2019-10-09,9.46,9.57,9.24,9.4,6.403962,269900
2019-10-10,9.43,9.65,9.37,9.61,6.547028,427200
2019-10-11,9.68,9.96,9.59,9.88,6.730973,582400
2019-10-14,9.82,10.19,9.67,10.06,6.853601,602600
2019-10-15,10.1,10.18,9.8,9.91,6.75141,629400
2019-10-16,9.85,9.95,9.66,9.72,6.621968,387700
2019-10-17,9.72,9.8,9.55,9.72,6.621968,539800
2019-10-18,9.72,9.8,9.27,9.44,6.431212,311300
2019-10-21,9.36,9.6,9.33,9.58,6.526589,490600
2019-10-22,9.55,10.09,9.52,9.85,6.710535,677300
2019-10-23,9.9,10.19,9.62,10.01,6.819537,559200
2019-10-24,10.07,10.2,9.76,9.86,6.717347,446600
2019-10-25,9.8,10.06,9.7,10.01,6.819537,508400
2019-10-28,10.11,10.26,9.78,9.9,6.744598,407100
2019-10-29,9.8,10.08,9.78,9.95,6.778662,691000
2019-10-30,9.95,10.01,9.33,9.49,6.465276,367700
2019-10-31,9.42,9.45,9.06,9.39,6.397149,310000
2019-11-01,9.43,9.76,9.32,9.76,6.649219,437700
2019-11-04,9.9,10.25,9.9,10.02,6.82635,355200
2019-11-05,10.12,10.83,10.0,10.64,7.248739,1167900
2019-11-06,10.59,10.7,10.21,10.45,7.119297,331700
2019-11-07,10.63,11.14,10.45,10.99,7.487185,668300
2019-11-08,10.86,11.39,10.69,11.05,7.528061,733200
2019-11-11,11.0,11.19,10.77,11.03,7.514434,569000
2019-11-12,11.03,11.72,10.85,11.39,7.759695,780400
2019-11-13,11.29,11.43,10.68,10.91,7.432683,1186900
2019-11-14,10.95,11.49,10.95,11.16,7.603002,1100400
2019-11-15,11.25,11.5,11.21,11.31,7.705193,664500
2019-11-18,11.22,11.33,10.98,11.33,7.718819,407600
2019-11-19,11.28,11.5,8.5,8.9,6.063325,5103000
2019-11-20,7.81,7.86,6.87,7.13,4.857473,5895500
2019-11-21,7.4,7.42,6.97,7.04,4.796159,1876200
2019-11-22,7.19,7.19,6.9,7.01,4.77572,1104400
2019-11-25,7.21,7.68,7.09,7.5,5.109544,2424600
2019-11-26,7.43,7.89,7.42,7.66,5.218547,1391700
2019-11-27,7.67,7.84,7.39,7.66,5.218547,949100
2019-11-29,7.64,8.26,7.64,7.97,5.429741,1154200
2019-12-02,8.05,8.17,7.81,7.82,5.327551,1015800
2019-12-03,7.8,7.8,7.52,7.57,5.157234,866000
2019-12-04,7.67,8.22,7.67,8.13,5.538745,1034400
2019-12-05,8.16,8.41,8.1,8.31,5.661375,948400
