Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.61,2.61,2.43,2.47,2.47,2322800
2016-01-05,2.5,2.5,2.35,2.38,2.38,2426900
2016-01-06,2.41,2.44,2.35,2.38,2.38,2262000
2016-01-07,2.41,2.48,2.32,2.43,2.43,3085700
2016-01-08,2.39,2.41,2.25,2.32,2.32,3181100
2016-01-11,2.3,2.34,2.08,2.23,2.23,3194600
2016-01-12,2.17,2.17,2.0,2.02,2.02,3557400
2016-01-13,2.02,2.07,1.96,2.0,2.0,3061900
2016-01-14,1.95,2.0,1.77,1.88,1.88,3134200
2016-01-15,1.94,1.94,1.79,1.9,1.9,2090700
2016-01-19,1.93,1.94,1.69,1.73,1.73,2703700
2016-01-20,1.75,1.81,1.62,1.81,1.81,2636900
2016-01-21,1.79,1.8,1.68,1.76,1.76,2207200
2016-01-22,1.78,1.89,1.72,1.75,1.75,2599000
2016-01-25,1.83,1.92,1.77,1.77,1.77,2391500
2016-01-26,1.78,1.88,1.78,1.83,1.83,3465500
2016-01-27,1.83,2.04,1.81,2.04,2.04,3009700
2016-01-28,2.05,2.07,1.93,2.02,2.02,2280500
2016-01-29,2.03,2.21,2.02,2.21,2.21,3573200
2016-02-01,2.24,2.33,2.13,2.19,2.19,3155900
2016-02-02,2.15,2.21,2.01,2.11,2.11,3378600
2016-02-03,2.15,2.32,2.12,2.25,2.25,3829800
2016-02-04,2.36,2.47,2.35,2.4,2.4,3850900
2016-02-05,2.33,2.56,2.24,2.55,2.55,3344800
2016-02-08,2.65,2.85,2.6,2.61,2.61,5129000
2016-02-09,2.64,2.7,2.45,2.47,2.47,3123000
2016-02-10,2.46,2.55,2.26,2.5,2.5,3524500
2016-02-11,2.78,2.94,2.6,2.82,2.82,5795300
2016-02-12,2.79,3.35,2.74,3.33,3.33,6782900
2016-02-16,3.17,3.42,3.09,3.2,3.2,5530000
2016-02-17,3.17,3.42,3.17,3.36,3.36,3891000
2016-02-18,3.33,3.83,3.3,3.75,3.75,4038500
2016-02-19,3.7,3.87,3.52,3.56,3.56,3886900
2016-02-22,3.36,3.66,3.35,3.55,3.55,3659300
2016-02-23,3.62,3.73,3.39,3.47,3.47,3376300
2016-02-24,3.66,3.7,3.4,3.48,3.48,4502300
2016-02-25,3.49,3.57,3.36,3.51,3.51,2556100
2016-02-26,3.51,3.65,3.41,3.55,3.55,3584200
2016-02-29,3.68,3.87,3.64,3.86,3.86,3540400
2016-03-01,3.93,3.95,3.68,3.81,3.81,2956200
2016-03-02,3.79,4.07,3.7,4.0,4.0,3440000
2016-03-03,4.02,4.57,4.01,4.49,4.49,4848800
2016-03-04,4.7,5.24,4.42,4.52,4.52,7160000
2016-03-07,4.75,5.2,4.75,5.02,5.02,8025800
2016-03-08,5.15,5.15,4.57,4.65,4.65,6611600
2016-03-09,4.52,4.85,4.3,4.73,4.73,4841600
2016-03-10,4.77,4.99,4.75,4.89,4.89,4002400
2016-03-11,4.88,5.1,4.78,5.03,5.03,4800800
2016-03-14,5.09,5.1,4.84,4.89,4.89,4311200
2016-03-15,4.8,4.87,4.67,4.83,4.83,3672600
2016-03-16,4.78,5.33,4.75,5.3,5.3,5266400
2016-03-17,5.37,5.89,5.18,5.47,5.47,6623300
2016-03-18,5.49,5.75,5.39,5.59,5.59,9415600
2016-03-21,5.56,5.94,5.55,5.76,5.76,4018800
2016-03-22,5.81,5.89,5.68,5.8,5.8,3429600
2016-03-23,5.33,5.57,5.2,5.25,5.25,4445500
2016-03-24,5.26,5.4,5.15,5.28,5.28,2668800
2016-03-28,5.32,5.48,5.21,5.44,5.44,2093700
2016-03-29,5.4,5.85,5.38,5.71,5.71,3709800
2016-03-30,5.64,5.78,5.49,5.65,5.65,2444900
2016-03-31,5.8,5.86,5.57,5.62,5.62,2319800
2016-04-01,5.41,5.65,5.21,5.64,5.64,2922400
2016-04-04,5.62,5.69,5.43,5.55,5.55,2561200
2016-04-05,5.62,5.77,5.44,5.73,5.73,2294900
2016-04-06,5.63,5.88,5.61,5.82,5.82,2108400
2016-04-07,5.9,6.11,5.87,5.94,5.94,2963100
2016-04-08,5.79,6.03,5.75,6.01,6.01,3583700
2016-04-11,6.16,6.5,6.11,6.49,6.49,5140100
2016-04-12,6.58,6.73,6.33,6.72,6.72,4015000
2016-04-13,6.64,6.99,6.6,6.7,6.7,3972300
2016-04-14,6.66,6.75,6.22,6.38,6.38,4125700
2016-04-15,6.41,6.75,6.37,6.67,6.67,2907800
2016-04-18,6.7,6.83,6.53,6.79,6.79,2452900
2016-04-19,7.11,7.45,6.97,7.38,7.38,6057600
2016-04-20,7.41,7.68,6.82,7.0,7.0,6494400
2016-04-21,7.3,7.53,6.94,7.14,7.14,4394000
2016-04-22,7.08,7.38,6.73,6.89,6.89,3838700
2016-04-25,6.85,7.04,6.72,6.87,6.87,2905400
2016-04-26,6.9,7.19,6.7,7.1,7.1,2743900
2016-04-27,7.16,7.28,6.87,7.18,7.18,3558900
2016-04-28,7.35,7.96,7.08,7.44,7.44,6516000
2016-04-29,7.65,8.14,7.65,8.1,8.1,6457000
2016-05-02,8.23,8.29,7.88,8.07,8.07,5704100
2016-05-03,8.01,8.08,7.55,7.74,7.74,4881200
2016-05-04,7.55,7.82,7.24,7.39,7.39,3729000
2016-05-05,7.52,7.77,7.31,7.56,7.56,3888200
2016-05-06,7.71,8.09,7.66,7.9,7.9,4090300
2016-05-09,7.59,7.59,7.11,7.25,7.25,3533000
2016-05-10,7.21,7.54,7.14,7.47,7.47,2280700
2016-05-11,7.73,7.9,7.43,7.76,7.76,3441300
2016-05-12,7.85,8.27,7.8,8.02,8.02,7029600
2016-05-13,8.03,8.73,7.98,8.48,8.48,6268900
2016-05-16,8.58,8.66,7.98,8.25,8.25,7062500
2016-05-17,8.25,8.66,8.14,8.52,8.52,6138800
2016-05-18,8.25,8.49,7.47,7.6,7.6,6508100
2016-05-19,7.43,7.85,7.22,7.77,7.77,4884300
2016-05-20,7.9,8.0,7.62,7.94,7.94,3397600
2016-05-23,7.75,8.2,7.56,8.02,8.02,3845500
2016-05-24,7.73,7.83,7.31,7.33,7.33,4987700
2016-05-25,7.25,7.75,6.98,7.66,7.66,5624100
2016-05-26,7.88,7.98,7.57,7.72,7.72,3022700
2016-05-27,7.59,7.67,7.21,7.28,7.28,3860600
2016-05-31,7.2,7.69,7.1,7.53,7.53,4987900
2016-06-01,7.41,7.61,7.23,7.48,7.48,4022600
2016-06-02,7.4,7.69,7.31,7.5,7.5,3274000
2016-06-03,7.83,8.44,7.81,8.37,8.37,7000000
2016-06-06,8.42,8.48,8.14,8.42,8.42,4588200
2016-06-07,8.24,8.5,8.2,8.32,8.32,3201000
2016-06-08,8.65,8.99,8.62,8.78,8.78,5628700
2016-06-09,8.73,8.85,8.55,8.74,8.74,5213300
2016-06-10,8.86,9.0,8.49,8.52,8.52,3976000
2016-06-13,8.7,9.1,8.68,8.92,8.92,5256200
2016-06-14,8.95,9.04,8.48,8.68,8.68,4187500
2016-06-15,8.72,9.41,8.66,9.29,9.29,5845800
2016-06-16,9.59,9.75,8.77,9.01,9.01,5941300
2016-06-17,9.16,9.46,9.11,9.3,9.3,28166300
2016-06-20,8.99,9.78,8.93,9.64,9.64,5344800
2016-06-21,9.44,9.44,9.15,9.3,9.3,3677400
2016-06-22,9.36,9.56,9.19,9.42,9.42,3511300
2016-06-23,9.38,9.69,9.32,9.48,9.48,5101700
2016-06-24,10.08,10.22,9.67,9.95,9.95,12220500
2016-06-27,10.17,10.45,9.63,10.13,10.13,7913100
2016-06-28,9.89,10.23,9.78,9.98,9.98,4599000
2016-06-29,10.16,10.64,10.16,10.48,10.48,4696300
2016-06-30,10.61,10.75,10.28,10.66,10.66,4394700
2016-07-01,11.06,11.34,10.93,11.26,11.26,5406200
2016-07-05,11.5,11.53,10.97,11.4,11.4,5677900
2016-07-06,11.69,12.25,11.61,12.2,12.2,7909400
2016-07-07,12.03,12.06,11.56,11.8,11.8,5178200
2016-07-08,11.97,12.69,11.82,12.61,12.61,6779800
2016-07-11,12.52,12.98,12.33,12.78,12.78,7181500
2016-07-12,12.69,12.99,12.27,12.35,12.35,6573200
2016-07-13,12.58,13.08,12.4,13.01,13.01,5670800
2016-07-14,13.01,13.69,12.71,13.64,13.64,6482500
2016-07-15,13.51,13.86,13.42,13.71,13.71,5147000
2016-07-18,13.71,13.99,13.54,13.99,13.99,5136200
2016-07-19,13.9,14.0,13.54,13.61,13.61,5022000
2016-07-20,13.06,13.09,12.23,12.46,12.46,6642600
2016-07-21,12.64,13.35,12.64,13.32,13.32,4709600
2016-07-22,13.21,13.55,13.04,13.42,13.42,3641400
2016-07-25,13.26,13.26,12.46,12.91,12.91,5398800
2016-07-26,13.16,13.63,13.01,13.47,13.47,5349000
2016-07-27,13.7,14.33,13.21,14.14,14.14,7739200
2016-07-28,14.59,15.07,14.22,14.74,14.74,7636300
2016-07-29,14.98,15.49,14.76,15.32,15.32,8948400
2016-08-01,15.48,15.74,15.12,15.64,15.64,6246600
2016-08-02,15.86,16.030001,15.38,15.61,15.61,5699000
2016-08-03,15.5,15.8,14.88,15.61,15.61,5165600
2016-08-04,15.53,15.85,15.33,15.74,15.74,3587500
2016-08-05,15.2,15.63,14.95,15.5,15.5,5465200
2016-08-08,15.39,15.98,15.31,15.68,15.68,4948700
2016-08-09,15.83,16.25,15.75,15.88,15.88,5505900
2016-08-10,16.299999,16.41,15.78,15.98,15.98,4920500
2016-08-11,15.98,16.27,15.68,15.83,15.83,6410600
2016-08-12,16.059999,16.23,15.45,15.65,15.65,5062000
2016-08-15,15.73,16.0,15.56,15.77,15.77,4179900
2016-08-16,15.8,15.96,15.31,15.58,15.58,4616600
2016-08-17,15.45,15.61,14.69,15.24,15.24,5722800
2016-08-18,15.33,15.63,15.18,15.59,15.59,4360300
2016-08-19,15.16,15.32,14.9,15.03,15.03,3800600
2016-08-22,14.61,14.93,14.4,14.76,14.76,4803700
2016-08-23,14.91,14.99,14.5,14.6,14.6,4323900
2016-08-24,14.35,14.36,12.78,12.92,12.92,8692200
2016-08-25,12.62,13.74,12.42,13.34,13.34,5540100
2016-08-26,13.54,14.22,12.93,13.68,13.68,10627700
2016-08-29,13.5,14.06,13.41,13.83,13.83,4700700
2016-08-30,13.86,14.18,12.61,12.76,12.76,10853100
2016-08-31,12.6,12.8,12.3,12.74,12.74,7706100
2016-09-01,12.58,13.21,12.43,13.05,13.05,6823100
2016-09-02,13.44,13.96,13.16,13.49,13.49,6656800
2016-09-06,13.89,14.95,13.82,14.9,14.9,8810400
