Date,Open,High,Low,Close,Adj Close,Volume
2023-03-28,10.1,10.1,10.1,10.1,10.1,524700
2023-03-29,10.12,10.12,10.09,10.1,10.1,1795200
2023-03-30,10.12,10.12,10.11,10.11,10.11,108200
2023-03-31,10.11,10.11,10.11,10.11,10.11,12500
2023-04-03,10.11,10.12,10.11,10.12,10.12,96200
2023-04-04,10.12,10.12,10.12,10.12,10.12,0
2023-04-05,10.12,10.12,10.12,10.12,10.12,0
2023-04-06,10.11,10.11,10.11,10.11,10.11,6600
2023-04-10,10.13,10.13,10.13,10.13,10.13,1500
2023-04-11,10.13,10.69,10.11,10.12,10.12,57600
2023-04-12,10.14,10.14,10.14,10.14,10.14,100
2023-04-13,10.14,10.4,10.13,10.13,10.13,35500
2023-04-14,10.13,10.13,10.13,10.13,10.13,0
2023-04-17,10.14,10.14,10.14,10.14,10.14,32900
2023-04-18,10.14,10.14,10.13,10.13,10.13,2300
2023-04-19,10.13,10.13,10.13,10.13,10.13,100
2023-04-20,10.13,10.14,10.13,10.14,10.14,129100
2023-04-21,10.14,10.14,10.14,10.14,10.14,0
2023-04-24,10.15,10.175,10.14,10.15,10.15,38500
2023-04-25,10.15,10.15,10.15,10.15,10.15,0
2023-04-26,10.2,10.2,10.15,10.15,10.15,400
2023-04-27,10.15,10.15,10.15,10.15,10.15,0
2023-04-28,10.15,10.15,10.15,10.15,10.15,0
2023-05-01,10.15,10.18,10.15,10.18,10.18,3900
2023-05-02,10.17,10.18,10.15,10.15,10.15,46700
2023-05-03,10.16,10.16,10.15,10.16,10.16,2200
2023-05-04,10.16,10.17,10.16,10.17,10.17,105400
2023-05-05,10.17,10.17,10.17,10.17,10.17,0
2023-05-08,10.17,10.17,10.17,10.17,10.17,0
2023-05-09,10.17,10.17,10.17,10.17,10.17,92500
2023-05-10,10.17,10.17,10.17,10.17,10.17,1300
2023-05-11,10.17,10.17,10.17,10.17,10.17,8100
2023-05-12,10.17,10.185,10.17,10.18,10.18,21900
2023-05-15,10.18,10.18,10.18,10.18,10.18,6200
2023-05-16,10.18,10.18,10.18,10.18,10.18,0
2023-05-17,10.185,10.214,10.185,10.19,10.19,38300
2023-05-18,10.265,10.32,10.221,10.221,10.221,400
2023-05-19,10.19,10.19,10.19,10.19,10.19,1800
2023-05-22,10.21,10.21,10.21,10.21,10.21,200
2023-05-23,10.27,10.27,10.27,10.27,10.27,300
2023-05-24,10.32,10.32,10.22,10.22,10.22,100100
2023-05-25,10.225,10.225,10.225,10.225,10.225,200
2023-05-26,10.225,10.225,10.225,10.225,10.225,0
2023-05-30,10.225,10.225,10.225,10.225,10.225,0
2023-05-31,10.19,10.19,10.19,10.19,10.19,300
2023-06-01,10.21,10.22,10.21,10.215,10.215,1300
2023-06-02,10.21,10.22,10.21,10.22,10.22,1200
