Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.4,11.4,11.4,11.4,8.445401,0
2016-01-05,11.43,11.68,11.23,11.68,8.65283,3300
2016-01-06,11.68,11.68,11.68,11.68,8.65283,3100
2016-01-07,11.68,11.77,11.42,11.68,8.65283,14700
2016-01-08,11.89,11.89,11.12,11.12,8.237967,3900
2016-01-11,11.3,11.58,10.91,11.15,8.260193,21500
2016-01-12,11.16,11.27,10.61,11.22,8.312049,22200
2016-01-13,11.41,11.85,10.75,10.75,7.963861,42100
2016-01-14,11.04,11.49,10.13,10.48,7.76384,36300
2016-01-15,10.28,10.74,10.22,10.37,7.682348,1300
2016-01-19,10.65,10.65,9.36,9.99,7.400836,6900
2016-01-20,10.0,10.0,9.64,9.8,7.260078,11000
2016-01-21,10.01,10.01,8.46,9.5,7.037829,33700
2016-01-22,10.35,10.35,9.04,9.27,6.867442,63300
2016-01-25,9.45,10.0,9.37,9.44,6.993382,1800
2016-01-26,9.65,9.86,9.62,9.62,7.126729,2300
2016-01-27,9.75,9.75,9.6,9.6,7.111912,500
2016-01-28,9.92,10.04,9.78,9.85,7.297121,1700
2016-01-29,10.0,10.36,9.85,10.1,7.482328,2300
2016-02-01,9.65,9.85,9.49,9.85,7.297121,3000
2016-02-02,10.1,10.1,10.1,10.1,7.482328,300
2016-02-03,10.3,10.4,10.2,10.2,7.556409,1200
2016-02-04,10.45,10.51,10.45,10.49,7.771246,500
2016-02-05,10.49,10.49,10.49,10.49,7.771246,0
2016-02-08,10.49,10.49,10.49,10.49,7.771246,0
2016-02-09,10.43,10.75,10.38,10.4,7.704572,800
2016-02-10,10.42,10.6,10.42,10.48,7.76384,1200
2016-02-11,10.3,10.3,10.29,10.3,7.630492,400
2016-02-12,10.3,10.3,10.3,10.3,7.630492,0
2016-02-16,10.15,10.4,10.15,10.35,7.667533,1800
2016-02-17,10.35,10.35,10.35,10.35,7.667533,0
2016-02-18,10.35,10.35,10.35,10.35,7.667533,0
2016-02-19,10.05,10.05,10.05,10.05,7.445286,300
2016-02-22,10.19,10.43,9.88,10.15,7.519369,3800
2016-02-23,10.35,10.55,9.9,10.4,7.704572,8300
2016-02-24,10.4,10.49,10.0,10.47,7.756431,5400
2016-02-25,10.43,10.47,10.19,10.47,7.756431,400
2016-02-26,10.56,10.6,10.47,10.58,7.837923,1800
2016-02-29,10.6,10.99,10.45,10.75,7.963861,14300
2016-03-01,10.83,10.86,10.44,10.79,7.993493,9500
2016-03-02,10.87,10.89,10.44,10.8,8.000902,6900
2016-03-03,11.01,11.01,10.53,10.85,8.075332,6700
2016-03-04,10.99,11.08,9.66,9.92,7.383161,14700
2016-03-07,9.64,10.3,9.64,10.3,7.665982,9200
2016-03-08,10.36,10.36,10.03,10.04,7.472469,2200
2016-03-09,10.24,10.36,10.07,10.36,7.710639,5800
2016-03-10,10.7,10.85,10.62,10.62,7.904148,1300
2016-03-11,10.21,10.45,10.06,10.45,7.777622,4300
2016-03-14,10.5,10.5,10.4,10.5,7.814835,1700
2016-03-15,10.45,10.45,10.22,10.23,7.61388,2100
2016-03-16,10.25,10.25,10.25,10.25,7.628769,1500
2016-03-17,10.25,10.25,10.25,10.25,7.628769,2000
2016-03-18,10.5,10.93,10.21,10.21,7.599,2700
2016-03-21,10.21,10.21,10.21,10.21,7.599,0
2016-03-22,10.0,10.03,10.0,10.03,7.465028,800
2016-03-23,10.11,10.11,10.11,10.11,7.52457,500
2016-03-24,10.2,10.68,10.2,10.68,7.948806,600
2016-03-28,10.85,11.0,10.85,11.0,8.186968,400
2016-03-29,10.8,11.0,10.75,10.82,8.053003,1100
2016-03-30,10.82,10.83,10.52,10.52,7.82972,1500
2016-03-31,10.79,10.95,10.5,10.5,7.814835,600
