Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.58,3.67,3.36,3.5,3.5,1321600
2016-01-05,3.63,3.8,3.56,3.63,3.63,1986200
2016-01-06,3.53,3.58,3.37,3.45,3.45,1517300
2016-01-07,3.33,3.53,3.3,3.34,3.34,1297300
2016-01-08,3.36,3.51,3.36,3.38,3.38,1369200
2016-01-11,3.37,3.43,3.11,3.21,3.21,1569000
2016-01-12,3.35,3.35,2.8,2.97,2.97,2261900
2016-01-13,3.05,3.19,2.88,2.9,2.9,1351900
2016-01-14,2.93,2.96,2.66,2.79,2.79,3088100
2016-01-15,2.56,2.75,2.56,2.63,2.63,2656700
2016-01-19,2.63,2.65,2.32,2.41,2.41,1914500
2016-01-20,2.28,2.51,2.15,2.49,2.49,2151500
2016-01-21,2.49,2.75,2.48,2.59,2.59,1452800
2016-01-22,2.73,2.87,2.62,2.8,2.8,1756300
2016-01-25,2.75,2.77,2.5,2.51,2.51,1253600
2016-01-26,2.58,2.65,2.46,2.59,2.59,1025900
2016-01-27,2.54,2.6,2.41,2.46,2.46,1352400
2016-01-28,2.61,2.65,2.44,2.55,2.55,1383600
2016-01-29,2.61,2.69,2.55,2.68,2.68,1132700
2016-02-01,2.59,2.59,2.46,2.51,2.51,987900
2016-02-02,2.45,2.53,2.38,2.4,2.4,828700
2016-02-03,2.44,2.5,2.25,2.5,2.5,1104300
2016-02-04,2.51,2.66,2.4,2.5,2.5,1276800
2016-02-05,2.51,2.54,2.42,2.42,2.42,919100
2016-02-08,2.4,2.42,2.22,2.28,2.28,1433700
2016-02-09,2.25,2.32,2.15,2.25,2.25,1025000
2016-02-10,2.3,2.45,2.17,2.28,2.28,1129900
2016-02-11,2.21,2.34,2.16,2.31,2.31,986100
2016-02-12,2.44,2.51,2.32,2.5,2.5,1241900
2016-02-16,2.55,2.59,2.25,2.36,2.36,1258800
2016-02-17,2.43,2.55,2.41,2.52,2.52,1331600
2016-02-18,2.52,2.75,2.35,2.57,2.57,3087000
2016-02-19,2.52,2.56,2.33,2.42,2.42,1331400
2016-02-22,2.48,2.6,2.45,2.54,2.54,1199300
2016-02-23,2.53,2.55,2.4,2.42,2.42,1036900
2016-02-24,2.36,2.53,2.34,2.51,2.51,1117500
2016-02-25,2.48,2.5,2.37,2.44,2.44,845700
2016-02-26,2.51,2.57,2.41,2.48,2.48,1225800
2016-02-29,2.51,2.88,2.49,2.88,2.88,2771100
2016-03-01,2.97,2.98,2.67,2.77,2.77,1736000
2016-03-02,2.85,3.11,2.79,3.03,3.03,2127700
2016-03-03,3.1,3.5,3.04,3.45,3.45,3083100
2016-03-04,3.71,3.76,2.85,3.25,3.25,6516400
2016-03-07,3.23,3.25,3.12,3.16,3.16,1966700
2016-03-08,3.1,3.19,2.91,3.02,3.02,2248500
2016-03-09,3.1,3.55,3.06,3.42,3.42,3100200
2016-03-10,3.4,3.42,3.03,3.16,3.16,1973300
2016-03-11,3.26,3.38,3.19,3.24,3.24,1303800
2016-03-14,3.18,3.24,2.95,3.08,3.08,2762000
2016-03-15,3.0,3.01,2.77,2.96,2.96,1626900
2016-03-16,2.89,2.98,2.87,2.96,2.96,1187500
2016-03-17,2.86,3.08,2.86,3.02,3.02,1864300
2016-03-18,3.16,3.16,3.0,3.07,3.07,3864800
2016-03-21,3.08,3.22,3.08,3.18,3.18,1440500
2016-03-22,3.14,3.2,3.08,3.11,3.11,995700
2016-03-23,3.05,3.11,2.91,2.91,2.91,1514200
2016-03-24,2.88,3.0,2.83,2.96,2.96,1036700
2016-03-28,2.99,3.02,2.88,2.93,2.93,797400
2016-03-29,2.85,3.05,2.8,2.96,2.96,1143500
