Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.91,13.15,12.77,13.15,4.779552,14400
2016-01-05,13.14,13.14,12.73,12.84,4.666878,4600
2016-01-06,12.79,12.79,12.63,12.72,4.623261,1900
2016-01-07,12.6,12.63,12.0,12.0,4.361568,19000
2016-01-08,12.15,12.25,10.95,11.96,4.34703,39300
2016-01-11,11.51,11.97,11.06,11.8,4.288876,10300
2016-01-12,11.55,11.88,11.16,11.76,4.274337,9800
2016-01-13,12.4,12.4,11.05,11.13,4.045355,9600
2016-01-14,12.0,12.0,11.15,11.6,4.216182,8900
2016-01-15,11.39,11.6,11.39,11.44,4.158028,1000
2016-01-19,11.37,11.37,10.61,10.85,3.943584,15200
2016-01-20,10.77,10.77,10.5,10.6,3.852718,4000
2016-01-21,10.51,10.78,10.26,10.76,3.910872,8100
2016-01-22,11.17,11.3,11.13,11.3,4.107143,14100
2016-01-25,11.4,11.64,10.82,11.21,4.074431,26800
2016-01-26,11.49,11.84,11.03,11.4,4.143489,15000
2016-01-27,11.78,11.84,11.24,11.65,4.234355,8400
2016-01-28,11.62,11.93,10.9,11.93,4.336126,5400
2016-01-29,12.2,12.2,11.77,12.06,4.383376,2100
2016-02-01,12.06,12.06,11.72,12.01,4.365202,4400
2016-02-02,11.61,12.13,11.5,12.13,4.408818,12200
2016-02-03,12.17,12.34,12.05,12.34,4.485146,5300
2016-02-04,12.19,12.4,11.77,12.4,4.506954,5800
2016-02-05,12.4,12.49,11.74,12.42,4.514223,5700
2016-02-08,11.9,12.5,11.82,12.37,4.49605,8000
2016-02-09,12.47,12.48,11.93,11.93,4.336126,8600
2016-02-10,11.92,12.3,11.33,11.34,4.121682,10400
2016-02-11,10.38,11.9,10.38,11.83,4.299779,11900
2016-02-12,12.22,12.5,11.4,12.33,4.481511,5200
2016-02-16,12.01,12.4,11.67,12.1,4.397914,5000
2016-02-17,11.94,12.27,11.91,12.2,4.434261,6600
2016-02-18,12.18,12.26,12.13,12.25,4.452435,1700
2016-02-19,12.28,12.28,11.93,12.01,4.365202,1700
2016-02-22,12.2,12.2,11.93,11.97,4.350664,5500
2016-02-23,11.95,12.25,11.92,12.25,4.452435,2300
2016-02-24,12.21,12.24,11.93,11.93,4.336126,3300
2016-02-25,11.82,12.22,11.82,11.95,4.343395,4100
