Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.094,25.308001,24.496,25.296,23.433838,5146000
2016-01-05,25.158001,25.438,24.827999,25.198,23.343046,4409000
2016-01-06,24.719999,24.860001,23.195999,23.42,21.695938,5937000
2016-01-07,22.756001,23.016001,22.438,22.502001,20.845514,6817000
2016-01-08,22.74,22.85,22.468,22.534,20.87516,3789000
2016-01-11,22.698,22.761999,21.818001,22.360001,20.713968,4741500
2016-01-12,22.552,22.856001,21.986,22.252001,20.613922,4308500
2016-01-13,22.440001,22.486,20.941999,20.964001,19.420734,6857000
2016-01-14,21.025999,21.486,20.782,21.299999,19.732,6202500
2016-01-15,20.468,21.007999,20.441999,20.874001,19.337355,4320000
2016-01-19,21.212,21.444,20.879999,21.384001,19.809814,6672000
2016-01-20,20.854,21.018,20.184,20.834,19.300301,11367000
2016-01-21,20.764,21.044001,19.417999,20.934,19.392939,13782000
2016-01-22,21.746,23.624001,21.691999,23.360001,21.640358,13013500
2016-01-25,23.296,23.396,22.714001,22.76,21.084522,4313000
2016-01-26,23.035999,23.42,22.780001,23.214001,21.505102,3881000
2016-01-27,23.125999,23.594,22.732,23.046,21.34947,4144000
2016-01-28,23.43,24.246,23.25,24.073999,22.301798,5454500
2016-01-29,24.156,24.540001,23.914,23.945999,22.183212,4292500
2016-02-01,23.275999,24.024,23.0,23.906,22.146166,3324500
2016-02-02,23.354,23.354,22.374001,22.676001,21.006706,5882500
2016-02-03,23.062,23.209999,22.33,23.118,21.41617,5275500
2016-02-04,23.233999,25.274,23.205999,24.694,22.876154,7701500
2016-02-05,24.379999,24.518,23.879999,24.181999,22.401848,3256000
2016-02-08,23.736,24.466,23.483999,24.370001,22.576006,6263000
2016-02-09,24.054001,25.246,23.836,24.82,22.992872,7837000
2016-02-10,24.6,25.228001,24.6,24.968,23.12998,5935500
2016-02-11,24.030001,24.448,23.472,24.216,22.433338,4374000
2016-02-12,24.438,25.059999,24.152,24.802,22.976202,3137000
2016-02-16,25.16,25.200001,24.306,24.950001,23.113308,3345500
2016-02-17,25.299999,26.114,25.110001,25.955999,24.045248,3963000
2016-02-18,26.087999,26.091999,25.0,25.326,23.461626,3671500
2016-02-19,24.98,25.434,24.785999,25.18,23.326372,4697500
2016-02-22,25.601999,25.844,25.441999,25.458,23.583908,5403500
2016-02-23,25.362,25.379999,24.364,24.468,22.666788,4365000
2016-02-24,24.054001,24.202,23.441999,24.07,22.298092,6145500
2016-02-25,24.306,24.372,23.802,24.049999,22.279558,5483000
2016-02-26,24.346001,24.76,24.072001,24.16,22.38146,5242500
2016-02-29,24.190001,24.542,24.038,24.238001,22.45372,5703000
2016-03-01,24.455999,25.073999,24.362,24.591999,22.78166,7684000
2016-03-02,24.362,24.625999,23.983999,23.99,22.223974,5822000
2016-03-03,23.98,24.521999,23.882,24.396,22.600086,4825000
2016-03-04,24.472,25.368,24.358,25.052,23.207802,4802500
2016-03-07,24.98,26.386,24.92,26.360001,24.41951,7460500
2016-03-08,26.112,26.304001,25.08,25.125999,23.27635,4965000
2016-03-09,25.374001,25.924,25.166,25.816,23.91556,4877000
2016-03-10,25.851999,26.219999,24.9,25.139999,23.289314,5415500
2016-03-11,25.5,26.444,25.462,26.393999,24.451008,3870000
2016-03-14,26.17,26.596001,26.106001,26.389999,24.447296,3237500
2016-03-15,26.190001,26.198,25.344,25.398001,23.528326,8423500
2016-03-16,25.6,25.628,25.139999,25.458,23.583908,5312500
2016-03-17,25.622,26.278,25.246,26.028,24.111948,7067500
2016-03-18,26.396,26.846001,26.298,26.774,24.803036,6006500
2016-03-21,26.702,27.153999,26.66,26.954,24.969782,4016000
2016-03-22,26.666,26.802,26.120001,26.152,24.274912,2952500
2016-03-23,26.218,26.23,25.799999,25.837999,23.98345,2387000
2016-03-24,25.502001,25.931999,25.326,25.834,23.97974,2276000
2016-03-28,25.884001,25.974001,25.298,25.622,23.782955,2506500
2016-03-29,25.476,26.33,25.266001,26.228001,24.345461,2476500
2016-03-30,26.525999,27.115999,26.525999,26.808001,24.883827,4886000
2016-03-31,26.888,26.924,26.441999,26.538,24.633205,2704000
2016-04-01,26.306,26.444,25.728001,26.4,24.505116,5198500
2016-04-04,26.384001,26.66,26.238001,26.308001,24.419714,4793500
2016-04-05,25.931999,26.386,25.784,26.15,24.273064,3223500
2016-04-06,26.224001,26.232,25.780001,26.01,24.143108,2379000
2016-04-07,25.754,26.1,25.677999,26.004,24.137539,2732500
2016-04-08,26.4,26.993999,26.364,26.958,25.023058,4228000
2016-04-11,27.358,28.214001,27.24,27.874001,25.87332,11415500
2016-04-12,27.954,28.988001,27.954,28.834,26.76441,6975500
2016-04-13,29.216,30.271999,29.156,29.964001,27.813309,8340500
2016-04-14,29.903999,29.958,29.448,29.566,27.443867,6079500
2016-04-15,29.478001,29.586,29.212,29.233999,27.135698,3163000
2016-04-18,29.006001,29.389999,28.76,29.15,27.057732,3778500
2016-04-19,29.504,30.018,29.4,29.966,27.815155,6574500
2016-04-20,29.246,30.122,28.836,29.782,27.644365,11502500
2016-04-21,29.556,30.202,29.458,30.032,27.876417,5285500
2016-04-22,30.032,30.275999,29.618,29.888,27.74276,8787000
2016-04-25,29.620001,29.732,28.826,28.916,26.840527,5625000
2016-04-26,28.812,29.129999,28.403999,28.67,26.612183,6660500
2016-04-27,28.875999,29.222,28.719999,29.048,26.963051,3850000
2016-04-28,29.048,29.431999,28.823999,28.948,26.87023,3982000
2016-04-29,29.115999,29.142,28.577999,28.85,26.779266,3881500
2016-05-02,28.908001,29.205999,28.573999,29.087999,27.000181,2685000
2016-05-03,28.634001,28.794001,28.426001,28.540001,26.491512,3889000
2016-05-04,28.274,28.458,27.982,28.194,26.170349,4167000
2016-05-05,28.308001,28.41,27.983999,28.0,25.990269,4224000
2016-05-06,27.799999,28.174,27.695999,27.764,25.771208,4125500
2016-05-09,27.76,27.806,27.184,27.332001,25.370216,6238500
2016-05-10,27.438,27.84,27.427999,27.591999,25.611559,3677000
2016-05-11,27.6,27.666,27.202,27.516001,25.541014,2510500
2016-05-12,27.756001,27.978001,27.379999,27.441999,25.472321,5071000
2016-05-13,27.308001,27.493999,26.622,26.724001,24.805861,4115500
2016-05-16,26.798,27.306,26.746,26.754,24.833704,3833500
2016-05-17,26.604,27.176001,26.558001,26.643999,24.7316,4681500
2016-05-18,26.542,27.032,26.205999,26.392,24.497683,4466500
2016-05-19,26.148001,26.148001,25.518,25.648001,23.807087,6123000
2016-05-20,25.822001,26.058001,25.788,25.826,23.972313,5576000
2016-05-23,25.722,25.799999,25.497999,25.59,23.75325,5746000
2016-05-24,25.796,26.186001,25.530001,25.610001,23.771816,5770000
2016-05-25,25.709999,25.99,25.652,25.875999,24.018724,5706500
2016-05-26,26.190001,26.247999,25.724001,25.85,23.994589,5774500
2016-05-27,25.822001,26.118,25.676001,26.066,24.195086,4091500
2016-05-31,26.128,26.356001,25.908001,25.917999,24.057703,2781000
2016-06-01,25.746,26.24,25.506001,26.153999,24.276772,3334000
2016-06-02,25.896,26.148001,25.808001,26.040001,24.170954,2385500
2016-06-03,26.246,26.638,25.944,26.540001,24.635067,3993000
2016-06-06,26.681999,26.788,26.5,26.752001,24.831844,2792500
2016-06-07,26.832001,27.256001,26.818001,27.181999,25.230984,3553000
2016-06-08,27.384001,27.746,27.247999,27.284,25.325663,4186000
2016-06-09,27.030001,27.114,26.747999,26.83,24.904249,5240000
2016-06-10,26.702,26.796,25.959999,25.988001,24.122684,6592000
2016-06-13,25.732,25.91,25.488001,25.604,23.766249,14574500
2016-06-14,25.568001,25.610001,25.346001,25.455999,23.628876,11047500
2016-06-15,25.452,25.59,25.243999,25.26,23.446939,13922000
2016-06-16,25.063999,25.063999,24.462,24.889999,23.103495,16432500
2016-06-17,25.038,25.676001,24.997999,25.518,23.686422,8641500
2016-06-20,25.927999,26.120001,25.379999,25.486,23.656717,7566000
2016-06-21,24.664,25.084,24.34,24.868,23.083075,9293500
2016-06-22,24.93,25.604,24.93,25.472,23.718113,6010500
2016-06-23,25.856001,26.08,25.709999,26.044001,24.250727,4924500
2016-06-24,24.862,25.309999,24.712,24.764,23.058865,5229500
2016-06-27,24.158001,24.466,23.9,24.202,22.535563,6194500
2016-06-28,24.374001,24.837999,24.34,24.702,23.001133,4511000
2016-06-29,25.004,25.389999,24.954,25.282,23.541197,3173500
2016-06-30,25.562,25.874001,25.132,25.757999,23.984425,4715500
2016-07-01,25.676001,26.288,25.676001,26.032,24.239557,3864000
2016-07-05,26.226,26.261999,25.955999,25.982,24.192999,4885000
2016-07-06,25.743999,26.24,25.403999,26.216,24.410887,3726500
2016-07-07,26.285999,26.486,25.950001,26.052,24.258173,2006500
2016-07-08,26.177999,26.754,26.177999,26.67,24.833628,2345000
2016-07-11,26.774,26.934,26.591999,26.601999,24.770304,2582500
2016-07-12,26.974001,27.403999,26.922001,27.292,25.412802,3062500
2016-07-13,27.308001,27.966,27.271999,27.802,25.887688,6429000
2016-07-14,27.917999,28.629999,27.917999,28.34,26.388641,6141500
2016-07-15,28.364,28.445999,28.177999,28.294001,26.3458,3095000
2016-07-18,28.120001,28.774,28.02,28.756001,26.77599,4274500
2016-07-19,28.441999,28.966,28.384001,28.618,26.647497,6916000
2016-07-20,28.392,30.374001,28.327999,30.122,28.047939,9445500
2016-07-21,29.893999,30.6,29.648001,29.799999,27.748114,5914000
2016-07-22,29.922001,30.098,29.691999,29.832001,27.77791,3280500
2016-07-25,29.586,29.77,29.35,29.382,27.358887,3943500
2016-07-26,29.388,29.476,29.200001,29.336,27.316061,3716000
2016-07-27,29.365999,29.365999,28.862,29.280001,27.263912,5075500
2016-07-28,29.188,29.719999,29.106001,29.620001,27.580496,2131500
2016-07-29,29.612,30.139999,29.566,29.955999,27.893375,2817000
2016-08-01,29.792,30.072001,29.761999,30.02,27.952961,2662500
2016-08-02,29.896,30.0,29.082001,29.332001,27.312338,2828500
2016-08-03,29.294001,29.556,29.238001,29.455999,27.427794,3916000
2016-08-04,28.368,28.743999,28.33,28.636,26.664253,26967500
2016-08-05,28.638,29.1,28.638,28.808001,26.824415,6686000
2016-08-08,28.941999,29.198,28.813999,28.886,26.897043,2814500
2016-08-09,29.007999,29.138,28.84,28.972,26.977123,3257500
2016-08-10,29.177999,29.194,28.733999,28.9,26.910076,3280500
2016-08-11,29.011999,29.5,29.011999,29.364,27.342127,3314000
2016-08-12,29.309999,29.58,29.233999,29.5,27.468763,2226000
2016-08-15,29.614,30.0,29.598,29.784,27.733215,3051000
2016-08-16,29.945999,29.992001,29.554001,29.848,27.792799,1892000
2016-08-17,29.848,30.058001,29.708,30.01,27.943647,2911000
2016-08-18,30.034,30.598,29.952,30.4,28.306791,3283500
2016-08-19,30.236,30.58,30.142,30.486,28.386875,3518000
2016-08-22,30.282,30.618,30.15,30.549999,28.446463,2089000
2016-08-23,30.754,30.788,30.530001,30.610001,28.502333,1233500
2016-08-24,30.542,30.746,30.392,30.406,28.312384,2041500
2016-08-25,30.327999,30.624001,30.326,30.458,28.360798,1670500
2016-08-26,30.58,30.950001,30.459999,30.625999,28.517235,1567500
2016-08-29,30.625999,31.136,30.538,30.945999,28.815195,2406500
2016-08-30,30.903999,31.096001,30.85,31.040001,28.902721,2063500
