Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,10.71,10.78,10.62,10.66,10.66,40320100
2021-02-16,10.98,11.0,10.72,10.83,10.83,7473000
2021-02-17,11.02,11.09,10.75,10.81,10.81,5852000
2021-02-18,10.84,11.0,10.81,10.86,10.86,2637000
2021-02-19,11.05,11.25,10.97,10.97,10.97,2452000
2021-02-22,11.19,11.5,11.07,11.2,11.2,2927200
2021-02-23,10.8,10.88,10.62,10.83,10.83,3367000
2021-02-24,10.82,10.88,10.6,10.66,10.66,2679100
2021-02-25,10.6,10.69,10.42,10.47,10.47,1881100
2021-02-26,10.55,10.56,10.35,10.44,10.44,1580600
2021-03-01,10.58,10.58,10.4,10.43,10.43,1052100
2021-03-02,10.42,10.45,10.18,10.22,10.22,1097700
2021-03-03,10.21,10.3,10.15,10.26,10.26,1356500
2021-03-04,10.16,10.22,10.018,10.15,10.15,2252100
2021-03-05,10.15,10.48,10.05,10.31,10.31,1294400
2021-03-08,10.32,10.322,10.15,10.2,10.2,1279500
2021-03-09,10.2,10.25,10.15,10.18,10.18,1970700
2021-03-10,10.18,10.213,10.1,10.18,10.18,1539600
2021-03-11,10.17,10.24,10.165,10.2,10.2,275500
2021-03-12,10.19,10.21,10.13,10.21,10.21,341100
2021-03-15,10.2,10.25,10.16,10.22,10.22,2105600
2021-03-16,10.24,10.24,10.098,10.13,10.13,2800
2021-03-17,10.16,10.22,10.11,10.13,10.13,153900
2021-03-18,10.12,10.13,10.07,10.08,10.08,502900
2021-03-19,10.09,10.11,10.05,10.1,10.1,1568200
2021-03-22,10.1,10.125,10.01,10.03,10.03,209400
2021-03-23,10.05,10.06,9.95,9.98,9.98,1180900
2021-03-24,10.0,10.005,9.91,9.93,9.93,872900
2021-03-25,9.76,10.01,9.74,9.97,9.97,1127600
2021-03-26,9.99,10.0,9.91,9.98,9.98,413800
2021-03-29,10.0,10.0,9.94,9.99,9.99,164800
2021-03-30,9.95,9.99,9.94,9.97,9.97,1466000
2021-03-31,9.95,9.98,9.95,9.97,9.97,181500
2021-04-01,9.99,10.01,9.98,9.99,9.99,459000
2021-04-05,10.0,10.15,10.0,10.12,10.12,537700
2021-04-06,10.06,10.15,10.03,10.1,10.1,741900
2021-04-07,10.06,10.15,10.06,10.15,10.15,405200
2021-04-08,10.11,10.23,10.11,10.2,10.2,256800
2021-04-09,10.12,10.2,10.12,10.15,10.15,502900
2021-04-12,10.15,10.17,10.09,10.16,10.16,192200
2021-04-13,10.13,10.13,10.06,10.1,10.1,119300
2021-04-14,10.07,10.125,10.07,10.11,10.11,1682900
2021-04-15,10.1,10.11,10.05,10.06,10.06,483200
2021-04-16,10.05,10.1,10.0,10.07,10.07,1060400
2021-04-19,10.02,10.04,9.98,10.01,10.01,1868700
2021-04-20,9.97,10.05,9.97,10.04,10.04,3188200
2021-04-21,10.0,10.03,9.99,10.03,10.03,74000
2021-04-22,10.0,10.06,10.0,10.03,10.03,98600
2021-04-23,10.0,10.05,10.0,10.05,10.05,464300
2021-04-26,10.01,10.05,10.0,10.0,10.0,317900
2021-04-27,9.99,10.05,9.99,10.04,10.04,116600
2021-04-28,10.01,10.04,10.0,10.04,10.04,587700
2021-04-29,10.01,10.07,10.01,10.07,10.07,115600
2021-04-30,10.05,10.09,10.04,10.08,10.08,168000
2021-05-03,10.08,10.18,10.06,10.13,10.13,179000
2021-05-04,10.16,10.18,10.1,10.15,10.15,695700
2021-05-05,10.1,10.17,10.1,10.15,10.15,893800
2021-05-06,10.1,10.165,10.09,10.1,10.1,272300
2021-05-07,10.05,10.11,10.05,10.07,10.07,229500
2021-05-10,10.0,10.11,10.0,10.03,10.03,380200
2021-05-11,10.0,10.02,9.97,10.01,10.01,678800
2021-05-12,10.0,10.06,10.0,10.02,10.02,162400
2021-05-13,10.0,10.02,9.99,10.0,10.0,234200
2021-05-14,10.08,10.08,9.99,10.0,10.0,120400
2021-05-17,9.99,10.01,9.98,10.0,10.0,200700
2021-05-18,9.92,10.0,9.92,9.99,9.99,218400
2021-05-19,9.96,9.98,9.95,9.98,9.98,156700
2021-05-20,9.96,9.98,9.95,9.98,9.98,38800
2021-05-21,9.96,10.01,9.96,9.99,9.99,57900
2021-05-24,10.0,10.0,9.95,10.0,10.0,64800
2021-05-25,9.98,10.01,9.97,10.0,10.0,113800
2021-05-26,9.98,10.03,9.98,10.02,10.02,626000
2021-05-27,10.0,10.03,9.99,10.0,10.0,835300
2021-05-28,9.98,10.01,9.98,10.0,10.0,220000
2021-06-01,10.0,10.03,9.98,10.0,10.0,124000
2021-06-02,9.97,10.02,9.97,10.02,10.02,182500
2021-06-03,9.97,10.02,9.97,10.01,10.01,552000
2021-06-04,9.98,10.01,9.98,10.0,10.0,178700
2021-06-07,9.97,10.01,9.97,10.0,10.0,773900
2021-06-08,10.0,10.02,9.99,10.01,10.01,1244700
