Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,6.51,7.174,6.51,7.02,4.191436,75100
2021-06-09,6.95,6.95,6.77,6.79,4.05411,30800
2021-06-10,6.74,6.78,6.62,6.65,3.97052,39000
2021-06-11,6.65,6.765,6.65,6.72,4.012315,20500
2021-06-14,6.7,6.715,6.6,6.63,3.958579,24400
2021-06-15,6.67,6.722,6.62,6.67,3.982461,12500
2021-06-16,6.66,6.84,6.61,6.8,4.06008,86800
2021-06-17,6.79,6.94,6.561,6.92,4.131729,31000
2021-06-18,6.95,7.0,6.81,7.0,4.179495,77100
2021-06-21,7.0,7.57,6.879,7.57,4.519825,100100
2021-06-22,7.44,7.45,7.16,7.39,4.412352,68600
2021-06-23,7.39,7.49,7.26,7.48,4.466089,31000
2021-06-24,7.45,7.69,7.29,7.68,4.585503,22600
2021-06-25,7.61,7.69,7.61,7.66,4.573562,4100
2021-06-28,7.66,7.66,7.48,7.56,4.513854,18800
2021-06-29,7.66,8.395,7.44,7.66,4.573562,5100
2021-06-30,7.13,7.75,7.13,7.22,4.31085,12800
2021-07-01,7.75,7.75,7.33,7.705,4.60043,7600
2021-07-02,7.39,7.413,7.112,7.15,4.269055,14400
2021-07-06,7.03,7.15,7.01,7.098,4.238008,12600
2021-07-07,7.03,7.169,7.0,7.0,4.179495,10900
2021-07-08,7.0,7.14,6.962,6.97,4.161582,13200
2021-07-09,6.98,7.09,6.93,6.95,4.149642,6200
2021-07-12,6.95,7.09,6.94,7.05,4.209348,11600
2021-07-13,7.1,7.15,6.969,6.969,4.160985,10000
2021-07-14,6.99,7.1,6.97,6.98,4.167553,2300
2021-07-15,6.94,7.171,6.89,6.92,4.131729,22700
2021-07-16,7.07,7.07,6.86,6.86,4.095904,6600
2021-07-19,6.63,6.974,6.42,6.45,3.851106,26800
2021-07-20,6.57,6.57,6.347,6.38,3.80931,16600
2021-07-21,6.51,6.6,6.49,6.52,3.8929,11000
2021-07-22,6.542,6.55,6.28,6.28,3.749604,7500
2021-07-23,6.29,6.502,6.273,6.326,3.777069,11700
2021-07-26,6.48,6.68,6.44,6.455,3.854091,10700
2021-07-27,6.79,6.79,6.53,6.65,3.97052,31700
2021-07-28,6.82,6.95,6.66,6.81,4.066051,48700
2021-07-29,6.918,6.918,6.73,6.73,4.018286,6500
2021-07-30,6.91,6.91,6.795,6.795,4.057095,3900
2021-08-02,6.81,6.88,6.723,6.725,4.015301,20500
2021-08-03,6.793,6.793,6.72,6.72,4.012315,3600
2021-08-04,6.72,6.805,6.69,6.8,4.06008,6600
2021-08-05,6.8,6.87,6.8,6.82,4.072022,16900
2021-08-06,6.83,7.01,6.83,7.0,4.179495,17900
2021-08-09,7.08,7.355,7.05,7.318,4.369363,46000
2021-08-10,7.34,7.34,7.1,7.22,4.31085,9200
2021-08-11,7.35,7.39,7.22,7.376,4.403993,17800
2021-08-12,6.76,7.06,6.76,6.95,4.241652,28600
2021-08-13,7.01,7.1,6.93,7.0,4.272167,5300
2021-08-16,6.79,6.97,6.76,6.92,4.223342,18500
2021-08-17,6.855,6.89,6.814,6.878,4.197709,5600
2021-08-18,6.83,6.94,6.73,6.889,4.204422,17200
