Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.52,16.52,16.52,16.52,12.063293,0
2016-01-05,16.15,16.15,15.63,15.63,11.413394,800
2016-01-06,15.63,15.63,15.63,15.63,11.413394,0
2016-01-07,15.63,15.63,15.63,15.63,11.413394,0
2016-01-08,15.63,15.63,15.63,15.63,11.413394,0
2016-01-11,15.63,15.63,15.63,15.63,11.413394,0
2016-01-12,15.63,15.63,15.63,15.63,11.413394,0
2016-01-13,15.63,15.63,15.63,15.63,11.413394,0
2016-01-14,15.5,15.5,15.5,15.5,11.318467,1400
2016-01-15,15.5,15.5,15.5,15.5,11.318467,0
2016-01-19,15.5,15.5,15.5,15.5,11.318467,0
2016-01-20,15.5,15.5,15.5,15.5,11.318467,0
2016-01-21,15.5,15.5,15.5,15.5,11.318467,0
2016-01-22,15.5,15.5,15.5,15.5,11.318467,0
2016-01-25,15.5,15.5,15.5,15.5,11.318467,0
2016-01-26,15.5,15.5,15.5,15.5,11.318467,0
2016-01-27,15.5,15.5,15.5,15.5,11.318467,0
2016-01-28,15.5,15.5,15.5,15.5,11.318467,0
2016-01-29,15.36,15.47,15.36,15.47,11.383216,500
2016-02-01,15.57,15.57,13.61,13.64,10.036657,1600
2016-02-02,13.64,13.64,13.64,13.64,10.036657,0
2016-02-03,13.64,13.64,13.64,13.64,10.036657,0
2016-02-04,13.64,13.64,13.64,13.64,10.036657,0
2016-02-05,13.64,13.64,13.64,13.64,10.036657,0
2016-02-08,13.64,13.64,13.64,13.64,10.036657,0
2016-02-09,13.64,13.64,13.64,13.64,10.036657,0
2016-02-10,13.64,13.64,13.64,13.64,10.036657,0
2016-02-11,13.64,13.64,13.64,13.64,10.036657,0
2016-02-12,13.64,13.64,13.64,13.64,10.036657,0
2016-02-16,13.64,13.64,13.64,13.64,10.036657,0
2016-02-17,13.64,13.64,13.64,13.64,10.036657,0
2016-02-18,14.5,14.6,14.32,14.32,10.537021,700
2016-02-19,14.41,14.41,14.41,14.41,10.603244,200
2016-02-22,14.41,14.41,14.41,14.41,10.603244,0
2016-02-23,14.41,14.41,14.41,14.41,10.603244,0
2016-02-24,14.41,14.41,14.41,14.41,10.603244,0
2016-02-25,14.25,14.25,14.25,14.25,10.485511,200
2016-02-26,14.25,14.25,14.25,14.25,10.485511,0
2016-02-29,14.25,14.25,14.25,14.25,10.485511,0
2016-03-01,14.4,14.44,14.4,14.4,10.595886,700
2016-03-02,14.09,14.09,14.09,14.09,10.367781,500
2016-03-03,14.09,14.09,14.09,14.09,10.367781,0
2016-03-04,14.09,14.09,14.09,14.09,10.367781,0
2016-03-07,14.09,14.09,14.09,14.09,10.367781,0
2016-03-08,13.98,13.98,13.98,13.98,10.286839,200
2016-03-09,13.98,13.98,13.98,13.98,10.286839,0
2016-03-10,13.98,13.98,13.98,13.98,10.286839,0
2016-03-11,13.98,13.98,13.98,13.98,10.286839,0
2016-03-14,13.98,13.98,13.98,13.98,10.286839,0
2016-03-15,13.98,13.98,13.98,13.98,10.286839,0
2016-03-16,13.98,13.98,13.98,13.98,10.286839,0
2016-03-17,13.98,13.98,13.98,13.98,10.286839,0
2016-03-18,13.98,13.98,13.98,13.98,10.286839,0
2016-03-21,13.98,13.98,13.98,13.98,10.286839,0
2016-03-22,13.56,13.56,13.51,13.51,9.941002,1300
2016-03-23,13.51,13.51,13.51,13.51,9.941002,0
2016-03-24,13.51,13.51,13.51,13.51,9.941002,0
2016-03-28,13.51,13.51,13.51,13.51,9.941002,0
2016-03-29,13.51,13.51,13.51,13.51,9.941002,0
2016-03-30,13.51,13.51,13.51,13.51,9.941002,0
2016-03-31,13.51,13.51,13.51,13.51,9.941002,0
2016-04-01,12.74,12.75,12.72,12.72,9.359698,1100
2016-04-04,13.09,13.09,13.09,13.09,9.631954,100
2016-04-05,13.09,13.09,13.09,13.09,9.631954,0
2016-04-06,13.09,13.09,13.09,13.09,9.631954,0
2016-04-07,12.63,12.65,12.56,12.56,9.241966,400
2016-04-08,13.4,13.4,12.98,12.98,9.551014,700
2016-04-11,12.85,12.85,12.85,12.85,9.455356,100
2016-04-12,12.85,12.85,12.85,12.85,9.455356,0
2016-04-13,12.85,12.85,12.85,12.85,9.455356,0
2016-04-14,12.85,12.85,12.85,12.85,9.455356,0
