Date,Open,High,Low,Close,Adj Close,Volume
2019-03-28,540.0,570.0,514.799988,523.200012,523.200012,128803
2019-03-29,532.5,545.400024,495.899994,538.5,538.5,23643
2019-04-01,538.5,538.5,499.799988,508.200012,508.200012,6700
2019-04-02,508.5,522.900024,498.0,502.799988,502.799988,8517
2019-04-03,503.100006,503.459991,444.149994,451.5,451.5,14083
2019-04-04,450.899994,469.799988,439.799988,454.5,454.5,4677
2019-04-05,453.0,461.399994,429.899994,442.200012,442.200012,5937
2019-04-08,442.200012,446.700012,432.299988,444.600006,444.600006,3407
2019-04-09,441.0,463.5,436.799988,455.399994,455.399994,3357
2019-04-10,452.399994,464.700012,435.299988,438.0,438.0,4137
2019-04-11,441.0,449.399994,394.799988,421.200012,421.200012,3750
2019-04-12,424.799988,429.0,390.75,399.600006,399.600006,2533
2019-04-15,394.799988,406.26001,393.0,395.700012,395.700012,1037
2019-04-16,391.5,404.399994,389.100006,397.799988,397.799988,7397
2019-04-17,396.0,405.0,384.899994,389.399994,389.399994,2830
2019-04-18,395.100006,395.399994,363.899994,365.399994,365.399994,3340
2019-04-22,386.100006,407.100006,366.600006,403.200012,403.200012,22923
2019-04-23,411.0,417.0,396.299988,407.399994,407.399994,7560
2019-04-24,412.5,418.649994,379.799988,383.399994,383.399994,5400
2019-04-25,386.100006,390.899994,369.75,375.0,375.0,4110
2019-04-26,377.399994,389.700012,372.0,379.200012,379.200012,3313
2019-04-29,379.200012,414.899994,379.200012,390.899994,390.899994,6827
2019-04-30,391.200012,400.5,384.299988,390.0,390.0,2323
2019-05-01,387.600006,403.950012,376.5,388.200012,388.200012,4420
2019-05-02,384.0,386.549988,353.220001,378.0,378.0,5463
2019-05-03,379.799988,392.609985,354.0,356.399994,356.399994,4037
2019-05-06,357.899994,391.799988,356.700012,390.0,390.0,4367
2019-05-07,390.299988,402.0,378.0,388.200012,388.200012,7300
2019-05-08,387.0,396.0,380.700012,382.200012,382.200012,4593
2019-05-09,380.700012,395.399994,375.0,387.299988,387.299988,2947
2019-05-10,385.799988,394.5,381.450012,391.5,391.5,6190
2019-05-13,388.799988,398.399994,385.410004,394.5,394.5,4187
2019-05-14,397.200012,412.5,397.200012,410.700012,410.700012,6060
2019-05-15,408.0,413.100006,381.600006,381.899994,381.899994,5587
2019-05-16,384.0,399.299988,381.0,393.600006,393.600006,3323
2019-05-17,388.799988,390.450012,363.0,373.799988,373.799988,3897
2019-05-20,373.5,405.0,366.329987,395.399994,395.399994,4520
2019-05-21,395.700012,411.600006,383.820007,398.100006,398.100006,8757
2019-05-22,396.0,404.700012,379.5,396.299988,396.299988,4913
2019-05-23,391.200012,404.100006,387.299988,399.299988,399.299988,2910
2019-05-24,401.399994,417.0,401.399994,411.899994,411.899994,4513
2019-05-28,412.5,420.299988,409.049988,418.799988,418.799988,3923
2019-05-29,415.5,419.700012,392.790009,403.799988,403.799988,2127
2019-05-30,406.5,406.5,380.700012,383.399994,383.399994,3743
2019-05-31,379.799988,404.700012,375.600006,402.899994,402.899994,3620
2019-06-03,403.200012,407.700012,382.410004,390.299988,390.299988,4090
2019-06-04,391.200012,406.5,386.700012,404.700012,404.700012,4203
2019-06-05,405.0,411.0,391.5,404.399994,404.399994,9890
2019-06-06,405.600006,416.670013,396.0,405.299988,405.299988,4090
2019-06-07,410.399994,418.799988,390.0,396.0,396.0,6597
2019-06-10,398.399994,407.700012,375.0,387.899994,387.899994,7083
2019-06-11,387.0,393.0,359.700012,363.899994,363.899994,4753
2019-06-12,366.600006,371.700012,357.899994,361.200012,361.200012,5960
2019-06-13,363.600006,375.600006,360.329987,373.799988,373.799988,11857
2019-06-14,378.600006,397.5,376.5,389.100006,389.100006,8963
2019-06-17,399.899994,406.5,372.869995,376.200012,376.200012,6033
2019-06-18,379.200012,412.5,376.5,411.0,411.0,7930
2019-06-19,412.200012,420.299988,390.959991,415.5,415.5,7377
2019-06-20,419.100006,457.200012,417.359985,451.5,451.5,15780
2019-06-21,455.700012,459.0,436.5,441.600006,441.600006,14090
2019-06-24,444.0,450.899994,371.700012,396.299988,396.299988,12050
2019-06-25,399.0,407.700012,393.299988,396.0,396.0,6410
2019-06-26,396.600006,405.0,383.100006,384.899994,384.899994,4877
2019-06-27,386.100006,399.899994,384.390015,396.899994,396.899994,3283
2019-06-28,400.5,415.5,390.299988,397.5,397.5,44067
2019-07-01,396.0,402.0,384.899994,389.399994,389.399994,11877
2019-07-02,390.0,402.0,383.399994,398.700012,398.700012,2240
2019-07-03,405.0,406.5,389.100006,401.700012,401.700012,2567
2019-07-05,405.0,430.799988,399.600006,424.5,424.5,7557
2019-07-08,426.600006,436.799988,405.299988,409.5,409.5,3743
2019-07-09,407.399994,416.850006,400.200012,406.200012,406.200012,2173
2019-07-10,409.200012,437.399994,401.100006,429.600006,429.600006,4550
2019-07-11,426.299988,437.700012,410.040009,429.0,429.0,3983
2019-07-12,429.0,436.200012,400.5,404.100006,404.100006,4233
2019-07-15,404.700012,424.079987,402.0,412.799988,412.799988,1897
2019-07-16,420.0,439.799988,414.600006,416.100006,416.100006,2370
2019-07-17,417.0,480.0,402.600006,444.299988,444.299988,11220
2019-07-18,445.200012,451.799988,425.100006,444.600006,444.600006,2190
2019-07-19,444.0,464.399994,410.700012,417.299988,417.299988,2947
2019-07-22,418.200012,429.899994,412.5,420.299988,420.299988,1707
2019-07-23,421.5,421.5,397.200012,406.5,406.5,2920
2019-07-24,408.899994,408.899994,375.0,388.5,388.5,7947
2019-07-25,383.399994,400.049988,373.799988,386.399994,386.399994,5120
2019-07-26,389.700012,393.299988,382.799988,388.799988,388.799988,1063
2019-07-29,394.5,400.5,382.5,399.0,399.0,2500
2019-07-30,396.600006,398.100006,384.299988,395.399994,395.399994,870
2019-07-31,393.720001,405.0,378.899994,386.100006,386.100006,1327
2019-08-01,386.399994,396.899994,355.5,358.200012,358.200012,4297
2019-08-02,358.799988,378.899994,347.100006,350.700012,350.700012,5040
2019-08-05,348.899994,359.399994,337.5,342.0,342.0,2910
2019-08-06,343.799988,352.5,331.5,344.700012,344.700012,3087
2019-08-07,344.700012,347.399994,334.950012,335.399994,335.399994,2437
2019-08-08,335.700012,358.320007,315.0,329.399994,329.399994,5577
2019-08-09,335.700012,335.700012,261.059998,275.700012,275.700012,10107
2019-08-12,276.299988,288.0,276.299988,278.100006,278.100006,6947
2019-08-13,280.200012,288.0,264.299988,275.100006,275.100006,4520
2019-08-14,271.5,288.299988,267.0,282.899994,282.899994,4383
2019-08-15,277.5,279.600006,257.700012,264.899994,264.899994,4607
2019-08-16,269.100006,284.549988,264.0,281.100006,281.100006,6930
2019-08-19,282.899994,294.299988,282.0,292.799988,292.799988,1957
2019-08-20,294.899994,302.399994,288.299988,296.100006,296.100006,2130
2019-08-21,298.799988,298.799988,276.450012,279.899994,279.899994,1953
2019-08-22,279.299988,293.25,258.0,261.299988,261.299988,3663
2019-08-23,260.700012,268.5,245.100006,249.600006,249.600006,3363
2019-08-26,251.699997,258.899994,234.0,249.0,249.0,2543
2019-08-27,250.800003,260.100006,238.5,246.0,246.0,2613
2019-08-28,244.5,256.799988,240.300003,251.699997,251.699997,1030
2019-08-29,253.199997,257.399994,242.699997,252.0,252.0,1277
2019-08-30,251.699997,260.399994,243.300003,255.600006,255.600006,1207
2019-09-03,255.600006,255.600006,240.600006,243.0,243.0,2057
2019-09-04,245.699997,250.199997,242.100006,246.300003,246.300003,1440
2019-09-05,249.300003,254.699997,245.699997,249.0,249.0,1290
2019-09-06,243.899994,255.600006,243.899994,245.699997,245.699997,2420
2019-09-09,246.600006,250.320007,237.300003,241.5,241.5,2270
2019-09-10,243.0,246.0,237.300003,240.899994,240.899994,2833
2019-09-11,241.800003,306.299988,236.699997,294.0,294.0,27290
2019-09-12,311.399994,339.480011,291.600006,299.700012,299.700012,12007
2019-09-13,304.799988,310.950012,286.619995,294.0,294.0,3080
2019-09-16,301.799988,309.0,288.0,289.799988,289.799988,6497
2019-09-17,291.600006,305.399994,291.209991,297.600006,297.600006,3480
