Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,24.51,24.67,24.450001,24.629999,22.126007,236400
2022-01-27,24.65,24.65,24.25,24.25,21.784641,150300
2022-01-28,24.299999,24.370001,24.15,24.25,21.784641,21000
2022-01-31,24.25,24.48,24.209999,24.24,21.775658,41500
2022-02-01,24.32,24.389999,24.309999,24.389999,21.910408,23000
2022-02-02,24.34,24.427,24.299999,24.379999,21.901421,23700
2022-02-03,24.549999,24.549999,24.299999,24.35,21.874475,33000
2022-02-04,24.299999,24.299999,22.959999,24.219999,21.757689,18400
2022-02-07,24.25,24.290001,23.85,24.16,21.703793,9700
2022-02-08,24.16,24.16,24.025,24.139999,21.685823,13500
2022-02-09,24.09,24.129999,23.809999,24.129999,21.67684,26800
2022-02-10,24.190001,24.190001,23.938,24.030001,21.587009,29900
2022-02-11,24.02,24.09,23.950001,24.0,21.560055,53600
2022-02-14,24.0,24.0,23.950001,24.0,21.560055,15000
2022-02-15,23.952999,24.08,23.950001,23.959999,21.524124,26200
2022-02-16,24.049999,24.049999,23.91,24.0,21.560055,23600
2022-02-17,24.0,24.0,23.959999,23.99,21.551073,7300
2022-02-18,23.995001,24.09,23.950001,24.059999,21.613956,27300
2022-02-22,23.99,23.99,23.75,23.98,21.542089,13200
2022-02-23,23.9,23.92,23.5,23.636,21.233063,5000
2022-02-24,23.801001,23.85,23.620001,23.85,21.425306,4500
2022-02-25,23.879999,23.885,23.597,23.885,21.456745,20400
2022-02-28,23.85,23.950001,23.75,23.950001,21.515142,10800
2022-03-01,23.872,23.937,23.76,23.9,21.470222,8200
2022-03-02,23.85,23.860001,23.799999,23.799999,21.380388,13200
2022-03-03,23.799999,23.940001,23.75,23.77,21.353439,5000
2022-03-04,23.75,23.75,23.572001,23.6,21.200722,12500
2022-03-07,23.6,23.723,23.360001,23.712999,21.302233,6100
2022-03-08,23.5,23.790001,23.379999,23.77,21.353439,2700
2022-03-09,23.879999,23.9,23.379999,23.82,21.398355,2800
2022-03-10,23.75,23.75,23.6,23.728001,21.315708,4500
2022-03-11,23.74,23.749001,23.645,23.694,21.285166,3400
2022-03-14,23.700001,24.559999,23.525,23.790001,21.371407,22200
2022-03-15,23.605,23.85,23.552,23.84,21.416325,11900
2022-03-16,23.799999,23.871,23.598,23.870001,21.443274,8700
2022-03-17,23.700001,23.985001,23.603001,23.870001,21.443274,8200
2022-03-18,23.860001,24.1,23.700001,23.92,21.48819,15200
2022-03-21,23.843,24.049999,23.843,23.950001,21.515142,12400
2022-03-22,23.950001,24.049999,23.85,24.049999,21.604973,13000
2022-03-23,24.01,24.1,23.860001,24.1,21.649891,8100
2022-03-24,24.09,24.1,23.85,24.1,21.649891,9200
2022-03-25,24.09,24.200001,24.0,24.200001,21.739727,2300
2022-03-28,24.200001,24.200001,24.0,24.0,21.560055,1500
2022-03-29,24.0,24.200001,24.0,24.0,21.560055,1600
2022-03-30,24.157,24.157,23.85,23.85,21.425306,4600
2022-03-31,23.93,23.969999,23.878,23.940001,21.506157,3200
2022-04-01,23.98,23.98,23.945,23.945,21.510649,900
2022-04-04,23.959999,24.17,23.875,24.17,21.712772,14300
2022-04-05,24.190001,24.200001,24.02,24.08,21.631926,4400
2022-04-06,24.059999,24.1,23.885,23.957001,21.521431,5100
2022-04-07,23.950001,24.200001,23.909,24.200001,21.739727,4200
2022-04-08,23.985001,24.1,23.934999,24.02,21.578026,6000
2022-04-11,24.087,24.1,23.99,24.002001,21.561855,10800
2022-04-12,24.200001,24.200001,23.875,24.139999,21.685823,9900
2022-04-13,24.0,24.049999,23.85,23.93,21.497175,13100
2022-04-14,23.93,24.1,23.85,23.860001,21.434292,7100
2022-04-18,24.01,24.01,24.01,24.01,21.569042,300
2022-04-19,23.950001,23.950001,23.950001,23.950001,21.515142,300
2022-04-20,24.0,24.0,23.75,23.809999,21.389374,15600
2022-04-21,23.895,23.969999,23.4,23.68,21.272591,22700
2022-04-22,23.4,23.84,23.4,23.521999,21.13065,3500
2022-04-25,23.665001,23.85,23.5,23.801001,21.381289,2200
2022-04-26,23.5,23.690001,23.5,23.596001,21.197132,1100
2022-04-27,23.52,23.549999,23.200001,23.370001,20.994104,20300
2022-04-28,23.559999,23.559999,23.15,23.462,21.076752,4400
2022-04-29,23.33,23.49,23.33,23.49,21.101908,1200
2022-05-02,23.469999,23.469999,23.379999,23.388,21.010277,3600
2022-05-03,23.200001,23.379999,23.200001,23.379999,21.003088,6100
2022-05-04,23.172001,23.4,23.15,23.4,21.021055,8000
2022-05-05,23.200001,23.48,23.110001,23.42,21.039022,11900
2022-05-06,23.370001,23.389999,23.059999,23.25,20.886305,21100
