Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.0,8.0,7.82,7.95,5.446881,5500
2016-01-05,7.92,7.92,7.84,7.84,5.371516,1400
2016-01-06,7.73,7.78,7.72,7.78,5.330407,3400
2016-01-07,7.71,7.71,7.6,7.63,5.227635,7900
2016-01-08,7.63,7.65,7.62,7.62,5.220784,4400
2016-01-11,7.71,7.71,7.54,7.55,5.172825,12000
2016-01-12,7.57,7.59,7.55,7.56,5.179677,2100
2016-01-13,7.55,7.58,7.5,7.5,5.138567,21900
2016-01-14,7.5,7.56,7.5,7.54,5.165974,3800
2016-01-15,7.41,7.41,7.26,7.31,5.00839,18300
2016-01-19,7.39,7.39,7.29,7.33,5.022094,6000
2016-01-20,7.1,7.25,6.95,7.11,4.871362,15500
2016-01-21,7.08,7.22,7.05,7.2,4.933024,12200
2016-01-22,7.39,7.41,7.3,7.35,5.035796,3100
2016-01-25,7.34,7.43,7.34,7.37,5.049498,9000
2016-01-26,7.28,7.47,7.28,7.47,5.118013,4300
2016-01-27,7.44,7.45,7.44,7.44,5.097458,1100
2016-01-28,7.55,7.57,7.47,7.53,5.159122,11300
2016-01-29,7.6,7.71,7.54,7.59,5.20023,5200
2016-02-01,7.55,7.65,7.41,7.65,5.241339,11400
2016-02-02,7.51,7.63,7.51,7.6,5.207082,6000
2016-02-03,7.6,7.69,7.5,7.6,5.207082,16900
2016-02-04,7.62,7.62,7.61,7.61,5.213932,3000
2016-02-05,7.52,7.52,7.42,7.42,5.083756,2800
2016-02-08,7.3,7.31,7.27,7.31,5.00839,3600
2016-02-09,7.24,7.33,7.18,7.26,4.974133,7800
2016-02-10,7.28,7.32,7.28,7.31,5.00839,3300
2016-02-11,7.11,7.21,7.0,7.04,4.823402,25600
2016-02-12,7.01,7.19,7.01,7.19,4.926173,8100
2016-02-16,7.26,7.26,7.2,7.25,4.967281,5100
2016-02-17,7.41,7.45,7.39,7.4,5.070053,3000
2016-02-18,7.4,7.46,7.34,7.45,5.10431,7400
2016-02-19,7.38,7.47,7.33,7.47,5.118013,19200
2016-02-22,7.51,7.51,7.42,7.44,5.097458,2700
2016-02-23,7.37,7.47,7.36,7.45,5.10431,44500
2016-02-24,7.3,7.35,7.15,7.32,5.015242,6400
2016-02-25,7.43,7.45,7.21,7.43,5.090608,10700
2016-02-26,7.46,7.46,7.42,7.43,5.090608,4700
2016-02-29,7.38,7.52,7.38,7.42,5.083756,9200
2016-03-01,7.48,7.62,7.48,7.59,5.20023,12500
2016-03-02,7.37,7.58,7.36,7.58,5.193377,7100
2016-03-03,7.57,7.59,7.57,7.58,5.193377,3900
2016-03-04,7.46,7.65,7.46,7.65,5.241339,21200
