Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.81,10.35,9.6,10.28,10.28,205900
2016-01-05,10.27,10.36,10.05,10.27,10.27,73800
2016-01-06,10.08,10.23,10.02,10.04,10.04,71900
2016-01-07,9.83,9.98,9.73,9.92,9.92,128500
2016-01-08,10.0,10.28,9.82,10.1,10.1,238000
2016-01-11,10.11,10.19,9.9,10.02,10.02,175900
2016-01-12,10.12,10.27,9.87,10.07,10.07,115900
2016-01-13,10.1,10.25,9.77,9.83,9.83,93500
2016-01-14,9.9,10.3,9.75,10.22,10.22,80500
2016-01-15,9.9,10.41,9.59,10.1,10.1,193700
2016-01-19,10.2,10.25,9.49,9.73,9.73,198000
2016-01-20,9.56,10.0,9.32,9.88,9.88,97400
2016-01-21,9.88,10.28,9.82,9.95,9.95,114800
2016-01-22,10.21,10.36,10.14,10.3,10.3,154300
2016-01-25,10.14,10.51,9.86,9.91,9.91,72500
2016-01-26,9.99,10.32,9.79,10.15,10.15,97900
2016-01-27,10.05,10.11,9.62,9.78,9.78,130100
2016-01-28,9.96,10.16,9.76,10.0,10.0,145700
2016-01-29,10.04,10.54,10.01,10.49,10.49,201700
2016-02-01,10.44,10.74,10.32,10.62,10.62,110900
2016-02-02,10.41,10.96,9.67,10.23,10.23,79800
2016-02-03,10.36,10.55,9.25,10.1,10.1,66300
2016-02-04,10.09,10.35,10.0,10.08,10.08,56800
2016-02-05,10.03,10.04,9.65,9.8,9.8,91500
2016-02-08,9.68,9.68,8.88,9.43,9.43,90600
2016-02-09,9.27,9.72,9.26,9.49,9.49,56200
2016-02-10,9.54,9.95,9.43,9.53,9.53,85000
2016-02-11,9.29,9.7,9.25,9.55,9.55,77600
2016-02-12,9.64,9.96,9.53,9.83,9.83,91100
2016-02-16,9.95,10.33,9.67,10.23,10.23,74300
2016-02-17,10.29,10.62,10.29,10.47,10.47,90800
2016-02-18,10.46,10.59,10.26,10.3,10.3,55800
2016-02-19,10.28,10.57,10.28,10.45,10.45,49000
2016-02-22,10.57,10.67,10.33,10.34,10.34,57000
2016-02-23,10.28,10.69,10.22,10.23,10.23,84000
2016-02-24,8.14,10.25,8.14,10.14,10.14,203500
2016-02-25,10.16,10.54,10.0,10.3,10.3,64200
2016-02-26,10.38,10.56,9.99,10.47,10.47,61900
2016-02-29,10.48,10.54,9.6,10.09,10.09,67200
