Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,9.89,9.9,9.86,9.86,9.86,225100
2022-02-02,9.86,9.86,9.86,9.86,9.86,0
2022-02-03,9.86,9.86,9.86,9.86,9.86,0
2022-02-04,9.86,9.86,9.86,9.86,9.86,0
2022-02-07,10.0,10.0,9.9,10.0,10.0,1800
2022-02-08,9.86,9.96,9.86,9.96,9.96,1200
2022-02-09,9.96,9.96,9.96,9.96,9.96,0
2022-02-10,9.96,9.96,9.96,9.96,9.96,0
2022-02-11,9.96,9.96,9.96,9.96,9.96,0
2022-02-14,9.96,9.96,9.96,9.96,9.96,0
2022-02-15,9.9,9.9,9.9,9.9,9.9,38200
2022-02-16,9.95,9.95,9.95,9.95,9.95,400
2022-02-17,9.95,9.95,9.95,9.95,9.95,0
2022-02-18,9.88,9.88,9.88,9.88,9.88,100
2022-02-22,9.89,9.89,9.88,9.88,9.88,2100
2022-02-23,9.89,9.89,9.88,9.89,9.89,306900
2022-02-24,9.88,9.9,9.88,9.9,9.9,4000
2022-02-25,9.89,9.92,9.89,9.92,9.92,10700
2022-02-28,9.9,9.9,9.9,9.9,9.9,86000
2022-03-01,9.9,9.92,9.9,9.92,9.92,22600
2022-03-02,9.91,9.92,9.91,9.91,9.91,5800
2022-03-03,9.92,9.92,9.92,9.92,9.92,6200
2022-03-04,9.92,9.92,9.92,9.92,9.92,0
2022-03-07,9.92,9.92,9.92,9.92,9.92,0
2022-03-08,9.93,9.93,9.93,9.93,9.93,3500
2022-03-09,9.93,9.93,9.93,9.93,9.93,500
2022-03-10,9.92,9.92,9.92,9.92,9.92,2500
2022-03-11,9.92,9.92,9.92,9.92,9.92,0
2022-03-14,9.91,9.91,9.91,9.91,9.91,600
2022-03-15,9.9,9.9,9.9,9.9,9.9,700
2022-03-16,9.9,9.9,9.9,9.9,9.9,0
2022-03-17,9.93,9.93,9.93,9.93,9.93,15100
2022-03-18,9.93,9.93,9.93,9.93,9.93,0
2022-03-21,9.93,9.93,9.93,9.93,9.93,0
2022-03-22,9.93,9.93,9.93,9.93,9.93,0
2022-03-23,9.93,9.93,9.93,9.93,9.93,0
2022-03-24,9.93,9.93,9.93,9.93,9.93,0
2022-03-25,9.93,9.93,9.93,9.93,9.93,1400
2022-03-28,9.93,9.93,9.93,9.93,9.93,0
2022-03-29,9.93,9.93,9.93,9.93,9.93,100
2022-03-30,9.93,9.93,9.93,9.93,9.93,0
2022-03-31,9.96,9.97,9.92,9.97,9.97,9400
2022-04-01,9.97,9.97,9.97,9.97,9.97,0
2022-04-04,9.97,9.97,9.97,9.97,9.97,0
2022-04-05,9.97,9.97,9.97,9.97,9.97,0
2022-04-06,9.97,9.97,9.97,9.97,9.97,0
2022-04-07,9.94,9.98,9.91,9.97,9.97,12100
2022-04-08,9.97,9.97,9.97,9.97,9.97,0
2022-04-11,9.97,9.97,9.97,9.97,9.97,0
2022-04-12,9.99,9.99,9.98,9.98,9.98,2300
2022-04-13,9.96,9.99,9.96,9.99,9.99,800
