Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.02,15.9,14.39,15.26,8.06503,736400
2016-01-05,15.26,15.39,14.65,15.38,8.128451,371800
2016-01-06,14.88,14.98,14.07,14.28,7.547092,238000
2016-01-07,13.94,14.25,13.6,13.83,7.309261,544400
2016-01-08,14.01,14.73,13.58,14.12,7.462529,430700
2016-01-11,14.22,14.24,12.3,12.76,6.74376,471000
2016-01-12,13.0,13.24,11.77,12.51,6.611631,740600
2016-01-13,13.95,14.45,12.11,12.65,6.685623,1381900
2016-01-14,12.67,13.81,12.53,13.71,7.245842,875600
2016-01-15,12.92,13.17,12.33,13.08,6.912879,842400
2016-01-19,13.05,13.07,10.62,11.43,6.040845,1060300
2016-01-20,10.53,11.18,9.31,9.95,5.258653,1084900
2016-01-21,10.44,11.14,9.88,10.5,5.549331,1455800
2016-01-22,11.06,12.31,11.03,11.89,6.283957,980400
2016-01-25,11.84,12.7,11.36,11.84,6.257533,702900
2016-01-26,12.21,13.04,11.52,12.37,6.53764,745700
2016-01-27,12.16,12.82,11.51,12.54,6.627486,834900
2016-01-28,12.92,13.13,12.27,12.56,6.775845,557600
2016-01-29,12.66,13.02,12.27,12.65,6.824397,574600
2016-02-01,12.39,12.6,11.88,12.34,6.65716,452300
2016-02-02,12.0,12.01,11.41,11.69,6.306498,527600
2016-02-03,11.94,12.25,11.46,12.18,6.57084,651100
2016-02-04,12.32,12.92,11.97,12.53,6.75966,1179600
2016-02-05,12.34,12.78,12.13,12.42,6.700319,1324500
2016-02-08,11.52,11.52,9.34,9.6,5.17899,1623400
2016-02-09,9.3,9.59,8.95,9.21,4.968594,1217500
2016-02-10,9.3,9.95,8.76,9.48,5.114251,510300
2016-02-11,9.19,9.3,8.39,8.69,4.688064,859900
2016-02-12,8.97,9.4,8.53,8.66,4.671878,1995100
2016-02-16,8.94,9.36,8.55,8.91,4.806749,1041500
2016-02-17,8.1,8.23,7.15,7.18,3.873453,3361900
2016-02-18,7.0,7.48,6.99,7.26,3.91661,2243000
2016-02-19,7.25,7.31,6.78,7.29,3.932795,1276100
2016-02-22,7.4,8.04,7.39,7.84,4.229507,1330100
2016-02-23,7.58,7.64,7.04,7.13,3.846479,999900
2016-02-24,7.0,7.34,6.41,7.15,3.857268,954700
2016-02-25,7.01,7.57,6.83,7.24,3.905821,1201700
2016-02-26,7.44,8.21,7.31,7.99,4.31043,1257100
2016-02-29,7.88,8.49,7.8,8.37,4.515431,858000
2016-03-01,8.47,8.49,8.08,8.39,4.52622,468500
2016-03-02,8.38,9.01,8.26,8.94,4.822934,878500
2016-03-03,8.87,10.61,8.87,10.08,5.437939,1223800
2016-03-04,10.31,10.81,9.75,10.1,5.448727,1682200
2016-03-07,10.1,10.79,10.1,10.6,5.718468,808800
2016-03-08,10.28,10.47,9.49,9.55,5.152015,826700
2016-03-09,9.86,10.12,9.37,9.79,5.28149,617900
2016-03-10,9.69,10.0,9.44,9.93,5.357018,472400
2016-03-11,10.1,10.42,9.93,10.27,5.54044,338900
2016-03-14,10.02,10.33,9.65,10.14,5.470308,442000
2016-03-15,9.89,10.19,9.51,10.04,5.416358,932100
2016-03-16,10.07,11.46,9.98,11.25,6.069129,984100
2016-03-17,10.48,11.59,10.48,11.42,6.160839,846500
2016-03-18,11.62,11.83,10.88,11.14,6.009786,1030000
2016-03-21,11.0,11.2,10.43,10.97,5.918073,477100
2016-03-22,10.87,11.51,10.79,11.4,6.150051,465700
2016-03-23,11.26,11.41,10.59,10.71,5.777811,583300
2016-03-24,10.49,10.96,10.27,10.78,5.815572,281900
2016-03-28,10.84,10.84,10.39,10.59,5.713072,193300
2016-03-29,10.36,10.74,10.03,10.6,5.718468,384800
2016-03-30,10.75,11.08,10.57,10.83,5.842545,350200
2016-03-31,10.82,11.34,10.79,11.25,6.069129,236700
2016-04-01,10.95,10.95,10.15,10.31,5.56202,674700
2016-04-04,10.34,10.6,9.98,10.01,5.400175,638200
2016-04-05,9.94,10.25,9.91,10.0,5.39478,455200
2016-04-06,10.09,10.94,10.05,10.73,5.788599,757700
2016-04-07,10.67,11.13,10.59,10.97,5.918073,741900
2016-04-08,11.21,12.05,11.2,11.68,6.301104,811400
