Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,21.379999,21.530001,21.379999,21.52,14.69136,72200
2016-01-05,21.559999,21.6,21.49,21.59,14.739154,27700
2016-01-06,21.58,21.74,21.530001,21.65,14.780111,68400
2016-01-07,21.719999,21.73,21.540001,21.57,14.725495,42800
2016-01-08,21.629999,21.629999,21.49,21.57,14.725495,26600
2016-01-11,21.620001,21.620001,21.440001,21.530001,14.698188,33300
2016-01-12,21.610001,21.610001,21.530001,21.58,14.732323,26400
2016-01-13,21.559999,21.610001,21.469999,21.5,14.677716,56400
2016-01-14,21.629999,21.629999,21.440001,21.530001,14.698188,36800
2016-01-15,21.540001,21.620001,21.5,21.540001,14.705019,21200
2016-01-19,21.639999,21.68,21.469999,21.48,14.664052,33000
2016-01-20,21.41,21.57,21.27,21.35,14.633896,88400
2016-01-21,21.370001,21.459999,21.280001,21.41,14.675023,39800
2016-01-22,21.440001,21.540001,21.43,21.530001,14.757274,29400
2016-01-25,21.530001,21.540001,21.48,21.5,14.736717,45700
2016-01-26,21.59,21.59,21.450001,21.549999,14.770984,52100
2016-01-27,21.450001,21.57,21.450001,21.52,14.750415,17900
2016-01-28,21.629999,21.68,21.540001,21.68,14.86009,32300
2016-01-29,21.68,21.74,21.68,21.74,14.901218,33400
2016-02-01,21.75,21.780001,21.73,21.780001,14.928637,35900
2016-02-02,21.75,21.82,21.75,21.790001,14.935489,26700
2016-02-03,21.84,21.889999,21.780001,21.889999,15.004029,53700
2016-02-04,21.9,21.93,21.85,21.93,15.031446,32400
2016-02-05,21.940001,21.950001,21.879999,21.940001,15.038303,49100
2016-02-08,21.870001,22.01,21.870001,22.01,15.086277,56900
2016-02-09,21.860001,22.02,21.85,21.91,15.017737,60700
2016-02-10,21.82,21.940001,21.82,21.940001,15.038303,29400
2016-02-11,21.99,21.99,21.870001,21.93,15.031446,23400
2016-02-12,21.889999,21.940001,21.809999,21.809999,14.949197,44700
2016-02-16,21.799999,21.83,21.719999,21.83,14.962902,64800
2016-02-17,21.719999,21.809999,21.709999,21.799999,14.942338,29800
2016-02-18,21.709999,21.74,21.639999,21.690001,14.925829,63400
2016-02-19,21.75,21.889999,21.65,21.889999,15.063454,37300
2016-02-22,21.9,21.9,21.719999,21.77,14.980873,33200
2016-02-23,21.82,21.9,21.799999,21.9,15.070336,52700
2016-02-24,21.860001,21.950001,21.85,21.9,15.070336,68900
2016-02-25,21.9,21.98,21.9,21.950001,15.104741,30300
2016-02-26,21.950001,22.0,21.940001,21.940001,15.097861,101900
2016-02-29,22.0,22.01,21.93,21.98,15.125389,32700
2016-03-01,22.049999,22.059999,21.940001,22.01,15.146026,60900
2016-03-02,22.040001,22.059999,21.92,22.049999,15.173553,34200
2016-03-03,22.059999,22.07,21.950001,22.030001,15.159796,47600
2016-03-04,22.0,22.16,21.950001,22.059999,15.180443,39700
2016-03-07,22.1,22.16,21.99,22.139999,15.235488,59500
2016-03-08,22.17,22.18,22.01,22.049999,15.173553,62400
2016-03-09,22.01,22.129999,22.0,22.02,15.152914,28100
2016-03-10,22.040001,22.18,22.01,22.18,15.263011,35300
2016-03-11,22.25,22.27,22.16,22.209999,15.283655,45800
2016-03-14,22.24,22.27,22.120001,22.26,15.318069,20100
2016-03-15,22.280001,22.280001,22.110001,22.27,15.324953,18300
2016-03-16,22.25,22.290001,22.17,22.25,15.311181,19100
