Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.29,11.46,11.2,11.46,5.226888,396900
2016-01-05,11.42,11.58,11.37,11.58,5.281621,393600
2016-01-06,11.5,11.68,11.46,11.68,5.327232,413700
2016-01-07,11.58,11.6,11.47,11.5,5.245131,154500
2016-01-08,11.49,11.5,11.42,11.44,5.217766,110700
2016-01-11,11.5,11.5,11.32,11.4,5.199521,130100
2016-01-12,11.37,11.37,11.25,11.29,5.149352,83400
2016-01-13,11.26,11.29,11.08,11.11,5.067254,196300
2016-01-14,10.98,11.02,10.9,11.0,5.061275,103300
2016-01-15,10.89,10.9,10.66,10.85,4.992253,146600
2016-01-19,10.85,10.85,10.6,10.67,4.909432,216200
2016-01-20,10.59,10.64,10.32,10.51,4.835817,318400
2016-01-21,10.57,10.69,10.45,10.57,4.863422,139600
2016-01-22,10.63,10.81,10.62,10.74,4.941641,104300
2016-01-25,10.65,10.8,10.61,10.67,4.909432,158400
2016-01-26,10.65,10.87,10.64,10.87,5.001457,105600
2016-01-27,10.79,10.91,10.79,10.85,4.992253,139600
2016-01-28,10.87,10.96,10.87,10.95,5.038268,105500
2016-01-29,10.93,11.0,10.93,10.96,5.04287,171000
2016-02-01,10.95,11.12,10.94,11.07,5.093482,181900
2016-02-02,11.01,11.06,11.0,11.05,5.084279,66500
2016-02-03,11.06,11.09,11.0,11.05,5.084279,63300
2016-02-04,11.0,11.11,11.0,11.11,5.111884,46300
2016-02-05,11.1,11.15,11.0,11.15,5.130288,104100
2016-02-08,11.03,11.06,10.81,10.84,4.987651,78500
2016-02-09,10.78,10.88,10.76,10.84,4.987651,54800
2016-02-10,10.85,10.87,10.8,10.87,5.001457,46200
2016-02-11,10.71,10.72,10.58,10.62,4.930425,64000
2016-02-12,10.65,10.85,10.62,10.85,5.037207,81600
2016-02-16,10.84,10.91,10.78,10.89,5.055777,216800
2016-02-17,10.92,10.97,10.82,10.95,5.083634,221900
2016-02-18,10.93,11.04,10.89,10.89,5.055777,116700
2016-02-19,10.95,10.99,10.88,10.99,5.102201,124200
2016-02-22,11.07,11.17,11.02,11.16,5.181128,186700
2016-02-23,11.12,11.18,11.06,11.15,5.176485,95200
2016-02-24,11.09,11.22,11.07,11.2,5.199697,181600
2016-02-25,11.19,11.23,11.16,11.22,5.208982,101200
2016-02-26,11.23,11.29,11.2,11.29,5.241478,56200
2016-02-29,11.25,11.44,11.25,11.44,5.311118,160800
2016-03-01,11.5,11.55,11.39,11.55,5.362186,144600
2016-03-02,11.51,11.55,11.45,11.47,5.325048,71400
2016-03-03,11.48,11.57,11.46,11.57,5.371471,72800
2016-03-04,11.54,11.69,11.49,11.68,5.422541,78100
2016-03-07,11.68,11.71,11.6,11.71,5.43647,208800
2016-03-08,11.68,11.68,11.63,11.67,5.417896,33100
2016-03-09,11.71,11.75,11.65,11.72,5.441112,62100
2016-03-10,11.75,11.82,11.7,11.73,5.445753,148000
2016-03-11,11.66,11.8,11.66,11.71,5.481799,80300
2016-03-14,11.71,11.8,11.7,11.7,5.477118,77900
2016-03-15,11.7,11.73,11.67,11.7,5.477118,76900
2016-03-16,11.71,11.8,11.71,11.8,5.523932,60100
2016-03-17,11.78,11.92,11.78,11.89,5.566061,53600
2016-03-18,11.93,12.0,11.91,11.97,5.603512,286800
2016-03-21,12.0,12.07,11.96,12.07,5.650327,201700
2016-03-22,12.05,12.15,12.03,12.13,5.678411,162100
2016-03-23,12.16,12.18,12.08,12.18,5.70182,178000
2016-03-24,12.12,12.12,12.02,12.11,5.66905,69600
2016-03-28,12.07,12.07,11.91,11.91,5.575425,75400
2016-03-29,11.94,11.98,11.91,11.93,5.58479,62200
2016-03-30,11.95,12.07,11.93,12.07,5.650327,72500
2016-03-31,12.03,12.26,12.03,12.22,5.720542,156500
2016-04-01,12.22,12.22,12.12,12.21,5.715863,136100
2016-04-04,12.17,12.21,12.0,12.04,5.636284,100400
2016-04-05,12.01,12.08,12.0,12.02,5.626919,94500
2016-04-06,12.07,12.11,11.99,12.09,5.659689,116600
2016-04-07,12.03,12.09,11.99,12.09,5.659689,43800
2016-04-08,12.1,12.14,12.07,12.1,5.664371,109700
2016-04-11,12.05,12.05,11.95,11.95,5.639358,75200
2016-04-12,11.98,12.0,11.95,11.95,5.639358,81100
2016-04-13,12.01,12.09,11.98,12.02,5.672391,121400
2016-04-14,12.01,12.06,12.0,12.06,5.69127,52000
2016-04-15,12.06,12.08,12.01,12.08,5.700708,76400
2016-04-18,12.05,12.19,12.03,12.19,5.752617,59200
2016-04-19,12.15,12.26,12.15,12.26,5.785651,65600
2016-04-20,12.29,12.33,12.29,12.31,5.809247,255900
2016-04-21,12.33,12.35,12.27,12.35,5.828123,87800
2016-04-22,12.32,12.44,12.3,12.44,5.870595,300500
2016-04-25,12.38,12.38,12.26,12.35,5.828123,80900
2016-04-26,12.37,12.41,12.33,12.41,5.856437,93900
2016-04-27,12.4,12.47,12.39,12.46,5.880035,89000
2016-04-28,12.41,12.54,12.41,12.44,5.870595,58600
2016-04-29,12.44,12.58,12.44,12.57,5.931943,127800
