Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.882,8.894,8.628,8.674,8.674,849000
2016-01-05,8.722,8.9,8.666,8.798,8.798,984000
2016-01-06,8.648,8.83,8.648,8.768,8.768,899500
2016-01-07,8.61,8.726,8.462,8.504,8.504,1266500
2016-01-08,8.454,8.588,8.16,8.436,8.436,1464000
2016-01-11,8.474,8.596,8.456,8.494,8.494,1143000
2016-01-12,8.58,8.612,8.448,8.61,8.61,1246000
2016-01-13,8.648,8.676,8.21,8.284,8.284,1388000
2016-01-14,8.354,8.572,8.236,8.522,8.522,1244000
2016-01-15,8.286,8.538,8.228,8.538,8.538,1562000
2016-01-19,8.64,8.662,8.452,8.65,8.65,1400500
2016-01-20,8.516,8.682,8.434,8.636,8.636,2913000
2016-01-21,8.64,8.802,8.538,8.626,8.626,1452000
2016-01-22,8.798,8.822,8.696,8.754,8.754,1344000
2016-01-25,8.698,8.844,8.522,8.56,8.56,602000
2016-01-26,8.612,8.704,8.554,8.668,8.668,793000
2016-01-27,8.62,8.702,8.402,8.446,8.446,690500
2016-01-28,8.536,8.622,8.41,8.478,8.478,454500
2016-01-29,8.532,8.75,8.532,8.732,8.732,1375500
2016-02-01,8.688,8.89,8.63,8.848,8.848,2233000
2016-02-02,8.754,8.98,8.62,8.836,8.836,1244000
2016-02-03,8.954,8.988,8.762,8.978,8.978,1416500
2016-02-04,8.946,9.082,8.72,9.0,9.0,1247000
2016-02-05,8.96,9.102,8.802,8.898,8.898,1350000
2016-02-08,8.764,8.842,8.44,8.822,8.822,3283500
2016-02-09,8.676,8.878,8.514,8.776,8.776,1570000
2016-02-10,8.816,8.93,8.58,8.792,8.792,1146000
2016-02-11,8.66,8.806,8.498,8.772,8.772,1191500
2016-02-12,8.842,8.884,8.678,8.756,8.756,1245000
2016-02-16,8.854,9.01,8.814,8.994,8.994,2072000
2016-02-17,9.034,9.034,8.872,8.96,8.96,1139500
2016-02-18,8.962,8.97,8.65,8.814,8.814,1179000
2016-02-19,8.878,8.988,8.64,8.836,8.836,1574000
2016-02-22,8.936,9.086,8.898,9.036,9.036,1343500
2016-02-23,8.944,9.824,8.916,9.714,9.714,3867500
2016-02-24,9.74,9.812,9.358,9.528,9.528,3504500
2016-02-25,9.584,9.608,9.432,9.584,9.584,1513000
2016-02-26,9.554,9.712,9.478,9.496,9.496,899500
2016-02-29,9.534,9.556,9.408,9.418,9.418,1184500
2016-03-01,9.46,9.594,9.44,9.532,9.532,2234000
2016-03-02,9.486,9.842,9.406,9.794,9.794,2059500
2016-03-03,9.796,9.816,9.602,9.694,9.694,1117500
2016-03-04,9.702,9.81,9.474,9.492,9.492,1012000
2016-03-07,9.484,9.91,9.37,9.834,9.834,2816500
2016-03-08,9.806,9.834,9.648,9.698,9.698,853500
2016-03-09,9.732,9.784,9.644,9.752,9.752,801500
2016-03-10,9.772,9.85,9.5,9.57,9.57,825000
2016-03-11,9.634,9.718,9.528,9.672,9.672,502500
2016-03-14,9.666,9.764,9.6,9.678,9.678,564000
2016-03-15,9.658,9.798,9.614,9.632,9.632,625500
2016-03-16,9.612,9.814,9.612,9.766,9.766,690000
2016-03-17,9.736,9.906,9.684,9.89,9.89,836500
2016-03-18,9.93,10.0,9.812,9.894,9.894,980000
2016-03-21,9.9,9.914,9.65,9.894,9.894,658000
2016-03-22,9.828,9.958,9.828,9.914,9.914,692000
2016-03-23,9.872,9.96,9.85,9.92,9.92,770000
2016-03-24,9.91,9.924,9.86,9.91,9.91,706000
2016-03-28,9.976,10.128,9.844,10.036,10.036,721000
2016-03-29,10.05,10.458,9.976,10.434,10.434,2112500
2016-03-30,10.52,10.584,10.378,10.424,10.424,1590500
2016-03-31,10.454,10.488,10.328,10.36,10.36,877000
2016-04-01,10.288,10.536,10.204,10.51,10.51,788500
2016-04-04,10.486,10.582,10.29,10.38,10.38,676500
2016-04-05,10.326,10.418,10.25,10.278,10.278,1102500
2016-04-06,10.308,10.576,10.256,10.526,10.526,1867500
2016-04-07,10.464,10.464,10.2,10.258,10.258,860500
2016-04-08,10.326,10.358,10.17,10.22,10.22,619000
2016-04-11,10.244,10.252,10.134,10.15,10.15,784500
2016-04-12,10.186,10.314,10.144,10.25,10.25,833500
2016-04-13,10.3,10.46,10.184,10.26,10.26,727500
2016-04-14,10.302,10.416,10.224,10.33,10.33,478500
2016-04-15,10.282,10.452,10.282,10.432,10.432,439500
2016-04-18,10.352,10.482,10.34,10.408,10.408,761500
2016-04-19,10.448,10.51,10.312,10.33,10.33,722000
2016-04-20,10.318,10.354,10.168,10.278,10.278,992500
2016-04-21,10.256,10.256,10.004,10.06,10.06,1486000
2016-04-22,10.05,10.328,10.05,10.244,10.244,983000
2016-04-25,10.208,10.236,10.02,10.098,10.098,669000
2016-04-26,10.086,10.346,10.086,10.228,10.228,977500
2016-04-27,10.194,10.34,10.176,10.304,10.304,541500
2016-04-28,10.226,10.364,9.964,10.0,10.0,1274000
2016-04-29,9.62,9.996,9.6,9.678,9.678,1721500
2016-05-02,9.666,9.934,9.606,9.65,9.65,1514500
2016-05-03,9.608,9.796,9.38,9.462,9.462,1539500
2016-05-04,9.406,9.56,9.248,9.476,9.476,1106500
2016-05-05,9.524,9.678,9.46,9.65,9.65,1617500
2016-05-06,9.586,9.86,9.586,9.846,9.846,1424500
2016-05-09,9.74,9.928,9.7,9.75,9.75,951500
2016-05-10,9.794,9.8,9.666,9.732,9.732,394000
2016-05-11,9.712,9.788,9.65,9.66,9.66,697500
2016-05-12,9.652,9.844,9.64,9.82,9.82,1040500
2016-05-13,9.794,9.88,9.688,9.734,9.734,436000
2016-05-16,9.764,10.03,9.708,9.79,9.79,717000
2016-05-17,9.734,9.798,9.5,9.532,9.532,960500
2016-05-18,9.494,9.724,9.416,9.648,9.648,694000
2016-05-19,9.614,9.726,9.458,9.614,9.614,526000
2016-05-20,9.66,9.828,9.66,9.824,9.824,773500
2016-05-23,9.826,9.876,9.722,9.82,9.82,1155000
2016-05-24,9.848,10.17,9.798,10.156,10.156,934500
2016-05-25,10.156,10.252,10.064,10.188,10.188,1792000
2016-05-26,10.194,10.28,10.05,10.24,10.24,942500
2016-05-27,10.28,10.446,10.262,10.354,10.354,779500
2016-05-31,10.372,10.434,10.262,10.36,10.36,1168000
2016-06-01,10.37,10.41,10.298,10.39,10.39,1069000
2016-06-02,10.292,10.442,10.288,10.396,10.396,955000
2016-06-03,10.382,10.514,10.274,10.456,10.456,830500
2016-06-06,10.46,10.502,10.356,10.482,10.482,737000
2016-06-07,10.462,10.502,10.37,10.456,10.456,444000
2016-06-08,10.464,10.566,10.34,10.52,10.52,1084500
2016-06-09,10.416,10.54,10.376,10.458,10.458,1170000
2016-06-10,10.366,10.502,10.202,10.258,10.258,730000
2016-06-13,10.202,10.286,10.168,10.26,10.26,757500
2016-06-14,10.232,10.374,10.22,10.34,10.34,581500
2016-06-15,10.362,10.398,10.214,10.244,10.244,367500
2016-06-16,10.172,10.312,10.158,10.28,10.28,345500
2016-06-17,10.302,10.36,10.076,10.088,10.088,1230500
2016-06-20,10.218,10.434,10.106,10.396,10.396,1043500
2016-06-21,10.43,10.5,10.296,10.37,10.37,430000
2016-06-22,10.392,10.462,10.34,10.386,10.386,657500
2016-06-23,10.52,10.576,10.322,10.52,10.52,701500
2016-06-24,10.088,10.482,10.004,10.428,10.428,2586000
2016-06-27,10.294,10.3,9.838,9.844,9.844,1398000
2016-06-28,9.934,10.006,9.846,9.882,9.882,827000
2016-06-29,10.002,10.168,9.926,10.158,10.158,1271000
2016-06-30,10.156,10.498,10.07,10.482,10.482,986500
2016-07-01,10.448,10.562,10.288,10.36,10.36,853500
2016-07-05,10.302,10.6,10.302,10.358,10.358,443500
2016-07-06,10.33,10.524,10.33,10.398,10.398,796000
2016-07-07,10.4,10.494,10.35,10.422,10.422,522500
2016-07-08,10.462,10.784,10.462,10.772,10.772,892000
2016-07-11,10.8,10.8,10.736,10.748,10.748,741500
2016-07-12,10.8,10.886,10.692,10.762,10.762,1589500
2016-07-13,10.718,10.956,10.702,10.846,10.846,1315000
2016-07-14,10.88,10.92,10.784,10.794,10.794,683500
2016-07-15,10.8,10.8,10.574,10.588,10.588,2208000
2016-07-18,10.622,10.662,10.458,10.464,10.464,1064000
2016-07-19,10.47,10.5,10.386,10.402,10.402,697000
2016-07-20,10.46,10.474,10.38,10.43,10.43,878000
2016-07-21,10.382,10.43,10.076,10.15,10.15,1485000
2016-07-22,10.11,10.132,9.896,10.126,10.126,1978500
2016-07-25,10.11,10.222,10.04,10.058,10.058,1178500
2016-07-26,10.056,10.17,10.028,10.162,10.162,611000
2016-07-27,10.184,10.222,10.04,10.206,10.206,1233500
2016-07-28,10.206,10.478,9.702,9.738,9.738,1478000
2016-07-29,9.708,9.978,9.556,9.902,9.902,2343000
2016-08-01,9.97,10.266,9.874,10.262,10.262,1902000
2016-08-02,10.25,10.338,10.1,10.324,10.324,2239000
2016-08-03,10.292,10.316,10.066,10.156,10.156,909500
2016-08-04,10.116,10.24,10.084,10.228,10.228,914500
2016-08-05,10.292,10.39,10.228,10.234,10.234,746000
2016-08-08,10.22,10.294,9.98,10.062,10.062,593500
2016-08-09,10.03,10.188,9.942,9.946,9.946,1220000
2016-08-10,9.98,10.014,9.878,9.91,9.91,1139000
2016-08-11,9.904,9.95,9.84,9.86,9.86,1738500
2016-08-12,9.87,9.928,9.762,9.782,9.782,697000
2016-08-15,9.778,9.908,9.672,9.842,9.842,2612500
2016-08-16,9.836,10.04,9.654,9.85,9.85,1454500
2016-08-17,9.848,9.876,9.7,9.748,9.748,753000
2016-08-18,9.766,9.96,9.72,9.928,9.928,1045000
2016-08-19,9.886,9.898,9.614,9.658,9.658,2199000
2016-08-22,9.652,9.934,9.558,9.876,9.876,1342500
2016-08-23,9.942,10.074,9.916,9.976,9.976,773000
2016-08-24,9.962,10.082,9.906,9.978,9.978,791000
2016-08-25,9.968,10.072,9.93,10.052,10.052,657000
2016-08-26,10.036,10.112,9.914,10.046,10.046,760500
2016-08-29,10.034,10.17,10.034,10.128,10.128,630500
2016-08-30,10.148,10.252,10.092,10.204,10.204,966000
2016-08-31,10.212,10.272,10.1,10.236,10.236,968000
2016-09-01,10.278,10.31,10.2,10.288,10.288,493000
2016-09-02,10.304,10.384,10.284,10.384,10.384,535500
2016-09-06,10.384,10.432,10.076,10.428,10.428,654000
2016-09-07,10.442,10.536,10.4,10.536,10.536,633000
2016-09-08,10.454,10.524,10.406,10.514,10.514,963000
2016-09-09,10.434,10.454,10.328,10.346,10.346,2039000
2016-09-12,10.28,10.348,10.158,10.278,10.278,1059000
2016-09-13,10.19,10.244,10.0,10.028,10.028,1234500
2016-09-14,10.05,10.116,9.92,9.944,9.944,1211500
2016-09-15,9.962,10.002,9.88,9.944,9.944,812500
2016-09-16,9.782,9.89,9.504,9.81,9.81,1664000
2016-09-19,9.85,10.096,9.826,10.056,10.056,922500
2016-09-20,10.072,10.158,10.044,10.048,10.048,1287500
2016-09-21,10.098,10.234,10.054,10.122,10.122,1355500
2016-09-22,10.15,10.154,9.654,10.102,10.102,1733000
2016-09-23,10.042,10.132,9.604,9.914,9.914,1180500
2016-09-26,9.896,10.1,9.85,10.01,10.01,1141500
2016-09-27,10.008,10.062,9.958,9.974,9.974,642000
2016-09-28,9.946,10.05,9.93,10.028,10.028,595500
2016-09-29,9.966,10.068,9.906,9.962,9.962,626500
2016-09-30,9.98,10.13,9.934,9.968,9.968,742500
2016-10-03,9.964,10.036,9.908,9.994,9.994,719500
2016-10-04,9.98,10.038,9.906,9.928,9.928,592500
2016-10-05,9.954,10.026,9.912,9.93,9.93,583000
2016-10-06,9.9,9.97,9.768,9.928,9.928,1140500
2016-10-07,9.898,9.934,9.748,9.882,9.882,709000
2016-10-10,9.942,10.024,9.916,9.958,9.958,340000
2016-10-11,9.906,9.906,9.72,9.82,9.82,628500
2016-10-12,9.8,9.938,9.772,9.922,9.922,600000
2016-10-13,9.856,9.882,9.77,9.81,9.81,704000
2016-10-14,9.85,9.9,9.728,9.73,9.73,666500
