Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.4,18.5,18.200001,18.25,16.070194,19000
2016-01-05,18.35,18.48,18.200001,18.200001,16.026167,27600
2016-01-06,18.190001,18.200001,18.049999,18.049999,15.894079,1500
2016-01-07,18.0,18.0,18.0,18.0,15.85005,100
2016-01-08,17.969999,18.5,17.969999,18.24,16.061388,700
2016-01-11,18.0,18.49,17.959999,18.200001,16.026167,4700
2016-01-12,18.200001,18.200001,18.1,18.1,15.938111,1000
2016-01-13,18.190001,18.190001,17.9,17.969999,15.823639,2000
2016-01-14,17.969999,17.969999,17.700001,17.91,15.770799,2100
2016-01-15,17.43,17.969999,17.42,17.559999,15.462611,2300
2016-01-19,17.4,17.83,17.26,17.65,15.541862,2500
2016-01-20,17.299999,17.370001,17.16,17.190001,15.136804,2800
2016-01-21,17.16,17.16,16.24,16.469999,14.502798,4200
2016-01-22,16.51,16.950001,16.51,16.950001,14.925471,700
2016-01-25,16.610001,16.66,15.83,16.5,14.529219,2900
2016-01-26,16.5,16.5,16.5,16.5,14.529219,0
2016-01-27,16.799999,17.049999,16.799999,17.01,14.978304,1800
2016-01-28,17.01,17.01,17.01,17.01,14.978304,0
2016-01-29,17.4,17.4,17.15,17.15,15.101579,1000
2016-02-01,17.07,17.07,17.0,17.0,14.969494,1400
2016-02-02,17.16,17.16,17.1,17.1,15.057553,800
2016-02-03,17.1,17.1,17.030001,17.030001,14.995914,600
2016-02-04,17.32,17.32,17.209999,17.209999,15.154416,1600
2016-02-05,17.35,17.35,17.35,17.35,15.311504,200
2016-02-08,16.98,17.27,16.32,16.32,14.402517,2700
2016-02-09,16.27,16.27,15.71,15.92,14.049515,500
2016-02-10,16.389999,16.780001,16.18,16.780001,14.808471,1500
2016-02-11,16.219999,16.219999,15.84,16.16,14.261313,1400
2016-02-12,16.16,16.16,16.16,16.16,14.261313,0
2016-02-16,16.299999,16.360001,16.139999,16.35,14.428989,8200
2016-02-17,16.969999,17.799999,16.969999,17.700001,15.620378,10000
2016-02-18,17.700001,18.02,17.549999,17.629999,15.558601,21900
2016-02-19,18.0,18.5,17.82,17.82,15.726277,9700
2016-02-22,18.469999,18.469999,17.969999,18.09,15.964554,2500
2016-02-23,18.190001,18.190001,17.99,18.0,15.885131,600
2016-02-24,18.0,18.0,17.9,17.9,15.796881,6000
2016-02-25,17.9,17.92,17.860001,17.9,15.796881,9400
2016-02-26,17.9,18.049999,17.719999,18.049999,15.929256,7200
2016-02-29,17.959999,18.0,17.9,18.0,15.885131,1600
2016-03-01,18.0,18.0,17.92,17.92,15.814525,1100
2016-03-02,17.809999,17.809999,17.68,17.68,15.602728,1500
2016-03-03,17.450001,17.99,17.450001,17.59,15.523301,1600
2016-03-04,18.0,18.0,17.27,17.27,15.240903,900
2016-03-07,17.450001,17.450001,17.049999,17.049999,15.046746,35800
2016-03-08,17.17,17.889999,17.17,17.889999,15.788053,2000
2016-03-09,17.9,17.9,17.68,17.68,15.602728,600
2016-03-10,17.65,17.65,17.049999,17.08,15.073221,12300
2016-03-11,17.09,17.17,17.09,17.17,15.152649,1900
2016-03-14,17.59,17.59,17.59,17.59,15.523301,700
2016-03-15,17.52,17.52,17.139999,17.34,15.302677,500
2016-03-16,16.030001,16.799999,16.030001,16.780001,14.808471,500
2016-03-17,16.559999,16.559999,16.559999,16.559999,14.614316,300
2016-03-18,16.25,16.25,16.0,16.049999,14.164236,5500
2016-03-21,16.0,16.360001,15.32,15.95,14.07599,7200
2016-03-22,15.68,15.7,15.68,15.69,13.846537,1300
2016-03-23,15.7,15.7,15.7,15.7,13.855361,500
2016-03-24,15.7,15.7,15.6,15.6,13.767111,1900
2016-03-28,15.6,16.0,15.6,15.73,13.881838,1800
2016-03-29,15.8,15.81,15.6,15.62,13.78476,4600
2016-03-30,15.68,15.68,15.6,15.61,13.775936,1500
2016-03-31,15.64,15.99,15.63,15.63,13.793588,2500
2016-04-01,15.78,15.99,15.6,15.67,13.828889,4300
2016-04-04,15.99,15.99,15.8,15.8,13.943617,700
2016-04-05,15.89,15.92,15.89,15.92,14.049515,700
2016-04-06,15.86,15.86,15.86,15.86,13.996563,600
2016-04-07,15.7,15.95,15.68,15.75,13.899489,2200
2016-04-08,15.7,15.7,15.6,15.64,13.802412,1200
2016-04-11,16.0,16.0,15.5,15.55,13.722988,4600
