Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.64,7.65,7.59,7.64,2.915552,27600
2016-01-05,7.62,7.68,7.62,7.67,2.926999,18500
2016-01-06,7.62,7.75,7.62,7.66,2.923183,15200
2016-01-07,7.61,7.67,7.59,7.59,2.896469,36500
2016-01-08,7.6,7.6,7.58,7.58,2.892653,26700
2016-01-11,7.63,7.63,7.48,7.5,2.862124,22100
2016-01-12,7.6,7.6,7.5,7.52,2.869755,29300
2016-01-13,7.55,7.55,7.38,7.38,2.816331,24400
2016-01-14,7.36,7.37,7.32,7.35,2.804882,36900
2016-01-15,7.3,7.31,7.09,7.18,2.740006,48100
2016-01-19,7.18,7.21,7.01,7.03,2.709177,34600
2016-01-20,7.01,7.03,6.81,6.93,2.670639,85500
2016-01-21,6.88,7.13,6.88,7.12,2.74386,61800
2016-01-22,7.26,7.26,7.19,7.26,2.797813,24000
2016-01-25,7.27,7.28,7.21,7.22,2.782398,36400
2016-01-26,7.25,7.27,7.22,7.27,2.801667,15300
2016-01-27,7.25,7.36,7.25,7.3,2.813228,23300
2016-01-28,7.37,7.43,7.37,7.4,2.851765,21700
2016-01-29,7.47,7.5,7.4,7.48,2.882595,20800
2016-02-01,7.47,7.54,7.39,7.5,2.890302,38100
2016-02-02,7.48,7.54,7.46,7.51,2.894156,80300
2016-02-03,7.54,7.55,7.47,7.52,2.89801,36200
2016-02-04,7.5,7.68,7.5,7.67,2.955817,49100
2016-02-05,7.68,7.7,7.61,7.65,2.948109,30100
2016-02-08,7.64,7.64,7.47,7.47,2.878742,54600
2016-02-09,7.44,7.53,7.44,7.48,2.882595,46900
2016-02-10,7.48,7.58,7.48,7.58,2.921132,13600
2016-02-11,7.58,7.61,7.53,7.54,2.905718,15400
2016-02-12,7.64,7.64,7.54,7.6,2.92884,25300
2016-02-16,7.56,7.57,7.46,7.57,2.944398,10800
2016-02-17,7.6,7.63,7.51,7.54,2.932729,19700
2016-02-18,7.53,7.62,7.53,7.55,2.936621,13400
2016-02-19,7.58,7.62,7.52,7.62,2.963846,10400
2016-02-22,7.62,7.68,7.55,7.68,2.987183,46200
2016-02-23,7.7,7.8,7.62,7.8,3.033858,32600
2016-02-24,7.73,7.73,7.56,7.63,2.967736,37200
2016-02-25,7.67,7.76,7.63,7.7,2.994962,25400
2016-02-26,7.79,7.85,7.72,7.75,3.01441,30800
2016-02-29,7.78,7.78,7.68,7.69,2.991074,22800
2016-03-01,7.75,7.89,7.66,7.83,3.045526,46100
2016-03-02,7.77,7.85,7.75,7.77,3.022189,27100
2016-03-03,7.81,8.03,7.75,7.82,3.041636,25100
2016-03-04,7.87,8.07,7.87,8.07,3.138877,42100
2016-03-07,7.99,8.08,7.98,8.01,3.115539,29500
2016-03-08,8.04,8.12,8.02,8.12,3.158324,12400
2016-03-09,8.09,8.11,7.96,8.08,3.142766,31500
2016-03-10,8.08,8.09,8.02,8.09,3.146656,13200
2016-03-11,8.09,8.2,8.04,8.07,3.138877,20700
2016-03-14,8.1,8.2,8.07,8.07,3.138877,21700
2016-03-15,8.03,8.16,8.03,8.16,3.173883,38300
2016-03-16,8.11,8.11,8.0,8.0,3.138573,25800
2016-03-17,8.03,8.24,8.03,8.22,3.224884,22300
2016-03-18,8.24,8.48,8.18,8.4,3.295502,34400
2016-03-21,8.41,8.49,8.4,8.42,3.303349,26900
2016-03-22,8.45,8.6,8.3,8.42,3.303349,53100
2016-03-23,8.41,8.42,8.3,8.38,3.287655,25500
2016-03-24,8.3,8.41,8.24,8.37,3.283731,37400
2016-03-28,8.42,8.42,8.17,8.19,3.213115,60100
2016-03-29,8.25,8.36,8.17,8.25,3.236654,60100
2016-03-30,8.27,8.42,8.27,8.36,3.279809,19400
2016-03-31,8.4,8.46,8.35,8.4,3.295502,25800
2016-04-01,8.4,8.49,8.32,8.49,3.33081,58000
2016-04-04,8.48,8.5,8.35,8.39,3.291579,39600
2016-04-05,8.28,8.41,8.25,8.37,3.283731,38400
2016-04-06,8.39,8.6,8.34,8.52,3.342582,47800
2016-04-07,8.5,8.55,8.43,8.43,3.307271,40800
2016-04-08,8.47,8.52,8.39,8.4,3.295502,18600
2016-04-11,8.4,8.47,8.4,8.47,3.322965,9000
2016-04-12,8.47,8.52,8.37,8.52,3.342582,58300
2016-04-13,8.52,8.62,8.43,8.55,3.354351,41900
2016-04-14,8.51,8.55,8.46,8.46,3.319042,7200
2016-04-15,8.45,8.55,8.45,8.52,3.342582,11400
2016-04-18,8.46,8.52,8.46,8.51,3.366315,16100
2016-04-19,8.52,8.55,8.48,8.5,3.36236,17800
2016-04-20,8.49,8.53,8.45,8.46,3.346537,36400
2016-04-21,8.5,8.61,8.46,8.51,3.366315,40000
2016-04-22,8.51,8.66,8.5,8.59,3.397961,19100
2016-04-25,8.57,8.62,8.55,8.57,3.39005,9500
2016-04-26,8.55,8.62,8.55,8.58,3.394005,21900
2016-04-27,8.6,8.72,8.55,8.58,3.394005,48700
2016-04-28,8.63,8.8,8.63,8.77,3.469163,39400
2016-04-29,8.67,8.8,8.67,8.71,3.445431,28300
2016-05-02,8.73,8.73,8.63,8.65,3.421694,43200
2016-05-03,8.65,8.65,8.45,8.45,3.342581,56100
2016-05-04,8.45,8.48,8.23,8.4,3.322803,141600
2016-05-05,8.4,8.48,8.39,8.43,3.334669,50500
2016-05-06,8.48,8.53,8.3,8.53,3.374225,32800
2016-05-09,8.5,8.5,8.38,8.44,3.338626,46300
2016-05-10,8.46,8.5,8.35,8.5,3.36236,23300
2016-05-11,8.47,8.52,8.27,8.45,3.342581,39100
2016-05-12,8.4,8.46,8.35,8.45,3.342581,25000
2016-05-13,8.45,8.48,8.33,8.48,3.354447,29600
2016-05-16,8.46,8.48,8.4,8.46,3.346537,38300
2016-05-17,8.42,8.49,8.31,8.38,3.342548,12800
2016-05-18,8.35,8.49,8.35,8.44,3.36648,25800
2016-05-19,8.49,8.49,8.31,8.33,3.322604,30000
2016-05-20,8.32,8.33,8.21,8.25,3.290694,43100
2016-05-23,8.29,8.37,8.29,8.35,3.330581,20400
2016-05-24,8.43,8.45,8.31,8.38,3.342548,22400
2016-05-25,8.38,8.38,8.31,8.32,3.318615,21200
2016-05-26,8.37,8.45,8.33,8.42,3.358502,18200
2016-05-27,8.47,8.53,8.32,8.32,3.318615,20900
2016-05-31,8.47,8.47,8.22,8.37,3.338558,47900
2016-06-01,8.4,8.42,8.34,8.4,3.350525,45400
2016-06-02,8.46,8.5,8.32,8.37,3.338558,21800
2016-06-03,8.4,8.49,8.4,8.49,3.386424,18500
2016-06-06,8.47,8.58,8.47,8.53,3.402377,22000
2016-06-07,8.54,8.6,8.53,8.55,3.410355,25400
2016-06-08,8.67,8.71,8.63,8.65,3.450242,33800
2016-06-09,8.65,8.68,8.61,8.63,3.442266,9800
2016-06-10,8.64,8.79,8.64,8.75,3.49013,35100
2016-06-13,8.75,8.77,8.65,8.68,3.462209,19200
2016-06-14,8.72,8.72,8.62,8.68,3.462209,16300
2016-06-15,8.73,8.73,8.55,8.56,3.414344,25600
2016-06-16,8.49,8.57,8.42,8.5,3.418367,11900
2016-06-17,8.54,8.59,8.45,8.47,3.406303,24600
2016-06-20,8.53,8.67,8.53,8.63,3.470647,16600
2016-06-21,8.58,8.69,8.58,8.67,3.486735,31800
2016-06-22,8.7,8.72,8.63,8.66,3.482711,32500
2016-06-23,8.69,8.73,8.69,8.73,3.510862,12500
2016-06-24,8.7,8.79,8.62,8.72,3.506842,51700
2016-06-27,8.7,8.7,8.34,8.41,3.382172,70700
2016-06-28,8.39,8.53,8.39,8.45,3.398258,29900
2016-06-29,8.48,8.58,8.48,8.58,3.45054,26200
