Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.66,14.05,13.44,14.0,5.642219,28100
2016-01-05,14.05,14.3,14.05,14.26,5.747003,47600
2016-01-06,14.0,14.66,14.0,14.51,5.847757,24800
2016-01-07,14.49,14.74,14.24,14.35,5.783275,53000
2016-01-08,14.34,14.34,13.5,13.65,5.501163,50000
2016-01-11,13.6,13.64,13.25,13.48,5.432651,46200
2016-01-12,13.48,13.54,13.2,13.32,5.368168,39800
2016-01-13,13.32,13.62,12.66,13.01,5.243233,101000
2016-01-14,12.95,13.23,12.95,13.12,5.287565,81200
2016-01-15,12.95,13.44,12.5,12.77,5.14651,83200
2016-01-19,12.8,12.84,12.29,12.55,5.057846,69700
2016-01-20,12.29,12.49,11.34,11.91,4.799916,107700
2016-01-21,11.88,12.19,11.88,11.94,4.812006,58600
2016-01-22,12.14,13.35,12.14,13.17,5.307717,57600
2016-01-25,13.24,13.48,12.83,12.93,5.210992,50800
2016-01-26,13.03,13.35,12.88,13.03,5.251295,69300
2016-01-27,13.09,13.47,12.88,13.13,5.291595,28500
2016-01-28,13.29,13.39,13.15,13.2,5.319806,99100
2016-01-29,13.21,13.79,13.21,13.32,5.368168,53800
2016-02-01,13.36,13.36,13.15,13.27,5.348018,39000
2016-02-02,13.22,13.26,12.82,13.05,5.259355,27600
2016-02-03,13.1,13.1,12.75,13.0,5.239203,16800
2016-02-04,12.95,13.22,12.85,13.12,5.287565,35700
2016-02-05,13.05,13.41,13.01,13.18,5.311747,16800
2016-02-08,13.18,13.52,12.91,13.52,5.448772,20900
2016-02-09,13.16,13.46,12.65,12.76,5.142479,54000
2016-02-10,12.86,12.86,12.44,12.53,5.049786,56100
2016-02-11,12.38,12.72,12.2,12.72,5.126359,78100
2016-02-12,12.75,12.75,12.22,12.22,4.924851,37600
2016-02-16,12.38,12.61,12.18,12.24,4.932911,57700
2016-02-17,12.27,13.43,12.26,13.15,5.299654,63400
2016-02-18,13.05,13.05,12.55,12.79,5.154569,54000
2016-02-19,12.68,13.18,12.68,12.94,5.215021,31400
2016-02-22,13.0,13.43,12.95,13.01,5.243233,52800
2016-02-23,13.04,13.49,12.98,13.25,5.339957,34200
2016-02-24,13.24,13.42,13.03,13.24,5.335927,42500
2016-02-25,13.34,13.79,13.0,13.53,5.452802,38000
2016-02-26,13.61,13.93,13.5,13.65,5.501163,28600
2016-02-29,13.74,14.29,13.74,14.26,5.747003,60900
2016-03-01,14.34,14.58,13.89,14.34,5.779244,49000
2016-03-02,14.33,14.54,14.15,14.33,5.775214,33800
2016-03-03,14.47,14.59,14.33,14.55,5.863877,49800
2016-03-04,14.59,15.3,14.49,15.16,6.109716,72500
2016-03-07,15.2,15.4,15.12,15.35,6.186291,81400
2016-03-08,15.34,15.57,15.0,15.05,6.065384,106600
2016-03-09,14.76,14.78,13.88,14.28,5.908165,78800
2016-03-10,14.42,14.52,14.2,14.4,5.957813,24500
2016-03-11,14.49,14.79,14.39,14.58,6.032286,20200
2016-03-14,14.6,14.87,14.42,14.87,6.15227,51800
2016-03-15,14.86,14.99,14.57,14.6,6.040561,25100
2016-03-16,14.67,14.91,14.18,14.82,6.131582,35500
2016-03-17,14.81,15.35,14.4,15.29,6.326042,83900
2016-03-18,15.36,15.36,14.93,15.11,6.251566,46800
2016-03-21,14.82,15.16,14.76,14.82,6.131582,30500
2016-03-22,14.87,15.55,14.81,15.46,6.396375,74000
2016-03-23,15.38,15.64,14.81,14.86,6.148131,50300
2016-03-24,14.82,15.49,14.8,15.49,6.408787,36600
2016-03-28,15.62,15.65,15.33,15.44,6.388101,31200
2016-03-29,15.31,15.52,15.24,15.31,6.334314,41800
2016-03-30,15.45,15.65,15.36,15.49,6.408787,34200
2016-03-31,15.58,15.64,15.06,15.51,6.417062,38700
2016-04-01,15.51,15.77,15.51,15.53,6.425336,13700
2016-04-04,15.5,15.79,15.23,15.29,6.326042,38500
2016-04-05,15.33,15.75,15.18,15.21,6.292941,22000
2016-04-06,15.26,15.85,15.18,15.84,6.553595,51300
2016-04-07,15.7,15.7,15.22,15.22,6.297078,27600
2016-04-08,15.48,15.78,15.31,15.53,6.425336,23300
2016-04-11,15.56,15.78,15.31,15.31,6.334314,16600
2016-04-12,15.4,15.7,15.31,15.7,6.495671,42700
2016-04-13,15.77,15.79,15.42,15.68,6.487396,42000
2016-04-14,15.8,16.0,15.6,15.68,6.487396,64300
2016-04-15,15.6,15.77,15.35,15.54,6.429474,55200
2016-04-18,15.54,15.74,15.42,15.51,6.417062,29500
2016-04-19,15.65,15.81,15.46,15.81,6.541182,21700
2016-04-20,15.86,15.86,15.64,15.64,6.470848,28800
2016-04-21,15.6,15.94,15.6,15.66,6.479122,38300
2016-04-22,15.71,15.92,15.39,15.41,6.375687,33300
2016-04-25,15.51,15.54,15.26,15.26,6.313629,27400
2016-04-26,15.27,15.58,15.13,15.58,6.446024,24200
2016-04-27,15.45,15.77,15.13,15.73,6.508083,68500
2016-04-28,15.68,15.99,15.59,15.96,6.603245,70500
2016-04-29,15.99,15.99,15.6,15.94,6.594969,43600
2016-05-02,15.96,15.97,15.61,15.62,6.462572,38500
2016-05-03,15.63,15.7,15.46,15.49,6.408787,22900
2016-05-04,15.49,15.68,15.31,15.34,6.346725,25700
2016-05-05,15.5,15.88,15.31,15.52,6.4212,88200
2016-05-06,15.64,15.89,15.31,15.39,6.367413,49100
2016-05-09,15.52,15.71,15.4,15.54,6.429474,52900
2016-05-10,15.52,15.54,15.22,15.33,6.342589,52800
2016-05-11,15.27,15.93,15.27,15.75,6.516359,91500
2016-05-12,15.75,15.84,15.17,15.23,6.301216,67700
2016-05-13,15.29,15.4,15.18,15.23,6.301216,58900
2016-05-16,15.34,15.53,15.25,15.35,6.350865,20700
2016-05-17,15.39,15.53,15.3,15.47,6.400512,24600
2016-05-18,15.5,15.62,15.0,15.09,6.243292,57000
2016-05-19,15.12,15.14,14.6,15.03,6.218469,81600
2016-05-20,15.03,15.47,14.98,15.23,6.301216,41700
2016-05-23,15.28,15.55,15.28,15.45,6.392237,50000
2016-05-24,15.41,15.48,15.2,15.2,6.288803,30200
2016-05-25,15.32,15.84,15.32,15.51,6.417062,126200
2016-05-26,15.46,15.75,15.46,15.59,6.450161,44700
2016-05-27,15.13,15.25,15.01,15.2,6.288803,626600
2016-05-31,15.32,15.32,15.1,15.1,6.247429,135300
2016-06-01,15.18,15.31,15.11,15.31,6.334314,90600
2016-06-02,15.3,15.31,15.15,15.25,6.309492,66400
2016-06-03,15.26,15.4,15.21,15.38,6.363275,54700
2016-06-06,15.36,15.42,15.27,15.38,6.363275,116300
2016-06-07,15.44,15.45,15.3,15.42,6.379826,177900
2016-06-08,15.17,15.19,14.93,15.05,6.388314,91600
2016-06-09,15.05,15.17,14.91,15.02,6.375581,72800
2016-06-10,14.98,15.1,14.91,14.94,6.341623,59600
2016-06-13,14.93,15.04,14.79,14.83,6.29493,47100
2016-06-14,14.83,14.92,14.63,14.74,6.25673,75600
2016-06-15,14.73,15.15,14.73,14.9,6.324644,69000
2016-06-16,14.89,14.93,14.66,14.76,6.265216,55200
2016-06-17,14.66,14.83,14.65,14.7,6.239748,57600
2016-06-20,14.72,15.2,14.72,14.89,6.3204,79300
2016-06-21,14.96,15.12,14.78,14.93,6.337379,39400
2016-06-22,14.93,15.09,14.86,14.87,6.31191,45500
2016-06-23,15.02,15.28,14.92,15.25,6.473211,114800
2016-06-24,15.27,15.27,14.71,15.09,6.405293,131500
2016-06-27,15.08,15.21,14.81,14.97,6.354358,69400
2016-06-28,15.09,15.18,14.82,15.08,6.401048,44600
2016-06-29,15.08,15.4,15.08,15.27,6.481698,91000
2016-06-30,15.23,15.34,15.06,15.27,6.481698,113000
2016-07-01,15.27,15.43,15.04,15.43,6.549615,80400
2016-07-05,15.41,15.45,15.28,15.45,6.558104,65300
2016-07-06,15.35,15.65,15.35,15.48,6.570838,119800
2016-07-07,15.48,15.52,15.35,15.52,6.587818,62800
2016-07-08,15.47,15.65,15.46,15.51,6.583573,59300
2016-07-11,15.52,15.65,15.47,15.51,6.583573,55500
2016-07-12,15.54,15.72,15.51,15.58,6.613286,51000
2016-07-13,15.59,15.7,15.44,15.51,6.583573,57200
2016-07-14,16.200001,16.200001,15.66,15.69,6.659976,108500
2016-07-15,15.82,15.82,15.54,15.65,6.642998,50300
2016-07-18,15.61,16.049999,15.61,15.71,6.668468,87800
2016-07-19,15.7,15.9,15.69,15.78,6.698181,58500
2016-07-20,15.7,15.89,15.69,15.7,6.664221,85600
2016-07-21,15.7,16.02,15.7,15.75,6.685446,82400
2016-07-22,15.71,16.0,15.71,15.84,6.723648,54400
2016-07-25,15.91,16.02,15.83,15.9,6.749115,67000
2016-07-26,15.9,15.9,15.83,15.87,6.736381,112100
2016-07-27,15.89,15.89,15.8,15.86,6.732137,52400
2016-07-28,15.85,15.85,15.72,15.75,6.685446,86800
2016-07-29,15.73,15.9,15.72,15.84,6.723648,51300
2016-08-01,15.89,15.96,15.75,15.78,6.698181,58000
2016-08-02,15.76,15.94,15.71,15.77,6.693935,63900
2016-08-03,15.77,15.98,15.72,15.82,6.715159,82400
2016-08-04,15.88,15.9,15.72,15.76,6.689691,55600
2016-08-05,15.7,15.95,15.7,15.76,6.689691,52300
2016-08-08,15.85,16.0,15.78,15.82,6.715159,69500
2016-08-09,15.81,15.9,15.78,15.8,6.706669,41900
2016-08-10,15.76,15.86,15.74,15.86,6.732137,96700
2016-08-11,15.86,15.93,15.8,15.84,6.723648,63200
2016-08-12,15.82,16.040001,15.82,15.9,6.749115,77500
2016-08-15,15.97,16.07,15.91,15.98,6.783074,71800
2016-08-16,15.99,16.16,15.93,16.030001,6.804299,60300
2016-08-17,16.040001,16.190001,15.61,15.79,6.702425,90100
2016-08-18,15.84,15.85,15.76,15.79,6.702425,35000
2016-08-19,15.84,15.85,15.7,15.81,6.710913,57900
2016-08-22,15.82,15.93,15.77,15.9,6.749115,63600
2016-08-23,15.94,16.059999,15.9,16.049999,6.812788,59700
2016-08-24,16.030001,16.18,15.92,16.129999,6.846745,54500
2016-08-25,16.18,16.23,15.98,16.059999,6.817031,77700
2016-08-26,16.01,16.24,16.01,16.110001,6.838256,67200
2016-08-29,16.0,16.25,15.98,16.25,6.897683,64400
2016-08-30,16.25,16.32,16.18,16.209999,6.880704,83100
2016-08-31,16.27,16.27,15.96,16.15,6.855234,63700
2016-09-01,16.07,16.219999,15.95,16.139999,6.850988,42200
2016-09-02,16.18,16.25,16.09,16.16,6.859478,73700
2016-09-06,16.16,16.4,16.110001,16.33,6.931639,195300
2016-09-07,15.86,16.139999,15.86,16.1,7.001218,109900
2016-09-08,16.0,16.190001,16.0,16.1,7.001218,92900
2016-09-09,16.0,16.129999,15.9,15.93,6.927291,49900
2016-09-12,16.0,16.0,15.78,15.96,6.940339,68800
2016-09-13,15.86,15.86,15.05,15.22,6.618542,123300
2016-09-14,15.25,15.43,15.21,15.25,6.631589,64800
2016-09-15,15.12,15.42,15.12,15.31,6.657679,60100
2016-09-16,15.39,15.53,15.27,15.47,6.727256,137700
2016-09-19,15.57,15.63,15.29,15.3,6.65333,28900
2016-09-20,15.29,15.81,15.27,15.49,6.735952,71300
2016-09-21,15.56,15.77,15.56,15.67,6.814229,50900
2016-09-22,15.65,15.96,15.59,15.76,6.853366,98900
2016-09-23,15.87,16.040001,15.83,15.83,6.883805,79000
2016-09-26,15.81,15.95,15.79,15.81,6.875108,58800
2016-09-27,15.86,15.9,15.77,15.87,6.901199,34300
2016-09-28,15.9,15.9,15.76,15.83,6.883805,57000
2016-09-29,15.8,15.86,15.76,15.8,6.870759,75300
2016-09-30,15.84,15.9,15.75,15.75,6.849018,68600
2016-10-03,15.79,15.9,15.7,15.86,6.89685,52300
2016-10-04,15.88,15.88,15.7,15.79,6.866411,30800
2016-10-05,15.84,15.86,15.76,15.84,6.888153,36700
2016-10-06,15.84,15.84,15.7,15.79,6.866411,21500
2016-10-07,15.8,15.87,15.7,15.75,6.849018,77400
2016-10-10,15.8,15.89,15.72,15.88,6.905548,49100
2016-10-11,15.87,15.87,15.79,15.86,6.89685,31000
2016-10-12,15.86,15.87,15.75,15.83,6.883805,52700
2016-10-13,15.75,15.75,15.62,15.64,6.801182,25100
2016-10-14,15.68,15.71,15.36,15.53,6.753348,49700
2016-10-17,15.65,15.65,15.48,15.5,6.740304,39200
2016-10-18,15.58,15.7,15.51,15.62,6.792485,31500
2016-10-19,15.63,15.69,15.6,15.61,6.788137,27100
2016-10-20,15.66,15.7,15.6,15.64,6.801182,26000
2016-10-21,15.65,15.74,15.6,15.61,6.788137,42500
2016-10-24,15.61,15.73,15.6,15.73,6.84032,63300
2016-10-25,15.74,15.78,15.66,15.74,6.844668,66000
2016-10-26,15.76,15.79,15.6,15.64,6.801182,38000
2016-10-27,15.61,15.75,15.45,15.49,6.735952,70700
2016-10-28,15.56,15.73,15.15,15.23,6.62289,115100
2016-10-31,15.25,15.31,14.95,14.98,6.514176,71300
2016-11-01,15.04,15.08,14.67,14.75,6.414158,53800
2016-11-02,14.79,14.79,14.33,14.62,6.357628,89200
2016-11-03,14.73,14.74,14.56,14.68,6.383719,94500
2016-11-04,14.68,15.08,14.68,15.06,6.548965,61700
2016-11-07,15.03,15.37,15.03,15.36,6.679422,67900
2016-11-08,15.37,15.47,15.29,15.46,6.722908,83300
2016-11-09,15.34,15.92,15.34,15.75,6.849018,100400
2016-11-10,15.85,16.690001,15.84,16.23,7.057748,133200
2016-11-11,16.18,16.18,15.89,15.96,6.940339,72000
2016-11-14,16.110001,16.52,16.01,16.34,7.105583,78800
2016-11-15,16.32,16.43,15.88,15.9,6.914245,64700
2016-11-16,15.9,16.15,15.9,16.120001,7.009914,59400
2016-11-17,16.219999,16.280001,15.93,16.0,6.957734,146100
2016-11-18,16.0,16.25,15.85,16.219999,7.0534,86800
2016-11-21,16.23,16.629999,16.190001,16.59,7.214298,100100
2016-11-22,16.6,16.93,16.48,16.690001,7.257784,82300
2016-11-23,16.799999,16.82,16.73,16.809999,7.309966,73300
2016-11-25,16.9,17.0,16.690001,17.0,7.392591,73000
2016-11-28,16.99,17.09,16.85,17.07,7.42303,123700
2016-11-29,16.530001,16.639999,16.43,16.5,7.175161,859900
2016-11-30,16.1,16.24,16.049999,16.18,7.224276,157500
2016-12-01,16.25,16.27,16.01,16.129999,7.20195,109800
2016-12-02,16.120001,16.23,16.0,16.15,7.21088,92800
2016-12-05,16.15,16.440001,16.1,16.110001,7.19302,143300
2016-12-06,16.120001,16.35,16.0,16.25,7.25553,142500
2016-12-07,16.25,16.299999,16.129999,16.18,7.224276,101000
2016-12-08,16.24,16.280001,15.91,16.24,7.251066,108900
2016-12-09,16.25,16.27,15.74,16.209999,7.237669,127500
2016-12-12,16.129999,16.290001,16.059999,16.17,7.21981,70100
2016-12-13,16.15,16.24,15.88,16.18,7.224276,51500
2016-12-14,16.09,16.299999,15.68,15.69,7.005492,160700
2016-12-15,15.7,16.110001,15.7,16.08,7.179624,125400
2016-12-16,16.18,16.290001,16.030001,16.209999,7.237669,58800
2016-12-19,16.17,16.290001,15.95,16.25,7.25553,76500
2016-12-20,16.34,16.34,15.95,16.01,7.148372,72900
2016-12-21,16.059999,16.200001,15.85,15.95,7.12158,111800
2016-12-22,15.92,16.219999,15.84,16.139999,7.206415,63400
2016-12-23,16.07,16.219999,15.9,15.94,7.117116,69800
2016-12-27,15.96,16.209999,15.94,16.08,7.179624,94900
2016-12-28,16.15,16.18,15.77,15.84,7.072467,103900
2016-12-29,15.84,15.99,15.73,15.76,7.036748,117400
2016-12-30,15.77,15.87,15.6,15.73,7.023352,171600
2017-01-03,15.9,16.17,15.63,16.16,7.215345,116800
2017-01-04,16.120001,16.700001,16.1,16.620001,7.420732,200800
2017-01-05,16.620001,16.690001,16.16,16.65,7.434126,114200
2017-01-06,16.549999,16.690001,16.48,16.65,7.434126,65200
2017-01-09,16.17,16.209999,15.77,16.110001,7.19302,178100
2017-01-10,16.290001,16.299999,15.91,15.97,7.130513,95700
2017-01-11,15.91,16.139999,15.91,16.1,7.188554,60200
2017-01-12,16.110001,16.280001,16.01,16.25,7.25553,67800
2017-01-13,16.190001,16.35,15.99,16.25,7.25553,56700
2017-01-17,16.219999,16.4,16.129999,16.27,7.26446,66500
2017-01-18,16.27,16.379999,16.27,16.32,7.286783,46100
2017-01-19,16.35,16.360001,16.08,16.26,7.259995,38700
2017-01-20,16.27,16.549999,16.27,16.540001,7.385013,40000
2017-01-23,16.51,16.549999,16.200001,16.25,7.25553,60100
2017-01-24,16.27,16.620001,16.18,16.57,7.398407,116600
2017-01-25,16.6,16.620001,16.389999,16.559999,7.393944,87400
2017-01-26,16.5,16.610001,16.360001,16.58,7.402872,70800
2017-01-27,16.469999,16.530001,16.23,16.32,7.286783,60800
2017-01-30,16.23,16.299999,15.94,16.09,7.184091,116700
2017-01-31,16.18,16.18,15.86,15.89,7.094792,134200
2017-02-01,15.92,16.030001,15.75,15.9,7.099255,105900
2017-02-02,15.9,16.030001,15.82,15.88,7.090326,85600
2017-02-03,15.91,16.049999,15.8,15.97,7.130513,148900
2017-02-06,15.91,16.24,15.9,16.23,7.246599,60000
2017-02-07,16.280001,16.299999,16.059999,16.190001,7.228741,65700
2017-02-08,16.209999,16.42,16.01,16.42,7.331435,49400
2017-02-09,16.32,16.379999,16.0,16.049999,7.166231,79600
2017-02-10,15.98,16.16,15.95,16.07,7.175161,77200
2017-02-13,16.17,16.24,16.030001,16.23,7.246599,118200
2017-02-14,16.25,16.459999,16.17,16.370001,7.30911,95200
2017-02-15,16.360001,16.450001,16.200001,16.389999,7.318039,128000
2017-02-16,16.440001,16.65,16.26,16.639999,7.429664,102600
2017-02-17,16.51,16.65,16.459999,16.6,7.411803,63100
2017-02-21,16.620001,16.700001,16.549999,16.67,7.443057,104900
2017-02-22,16.610001,16.73,16.549999,16.68,7.447524,76800
2017-02-23,16.709999,16.73,16.469999,16.66,7.438594,107800
2017-02-24,16.700001,16.73,16.57,16.73,7.469844,108800
2017-02-27,16.73,16.73,16.59,16.639999,7.429664,85000
2017-02-28,16.6,16.98,16.549999,16.790001,7.496636,224200
2017-03-01,16.860001,16.969999,16.709999,16.77,7.487705,95700
2017-03-02,16.77,17.1,16.73,17.02,7.599329,222000
2017-03-03,17.049999,17.450001,17.049999,17.24,7.697556,204600
2017-03-06,17.24,17.540001,17.040001,17.43,7.782393,173400
2017-03-07,17.459999,17.540001,17.25,17.33,7.737743,199800
2017-03-08,16.790001,17.049999,16.6,16.629999,7.596142,136300
2017-03-09,16.59,16.780001,16.530001,16.530001,7.550465,73700
2017-03-10,16.6,17.17,16.6,17.02,7.774285,152700
2017-03-13,17.02,17.049999,16.82,16.870001,7.705769,125500
2017-03-14,16.77,16.879999,16.530001,16.629999,7.596142,106700
2017-03-15,17.049999,17.16,16.700001,17.1,7.810827,157900
2017-03-16,17.01,17.16,17.01,17.1,7.810827,116400
2017-03-17,17.059999,17.41,16.99,17.26,7.88391,343500
