Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,22.709999,23.84,22.219999,23.389999,10.457204,172400
2016-01-05,23.549999,23.719999,23.040001,23.280001,10.408025,110400
2016-01-06,23.059999,23.059999,21.93,22.139999,9.898353,98700
2016-01-07,21.76,22.41,21.33,21.5,9.612221,177000
2016-01-08,21.620001,22.450001,21.469999,22.129999,9.893884,103500
2016-01-11,22.01,22.4,21.09,21.32,9.531747,103900
2016-01-12,21.549999,22.25,19.98,20.360001,9.102551,289100
2016-01-13,20.700001,21.120001,18.73,19.08,8.530287,259500
2016-01-14,19.139999,20.469999,19.120001,20.379999,9.111489,115100
2016-01-15,19.6,19.85,19.059999,19.43,8.686768,148700
2016-01-19,19.48,19.969999,18.120001,18.27,8.168153,183600
2016-01-20,17.77,17.77,15.67,16.950001,7.578006,248700
2016-01-21,17.110001,18.73,17.110001,18.620001,8.32463,373200
2016-01-22,18.58,19.200001,18.440001,18.99,8.763012,144800
2016-01-25,18.620001,19.33,18.280001,18.440001,8.509212,116500
2016-01-26,18.709999,19.450001,18.200001,18.98,8.758398,99700
2016-01-27,19.09,19.379999,18.530001,19.1,8.813773,143300
2016-01-28,19.6,20.35,19.57,20.35,9.390589,171600
2016-01-29,20.559999,21.0,20.4,20.85,9.621317,161300
2016-02-01,20.549999,20.549999,19.82,20.35,9.390589,99200
2016-02-02,19.83,20.040001,19.620001,19.690001,9.086032,108800
2016-02-03,19.860001,20.379999,19.549999,20.110001,9.27984,109200
2016-02-04,20.41,20.959999,20.23,20.709999,9.556713,88000
2016-02-05,20.52,20.700001,20.02,20.25,9.344446,113700
2016-02-08,19.83,19.83,18.33,18.799999,8.675339,196900
2016-02-09,18.280001,19.049999,18.040001,18.49,8.532286,174800
2016-02-10,18.48,19.139999,18.27,18.549999,8.559973,119000
2016-02-11,18.25,18.690001,17.379999,17.73,8.181578,139900
2016-02-12,17.91,18.639999,17.91,18.370001,8.476912,129900
2016-02-16,18.559999,19.52,18.559999,19.389999,8.947593,87100
2016-02-17,19.870001,20.52,19.780001,20.469999,9.445963,90800
2016-02-18,20.83,20.83,20.23,20.530001,9.473652,39400
2016-02-19,20.389999,20.41,19.9,20.190001,9.316756,52900
2016-02-22,20.65,21.469999,20.65,21.25,9.805899,70400
