Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.3,14.51,14.3,14.41,9.016486,1700
2016-01-05,14.42,14.46,14.42,14.46,9.047774,6500
2016-01-06,14.33,14.66,14.33,14.55,9.104084,11100
2016-01-07,14.5,14.64,14.5,14.53,9.09157,4900
2016-01-08,14.6,14.6,14.53,14.53,9.09157,7300
2016-01-11,14.55,14.61,14.51,14.61,9.141632,3100
2016-01-12,14.52,14.58,14.51,14.51,9.079059,4200
2016-01-13,14.53,14.53,14.21,14.22,8.897606,8900
2016-01-14,14.27,14.27,14.07,14.14,8.847546,4800
2016-01-15,14.19,14.19,13.84,13.96,8.734917,8300
2016-01-19,13.96,14.1,13.8,13.96,8.734917,19700
2016-01-20,13.77,13.91,13.63,13.91,8.703634,4300
2016-01-21,13.89,13.91,13.88,13.91,8.703634,2600
2016-01-22,14.02,14.26,14.02,14.14,8.847546,7200
2016-01-25,14.37,14.39,14.28,14.32,8.960176,7900
2016-01-26,14.34,14.39,14.34,14.39,9.00397,4100
2016-01-27,14.35,14.4,14.35,14.35,8.978948,2000
2016-01-28,14.4,14.4,14.36,14.37,8.991458,1600
2016-01-29,14.4,14.57,14.4,14.41,9.016486,4500
2016-02-01,14.4,14.42,14.35,14.37,9.044811,2400
2016-02-02,14.22,14.43,14.22,14.22,8.950399,1400
2016-02-03,14.42,14.42,14.3,14.3,9.000751,2000
2016-02-04,14.13,14.28,14.13,14.2,8.937808,18200
2016-02-05,14.1,15.1,14.1,14.4,9.063689,52500
2016-02-08,14.3,14.5,14.26,14.5,9.126637,4300
2016-02-09,14.35,14.45,14.29,14.42,9.076281,5500
2016-02-10,14.45,14.45,14.39,14.43,9.082573,4000
2016-02-11,14.47,14.47,14.4,14.4,9.063689,900
2016-02-12,14.4,14.4,14.18,14.36,9.038513,6900
2016-02-16,14.36,14.49,14.17,14.25,8.969279,9600
2016-02-17,14.27,14.37,14.07,14.36,9.038513,27200
2016-02-18,14.26,14.33,14.17,14.25,8.969279,16000
2016-02-19,14.14,14.23,14.14,14.19,8.931511,1600
2016-02-22,14.18,14.3,14.18,14.29,8.994454,9400
2016-02-23,14.25,14.25,14.23,14.23,8.956686,700
2016-02-24,14.25,14.27,14.25,14.25,8.969279,2400
2016-02-25,14.23,14.3,13.97,14.23,8.956686,65700
2016-02-26,14.2,14.42,14.2,14.36,9.038513,11000
2016-02-29,14.27,14.34,14.07,14.34,9.02593,4500
2016-03-01,14.44,14.45,14.18,14.18,8.972146,10700
2016-03-02,14.27,14.27,14.16,14.17,8.965817,2000
2016-03-03,14.19,14.21,14.18,14.19,8.978474,3400
2016-03-04,14.24,14.31,14.23,14.31,9.054397,7400
2016-03-07,14.24,14.35,14.24,14.32,9.060733,3000
2016-03-08,14.25,14.32,14.24,14.24,9.010106,2700
2016-03-09,14.23,14.33,14.23,14.32,9.060733,2200
2016-03-10,14.29,14.33,14.25,14.28,9.035417,3900
2016-03-11,14.35,14.44,14.29,14.44,9.13666,14000
2016-03-14,14.44,14.47,14.41,14.45,9.142982,15600
2016-03-15,14.48,14.5,14.4,14.47,9.155639,15200
2016-03-16,14.4,14.4,14.32,14.36,9.086035,600
2016-03-17,14.49,14.5,14.42,14.42,9.124001,3000
2016-03-18,14.44,14.45,14.42,14.43,9.130326,5600
2016-03-21,14.29,14.42,14.29,14.36,9.086035,8300
2016-03-22,14.35,14.45,14.35,14.37,9.092366,8900
2016-03-23,14.53,14.53,14.42,14.42,9.124001,2000
2016-03-24,14.42,14.42,14.35,14.36,9.086035,900
2016-03-28,14.59,14.59,14.41,14.41,9.117672,500
2016-03-29,14.41,14.41,14.41,14.41,9.117672,0
2016-03-30,14.41,14.41,14.41,14.41,9.117672,0
2016-03-31,14.38,14.38,14.37,14.37,9.092366,1300
2016-04-01,14.45,14.49,14.45,14.48,9.210036,2200
2016-04-04,14.45,14.45,14.36,14.36,9.133705,1000
2016-04-05,14.19,14.48,14.19,14.46,9.197312,2700
2016-04-06,14.3,14.61,14.3,14.61,9.292723,2800
2016-04-07,14.5,14.6,14.5,14.54,9.248199,9200
2016-04-08,14.63,14.63,14.43,14.5,9.222756,2200
2016-04-11,14.49,14.56,14.38,14.56,9.260922,1200
2016-04-12,14.49,14.56,14.49,14.53,9.24184,1700
2016-04-13,14.53,14.53,14.43,14.43,9.178229,1500
2016-04-14,14.43,14.43,14.43,14.43,9.178229,0
2016-04-15,14.53,14.53,14.44,14.51,9.229115,7300
2016-04-18,14.5,14.5,14.49,14.49,9.216395,900
2016-04-19,14.53,14.53,14.36,14.36,9.133705,1500
2016-04-20,14.45,14.5,14.45,14.5,9.222756,1300
2016-04-21,14.47,14.47,14.46,14.47,9.203675,2300
2016-04-22,14.4,14.52,14.39,14.52,9.23548,3700
2016-04-25,14.45,14.5,14.44,14.48,9.210036,4300
2016-04-26,14.46,14.46,14.36,14.36,9.133705,6100
2016-04-27,14.44,14.5,14.38,14.39,9.152784,6000
2016-04-28,14.46,14.46,14.46,14.46,9.197312,200
2016-04-29,14.5,14.53,14.47,14.53,9.24184,2400
2016-05-02,14.43,14.49,14.41,14.44,9.232249,4800
2016-05-03,14.4,14.43,14.4,14.43,9.225849,2400
2016-05-04,14.4,14.47,14.4,14.4,9.206673,1300
2016-05-05,14.51,14.51,14.51,14.51,9.277,800
2016-05-06,14.42,14.42,14.2,14.23,9.097982,19500
2016-05-09,14.2,14.38,14.2,14.36,9.181101,8100
2016-05-10,14.35,14.45,14.29,14.45,9.238639,7900
2016-05-11,14.44,14.45,14.31,14.32,9.155527,3000
2016-05-12,14.39,14.42,14.35,14.35,9.174706,9400
2016-05-13,14.32,14.4,14.31,14.37,9.187498,7500
2016-05-16,14.43,14.43,14.28,14.35,9.174706,6500
2016-05-17,14.4,14.43,14.3,14.4,9.206673,3500
2016-05-18,14.41,14.56,14.38,14.43,9.225849,15300
2016-05-19,14.32,14.41,14.32,14.38,9.19389,5300
2016-05-20,14.33,14.53,14.33,14.53,9.289787,7800
2016-05-23,14.46,14.6,14.42,14.58,9.321755,9600
2016-05-24,14.54,14.54,14.49,14.54,9.296185,6600
2016-05-25,14.56,14.59,14.5,14.52,9.283401,19900
2016-05-26,14.61,14.63,14.5,14.56,9.308971,9800
2016-05-27,14.46,14.57,14.46,14.57,9.31536,1200
2016-05-31,14.49,14.55,14.42,14.45,9.238639,13300
2016-06-01,14.41,14.54,14.29,14.36,9.229001,17700
2016-06-02,14.36,14.44,14.36,14.44,9.280416,3400
2016-06-03,14.39,14.44,14.36,14.36,9.229001,8400
2016-06-06,14.45,14.45,14.35,14.36,9.229001,9600
2016-06-07,14.4,14.4,14.36,14.4,9.254707,6800
2016-06-08,14.4,14.48,14.36,14.39,9.248281,26300
2016-06-09,14.39,14.49,14.39,14.4,9.254707,7200
2016-06-10,14.41,14.45,14.4,14.4,9.254707,2400
2016-06-13,14.36,14.42,14.32,14.37,9.235429,4500
2016-06-14,14.41,14.41,14.31,14.39,9.248281,5300
