Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.85,10.95,10.37,10.77,10.77,279600
2016-01-05,10.76,10.88,10.5,10.74,10.74,118600
2016-01-06,10.55,10.6,10.4,10.56,10.56,214200
2016-01-07,10.34,10.37,9.85,9.97,9.97,390700
2016-01-08,10.01,10.02,9.49,9.64,9.64,485300
2016-01-11,9.8,9.82,9.17,9.3,9.3,307800
2016-01-12,9.42,9.43,9.03,9.23,9.23,311000
2016-01-13,9.23,9.51,8.86,8.91,8.91,322500
2016-01-14,8.95,9.51,8.82,9.3,9.3,336900
2016-01-15,9.01,9.06,8.6,8.75,8.75,308000
2016-01-19,8.86,8.86,8.42,8.49,8.49,282600
2016-01-20,8.33,8.54,7.95,8.48,8.48,422900
2016-01-21,8.49,8.97,8.49,8.83,8.83,217900
2016-01-22,9.07,9.31,8.9,9.18,9.18,251500
2016-01-25,9.06,9.23,8.65,8.8,8.8,275800
2016-01-26,8.87,9.17,8.76,9.07,9.07,453000
2016-01-27,9.01,9.34,8.95,9.03,9.03,240800
2016-01-28,9.23,9.35,9.05,9.13,9.13,199200
2016-01-29,9.14,9.39,8.96,9.08,9.08,343500
2016-02-01,8.98,9.14,8.79,9.0,9.0,366000
2016-02-02,8.85,8.94,8.62,8.79,8.79,186300
2016-02-03,8.91,9.09,8.62,8.85,8.85,162400
2016-02-04,8.85,9.23,8.75,8.87,8.87,180300
2016-02-05,8.77,8.93,8.63,8.68,8.68,374300
2016-02-08,8.6,9.06,8.6,8.84,8.84,451500
2016-02-09,8.78,8.91,8.39,8.6,8.6,317900
2016-02-10,8.63,8.96,8.54,8.77,8.77,220300
2016-02-11,8.6,8.63,8.27,8.4,8.4,304400
2016-02-12,8.51,8.73,8.4,8.6,8.6,146700
2016-02-16,8.74,8.92,8.55,8.89,8.89,156500
2016-02-17,8.98,9.27,8.98,9.09,9.09,214200
2016-02-18,9.14,9.16,8.89,9.09,9.09,108400
2016-02-19,9.07,9.15,8.83,8.93,8.93,141600
2016-02-22,9.09,9.29,9.03,9.17,9.17,145000
2016-02-23,9.11,9.19,8.97,9.0,9.0,107000
2016-02-24,8.93,9.22,8.72,9.22,9.22,133100
2016-02-25,9.27,9.4,9.15,9.36,9.36,125300
2016-02-26,9.45,9.75,9.37,9.44,9.44,85700
2016-02-29,9.44,9.76,9.38,9.75,9.75,262600
2016-03-01,9.75,10.09,9.57,10.05,10.05,320300
2016-03-02,11.13,11.6,10.7,11.1,11.1,729900
2016-03-03,10.93,11.15,10.67,11.06,11.06,389300
2016-03-04,11.06,11.47,10.99,11.15,11.15,317500
2016-03-07,11.12,11.47,10.97,11.26,11.26,395100
2016-03-08,11.2,11.2,10.77,10.86,10.86,216100
2016-03-09,10.94,11.24,10.7,11.19,11.19,183200
2016-03-10,11.26,11.43,10.9,10.93,10.93,238800
2016-03-11,11.01,11.48,11.01,11.46,11.46,266700
2016-03-14,11.51,11.69,11.35,11.61,11.61,235700
2016-03-15,11.51,11.61,11.28,11.53,11.53,159600
2016-03-16,11.49,11.73,11.43,11.65,11.65,212100
2016-03-17,11.62,12.19,11.62,12.13,12.13,378500
2016-03-18,12.19,12.27,12.0,12.2,12.2,338000
2016-03-21,12.11,12.78,12.08,12.34,12.34,501500
2016-03-22,12.24,12.4,12.14,12.34,12.34,172600
2016-03-23,12.3,12.42,12.23,12.38,12.38,281300
2016-03-24,12.27,12.31,12.01,12.26,12.26,304700
2016-03-28,12.27,12.6,12.16,12.56,12.56,258200
2016-03-29,12.5,12.82,12.2,12.72,12.72,226900
2016-03-30,12.77,12.9,12.72,12.81,12.81,221900
2016-03-31,12.85,13.12,12.62,13.04,13.04,251700
2016-04-01,12.89,13.17,12.75,13.12,13.12,124700
2016-04-04,13.11,13.11,12.58,12.67,12.67,132400
2016-04-05,12.66,12.82,12.5,12.59,12.59,166100
2016-04-06,12.61,12.82,12.47,12.8,12.8,140200
2016-04-07,12.69,12.88,12.56,12.67,12.67,112700
2016-04-08,12.83,13.11,12.76,12.81,12.81,145000
2016-04-11,12.91,13.23,12.81,12.83,12.83,176100
2016-04-12,12.84,13.21,12.52,13.15,13.15,244700
2016-04-13,13.27,13.46,13.1,13.46,13.46,160800
2016-04-14,13.53,13.57,13.27,13.36,13.36,111800
2016-04-15,13.36,13.52,13.22,13.42,13.42,195600
2016-04-18,13.37,13.55,13.26,13.51,13.51,209100
2016-04-19,13.52,13.58,13.26,13.43,13.43,343400
2016-04-20,13.47,13.71,13.42,13.55,13.55,99200
2016-04-21,13.62,13.77,13.39,13.4,13.4,228000
2016-04-22,13.45,13.69,13.45,13.6,13.6,191100
2016-04-25,13.59,13.76,13.36,13.39,13.39,174900
2016-04-26,13.51,13.73,13.36,13.64,13.64,203200
2016-04-27,13.7,13.98,13.7,13.74,13.74,155200
2016-04-28,13.72,13.83,13.46,13.47,13.47,114800
2016-04-29,13.45,13.83,13.32,13.5,13.5,244800
2016-05-02,13.5,13.55,13.35,13.45,13.45,156600
