Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.55,14.75,14.25,14.65,8.290721,467500
2016-01-05,14.2,14.3,13.65,13.8,7.80969,688980
2016-01-06,12.8,13.3,12.7,12.9,7.300363,853320
2016-01-07,11.8,12.2,11.65,11.75,6.649554,1027280
2016-01-08,12.65,12.85,12.0,12.25,6.932515,678740
2016-01-11,12.1,12.2,11.6,11.65,6.592963,499880
2016-01-12,11.45,11.55,10.3,10.75,6.083635,1070980
2016-01-13,10.75,11.65,10.6,10.8,6.111931,768800
2016-01-14,11.0,11.05,10.6,10.7,6.055338,930540
2016-01-15,10.2,10.45,9.9,10.15,5.744084,896640
2016-01-19,10.85,10.9,10.2,10.45,5.91386,756940
2016-01-20,10.05,10.15,9.35,10.1,5.715788,816780
2016-01-21,10.45,11.25,10.2,10.9,6.168522,719920
2016-01-22,11.0,11.25,10.6,10.85,6.140228,748780
2016-01-25,10.85,10.95,10.25,10.3,5.828972,397680
2016-01-26,10.8,10.95,10.45,10.75,6.083635,580960
2016-01-27,10.9,11.1,10.45,10.6,5.998748,509200
2016-01-28,11.05,11.2,10.6,10.9,6.168522,382880
2016-01-29,10.75,11.0,10.7,10.9,6.168522,550780
2016-02-01,10.75,10.8,10.15,10.4,5.885563,389160
2016-02-02,10.05,10.2,9.5,9.65,5.461124,494160
2016-02-03,9.95,10.69,9.51,10.0,5.659196,1622200
2016-02-04,10.14,10.58,9.53,9.94,5.62524,2051800
2016-02-05,9.87,9.98,9.07,9.22,5.217779,1551400
2016-02-08,8.65,8.66,7.93,8.42,4.765044,1649100
2016-02-09,8.2,8.62,7.96,8.15,4.612244,1192900
2016-02-10,8.19,8.5,8.06,8.2,4.64054,727500
2016-02-11,7.9,8.34,7.78,8.24,4.663177,878200
2016-02-12,8.26,8.73,8.14,8.59,4.86125,770500
2016-02-16,8.54,8.87,8.37,8.76,4.957456,544000
2016-02-17,8.87,9.4,8.85,9.23,5.223437,985800
2016-02-18,9.14,9.14,8.71,8.74,4.946136,495100
2016-02-19,8.76,9.1,8.63,9.08,5.138549,574300
2016-02-22,9.46,9.7,9.24,9.44,5.342282,805200
2016-02-23,9.66,9.67,9.03,9.07,5.13289,600200
2016-02-24,8.97,9.26,8.75,9.2,5.20646,539900
2016-02-25,9.07,9.19,8.81,9.12,5.161186,465700
2016-02-26,9.18,9.24,8.9,9.02,5.104595,635300
2016-02-29,9.16,9.25,8.82,8.85,5.008389,1120600
2016-03-01,8.9,9.05,8.78,8.96,5.07064,759500
2016-03-02,8.68,8.82,8.37,8.75,4.951796,1112800
2016-03-03,8.87,9.01,8.76,8.95,5.06498,914500
2016-03-04,9.12,9.97,9.12,9.86,5.579967,1370000
2016-03-07,9.6,9.82,9.57,9.7,5.48942,781700
2016-03-08,9.81,9.81,8.76,8.83,4.99707,1762300
2016-03-09,8.65,8.8,8.51,8.62,5.079569,1017200
2016-03-10,8.86,8.86,8.25,8.5,5.008855,1023300
2016-03-11,9.01,9.58,8.92,9.55,5.627596,1166600
2016-03-14,9.62,9.67,9.27,9.51,5.604026,812100
2016-03-15,9.38,9.39,9.04,9.18,5.409565,441300
2016-03-16,9.11,9.46,9.09,9.43,5.556883,509100
2016-03-17,9.35,9.46,9.2,9.38,5.52742,465100
2016-03-18,9.22,9.32,8.91,8.94,5.268137,1167600
