Date,Open,High,Low,Close,Adj Close,Volume
2023-03-09,24.52,24.6,24.5,24.5,22.211241,945800
2023-03-10,24.5,24.5,24.5,24.5,22.211241,465300
2023-03-13,23.25,23.5,22.98,23.0,20.85137,27500
2023-03-14,23.549999,24.0,23.549999,23.969999,21.730753,35500
2023-03-15,23.25,23.25,22.25,22.25,20.171432,8000
2023-03-16,23.879999,24.25,23.5,24.25,21.984594,31800
2023-03-17,24.299999,24.77,24.25,24.77,22.45602,13700
2023-03-20,25.0,25.09,24.68,25.0,22.66453,91900
2023-03-21,24.16,24.25,24.145,24.24,21.975529,2900
2023-03-22,24.940001,24.940001,23.931999,23.99,21.748884,1400
2023-03-23,23.99,24.0,23.99,24.0,21.75795,500
2023-03-24,24.25,24.25,23.0,24.200001,21.939268,11200
2023-03-27,24.200001,24.200001,24.200001,24.200001,21.939268,0
2023-03-28,23.0,23.0,22.530001,23.0,20.85137,3100
2023-03-29,23.25,23.41,23.049999,23.049999,20.896698,900
2023-03-30,23.0,23.594,23.0,23.200001,21.032686,16000
2023-03-31,23.209999,24.25,23.209999,24.219999,21.957396,6600
2023-04-03,24.209999,24.25,23.77,24.25,21.984594,13100
2023-04-04,24.076,24.465,24.049999,24.355,22.079786,2800
2023-04-05,24.483,24.51,24.469999,24.51,22.220308,2200
2023-04-06,24.823999,24.823999,24.700001,24.700001,22.392557,1600
2023-04-10,24.639999,24.639999,24.629999,24.639999,22.338163,500
2023-04-11,24.200001,24.204,23.75,23.75,21.531305,4800
2023-04-12,23.99,24.150999,23.0,23.27,21.096148,16600
2023-04-13,23.731001,23.731001,22.530001,22.969999,20.824171,15700
2023-04-14,23.0,23.1,23.0,23.1,20.942026,500
2023-04-17,23.43,23.74,23.174999,23.65,21.440647,9300
2023-04-18,23.790001,23.799999,23.01,23.01,20.860435,6800
2023-04-19,23.0,23.75,23.0,23.1,20.942026,11600
2023-04-20,23.0,24.389999,23.0,24.15,21.893938,3300
2023-04-21,23.969999,23.969999,23.5,23.625,21.417982,1700
2023-04-24,23.549999,23.549999,23.200001,23.5,21.304663,2900
2023-04-25,23.5,23.5,23.5,23.5,21.304663,0
2023-04-26,23.4,23.450001,23.02,23.25,21.078014,1200
2023-04-27,23.75,24.118,23.355,23.549999,21.349987,3200
2023-04-28,23.299999,23.35,23.299999,23.35,21.168674,3300
2023-05-01,23.65,23.976999,23.65,23.715,21.499575,10200
2023-05-02,24.190001,24.190001,24.190001,24.190001,21.930202,300
2023-05-03,23.745001,23.745001,23.745001,23.745001,21.526773,900
2023-05-04,23.889999,23.889999,23.08,23.1,20.942026,2400
2023-05-05,23.02,23.870001,23.0,23.870001,21.640095,9700
2023-05-08,23.0,24.389999,23.0,23.865999,21.636467,16400
2023-05-09,23.33,23.59,23.0,23.4,21.214003,18600
2023-05-10,23.85,23.85,22.75,23.25,21.078014,9500
2023-05-11,23.5,23.5,23.5,23.5,21.304663,900
2023-05-12,23.01,23.41,23.01,23.334999,21.155075,3300
2023-05-15,23.620001,23.690001,23.34,23.540001,21.340925,5700
2023-05-16,23.540001,23.540001,23.540001,23.540001,21.340925,0
2023-05-17,23.559999,24.0,23.559999,23.75,21.531305,2900
2023-05-18,24.075001,24.200001,23.719999,23.719999,21.504107,2900
2023-05-19,23.719999,23.719999,23.719999,23.719999,21.504107,100
2023-05-22,24.0,24.065001,23.950001,23.950001,21.712624,1400
2023-05-23,23.98,24.049999,23.98,24.0,21.75795,1600
2023-05-24,23.75,23.938999,23.145,23.25,21.078014,19500
2023-05-25,23.17,23.200001,23.01,23.01,20.860435,1400
2023-05-26,23.5,24.0,23.5,23.598,21.393503,3700
2023-05-30,23.545,23.98,22.02,22.92,20.778841,47000
2023-05-31,22.91,22.969999,22.34,22.75,21.173462,12700
2023-06-01,23.25,23.25,22.41,22.42,20.866329,13200
2023-06-02,22.48,22.799999,22.040001,22.139999,20.605732,9600
2023-06-05,22.209999,23.84,22.040001,23.84,22.187923,22600
