Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.73,3.01,2.72,2.9,2.373557,6361500
2016-01-05,2.89,2.97,2.83,2.86,2.340818,3270000
2016-01-06,2.91,3.01,2.91,3.0,2.455403,3933400
2016-01-07,3.13,3.23,3.03,3.12,2.55362,6607400
2016-01-08,3.02,3.15,2.98,3.1,2.537251,5213600
2016-01-11,3.21,3.27,3.13,3.16,2.586359,5388500
2016-01-12,3.1,3.23,3.07,3.17,2.594543,5610500
2016-01-13,3.09,3.12,2.99,3.11,2.545435,5088300
2016-01-14,3.07,3.09,2.89,3.0,2.455403,4928400
2016-01-15,3.23,3.23,3.01,3.14,2.569989,4676300
2016-01-19,3.15,3.15,2.9,2.93,2.398111,5057500
2016-01-20,3.06,3.18,2.95,3.13,2.561804,7001900
2016-01-21,3.03,3.08,2.88,3.07,2.512696,5244300
2016-01-22,2.97,3.0,2.83,2.9,2.373557,6756200
2016-01-25,3.07,3.23,3.04,3.23,2.643651,5352500
2016-01-26,3.4,3.55,3.4,3.48,2.848268,7727200
2016-01-27,3.47,3.56,3.44,3.53,2.889192,4211000
2016-01-28,3.41,3.41,3.26,3.26,2.668205,6854100
2016-01-29,3.26,3.4,3.19,3.4,2.782791,7301400
2016-02-01,3.42,3.64,3.41,3.58,2.930115,5688500
2016-02-02,3.47,3.63,3.4,3.51,2.872822,5499100
2016-02-03,3.48,3.86,3.47,3.81,3.118362,11238600
2016-02-04,3.98,4.08,3.84,3.89,3.18384,9875300
2016-02-05,3.78,4.17,3.69,4.17,3.413011,6056900
2016-02-08,4.23,4.28,4.13,4.15,3.396642,7001600
2016-02-09,4.21,4.28,3.96,3.98,3.257502,7430900
2016-02-10,4.0,4.07,3.74,4.05,3.314795,7809600
2016-02-11,4.48,4.6,4.22,4.5,3.683106,10037100
2016-02-12,4.31,4.56,4.22,4.56,3.732213,8561800
2016-02-16,4.22,4.4,4.0,4.14,3.388457,10634100
2016-02-17,4.13,4.25,4.1,4.24,3.470304,5380400
2016-02-18,3.47,4.08,3.44,4.04,3.30661,10871300
2016-02-19,3.93,4.11,3.92,3.97,3.249317,5400100
2016-02-22,3.74,4.11,3.73,4.08,3.339349,8865000
2016-02-23,3.88,4.11,3.86,4.04,3.30661,8723800
2016-02-24,4.14,4.32,4.05,4.09,3.347534,7555300
2016-02-25,4.1,4.35,4.1,4.24,3.470304,4497000
2016-02-26,4.13,4.26,4.01,4.07,3.331164,7542900
2016-02-29,4.16,4.29,4.03,4.27,3.494858,5994400
2016-03-01,4.2,4.23,3.91,3.91,3.200209,7412200
2016-03-02,3.91,4.13,3.84,4.05,3.314795,7265000
2016-03-03,3.95,4.28,3.93,4.24,3.470304,8356000
2016-03-04,4.19,4.43,4.06,4.1,3.355718,9327200
2016-03-07,4.14,4.38,4.14,4.3,3.519412,6725300
2016-03-08,4.33,4.38,4.07,4.1,3.355718,8042400
2016-03-09,3.96,4.14,3.86,4.06,3.334366,6701200
2016-03-10,4.03,4.2,4.01,4.17,3.424705,6854900
2016-03-11,4.16,4.25,4.03,4.08,3.350791,6300800
2016-03-14,4.06,4.1,3.82,3.82,3.13726,9939500
2016-03-15,3.77,3.88,3.64,3.87,3.178323,6738200
2016-03-16,3.81,4.3,3.79,4.26,3.498621,8465500
2016-03-17,4.28,4.3,3.91,3.94,3.235813,14918700
2016-03-18,3.81,3.89,3.7,3.76,3.087984,18588700
2016-03-21,3.78,3.91,3.75,3.84,3.153686,7340500
2016-03-22,3.88,3.91,3.77,3.86,3.170111,6980200
2016-03-23,3.72,3.77,3.52,3.53,2.899091,9903300
2016-03-24,3.58,3.66,3.53,3.64,2.989431,6862300
2016-03-28,3.7,3.71,3.52,3.65,2.997644,4591800
2016-03-29,3.71,4.0,3.6,3.98,3.268664,8355800
2016-03-30,3.94,3.98,3.85,3.94,3.235813,6782000
2016-03-31,3.99,4.02,3.94,3.94,3.235813,4972400
2016-04-01,3.83,3.98,3.76,3.98,3.268664,4843300
2016-04-04,3.9,3.91,3.62,3.63,2.981218,7208200
2016-04-05,3.89,3.91,3.71,3.83,3.145472,8184700
2016-04-06,3.9,3.93,3.76,3.8,3.120834,8851200
2016-04-07,3.87,3.99,3.87,3.95,3.244025,5896000
2016-04-08,3.92,4.17,3.91,4.16,3.416492,6130700
2016-04-11,4.22,4.39,4.21,4.36,3.580747,5318000
2016-04-12,4.33,4.34,4.15,4.25,3.490407,5543700
2016-04-13,4.2,4.29,4.09,4.1,3.367216,4548900
2016-04-14,4.08,4.16,3.88,3.91,3.211174,4999700
2016-04-15,3.97,4.11,3.92,4.08,3.350791,3661800
2016-04-18,4.05,4.12,3.95,4.04,3.31794,4062100
2016-04-19,4.23,4.36,4.18,4.33,3.556109,7101200
2016-04-20,4.28,4.49,4.17,4.22,3.465769,7474600
2016-04-21,4.35,4.39,4.05,4.11,3.375428,9555600
2016-04-22,4.2,4.26,4.03,4.06,3.334366,6712000
2016-04-25,4.04,4.16,3.99,4.06,3.334366,4941100
2016-04-26,4.07,4.08,3.93,3.95,3.244025,5586000
2016-04-27,3.95,4.08,3.89,4.07,3.342578,4305600
2016-04-28,4.21,4.42,4.16,4.38,3.597173,5540700
2016-04-29,4.43,4.7,4.43,4.7,3.859978,8588500
2016-05-02,4.72,4.76,4.52,4.57,3.753214,6031400
2016-05-03,4.57,4.64,4.32,4.38,3.597173,5506700
2016-05-04,4.35,4.46,4.19,4.21,3.457556,5476900
2016-05-05,4.26,4.37,4.2,4.33,3.556109,5493800
2016-05-06,4.47,4.68,4.39,4.62,3.794277,5946500
2016-05-09,4.39,4.39,4.13,4.13,3.391855,6423900
2016-05-10,4.09,4.29,4.04,4.28,3.515045,4588900
