Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,26.6,26.92,26.129999,26.190001,21.919914,190800
2016-01-05,26.200001,26.290001,25.93,26.1,21.844589,177900
2016-01-06,25.52,26.110001,25.120001,25.58,21.40937,173000
2016-01-07,24.879999,25.450001,24.59,25.32,21.191761,197000
2016-01-08,25.51,25.52,24.549999,24.73,20.697954,184100
2016-01-11,24.73,25.74,24.549999,25.41,21.267086,197900
2016-01-12,25.84,26.4,25.809999,26.23,21.95339,349400
2016-01-13,26.23,26.75,25.66,25.83,21.61861,329000
2016-01-14,25.809999,25.82,24.9,25.719999,21.526543,186600
2016-01-15,24.860001,25.469999,23.790001,24.52,20.522196,462600
2016-01-19,24.6,25.059999,24.34,24.59,20.580782,425200
2016-01-20,23.969999,24.540001,22.77,23.940001,20.036762,666400
2016-01-21,23.559999,25.0,23.559999,24.73,20.697954,212000
2016-01-22,25.27,25.98,24.99,25.940001,21.710676,207600
2016-01-25,25.959999,25.959999,25.299999,25.5,21.342411,262300
2016-01-26,25.549999,26.58,25.41,26.440001,22.129154,213000
2016-01-27,26.43,27.190001,26.26,26.610001,22.271435,327100
2016-01-28,26.940001,26.950001,26.27,26.690001,22.33839,222400
2016-01-29,27.0,27.4,26.52,27.290001,22.840569,383100
2016-02-01,27.07,28.15,26.9,28.07,23.493395,413300
2016-02-02,27.629999,28.15,27.4,27.700001,23.183722,460400
2016-02-03,28.07,28.07,26.200001,26.4,22.095675,458700
2016-02-04,26.530001,27.91,26.23,27.9,23.351107,367200
2016-02-05,27.9,27.9,27.52,27.85,23.309263,308400
2016-02-08,27.5,28.1,27.49,27.860001,23.317633,193600
2016-02-09,28.0,28.0,27.4,27.76,23.233936,150400
2016-02-10,28.129999,28.52,27.23,27.9,23.351107,219200
2016-02-11,27.219999,27.35,26.469999,26.9,22.514153,200400
2016-02-12,27.32,27.690001,26.27,27.190001,22.756866,296500
2016-02-16,27.85,28.5,27.33,28.35,23.727745,397700
2016-02-17,28.74,28.91,28.059999,28.620001,23.953722,609700
