Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,0.920635,0.928571,0.888889,0.912698,0.572263,4414158
2016-01-05,0.904762,0.904762,0.857143,0.857143,0.53743,6116418
2016-01-06,0.833333,0.833333,0.785714,0.793651,0.497621,8519490
2016-01-07,0.761905,0.769841,0.722222,0.738095,0.462787,6569766
2016-01-08,0.793651,0.801587,0.714286,0.722222,0.452834,5463486
2016-01-11,0.793651,0.801587,0.730159,0.738095,0.462787,5099724
2016-01-12,0.738095,0.746032,0.706349,0.738095,0.462787,4388832
2016-01-13,0.730159,0.746032,0.674603,0.68254,0.427954,2904678
2016-01-14,0.68254,0.706349,0.65873,0.706349,0.442882,3255462
2016-01-15,0.674603,0.690476,0.666667,0.674603,0.422977,2452842
2016-01-19,0.722222,0.722222,0.65873,0.65873,0.413025,3454416
2016-01-20,0.650794,0.68254,0.642857,0.68254,0.427954,5897430
2016-01-21,0.674603,0.674603,0.626984,0.634921,0.398097,4095630
2016-01-22,0.65873,0.674603,0.634921,0.674603,0.422977,7350462
2016-01-25,0.674603,0.68254,0.642857,0.642857,0.403073,1678824
2016-01-26,0.650794,0.666667,0.634921,0.666667,0.418001,3447486
2016-01-27,0.650794,0.666667,0.642857,0.666667,0.418001,4384674
2016-01-28,0.674603,0.68254,0.642857,0.674603,0.422977,7374024
2016-01-29,0.706349,0.746032,0.68254,0.722222,0.452834,6997032
2016-02-01,0.722222,0.769841,0.706349,0.753968,0.472739,3378060
2016-02-02,0.793651,0.793651,0.738095,0.746032,0.467763,5585580
2016-02-03,0.777778,0.785714,0.738095,0.785714,0.492644,7227990
2016-02-04,0.849206,0.944444,0.81746,0.904762,0.567287,11520558
2016-02-05,0.880952,0.896825,0.849206,0.849206,0.532453,2505258
2016-02-08,0.865079,0.865079,0.801587,0.801587,0.502596,1843128
2016-02-09,0.793651,0.81746,0.769841,0.793651,0.497621,1965726
2016-02-10,0.81746,0.865079,0.777778,0.825397,0.517525,4155732
2016-02-11,0.81746,0.825397,0.730159,0.738095,0.462787,2451834
2016-02-12,0.769841,0.769841,0.746032,0.753968,0.472739,3436398
2016-02-16,0.793651,0.849206,0.777778,0.81746,0.512549,6626088
2016-02-17,0.857143,0.904762,0.81746,0.849206,0.532453,7574994
2016-02-18,0.857143,0.857143,0.801587,0.81746,0.512549,2541798
2016-02-19,0.809524,0.825397,0.793651,0.81746,0.512549,2683926
2016-02-22,0.849206,0.865079,0.825397,0.857143,0.53743,9081324
2016-02-23,0.84127,0.84127,0.777778,0.785714,0.492644,5640768
2016-02-24,0.753968,0.777778,0.738095,0.753968,0.472739,7865424
2016-02-25,0.738095,0.738095,0.690476,0.730159,0.457811,8730540
2016-02-26,0.730159,0.738095,0.690476,0.690476,0.43293,4362624
2016-02-29,0.698413,0.722222,0.698413,0.698413,0.437906,9209970
2016-03-01,0.730159,0.730159,0.714286,0.722222,0.452834,22320144
2016-03-02,0.730159,0.769841,0.714286,0.753968,0.472739,11704140
2016-03-03,0.81746,0.84127,0.793651,0.81746,0.512549,39388986
