Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.0,14.17,13.95,14.11,6.710614,189000
2016-01-05,14.14,14.21,14.11,14.2,6.753418,119300
2016-01-06,14.07,14.25,14.07,14.25,6.777199,185900
2016-01-07,14.1,14.26,14.1,14.26,6.781954,410800
2016-01-08,14.29,14.29,14.18,14.22,6.762928,236700
2016-01-11,14.2,14.26,14.08,14.11,6.710614,337500
2016-01-12,14.15,14.17,14.04,14.11,6.710614,408600
2016-01-13,14.12,14.12,13.85,13.85,6.586958,236700
2016-01-14,13.84,13.91,13.73,13.87,6.596469,203200
2016-01-15,13.71,13.77,13.51,13.76,6.544156,284300
2016-01-19,13.72,13.78,13.54,13.55,6.444281,216000
2016-01-20,13.48,13.53,13.26,13.4,6.372943,355800
2016-01-21,13.52,13.59,13.4,13.48,6.41099,383800
2016-01-22,13.59,13.76,13.55,13.71,6.520376,265600
2016-01-25,13.66,13.75,13.64,13.64,6.487084,143100
2016-01-26,13.69,13.87,13.68,13.81,6.567936,204400
2016-01-27,13.81,13.89,13.73,13.79,6.558426,251900
2016-01-28,13.88,14.0,13.88,13.96,6.639273,97800
2016-01-29,13.97,14.05,13.97,13.99,6.653544,265100
2016-02-01,13.9,14.09,13.9,14.04,6.677318,233900
2016-02-02,13.89,14.02,13.89,13.96,6.639273,103500
2016-02-03,14.06,14.06,13.87,14.02,6.667809,112000
2016-02-04,14.01,14.02,13.88,14.01,6.663054,120400
2016-02-05,14.0,14.02,13.82,13.83,6.577446,114000
2016-02-08,13.79,13.79,13.62,13.74,6.534645,304400
2016-02-09,13.63,13.76,13.6,13.75,6.539399,212300
2016-02-10,13.8,13.8,13.62,13.62,6.477574,159200
2016-02-11,13.51,13.61,13.48,13.53,6.434767,99300
2016-02-12,13.58,13.64,13.52,13.57,6.453791,73800
2016-02-16,13.6,13.7,13.55,13.67,6.501355,110000
2016-02-17,13.65,13.71,13.58,13.63,6.534915,141000
2016-02-18,13.7,13.72,13.64,13.7,6.568475,131500
2016-02-19,13.65,13.76,13.65,13.68,6.558886,54400
2016-02-22,13.72,13.8,13.72,13.77,6.602037,128800
2016-02-23,13.71,13.82,13.71,13.78,6.60683,76700
2016-02-24,13.74,13.88,13.74,13.85,6.640394,103600
2016-02-25,13.82,14.01,13.81,14.01,6.717105,116700
