Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.2,15.5,14.5,14.9,10.71061,61020
2016-01-05,14.7,15.3,14.2,15.3,10.998143,38080
2016-01-06,15.5,15.5,13.8,14.0,10.063659,64360
2016-01-07,13.7,13.7,11.7,11.8,8.482227,101350
2016-01-08,12.1,12.6,11.89,12.6,9.057294,125740
2016-01-11,12.7,12.7,11.1,11.9,8.55411,34510
2016-01-12,11.5,11.79,11.2,11.3,8.122812,68240
2016-01-13,11.5,11.5,10.3,10.6,7.619629,64640
2016-01-14,10.5,12.2,10.0,11.0,7.907162,136700
2016-01-15,11.0,11.4,9.02,10.1,7.260211,35240
2016-01-19,10.4,10.5,10.0,10.3,7.403978,30680
2016-01-20,9.6,11.8,9.55,11.5,8.266579,94060
2016-01-21,11.6,12.7,11.5,12.1,8.697878,66840
2016-01-22,11.9,12.7,11.6,12.0,8.625994,32800
2016-01-25,12.1,12.9,10.9,11.4,8.194694,132830
2016-01-26,11.3,11.35,9.6,9.94,7.145198,141470
2016-01-27,10.3,10.3,9.61,10.0,7.188329,74590
2016-01-28,10.0,10.49,9.69,10.1,7.260211,57010
2016-01-29,10.0,10.3,9.65,10.1,7.260211,51700
2016-02-01,10.0,10.1,9.8,9.9,7.116446,38940
2016-02-02,9.9,9.9,9.3,9.36,6.728276,57030
2016-02-03,9.85,10.0,9.12,9.34,6.713898,47320
2016-02-04,9.3,9.35,8.86,8.86,6.368858,104470
2016-02-05,8.9,9.1,8.0,8.5,6.110079,42720
2016-02-08,8.0,8.07,6.75,7.3,5.247479,59080
2016-02-09,6.9,7.4,5.8,5.9,4.241114,135110
2016-02-10,5.66,5.68,4.85,4.9,3.522281,204960
2016-02-11,5.15,5.15,4.9,4.99,3.586976,64850
2016-02-12,5.0,5.0,4.52,4.71,3.385702,31230
2016-02-16,4.9,5.1,4.9,4.93,3.543846,32350
2016-02-17,5.0,5.69,4.9,5.19,3.730743,220460
2016-02-18,5.5,5.59,5.0,5.05,3.630106,132510
2016-02-19,5.47,5.47,4.97,5.01,3.601352,31710
2016-02-22,4.79,5.25,4.79,5.1,3.666048,97450
2016-02-23,5.1,5.1,5.0,5.1,3.666048,22950
2016-02-24,5.1,5.1,5.0,5.09,3.658859,72810
2016-02-25,5.1,5.1,4.8,5.0,3.594164,126810
2016-02-26,5.1,6.0,5.09,6.0,4.312997,194930
2016-02-29,6.1,7.5,5.8,7.02,5.046207,82150
2016-03-01,7.5,7.5,6.19,6.31,4.535836,97350
2016-03-02,6.43,6.69,5.5,6.5,4.672413,103210
2016-03-03,6.5,7.3,6.3,6.84,4.916818,172490
2016-03-04,7.2,8.7,6.65,8.0,5.750663,564540
2016-03-07,7.97,13.0,7.97,12.2,8.769761,901080
2016-03-08,13.0,17.4,11.0,11.6,8.338462,1160790
2016-03-09,11.4,12.5,9.39,10.0,7.188329,411430
2016-03-10,10.0,10.8,9.33,9.4,6.757028,136840
2016-03-11,9.44,9.68,8.0,8.39,6.031007,125650
2016-03-14,9.12,9.39,8.2,8.75,6.289786,44610
2016-03-15,8.85,9.1,7.7,8.12,5.836922,96810
2016-03-16,8.5,8.5,7.76,7.88,5.664403,58460
2016-03-17,7.8,7.8,7.1,7.22,5.189972,23630
2016-03-18,7.5,7.5,6.4,7.0,5.031829,164760
2016-03-21,6.5,7.0,6.5,7.0,5.031829,48170
2016-03-22,6.7,6.99,6.5,6.52,4.68679,42190
2016-03-23,6.7,6.8,6.0,6.28,4.51427,78790
2016-03-24,6.5,6.5,5.81,6.07,4.363316,119630
