Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,25.0,27.459999,23.0,26.0,26.0,1783100
2023-02-06,24.34,26.0,22.290001,24.75,24.75,114400
2023-02-07,25.200001,27.0,23.18,24.120001,24.120001,105700
2023-02-08,23.6,24.0,22.299999,23.25,23.25,285600
2023-02-09,23.6,23.725,22.474001,22.65,22.65,42700
2023-02-10,23.01,23.978001,22.51,23.0,23.0,15600
2023-02-13,22.959999,26.51,22.65,23.700001,23.700001,147500
2023-02-14,23.52,25.530001,22.799999,23.549999,23.549999,179000
2023-02-15,23.309999,24.0,22.799999,23.120001,23.120001,48700
2023-02-16,22.719999,23.25,21.594999,21.799999,21.799999,67700
2023-02-17,21.639999,22.65,21.25,22.135,22.135,49100
2023-02-21,22.0,22.0,20.799999,21.5,21.5,24100
2023-02-22,21.99,23.870001,20.941999,23.469999,23.469999,81700
2023-02-23,23.5,24.309999,22.57,24.309999,24.309999,19300
2023-02-24,24.0,26.559999,23.98,24.299999,24.299999,27500
2023-02-27,24.440001,24.6,23.105,24.0,24.0,8600
2023-02-28,24.200001,27.889999,24.200001,25.559999,25.559999,60400
2023-03-01,27.0,30.0,22.6,22.93,22.93,73400
2023-03-02,22.879999,23.072001,22.5,22.83,22.83,34700
2023-03-03,24.030001,28.0,23.99,26.549999,26.549999,142100
2023-03-06,27.4,27.733,25.6,26.0,26.0,31700
2023-03-07,26.469999,27.49,25.0,25.92,25.92,55900
2023-03-08,25.5,26.65,24.02,24.555,24.555,40900
2023-03-09,24.07,24.58,23.15,23.67,23.67,55400
2023-03-10,24.309999,25.586,23.0,23.540001,23.540001,24400
2023-03-13,23.200001,24.372999,22.5,23.16,23.16,44200
2023-03-14,23.0,24.25,22.639999,22.969999,22.969999,52300
2023-03-15,22.51,24.120001,21.120001,23.049999,23.049999,100600
2023-03-16,23.049999,24.559999,22.110001,23.690001,23.690001,104700
2023-03-17,23.67,25.34,21.700001,23.120001,23.120001,99000
2023-03-20,22.35,24.049999,22.35,22.66,22.66,67500
2023-03-21,24.25,24.25,22.360001,22.459999,22.459999,26900
2023-03-22,22.559999,24.49,22.35,22.43,22.43,44300
2023-03-23,22.959999,23.559999,22.5,22.950001,22.950001,14000
2023-03-24,22.525,23.08,22.15,22.75,22.75,33700
2023-03-27,22.790001,25.5,22.59,23.9,23.9,124900
2023-03-28,23.976,24.940001,21.209999,21.209999,21.209999,42400
2023-03-29,21.99,23.551001,21.575001,22.35,22.35,89700
2023-03-30,22.51,22.809999,21.84,22.1,22.1,27700
2023-03-31,22.02,23.799999,22.02,23.790001,23.790001,23100
2023-04-03,23.27,27.440001,23.0,26.15,26.15,131700
2023-04-04,25.93,26.674999,24.719999,24.719999,24.719999,23500
2023-04-05,24.309999,26.25,22.74,25.0,25.0,28500
2023-04-06,24.700001,27.48,23.962999,24.5,24.5,35000
2023-04-10,24.200001,25.09,24.115,24.73,24.73,37700
2023-04-11,24.84,24.84,23.98,24.110001,24.110001,50200
2023-04-12,23.950001,24.709999,22.809999,23.77,23.77,156000
2023-04-13,24.0,25.0,23.780001,24.51,24.51,49100
2023-04-14,24.200001,25.0,24.01,24.280001,24.280001,12400
2023-04-17,24.02,25.0,24.014999,25.0,25.0,21200
2023-04-18,24.0,25.0,23.575001,24.4,24.4,31300
2023-04-19,24.309999,24.309999,23.311001,23.780001,23.780001,20400
2023-04-20,24.079,24.24,24.079,24.139999,24.139999,1300
2023-04-21,24.5,25.0,24.455,25.0,25.0,123800
2023-04-24,24.75,24.75,23.749001,24.040001,24.040001,1600
2023-04-25,24.242001,24.242001,23.6,23.6,23.6,900
2023-04-26,23.799999,23.799999,23.6,23.6,23.6,1900
