Date,Open,High,Low,Close,Adj Close,Volume
2018-11-28,21.43,21.549999,21.129999,21.129999,16.024691,49300
2018-11-29,21.290001,21.487,21.110001,21.110001,16.009525,25800
2018-11-30,21.219999,21.316,21.0,21.0,15.926096,33100
2018-12-03,21.1,21.27,21.02,21.25,16.1157,24600
2018-12-04,21.25,21.32,20.733999,20.959999,15.895763,55800
2018-12-06,21.0,21.025,20.75,21.0,15.926096,46100
2018-12-07,21.0,21.219999,20.85,20.959999,15.895763,24400
2018-12-10,20.969999,21.077,20.65,20.879999,15.835092,44400
2018-12-11,20.93,21.18,20.879999,21.129999,16.024691,89900
2018-12-12,21.200001,21.389999,21.059999,21.16,16.047443,39100
2018-12-13,21.209999,21.280001,21.07,21.07,15.979185,35900
2018-12-14,20.950001,21.27,20.92,21.049999,15.964015,40900
2018-12-17,21.18,21.18,20.879999,21.08,15.986772,46200
2018-12-18,20.98,21.299999,20.812,21.18,16.062609,42100
2018-12-19,21.25,21.25,21.049999,21.18,16.062609,42700
2018-12-20,21.18,21.308001,20.940001,21.030001,15.948854,65900
2018-12-21,21.030001,21.209999,21.02,21.209999,16.08536,53700
2018-12-24,21.379999,21.379999,20.85,21.09,15.994356,22400
2018-12-26,21.059999,21.200001,21.01,21.059999,15.971605,46600
2018-12-27,21.200001,21.280001,20.809999,21.059999,15.971605,26400
2018-12-28,20.870001,21.200001,20.77,21.129999,16.266447,42300
2018-12-31,21.33,21.469999,21.209999,21.209999,16.328033,43300
2019-01-02,21.209999,21.629999,21.084999,21.620001,16.643665,35500
2019-01-03,21.610001,21.940001,21.445,21.940001,16.890009,44500
2019-01-04,22.0,22.58,21.959999,22.190001,17.082466,29900
2019-01-07,22.16,22.379999,21.83,21.969999,16.913103,63100
2019-01-08,22.049999,22.16,21.82,22.139999,17.043974,41600
2019-01-09,22.18,22.187,22.030001,22.139999,17.043974,34100
2019-01-10,22.120001,22.530001,22.049999,22.48,17.305717,58000
2019-01-11,22.34,22.49,22.33,22.49,17.313416,23000
2019-01-14,22.530001,22.530001,22.360001,22.440001,17.274923,22600
2019-01-15,22.4,22.48,22.25,22.370001,17.221037,25500
2019-01-16,22.450001,22.610001,22.389999,22.52,17.336508,45900
2019-01-17,22.525,22.59,22.360001,22.59,17.390396,23300
2019-01-18,22.589001,22.860001,22.5,22.85,17.590553,51400
2019-01-22,22.85,22.85,22.645,22.76,17.521265,17300
2019-01-23,22.6,22.757999,22.6,22.75,17.513569,19200
2019-01-24,22.559999,22.73,22.549999,22.639999,17.428885,14700
2019-01-25,22.629999,22.75,22.59,22.74,17.505873,34900
2019-01-28,22.719999,23.16,22.704,23.16,17.829197,37000
2019-01-29,23.16,23.32,22.84,23.040001,17.736818,74900
2019-01-30,22.98,23.16,22.940001,23.059999,17.752216,34900
2019-01-31,23.209999,23.440001,23.02,23.440001,18.044752,128200
2019-02-01,23.450001,23.65,23.417999,23.462,18.061682,18900
2019-02-04,23.620001,23.709999,23.4,23.700001,18.244902,30200
2019-02-05,23.739,24.040001,23.620001,24.030001,18.498947,24900
2019-02-06,24.02,24.339001,23.85,24.299999,18.706802,44200
2019-02-07,24.190001,24.299999,24.1,24.120001,18.568233,16500
2019-02-08,24.27,24.469999,24.200001,24.209999,18.637516,21800
2019-02-11,24.309999,24.549999,24.202999,24.299999,18.706802,64500
2019-02-12,24.33,24.66,24.33,24.66,18.983936,25700
2019-02-13,24.58,24.75,24.450001,24.75,19.053223,19800
2019-02-14,24.73,24.879999,24.65,24.879999,19.153296,26900
2019-02-15,24.75,24.75,24.620001,24.66,18.983936,30400
2019-02-19,24.66,24.66,24.42,24.42,18.799181,39200
