Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.61,12.88,12.54,12.83,10.918114,4097500
2016-01-05,12.83,12.99,12.73,12.96,11.02874,4336200
2016-01-06,12.7,12.99,12.54,12.62,10.739407,2884300
2016-01-07,12.38,12.54,12.29,12.36,10.518153,3720400
2016-01-08,12.42,12.48,12.09,12.13,10.322426,3084000
2016-01-11,12.17,12.49,12.16,12.28,10.450073,4102200
2016-01-12,12.39,12.46,12.03,12.2,10.381995,3639500
2016-01-13,12.27,12.4,11.99,12.04,10.245835,2933100
2016-01-14,12.05,12.17,11.91,12.09,10.288386,4304200
2016-01-15,11.69,12.32,11.52,12.12,10.313916,4064600
2016-01-19,12.2,12.28,11.79,11.99,10.203289,3763100
2016-01-20,11.82,12.02,11.51,11.89,10.118191,2905200
2016-01-21,11.9,12.0,11.73,11.74,9.990542,2971800
2016-01-22,11.86,12.22,11.81,12.19,10.373483,3510500
2016-01-25,11.95,11.95,10.88,11.01,9.369325,16185100
2016-01-26,10.99,11.28,10.83,11.13,9.471441,9621200
2016-01-27,11.12,11.16,10.88,10.89,9.267209,8148400
2016-01-28,10.94,11.05,10.71,10.74,9.139559,4644600
2016-01-29,10.79,11.37,10.79,11.36,9.667168,8635400
2016-02-01,11.3,11.41,11.11,11.35,9.65866,2765200
2016-02-02,11.23,11.34,10.93,11.24,9.56505,3235600
2016-02-03,11.34,11.43,11.08,11.28,9.599091,3313800
2016-02-04,11.25,11.48,11.24,11.43,9.726737,3114100
2016-02-05,11.39,11.56,11.19,11.3,9.616113,5045500
2016-02-08,11.18,11.28,11.03,11.15,9.488462,4483600
2016-02-09,11.38,12.02,11.17,11.97,10.186269,7801100
2016-02-10,11.93,12.36,11.86,11.89,10.118191,9378600
2016-02-11,11.68,12.0,11.52,11.53,9.811836,5246400
2016-02-12,11.61,11.74,11.39,11.62,9.888425,6884000
2016-02-16,11.74,11.79,11.58,11.7,9.956504,4748300
2016-02-17,11.75,11.8,11.59,11.67,9.930971,5492700
2016-02-18,11.66,11.71,11.35,11.5,9.786307,8176600
2016-02-19,11.48,11.51,11.05,11.19,9.522503,7700500
2016-02-22,11.29,11.63,11.29,11.51,9.794818,5015400
2016-02-23,11.48,11.94,11.45,11.75,9.999051,5799000
2016-02-24,11.65,12.07,11.61,12.02,10.228818,4640300
2016-02-25,12.03,12.21,11.96,12.14,10.330936,3581000
