Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,20.799999,20.799999,20.08,20.799999,16.919456,9725
2016-01-05,20.559999,20.799999,18.959999,18.959999,15.422732,19950
2016-01-06,18.959999,19.440001,18.08,19.280001,15.683039,8913
2016-01-07,18.799999,20.799999,18.559999,20.559999,16.724234,12263
2016-01-08,20.48,20.799999,19.92,20.08,16.333782,8263
2016-01-11,20.08,20.08,18.4,18.559999,15.09736,12513
2016-01-12,18.639999,18.719999,18.48,18.48,15.032284,6700
2016-01-13,18.4,18.559999,17.6,17.84,14.511687,23750
2016-01-14,17.68,17.68,13.92,15.28,12.429294,75538
2016-01-15,14.72,14.88,14.0,14.32,11.648395,24175
2016-01-19,14.32,14.8,13.36,13.68,11.127796,13813
2016-01-20,13.84,13.84,13.12,13.36,10.867496,18438
2016-01-21,13.52,14.16,13.36,13.52,10.997646,4650
2016-01-22,13.68,14.16,13.52,13.76,11.192871,5588
2016-01-25,13.84,14.4,13.36,13.84,11.257946,10813
2016-01-26,14.16,14.4,13.52,13.92,11.323021,18125
2016-01-27,14.16,14.32,13.44,13.76,11.192871,10013
2016-01-28,14.0,14.32,13.28,13.36,10.867496,8275
2016-01-29,13.44,14.08,13.28,14.0,11.388095,14350
2016-02-01,14.08,14.08,12.32,13.2,10.737348,24363
2016-02-02,13.2,13.44,12.4,12.48,10.151673,16300
2016-02-03,12.48,14.88,12.4,14.8,12.038844,19300
2016-02-04,14.88,16.48,14.88,16.48,13.405416,21750
2016-02-05,16.4,16.4,14.96,14.96,12.168993,22113
2016-02-08,15.04,15.04,13.76,14.0,11.388095,8213
2016-02-09,13.84,13.84,12.64,12.88,10.477048,17875
2016-02-10,12.88,12.96,12.08,12.32,10.021523,27725
2016-02-11,12.32,12.8,11.68,12.24,9.956448,22813
2016-02-12,12.24,13.04,11.92,13.04,10.607198,5938
2016-02-16,13.28,14.8,13.04,14.64,11.908693,3938
2016-02-17,15.12,15.84,14.72,15.68,12.754667,10500
2016-02-18,15.36,16.4,15.04,16.4,13.34034,7100
2016-02-19,16.32,17.040001,15.52,17.040001,13.860939,4888
2016-02-22,17.280001,17.52,16.719999,16.879999,13.730789,9213
2016-02-23,16.719999,16.799999,15.44,16.0,13.014965,13450
2016-02-24,15.84,16.08,15.36,15.92,12.94989,6113
2016-02-25,15.68,16.16,14.88,15.04,12.234068,9150
2016-02-26,14.88,15.6,14.8,15.52,12.624518,6825
2016-02-29,15.6,17.440001,15.6,16.959999,13.795862,12413
2016-03-01,16.719999,16.719999,9.76,10.16,8.264504,138363
2016-03-02,10.4,10.4,8.16,8.8,7.158231,132188
2016-03-03,11.6,12.08,9.12,9.44,7.67883,105738
2016-03-04,9.52,10.72,9.28,10.24,8.329578,87400
2016-03-07,10.32,10.88,9.92,10.56,8.589876,83113
2016-03-08,10.88,10.88,9.36,9.76,7.93913,45038
2016-03-09,9.84,10.32,9.76,10.16,8.264504,13600
2016-03-10,10.32,10.48,9.28,9.44,7.67883,40700
2016-03-11,9.52,9.92,9.36,9.44,7.67883,23075
2016-03-14,9.44,9.76,9.28,9.6,7.808981,36838
2016-03-15,9.6,9.6,9.04,9.04,7.353457,25763
2016-03-16,9.12,9.28,8.72,8.96,7.288382,14738
2016-03-17,9.04,9.12,8.8,8.88,7.223306,10750
2016-03-18,8.96,9.28,8.96,9.2,7.483605,8713
2016-03-21,9.2,9.52,9.04,9.52,7.743904,25300
2016-03-22,9.52,9.6,9.36,9.6,7.808981,5900
2016-03-23,9.6,10.4,9.6,9.84,8.004204,38200
2016-03-24,9.92,9.92,9.2,9.36,7.613756,29888
2016-03-28,9.44,9.6,8.56,8.72,7.093156,18063
2016-03-29,8.64,8.72,8.48,8.56,6.963006,11325
2016-03-30,8.64,8.96,8.64,8.96,7.288382,11138
2016-03-31,8.96,9.28,8.96,9.2,7.483605,5225
2016-04-01,9.28,9.28,8.96,9.12,7.41853,11788
2016-04-04,9.2,9.28,8.72,8.8,7.158231,13188
2016-04-05,8.72,9.12,8.72,8.8,7.158231,9325
2016-04-06,8.8,9.12,8.72,9.04,7.353457,9038
2016-04-07,9.2,9.2,8.88,9.04,7.353457,4275
2016-04-08,9.2,9.2,8.64,9.12,7.41853,14363
2016-04-11,9.2,9.2,8.88,9.2,7.483605,13688
2016-04-12,9.2,9.2,8.88,8.96,7.288382,13813
2016-04-13,8.88,9.52,8.88,9.36,7.613756,26100
2016-04-14,9.2,9.44,9.2,9.28,7.54868,11125
2016-04-15,9.36,11.12,9.2,10.56,8.589876,43200
2016-04-18,10.64,11.36,10.32,11.04,8.980326,28825
2016-04-19,11.04,11.52,10.48,10.48,8.524803,23763
2016-04-20,10.72,11.2,10.72,10.72,8.720028,24863
2016-04-21,10.8,11.76,10.8,11.52,9.370777,16738
2016-04-22,11.52,12.96,11.52,12.96,10.542123,23413
2016-04-25,13.28,15.28,13.2,14.48,11.778545,51688
2016-04-26,14.8,15.2,14.56,15.04,12.234068,44800
2016-04-27,15.2,16.799999,15.2,16.08,13.080042,53375
2016-04-28,16.879999,19.120001,15.84,18.4,14.967211,95400
2016-04-29,20.799999,20.799999,17.360001,18.32,14.902135,54888
2016-05-02,18.32,18.48,16.32,18.08,14.706915,33025
2016-05-03,17.84,17.84,14.48,15.28,12.429294,39263
2016-05-04,15.6,16.4,14.8,16.4,13.34034,36363
2016-05-05,16.48,16.879999,14.88,15.2,12.364218,12313
2016-05-06,15.04,15.52,14.56,14.8,12.038844,9200
2016-05-09,15.28,15.28,13.28,13.68,11.127796,24925
2016-05-10,13.68,14.4,13.36,13.92,11.323021,12750
2016-05-11,13.68,14.72,13.6,14.16,11.518246,6838
2016-05-12,14.4,14.56,13.36,13.44,10.93257,12138
2016-05-13,12.8,13.52,12.16,13.44,10.93257,21575
2016-05-16,13.52,13.92,12.96,13.44,10.93257,6375
2016-05-17,13.52,14.24,13.44,13.68,11.127796,7138
2016-05-18,13.6,14.08,13.44,13.92,11.323021,8413
2016-05-19,13.92,14.16,12.96,13.84,11.257946,9188
2016-05-20,13.92,14.32,13.04,13.52,10.997646,3675
2016-05-23,13.2,13.52,12.8,13.28,10.802422,5850
2016-05-24,13.44,13.44,12.24,12.4,10.086597,12650
2016-05-25,12.48,12.56,11.44,12.0,9.761225,14138
2016-05-26,12.0,12.0,11.2,11.6,9.43585,10975
2016-05-27,11.44,12.8,11.44,12.64,10.281823,19588
2016-05-31,12.48,13.2,12.48,12.96,10.542123,10025
2016-06-01,13.04,13.12,12.72,12.72,10.346899,9675
2016-06-02,12.72,12.96,11.76,12.32,10.021523,17363
2016-06-03,12.4,12.48,12.0,12.0,9.761225,3000
2016-06-06,12.0,12.96,12.0,12.96,10.542123,2350
2016-06-07,12.8,12.8,12.4,12.4,10.086597,4488
2016-06-08,12.96,13.04,12.4,12.4,10.086597,4900
2016-06-09,12.4,12.64,11.84,11.84,9.631074,4688
2016-06-10,11.84,11.92,11.36,11.44,9.305701,3663
2016-06-13,11.36,11.76,11.04,11.04,8.980326,6863
2016-06-14,11.12,11.68,10.4,10.72,8.720028,7413
2016-06-15,10.48,11.36,10.48,11.2,9.110476,3338
2016-06-16,11.04,11.2,10.48,10.48,8.524803,12300
2016-06-17,10.56,10.8,10.56,10.64,8.654954,2500
2016-06-20,10.72,11.44,10.72,11.36,9.240624,2338
2016-06-21,11.28,11.92,10.8,10.8,8.785102,7838
2016-06-22,11.04,11.6,10.56,10.56,8.589876,5563
2016-06-23,10.64,11.76,10.64,11.12,9.045403,6975
2016-06-24,10.96,11.6,10.56,10.56,8.589876,11988
2016-06-27,10.56,10.8,9.68,9.68,7.874056,15275
2016-06-28,10.16,10.88,9.76,9.92,8.06928,8675
2016-06-29,10.24,10.48,10.0,10.0,8.134354,12263
2016-06-30,10.32,10.4,9.28,10.16,8.264504,20863
2016-07-01,10.4,12.0,10.4,11.52,9.370777,37350
2016-07-05,11.76,11.84,10.0,10.64,8.654954,26463
