Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,9.9,9.9,9.88,9.9,9.9,826900
2022-01-11,9.9,9.91,9.89,9.89,9.89,517600
2022-01-12,9.9,9.91,9.9,9.909,9.909,105900
2022-01-13,9.91,9.91,9.9,9.9,9.9,181200
2022-01-14,9.9,9.905,9.9,9.905,9.905,32000
2022-01-18,9.905,9.905,9.905,9.905,9.905,0
2022-01-19,9.905,9.905,9.905,9.905,9.905,0
2022-01-20,9.89,9.9,9.89,9.9,9.9,77400
2022-01-21,9.88,9.9,9.87,9.9,9.9,61000
2022-01-24,9.89,9.91,9.89,9.89,9.89,50400
2022-01-25,9.87,9.91,9.87,9.91,9.91,317100
2022-01-26,9.9,9.91,9.89,9.89,9.89,3100
2022-01-27,9.9,9.9,9.89,9.89,9.89,68900
2022-01-28,9.91,9.91,9.91,9.91,9.91,17000
2022-01-31,9.91,9.91,9.91,9.91,9.91,0
2022-02-01,9.91,9.91,9.91,9.91,9.91,5600
2022-02-02,9.91,9.91,9.91,9.91,9.91,0
2022-02-03,9.92,9.92,9.9,9.92,9.92,138800
2022-02-04,9.92,9.94,9.92,9.94,9.94,19200
2022-02-07,9.95,9.95,9.95,9.95,9.95,100
2022-02-08,9.95,9.95,9.95,9.95,9.95,5700
2022-02-09,9.94,9.94,9.916,9.92,9.92,392500
2022-02-10,9.92,9.93,9.92,9.92,9.92,22800
2022-02-11,9.92,9.92,9.92,9.92,9.92,200
2022-02-14,9.92,9.92,9.92,9.92,9.92,2300
2022-02-15,9.92,9.93,9.92,9.93,9.93,25300
2022-02-16,9.93,9.93,9.92,9.93,9.93,44900
2022-02-17,9.93,9.93,9.93,9.93,9.93,0
2022-02-18,9.93,9.93,9.93,9.93,9.93,0
2022-02-22,9.93,9.94,9.93,9.94,9.94,28900
2022-02-23,9.94,9.95,9.94,9.95,9.95,8900
2022-02-24,9.96,9.96,9.96,9.96,9.96,200
2022-02-25,9.94,9.94,9.94,9.94,9.94,1300
2022-02-28,9.94,9.94,9.94,9.94,9.94,0
2022-03-01,9.91,9.96,9.91,9.96,9.96,24300
2022-03-02,9.96,9.96,9.96,9.96,9.96,0
2022-03-03,9.96,9.96,9.96,9.96,9.96,0
2022-03-04,9.96,9.96,9.96,9.96,9.96,0
2022-03-07,9.96,9.96,9.96,9.96,9.96,0
2022-03-08,9.96,9.96,9.96,9.96,9.96,0
2022-03-09,9.96,9.96,9.96,9.96,9.96,0
2022-03-10,9.96,9.96,9.96,9.96,9.96,0
