Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,23.9,25.0,23.9,24.700001,24.700001,4530
2016-01-05,24.5,24.6,23.299999,23.6,23.6,7220
2016-01-06,23.1,24.0,23.1,23.799999,23.799999,1400
2016-01-07,23.1,23.799999,23.0,23.0,23.0,2980
2016-01-08,22.9,24.6,22.9,23.799999,23.799999,7320
2016-01-11,23.4,23.9,22.5,22.5,22.5,2740
2016-01-12,22.799999,23.1,22.5,22.700001,22.700001,130
2016-01-13,22.9,22.9,21.1,21.1,21.1,6020
2016-01-14,21.200001,21.200001,20.5,20.6,20.6,6480
2016-01-15,20.4,20.6,20.0,20.0,20.0,7110
2016-01-19,19.799999,20.799999,19.4,20.5,20.5,24690
2016-01-20,20.299999,20.700001,19.4,20.6,20.6,4590
2016-01-21,20.799999,22.700001,20.6,21.700001,21.700001,1660
2016-01-22,22.5,24.0,22.0,22.0,22.0,3150
2016-01-25,21.700001,23.299999,21.1,21.299999,21.299999,1410
2016-01-26,22.4,22.4,21.5,21.6,21.6,810
2016-01-27,22.299999,22.6,21.200001,21.200001,21.200001,2290
2016-01-28,22.1,22.299999,21.200001,21.299999,21.299999,330
2016-01-29,21.6,22.799999,21.1,21.1,21.1,1870
2016-02-01,20.9,22.700001,20.5,21.5,21.5,1590
2016-02-02,21.5,22.299999,21.299999,22.1,22.1,550
2016-02-03,21.700001,21.700001,20.4,21.1,21.1,2020
2016-02-04,21.1,21.299999,20.4,20.4,20.4,4180
2016-02-05,21.1,21.1,20.0,20.799999,20.799999,2550
2016-02-08,20.4,20.9,20.0,20.4,20.4,1960
2016-02-09,20.4,21.0,20.0,21.0,21.0,6250
2016-02-10,20.9,21.0,20.6,21.0,21.0,1300
2016-02-11,20.6,21.0,20.6,20.9,20.9,640
2016-02-12,19.6,21.200001,19.6,21.1,21.1,710
2016-02-16,20.6,21.200001,20.6,21.200001,21.200001,860
2016-02-17,21.0,23.0,21.0,22.700001,22.700001,2290
2016-02-18,22.1,22.1,21.0,21.200001,21.200001,6280
2016-02-19,22.0,22.0,21.0,21.0,21.0,1060
2016-02-22,21.0,22.0,21.0,21.9,21.9,2180
2016-02-23,22.0,22.0,21.299999,21.700001,21.700001,700
2016-02-24,21.0,21.9,21.0,21.799999,21.799999,660
2016-02-25,21.9,22.0,21.4,21.9,21.9,1580
2016-02-26,21.9,22.700001,21.6,22.700001,22.700001,470
2016-02-29,22.1,22.4,21.6,21.6,21.6,730
2016-03-01,21.700001,23.4,21.700001,22.5,22.5,2280
2016-03-02,22.200001,23.0,22.200001,22.4,22.4,2710
2016-03-03,22.700001,22.9,22.200001,22.200001,22.200001,520
2016-03-04,22.6,23.6,21.700001,21.700001,21.700001,5260
2016-03-07,22.299999,23.9,21.799999,22.0,22.0,1920
2016-03-08,21.9,22.5,21.6,22.4,22.4,2810
2016-03-09,22.1,22.4,21.700001,22.0,22.0,4000
2016-03-10,22.200001,23.5,22.200001,22.799999,22.799999,430
2016-03-11,23.299999,23.9,22.700001,23.1,23.1,2610
2016-03-14,23.5,23.9,23.1,23.6,23.6,570
2016-03-15,23.700001,23.9,23.5,23.6,23.6,3160
2016-03-16,26.0,27.200001,25.5,26.0,26.0,10930
2016-03-17,25.799999,27.5,25.799999,26.9,26.9,8030
2016-03-18,29.5,30.799999,28.799999,29.200001,29.200001,18050
2016-03-21,30.200001,30.5,27.5,27.799999,27.799999,9600
2016-03-22,28.0,28.4,27.1,27.9,27.9,2590
2016-03-23,28.1,28.299999,27.0,27.0,27.0,4260
2016-03-24,27.1,27.799999,27.1,27.799999,27.799999,1600
2016-03-28,28.1,28.1,27.299999,27.6,27.6,2040
2016-03-29,27.799999,28.5,26.9,26.9,26.9,2000
2016-03-30,27.6,28.5,27.200001,27.299999,27.299999,1450
2016-03-31,27.4,27.5,26.799999,27.299999,27.299999,5060
2016-04-01,26.9,27.299999,26.700001,26.700001,26.700001,1550
2016-04-04,26.700001,27.5,26.700001,26.700001,26.700001,4410
2016-04-05,26.799999,26.9,26.0,26.700001,26.700001,4720
2016-04-06,26.299999,26.799999,26.200001,26.200001,26.200001,2530
2016-04-07,26.5,26.5,26.1,26.1,26.1,2770
2016-04-08,26.5,26.5,26.1,26.1,26.1,3070
2016-04-11,26.1,26.799999,26.1,26.1,26.1,2220
2016-04-12,26.1,26.5,26.0,26.0,26.0,1890
2016-04-13,26.1,26.299999,25.700001,25.700001,25.700001,2520
2016-04-14,26.0,26.9,25.700001,25.9,25.9,2160
2016-04-15,26.1,26.200001,25.700001,25.700001,25.700001,2430
