Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,15.5,15.7,15.4,15.5,9.096586,504200
2017-11-07,15.53,15.71,15.48,15.645,9.181686,232100
2017-11-08,15.55,15.65,15.361,15.4,9.037896,105500
2017-11-09,15.17,15.65,15.17,15.5,9.096586,89400
2017-11-10,15.35,15.424,15.2,15.31,8.985085,600100
2017-11-13,15.15,15.25,15.0,15.14,8.885311,319500
2017-11-14,15.1,15.14,15.0,15.13,8.879449,489100
2017-11-15,15.33,15.33,15.02,15.05,8.8325,690800
2017-11-16,15.0,15.1,15.0,15.02,8.814888,393300
2017-11-17,15.02,15.3,15.01,15.3,8.979216,151600
2017-11-20,15.25,15.282,15.16,15.2,8.92053,135600
2017-11-21,15.2,15.4,15.12,15.4,9.037896,172600
2017-11-22,15.4,15.44,15.32,15.35,9.00856,90100
2017-11-24,15.3,15.408,15.2,15.28,8.967478,51400
2017-11-27,15.0,15.28,15.0,15.23,8.9834,598300
2017-11-28,15.25,15.33,15.229,15.28,9.012894,246800
2017-11-29,15.25,15.4,15.25,15.33,9.042385,511100
2017-11-30,15.33,15.38,15.31,15.37,9.065978,294000
2017-12-01,15.36,15.4,15.23,15.35,9.054183,328900
2017-12-04,15.4,15.45,15.31,15.45,9.113173,223100
2017-12-05,15.53,15.53,15.25,15.3,9.024694,180400
2017-12-06,15.301,15.35,15.26,15.3,9.024694,116800
2017-12-07,15.3,15.4,15.26,15.35,9.054183,152700
2017-12-08,15.3,15.429,15.25,15.3,9.024694,215100
2017-12-11,15.26,15.31,15.24,15.26,9.0011,191000
2017-12-12,15.23,15.32,15.2,15.23,8.9834,176800
2017-12-13,15.2,15.41,15.2,15.36,9.060085,177400
2017-12-14,15.3,15.5,15.3,15.38,9.071878,124700
2017-12-15,15.36,15.43,15.33,15.35,9.054183,98600
2017-12-18,15.37,15.43,15.3,15.38,9.071878,203600
2017-12-19,15.35,15.433,15.33,15.42,9.095476,136100
2017-12-20,15.38,15.47,15.353,15.45,9.113173,94100
2017-12-21,15.4,15.554,15.4,15.48,9.176601,112700
2017-12-22,15.5,15.63,15.5,15.55,9.218099,81100
2017-12-26,15.43,15.55,15.42,15.54,9.212169,81100
2017-12-27,15.59,15.61,15.5,15.517,9.198532,129600
2017-12-28,15.51,15.598,15.29,15.519,9.19972,288000
2017-12-29,15.55,15.6,15.2,15.5,9.188457,342800
2018-01-02,15.29,15.56,15.29,15.55,9.218099,89100
2018-01-03,15.38,15.62,15.37,15.4,9.129175,150100
2018-01-04,15.47,15.59,15.43,15.59,9.241805,200500
2018-01-05,15.5,15.59,15.35,15.52,9.200312,154600
2018-01-08,15.59,15.65,15.48,15.48,9.176601,369200
2018-01-09,15.5,15.7,15.5,15.7,9.307016,158400
2018-01-10,15.7,15.7,15.55,15.63,9.265518,65300
2018-01-11,15.6,15.71,15.55,15.68,9.295161,80300
2018-01-12,15.72,15.75,15.55,15.57,9.229955,148800
2018-01-16,15.46,15.65,15.46,15.63,9.265518,110300
2018-01-17,15.64,15.64,15.54,15.55,9.218099,246300
2018-01-18,15.65,15.7,15.5,15.7,9.307016,172600
2018-01-19,15.7,15.7,15.51,15.58,9.235881,265700
2018-01-22,15.5,15.75,15.5,15.64,9.317499,170400
2018-01-23,15.6,15.65,15.56,15.61,9.299622,120800
2018-01-24,15.58,15.67,15.45,15.56,9.269838,269600
2018-01-25,15.52,15.63,15.5,15.63,9.311542,138200
2018-01-26,15.53,15.63,15.5,15.62,9.305587,184600
2018-01-29,15.6,15.75,15.6,15.686,9.344902,108100
2018-01-30,15.73,15.73,15.59,15.65,9.323457,244700
2018-01-31,15.71,15.76,15.56,15.76,9.388986,151200
2018-02-01,15.74,15.76,15.67,15.76,9.388986,90700
2018-02-02,15.75,15.75,15.527,15.6,9.293671,68200
2018-02-05,15.54,15.58,15.35,15.52,9.246008,162100
2018-02-06,15.5,15.6,15.31,15.6,9.293671,158100
2018-02-07,15.6,15.6,15.47,15.54,9.257924,248700
2018-02-08,15.59,15.59,15.35,15.45,9.204305,165400
2018-02-09,15.4,15.53,15.3,15.35,9.144731,200900
2018-02-12,15.32,15.449,15.25,15.36,9.15069,125600
2018-02-13,15.26,15.53,15.26,15.3,9.114945,126700
2018-02-14,15.33,15.6,15.3,15.48,9.222179,103900
2018-02-15,15.45,15.52,15.37,15.4,9.174515,127300
2018-02-16,15.4,15.5,15.4,15.45,9.204305,110500
2018-02-20,15.48,15.56,15.371,15.51,9.286333,165600
2018-02-21,15.6,16.6,15.59,16.23,9.717421,1894400
2018-02-22,16.33,16.42,16.1,16.18,9.687482,725000
2018-02-23,16.139999,16.296,16.0,16.24,9.723406,304500
2018-02-26,16.25,16.25,16.1,16.209999,9.705446,353900
2018-02-27,16.200001,16.219999,16.0,16.110001,9.645574,253500
2018-02-28,16.15,16.15,15.83,16.030001,9.597674,447200
2018-03-01,16.0,16.139999,15.95,16.040001,9.603661,234700
2018-03-02,16.01,16.065001,15.83,15.85,9.489904,359100
