Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.25,11.4,11.02,11.36,5.339695,46900
2016-01-05,11.36,11.46,11.05,11.26,5.292691,83200
2016-01-06,10.98,11.247,10.96,11.0,5.170481,118300
2016-01-07,10.9,10.95,10.61,10.61,4.987162,72700
2016-01-08,10.62,10.73,10.405,10.52,4.944858,135900
2016-01-11,10.47,10.52,10.18,10.35,4.86495,57800
2016-01-12,10.41,10.5,9.93,10.21,4.799146,76300
2016-01-13,10.22,10.23,9.76,9.83,4.620527,40500
2016-01-14,9.83,10.03,9.511,10.0,4.700432,204900
2016-01-15,9.64,9.82,9.54,9.7,4.559421,128100
2016-01-19,9.58,9.634,9.202,9.39,4.46713,124100
2016-01-20,9.22,9.22,8.38,8.79,4.18169,185200
2016-01-21,8.73,9.05,8.68,8.91,4.238778,92900
2016-01-22,9.05,9.51,9.0,9.51,4.52422,83400
2016-01-25,9.65,9.65,9.26,9.34,4.443345,41300
2016-01-26,9.52,9.881,9.44,9.58,4.557518,131100
2016-01-27,9.58,9.92,9.57,9.73,4.628879,169700
2016-01-28,9.94,10.29,9.775,10.24,4.871501,167000
2016-01-29,10.41,10.49,10.16,10.49,4.990437,129600
2016-02-01,10.36,10.48,10.16,10.41,4.952378,92900
2016-02-02,10.41,10.41,10.1,10.19,4.847717,81300
2016-02-03,10.29,10.29,10.01,10.27,4.885773,53300
2016-02-04,10.32,10.4,10.2,10.28,4.890532,44700
2016-02-05,10.28,10.36,10.15,10.17,4.838202,62500
2016-02-08,10.01,10.16,9.7,9.8,4.662181,55100
2016-02-09,9.64,9.798,9.33,9.61,4.571788,61900
2016-02-10,9.63,9.67,9.32,9.42,4.481402,90300
2016-02-11,9.07,9.31,9.05,9.25,4.400526,85600
2016-02-12,9.33,9.33,9.115,9.32,4.433828,63000
2016-02-16,9.41,9.66,9.37,9.57,4.552761,81800
2016-02-17,9.72,9.86,9.62,9.78,4.709753,78800
2016-02-18,9.91,9.912,9.76,9.9,4.767541,35700
2016-02-19,9.78,9.89,9.65,9.82,4.729017,33000
2016-02-22,10.03,10.04,9.84,9.98,4.806067,34100
2016-02-23,9.93,9.99,9.78,9.87,4.753094,46600
2016-02-24,9.76,10.01,9.7,9.89,4.762728,40500
2016-02-25,9.87,10.08,9.74,10.05,4.839778,40400
2016-02-26,10.13,10.13,9.91,10.12,4.873488,52600
2016-02-29,10.22,10.3,9.94,10.24,4.931273,73100
2016-03-01,10.35,10.4,10.26,10.33,4.974619,33900
2016-03-02,10.36,10.5,10.28,10.38,4.998695,37600
2016-03-03,10.45,10.73,10.43,10.73,5.167248,46300
2016-03-04,10.75,11.07,10.47,11.05,5.321347,77800
2016-03-07,10.95,11.2,10.95,11.2,5.393586,36000
2016-03-08,11.22,11.34,10.89,10.94,5.268375,61500
2016-03-09,11.11,11.11,10.784,10.89,5.244295,38400
2016-03-10,10.91,11.03,10.72,10.92,5.258742,47900
2016-03-11,10.99,11.19,10.975,11.14,5.364688,58700
2016-03-14,11.07,11.12,11.04,11.09,5.340611,26300
2016-03-15,11.02,11.09,10.85,11.02,5.306898,48500
2016-03-16,11.02,11.2,10.94,11.195,5.391175,37200
2016-03-17,11.25,11.5,11.2,11.385,5.482675,54100
2016-03-18,11.33,11.4,11.25,11.3,5.497756,22900
2016-03-21,11.34,11.4,11.21,11.32,5.507489,56400
2016-03-22,11.29,11.57,11.27,11.56,5.624252,42400
2016-03-23,11.44,11.483,11.32,11.37,5.531813,46500
2016-03-24,11.29,11.29,11.141,11.17,5.434506,32200
2016-03-28,11.28,11.28,11.1,11.28,5.488028,32700
2016-03-29,11.16,11.25,11.133,11.25,5.473428,47900
2016-03-30,11.29,11.47,11.287,11.47,5.580466,103600
2016-03-31,11.52,11.66,11.49,11.6,5.643714,71700
2016-04-01,11.41,11.57,11.36,11.49,5.590194,44700
2016-04-04,11.55,11.55,11.17,11.32,5.507489,54000
2016-04-05,11.3,11.33,11.208,11.27,5.483161,53500
2016-04-06,11.3,11.33,11.185,11.32,5.507489,32300
