Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,19.686666,19.946667,19.360001,19.799999,13.642838,31350
2016-01-05,19.733334,19.799999,19.620001,19.799999,13.642838,1950
2016-01-06,19.6,19.799999,19.6,19.626667,13.523411,1650
2016-01-07,19.786667,19.786667,19.48,19.666668,13.550969,15150
2016-01-08,19.666668,19.666668,19.366667,19.666668,13.550969,14250
2016-01-11,19.666668,19.666668,19.186666,19.606667,13.509625,14550
2016-01-12,19.6,19.666668,17.459999,17.58,12.113187,53400
2016-01-13,17.379999,17.946667,16.133333,16.906668,11.649241,33750
2016-01-14,16.82,17.953333,16.733334,17.886667,12.324492,22950
2016-01-15,17.633333,18.18,17.633333,17.9,12.333675,12750
2016-01-19,18.193333,18.193333,17.719999,18.0,12.402586,32250
2016-01-20,17.82,18.0,16.973333,17.733334,12.218842,51450
2016-01-21,17.74,17.9,17.74,17.76,12.237213,10800
2016-01-22,18.253332,18.253332,17.986668,18.0,12.402586,9300
2016-01-25,18.086666,18.086666,17.913334,17.946667,12.365835,2250
2016-01-26,17.966667,18.0,17.913334,17.959999,12.37502,13800
2016-01-27,18.02,18.02,17.686666,18.013332,12.411767,9450
2016-01-28,18.0,18.013332,17.959999,18.013332,12.411767,22350
2016-01-29,18.666668,19.24,18.620001,18.693333,12.880309,27600
2016-02-01,18.733334,20.0,18.733334,19.700001,13.573938,22650
2016-02-02,19.353333,19.646667,18.34,19.040001,13.119175,31200
2016-02-03,19.0,19.466667,18.333332,18.406668,12.68279,12900
2016-02-04,18.693333,18.693333,18.386667,18.386667,12.669007,2700
2016-02-05,18.666668,18.959999,18.666668,18.766666,12.93084,9900
2016-02-08,19.006666,19.106667,17.646667,17.646667,12.159125,34800
2016-02-09,18.120001,18.120001,17.886667,17.886667,12.324492,6900
2016-02-10,17.953333,18.733334,17.586666,18.433332,12.739148,22950
2016-02-11,17.753332,18.493334,17.686666,17.853333,12.338311,12900
2016-02-12,18.013332,18.353333,17.133333,17.186666,11.877587,13500
2016-02-16,17.186666,17.866667,17.046667,17.613333,12.172451,12600
2016-02-17,17.860001,18.32,17.426666,18.32,12.660823,7950
2016-02-18,18.0,18.233334,17.620001,17.620001,12.177058,10500
2016-02-19,18.113333,18.113333,17.0,17.08,11.803869,14250
2016-02-22,17.08,17.533333,16.626667,17.166668,11.863764,9150
2016-02-23,16.806667,16.966667,16.806667,16.893333,11.674863,3900
2016-02-24,16.806667,17.333332,16.806667,16.833332,11.633401,3300
2016-02-25,16.879999,17.373333,16.833332,16.940001,11.707116,16050
2016-02-26,16.866667,17.333332,16.866667,17.106667,11.822296,5400
2016-02-29,17.326668,17.326668,16.833332,16.940001,11.707116,12450
2016-03-01,16.940001,17.333332,16.940001,17.200001,11.886799,6450
