Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.49,14.54,14.36,14.45,6.752273,55600
2016-01-05,14.6,14.64,14.52,14.6,6.822361,74800
2016-01-06,14.55,14.62,14.52,14.6,6.822361,52000
2016-01-07,14.53,14.64,14.42,14.42,6.738252,49900
2016-01-08,14.43,14.48,14.27,14.29,6.677505,29200
2016-01-11,14.37,14.37,14.22,14.25,6.658814,52700
2016-01-12,14.36,14.36,14.09,14.2,6.635448,46100
2016-01-13,14.16,14.21,13.96,13.96,6.523301,38600
2016-01-14,13.92,14.21,13.85,14.21,6.640123,47000
2016-01-15,13.76,14.09,13.75,13.85,6.471901,63100
2016-01-19,13.95,13.95,13.64,13.92,6.504611,129700
2016-01-20,13.8,13.89,13.47,13.89,6.490595,54100
2016-01-21,13.88,13.98,13.7,13.98,6.532648,25400
2016-01-22,14.15,14.33,14.03,14.1,6.588721,40800
2016-01-25,14.1,14.13,13.85,13.89,6.490595,35000
2016-01-26,13.96,14.11,13.61,14.1,6.588721,83800
2016-01-27,14.14,14.19,14.02,14.05,6.565357,30200
2016-01-28,14.23,14.25,14.1,14.2,6.635448,136200
2016-01-29,14.25,14.31,14.22,14.28,6.672832,32100
2016-02-01,14.34,14.34,14.15,14.31,6.686854,43200
2016-02-02,14.29,14.29,14.16,14.16,6.61676,18800
2016-02-03,14.32,14.32,14.12,14.15,6.612086,48400
2016-02-04,14.17,14.24,14.1,14.1,6.588721,19100
2016-02-05,14.12,14.13,13.9,13.94,6.513957,40600
2016-02-08,13.95,13.95,13.78,13.85,6.471901,27600
2016-02-09,13.81,13.87,13.72,13.8,6.448536,29200
2016-02-10,13.88,13.99,13.73,13.92,6.504611,52000
2016-02-11,13.8,13.89,13.7,13.7,6.401803,62400
2016-02-12,13.85,13.85,13.7,13.74,6.420497,74000
2016-02-16,13.69,13.71,13.63,13.69,6.451129,35200
2016-02-17,13.78,13.78,13.7,13.75,6.479403,21200
2016-02-18,13.85,13.85,13.74,13.75,6.479403,21600
2016-02-19,13.77,13.78,13.7,13.76,6.484117,32100
2016-02-22,13.89,13.99,13.8,13.9,6.550086,48400
2016-02-23,13.95,13.95,13.84,13.88,6.540665,20300
2016-02-24,13.84,13.91,13.82,13.89,6.545377,57400
2016-02-25,13.95,13.99,13.9,13.99,6.592497,35700
2016-02-26,14.05,14.09,13.94,14.01,6.601924,41300
2016-02-29,14.06,14.12,14.01,14.04,6.616059,29800
2016-03-01,14.12,14.21,14.1,14.18,6.682031,47700
2016-03-02,14.18,14.31,14.18,14.25,6.715018,34000
2016-03-03,14.3,14.43,14.25,14.42,6.795126,74200
2016-03-04,14.46,14.67,14.38,14.67,6.912934,49700
2016-03-07,14.66,14.86,14.63,14.81,6.978906,47800
2016-03-08,14.84,14.84,14.7,14.8,6.974192,35300
2016-03-09,14.89,14.89,14.72,14.72,6.936495,44200
2016-03-10,14.83,14.96,14.77,14.86,7.002467,70800
2016-03-11,14.95,15.21,14.95,15.21,7.167399,43200
2016-03-14,15.15,15.3,15.02,15.03,7.136535,31800
2016-03-15,15.04,15.08,14.94,14.99,7.117543,87200
2016-03-16,15.0,15.09,14.99,15.01,7.127037,46300
2016-03-17,15.07,15.15,15.06,15.12,7.179269,37500
2016-03-18,15.21,15.45,15.16,15.42,7.321713,55200
2016-03-21,15.42,15.67,15.34,15.41,7.316966,90600
2016-03-22,15.34,15.49,15.33,15.47,7.345452,23300
2016-03-23,15.53,15.6,15.44,15.5,7.359702,47000
2016-03-24,15.52,15.55,15.29,15.32,7.274234,57800
2016-03-28,15.43,15.44,15.28,15.28,7.255242,38700
2016-03-29,15.32,15.52,15.27,15.37,7.297972,24400
2016-03-30,15.53,15.6,15.35,15.47,7.345452,39000
2016-03-31,15.57,15.6,15.27,15.37,7.297972,71400
2016-04-01,15.44,15.51,15.18,15.31,7.269484,32400
2016-04-04,15.35,15.35,15.01,15.12,7.179269,53300
2016-04-05,15.12,15.12,15.01,15.08,7.160275,34400
2016-04-06,15.16,15.41,15.15,15.34,7.283727,34100
2016-04-07,15.38,15.41,15.25,15.4,7.312216,31000
2016-04-08,15.51,15.56,15.28,15.44,7.331208,29400
2016-04-11,15.55,15.69,15.46,15.62,7.416675,30100
2016-04-12,15.63,15.79,15.55,15.79,7.497396,18800
2016-04-13,15.79,15.8,15.57,15.7,7.509354,24900
2016-04-14,15.74,15.74,15.56,15.58,7.451961,11700
2016-04-15,15.64,15.78,15.5,15.63,7.475876,23100
2016-04-18,15.57,15.65,15.45,15.57,7.447175,30300
2016-04-19,15.62,15.74,15.51,15.64,7.480658,25900
2016-04-20,15.58,15.6,15.5,15.59,7.45674,32800
2016-04-21,15.59,15.69,15.32,15.48,7.404129,58600
2016-04-22,15.39,15.59,15.37,15.56,7.442392,19900
2016-04-25,15.47,15.59,15.43,15.59,7.45674,34800
2016-04-26,15.52,15.64,15.52,15.64,7.480658,24200
2016-04-27,15.69,15.72,15.58,15.67,7.495004,29800
2016-04-28,15.55,15.65,15.53,15.58,7.451961,25500
2016-04-29,15.58,15.68,15.49,15.6,7.461522,27600
2016-05-02,15.58,15.68,15.54,15.67,7.495004,21900
2016-05-03,15.59,15.66,15.49,15.65,7.485437,22900
2016-05-04,15.64,15.64,15.53,15.56,7.442392,15300
2016-05-05,15.47,15.57,15.42,15.49,7.408911,37900
2016-05-06,15.41,15.49,15.37,15.47,7.399342,38600
2016-05-09,15.47,15.48,15.29,15.41,7.370648,37300
2016-05-10,15.38,15.51,15.34,15.51,7.418479,38400
2016-05-11,15.47,15.53,15.37,15.5,7.413696,20600
2016-05-12,15.56,15.64,15.44,15.57,7.447175,27300
2016-05-13,15.62,15.73,15.62,15.71,7.514137,15400
2016-05-16,15.67,15.69,15.55,15.63,7.531003,32100
2016-05-17,15.7,15.71,15.46,15.47,7.453907,31600
2016-05-18,15.53,15.53,15.3,15.37,7.405725,55500
2016-05-19,15.32,15.34,15.1,15.15,7.299724,32700
2016-05-20,15.26,15.46,15.23,15.43,7.434632,13800
2016-05-23,15.51,15.55,15.35,15.44,7.439455,45100
2016-05-24,15.57,15.6,15.48,15.55,7.492453,20000
2016-05-25,15.64,15.73,15.53,15.69,7.559914,48900
2016-05-26,15.77,15.77,15.54,15.54,7.487638,16800
2016-05-27,15.62,15.62,15.49,15.5,7.468366,13200
2016-05-31,15.63,15.64,15.38,15.5,7.468366,43600
2016-06-01,15.45,15.63,15.4,15.57,7.502095,25500
2016-06-02,15.51,15.54,15.42,15.54,7.487638,29700
2016-06-03,15.44,15.6,15.41,15.57,7.502095,15800
2016-06-06,15.54,15.64,15.53,15.59,7.511727,24400
2016-06-07,15.66,15.7,15.58,15.64,7.535822,33300
2016-06-08,15.7,15.71,15.68,15.71,7.569547,12700
2016-06-09,15.71,15.8,15.68,15.76,7.59364,10400
2016-06-10,15.75,15.77,15.69,15.77,7.598458,33000
2016-06-13,15.6,15.66,15.58,15.6,7.571763,14000
2016-06-14,15.6,15.6,15.51,15.59,7.56691,14000
2016-06-15,15.54,15.62,15.47,15.47,7.508664,9900
2016-06-16,15.48,15.57,15.42,15.57,7.557203,12200
2016-06-17,15.57,15.63,15.44,15.5,7.523229,38400
2016-06-20,15.5,15.58,15.46,15.49,7.518371,41700
2016-06-21,15.62,15.75,15.62,15.64,7.591178,16100
