Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.58,11.66,11.45,11.6,8.915001,15143500
2016-01-05,11.65,11.78,11.58,11.71,8.999541,13558400
2016-01-06,11.52,11.52,11.2,11.29,8.676756,16352600
2016-01-07,11.05,11.05,10.72,10.77,8.277119,25487700
2016-01-08,10.83,10.92,10.55,10.58,8.131096,17429400
2016-01-11,10.66,10.75,10.5,10.65,8.184893,17004000
2016-01-12,10.76,10.89,10.57,10.82,8.315545,16629500
2016-01-13,10.83,10.93,10.44,10.58,8.131096,29839500
2016-01-14,10.6,10.82,10.54,10.62,8.161839,29085000
2016-01-15,10.18,10.38,9.99,10.11,7.769884,24212500
2016-01-19,10.27,10.28,9.7,9.76,7.5009,27430300
2016-01-20,9.55,9.63,9.24,9.55,7.339509,27005100
2016-01-21,9.61,10.01,9.51,9.94,7.639236,25739300
2016-01-22,10.13,10.24,9.73,9.8,7.53164,17295200
2016-01-25,9.79,9.81,9.45,9.49,7.293395,14556800
2016-01-26,9.54,9.8,9.51,9.64,7.408674,9929600
2016-01-27,9.64,9.89,9.57,9.62,7.393305,9768600
2016-01-28,9.75,9.77,9.42,9.48,7.285707,13443700
2016-01-29,9.58,9.72,9.4,9.71,7.462471,47468400
2016-02-01,9.65,10.01,9.59,9.97,7.662289,21712300
2016-02-02,9.83,9.97,9.73,9.88,7.593123,21614700
2016-02-03,9.81,9.85,9.33,9.65,7.416359,15264300
2016-02-04,9.6,9.94,9.6,9.86,7.577752,11744600
2016-02-05,9.83,10.12,9.76,9.91,7.616181,17014200
2016-02-08,9.76,9.81,9.21,9.37,7.20117,15919200
2016-02-09,9.29,9.42,9.15,9.19,7.062835,20489200
2016-02-10,9.24,9.47,9.19,9.28,7.132,12246800
2016-02-11,9.14,9.2,8.91,9.02,6.932182,14737600
2016-02-12,9.09,9.44,9.03,9.42,7.239597,9665500
2016-02-16,9.56,9.85,9.45,9.81,7.539325,12066900
2016-02-17,9.88,10.1,9.87,10.08,7.746829,11990100
2016-02-18,10.13,10.67,10.1,10.52,8.084986,18758900
2016-02-19,10.49,10.49,10.05,10.32,7.931277,13933500
2016-02-22,10.44,10.75,10.42,10.68,8.207952,10850000
2016-02-23,10.61,10.63,10.25,10.31,7.923592,13019800
2016-02-24,10.28,10.86,10.1,10.82,8.315545,21745800
2016-02-25,10.16,10.46,9.95,10.34,7.946647,35602800
2016-02-26,10.44,10.99,10.38,10.64,8.177206,22768000
2016-02-29,10.64,10.85,10.6,10.69,8.215636,17442500
2016-03-01,10.84,11.02,10.67,10.93,8.400084,17280100
2016-03-02,10.93,11.06,10.77,10.9,8.377028,12508200
2016-03-03,10.97,11.3,10.96,11.11,8.538422,18109800
2016-03-04,11.15,11.32,11.1,11.18,8.592217,15194000
2016-03-07,10.99,11.4,10.95,11.31,8.789615,12399200
2016-03-08,11.2,11.27,10.96,11.05,8.587556,13055000
2016-03-09,11.09,11.45,11.09,11.36,8.828471,12056800
2016-03-10,11.39,11.56,11.15,11.42,8.875101,15901300
2016-03-11,11.52,11.7,11.45,11.7,9.092704,12948000
2016-03-14,11.63,11.71,11.36,11.47,8.913961,13588500
2016-03-15,11.43,11.45,11.2,11.4,8.859559,11307600
2016-03-16,11.41,11.67,11.35,11.62,9.030531,11691700
2016-03-17,11.62,12.25,11.59,11.72,9.108248,18156500
2016-03-18,11.78,12.22,11.78,12.18,9.465738,35437900
2016-03-21,12.14,12.24,11.98,12.21,9.489054,14445600
2016-03-22,12.09,12.3,12.06,12.26,9.527913,10974900
2016-03-23,12.24,12.28,11.97,12.02,9.341394,11990000
2016-03-24,11.98,12.1,11.72,12.07,9.380253,12086600
2016-03-28,12.06,12.14,11.96,12.07,9.380253,10561500
2016-03-29,12.03,12.35,11.92,12.28,9.543456,10721200
2016-03-30,12.34,12.39,12.16,12.3,9.558997,10790100
2016-03-31,12.3,12.36,12.2,12.32,9.574543,13811600
2016-04-01,12.21,12.29,12.03,12.26,9.527913,11919300
2016-04-04,12.24,12.3,12.09,12.1,9.403569,11098400
2016-04-05,12.1,12.14,11.93,11.95,9.286995,15487800
2016-04-06,12.03,12.29,11.89,12.28,9.543456,13146700
2016-04-07,12.21,12.29,11.93,11.99,9.318078,14245300
2016-04-08,12.09,12.28,12.05,12.06,9.372481,8256100
2016-04-11,12.1,12.44,12.1,12.13,9.42688,15969500
2016-04-12,12.2,12.31,11.78,12.22,9.496827,28336400
2016-04-13,12.34,12.74,12.26,12.64,9.82323,16054700
2016-04-14,12.56,12.69,12.34,12.55,9.753285,14172500
2016-04-15,12.57,12.71,12.5,12.52,9.729971,12488300
2016-04-18,12.48,12.96,12.45,12.67,9.846546,15584500
2016-04-19,12.7,12.92,12.59,12.78,9.932032,18279200
2016-04-20,12.82,12.96,12.73,12.8,9.947576,17072000
2016-04-21,12.78,12.84,12.58,12.59,9.784371,11000400
2016-04-22,12.52,12.73,12.52,12.61,9.799915,11636300
2016-04-25,12.55,12.64,12.37,12.57,9.768827,13957200
2016-04-26,12.59,12.79,12.58,12.73,9.893175,15712300
2016-04-27,12.66,12.79,12.49,12.76,9.916489,10530700
2016-04-28,12.74,12.8,12.52,12.57,9.768827,8041100
2016-04-29,12.49,12.51,12.13,12.27,9.535685,13491900
2016-05-02,12.26,12.33,12.02,12.12,9.419109,12284000
2016-05-03,12.05,12.11,11.61,11.71,9.100478,16316500
2016-05-04,11.65,11.8,11.52,11.59,9.007219,8674600
2016-05-05,11.67,11.74,11.4,11.45,8.898416,8975400
2016-05-06,11.4,11.64,11.37,11.59,9.007219,8438300
2016-05-09,11.58,11.63,11.38,11.43,8.882873,9548400
2016-05-10,11.48,11.72,11.41,11.61,9.022762,14925500
2016-05-11,11.62,11.76,11.53,11.69,9.084933,14228900
2016-05-12,11.78,11.8,11.45,11.56,8.983904,12098300
2016-05-13,11.53,11.69,11.43,11.5,8.937272,7605500
2016-05-16,11.53,11.68,11.49,11.64,9.046078,6107900
2016-05-17,11.59,11.79,11.48,11.53,8.960589,9530700
2016-05-18,11.58,11.68,11.47,11.57,8.991674,7045400
2016-05-19,11.47,11.55,11.31,11.44,8.890646,10828700
2016-05-20,11.48,11.68,11.4,11.66,9.06162,10409100
2016-05-23,11.66,11.87,11.62,11.67,9.069392,9392300
2016-05-24,11.68,11.93,11.62,11.91,9.255907,8904000
2016-05-25,12.24,12.34,12.11,12.2,9.481284,15239800
2016-05-26,12.5,13.15,12.45,13.04,10.13409,29850900
2016-05-27,13.02,13.31,12.96,13.17,10.235121,18881900
2016-05-31,13.12,13.38,13.07,13.38,10.398323,22009800
2016-06-01,13.32,13.49,13.21,13.44,10.444954,15232000
2016-06-02,13.39,13.65,13.38,13.54,10.522669,13659200
2016-06-03,13.47,13.53,13.32,13.44,10.444954,10880000
2016-06-06,13.43,13.7,13.43,13.67,10.623697,8693900
2016-06-07,13.7,13.8,13.61,13.69,10.639243,9551200
2016-06-08,13.69,13.9,13.66,13.87,10.779131,9281700
2016-06-09,13.78,13.89,13.62,13.84,10.755816,9412000
2016-06-10,13.71,13.72,13.39,13.5,10.491583,10148000
2016-06-13,13.27,13.29,13.02,13.03,10.220194,13612100
2016-06-14,13.01,13.2,12.89,13.05,10.235881,11584300
2016-06-15,13.09,13.2,12.96,13.0,10.196666,9813000
2016-06-16,12.94,13.02,12.71,12.98,10.180975,8609900
2016-06-17,12.98,13.18,12.96,13.12,10.290785,14437800
2016-06-20,13.28,13.38,13.06,13.07,10.251569,12433400
2016-06-21,13.13,13.36,13.06,13.33,10.455503,13198700
2016-06-22,12.81,12.97,12.6,12.61,9.890764,18255600
2016-06-23,12.83,12.97,12.79,12.95,10.157447,13354200
2016-06-24,12.41,12.63,12.15,12.26,9.61624,19822700
2016-06-27,12.11,12.12,11.48,11.55,9.059344,15065900
2016-06-28,11.67,11.8,11.51,11.79,9.24759,15332900
2016-06-29,11.97,12.23,11.84,12.18,9.553489,14196400
2016-06-30,12.27,12.55,12.14,12.55,9.843703,14463700
2016-07-01,12.55,12.76,12.51,12.73,9.984888,10889200
2016-07-05,12.62,12.71,12.26,12.36,9.694675,9277500
2016-07-06,12.26,12.62,12.04,12.6,9.882921,12005100
2016-07-07,12.66,12.88,12.59,12.85,10.079012,13625700
2016-07-08,13.05,13.16,12.95,13.08,10.259412,8603600
2016-07-11,13.17,13.3,13.03,13.16,10.32216,9729600
2016-07-12,13.47,13.83,13.42,13.72,10.761404,17162900
2016-07-13,13.73,13.85,13.63,13.81,10.831993,9809500
2016-07-14,13.89,13.94,13.75,13.8,10.824151,9378300
2016-07-15,13.89,13.93,13.77,13.85,10.863369,10008700
2016-07-18,13.85,14.0,13.85,13.94,10.933959,6628700
2016-07-19,13.93,14.11,13.92,14.05,11.02024,11298800
2016-07-20,14.15,14.25,14.04,14.16,11.106521,17222700
2016-07-21,14.13,14.18,13.93,14.0,10.981021,18617700
2016-07-22,14.01,14.14,13.91,14.11,11.067301,10287300
2016-07-25,14.1,14.2,14.09,14.16,11.106521,6971300
2016-07-26,14.16,14.27,14.12,14.18,11.122209,9362900
2016-07-27,14.26,14.26,13.9,13.99,10.97318,17620300
2016-07-28,13.95,13.98,13.82,13.94,10.933959,16140900
2016-07-29,13.91,14.13,13.79,14.01,10.988866,15759100
2016-08-01,14.06,14.24,14.02,14.18,11.122209,13847600
2016-08-02,13.92,14.18,13.85,14.06,11.028083,10680600
2016-08-03,14.05,14.35,14.04,14.31,11.224174,10143200
2016-08-04,14.33,14.38,14.1,14.15,11.098676,14859900
2016-08-05,14.24,14.36,14.19,14.28,11.200643,10185600
2016-08-08,14.3,14.34,14.2,14.26,11.184958,11586400
2016-08-09,14.29,14.34,14.24,14.25,11.177113,12412400
2016-08-10,14.28,14.3,14.14,14.19,11.130052,11868700
2016-08-11,14.2,14.33,14.15,14.3,11.216331,8173800
2016-08-12,14.29,14.38,14.25,14.28,11.200643,9991300
2016-08-15,14.31,14.59,14.31,14.52,11.388889,12748600
2016-08-16,14.46,14.52,14.38,14.41,11.302608,9366400
2016-08-17,14.4,14.51,14.33,14.5,11.373203,10371400
2016-08-18,14.52,14.6,14.46,14.51,11.381043,9054600
2016-08-19,14.46,14.51,14.39,14.42,11.310452,9503700
2016-08-22,14.36,14.39,14.26,14.37,11.271236,13103100
2016-08-23,14.43,14.65,14.43,14.57,11.428106,14074900
2016-08-24,14.67,14.73,14.39,14.4,11.294766,19757300
2016-08-25,13.64,14.48,13.55,14.37,11.271236,36143400
2016-08-26,14.37,14.69,14.37,14.39,11.286923,15567800
2016-08-29,14.41,14.58,14.39,14.43,11.318297,8023600
2016-08-30,14.43,14.46,14.28,14.38,11.279077,10540800
2016-08-31,14.34,14.42,14.21,14.37,11.271236,11282700
2016-09-01,14.39,14.5,14.28,14.5,11.373203,10854000
2016-09-02,14.61,14.7,14.45,14.49,11.365358,8327200
2016-09-06,14.54,14.67,14.53,14.63,11.475168,7582500
2016-09-07,14.63,14.75,14.51,14.69,11.522231,6809000
2016-09-08,14.6,14.69,14.55,14.63,11.475168,10292000
2016-09-09,14.52,14.53,14.07,14.07,11.035927,16645900
2016-09-12,13.85,14.57,13.78,14.49,11.466413,15824300
2016-09-13,14.35,14.44,14.06,14.18,11.221101,15057500
2016-09-14,14.18,14.35,14.09,14.27,11.292319,8594800
2016-09-15,14.19,14.6,14.14,14.5,11.474328,11822000
2016-09-16,14.74,14.8,14.49,14.53,11.498065,18459500
2016-09-19,14.58,14.74,14.54,14.56,11.521807,7980900
2016-09-20,14.64,14.67,14.52,14.54,11.505977,8222200
2016-09-21,14.63,15.0,14.62,14.99,11.862081,13734100
2016-09-22,14.98,15.17,14.93,15.12,11.964953,9938700
2016-09-23,15.1,15.19,15.03,15.09,11.941214,8102200
2016-09-26,15.0,15.12,14.93,15.02,11.88582,7484500
2016-09-27,15.0,15.37,14.95,15.34,12.139046,9061300
2016-09-28,15.4,15.49,15.17,15.49,12.257746,9742200
2016-09-29,15.46,15.6,15.33,15.39,12.178612,9794700
2016-09-30,15.47,15.73,15.44,15.53,12.289398,11457300
2016-10-03,15.46,15.69,15.46,15.65,12.384359,7281600
2016-10-04,15.68,15.74,15.27,15.36,12.154872,12313900
2016-10-05,15.43,15.68,15.43,15.63,12.368531,9081200
2016-10-06,15.63,15.63,15.42,15.6,12.344792,5285900
2016-10-07,15.62,15.68,15.49,15.58,12.328965,5458200
2016-10-10,15.69,15.88,15.59,15.59,12.336879,7726100
2016-10-11,15.6,15.6,15.32,15.44,12.21818,10650000
2016-10-12,15.48,15.56,15.31,15.35,12.146958,10064100
2016-10-13,15.2,15.25,14.94,15.15,11.988693,14423600
2016-10-14,14.63,15.0,14.48,14.48,11.458499,23107500
2016-10-17,14.5,14.56,14.01,14.03,11.1024,22058000
2016-10-18,14.19,14.42,14.09,14.21,11.24484,12762800
2016-10-19,14.18,14.27,14.04,14.12,11.173619,9918200
2016-10-20,14.08,14.17,13.98,14.1,11.157793,6824000
2016-10-21,14.01,14.04,13.77,13.8,10.920393,14610100
2016-10-24,13.86,13.97,13.83,13.97,11.05492,9762500
2016-10-25,13.97,13.99,13.86,13.9,10.999524,11069900
2016-10-26,13.85,14.07,13.84,13.91,11.007439,17328500
2016-10-27,13.96,14.1,13.87,13.99,11.070746,14106500
2016-10-28,13.94,14.19,13.94,14.09,11.149882,15247800
2016-10-31,14.13,14.49,14.03,14.49,11.466413,16364200
2016-11-01,14.51,14.56,14.12,14.35,11.355628,25361500
2016-11-02,14.28,14.83,14.28,14.65,11.593026,22285000
2016-11-03,14.67,14.88,14.51,14.54,11.505977,10558900
2016-11-04,14.5,14.93,14.43,14.71,11.640505,11832500
2016-11-07,14.9,15.15,14.89,15.05,11.909559,9780800
2016-11-08,15.03,15.32,14.87,15.28,12.091566,11642100
2016-11-09,15.07,15.71,14.99,15.57,12.321051,16866900
2016-11-10,15.62,15.9,15.44,15.49,12.257746,16182000
2016-11-11,15.4,15.83,15.36,15.82,12.518886,10306800
2016-11-14,15.85,16.190001,15.8,16.1,12.740459,14528200
2016-11-15,15.96,16.07,15.82,15.87,12.558453,14279400
2016-11-16,15.86,15.9,15.72,15.8,12.503057,10164100
2016-11-17,15.86,15.96,15.82,15.89,12.574279,9623300
2016-11-18,15.88,15.96,15.81,15.87,12.558453,10878200
2016-11-21,15.94,16.07,15.93,16.0,12.661326,10618300
2016-11-22,16.059999,16.190001,15.9,15.95,12.621758,19634500
2016-11-23,15.35,15.72,14.78,14.87,11.767118,23408600
2016-11-25,14.84,15.24,14.83,15.18,12.012432,8875200
2016-11-28,15.06,15.2,15.0,15.08,11.933298,12791800
2016-11-29,15.06,15.32,15.03,15.15,11.988693,9762900
2016-11-30,15.17,15.53,15.11,15.4,12.186528,15933300
2016-12-01,15.41,15.48,15.02,15.06,11.917474,12821700
2016-12-02,15.03,15.3,15.02,15.12,11.964953,8377100
2016-12-05,15.26,15.55,15.26,15.55,12.305225,11538500
2016-12-06,15.51,15.64,15.46,15.6,12.344792,6886900
2016-12-07,15.62,16.17,15.6,16.15,12.780024,11679200
2016-12-08,16.139999,16.25,16.1,16.16,12.787935,9581900
2016-12-09,16.08,16.15,15.74,15.78,12.487232,9865100
2016-12-12,15.41,15.84,15.41,15.83,12.633279,12704700
2016-12-13,15.71,15.95,15.69,15.82,12.625296,10979400
2016-12-14,15.77,15.9,15.53,15.61,12.457704,10637800
2016-12-15,15.54,15.65,15.4,15.51,12.377896,10122200
2016-12-16,15.47,15.54,15.05,15.05,12.01079,19766500
2016-12-19,15.03,15.16,14.91,15.12,12.066656,10344100
2016-12-20,15.16,15.22,15.0,15.08,12.034734,12148600
2016-12-21,15.09,15.36,15.09,15.14,12.082617,8133100
2016-12-22,15.22,15.27,14.94,15.14,12.082617,7591700
2016-12-23,15.11,15.18,15.02,15.1,12.050694,6305600
2016-12-27,15.14,15.24,15.13,15.21,12.138482,4408500
2016-12-28,15.18,15.31,14.93,14.94,11.923006,5175100
2016-12-29,14.93,15.04,14.87,14.94,11.923006,4904600
2016-12-30,15.0,15.1,14.77,14.84,11.843198,9187100
2017-01-03,14.95,15.14,14.62,14.85,11.85118,12502200
2017-01-04,14.92,15.21,14.85,15.08,12.034734,9127800
2017-01-05,15.1,15.16,14.9,15.07,12.026752,13221100
2017-01-06,15.15,15.16,14.97,15.0,11.970888,7494200
2017-01-09,14.98,15.09,14.67,14.68,11.715511,12908400
2017-01-10,14.65,14.97,14.4,14.69,11.723487,15888200
2017-01-11,14.71,14.97,14.62,14.94,11.923006,15009300
2017-01-12,14.89,14.96,14.56,14.79,11.803295,11507700
2017-01-13,14.79,14.94,14.69,14.77,11.787334,9336200
