Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,21.610001,21.709999,20.969999,21.360001,20.384159,156500
2016-01-05,21.4,21.879999,21.200001,21.76,20.765884,76400
2016-01-06,21.209999,22.16,21.209999,21.5,20.517761,85100
2016-01-07,21.07,21.75,20.57,20.59,19.649338,71900
2016-01-08,20.58,20.83,19.639999,19.799999,18.895426,119300
2016-01-11,19.91,20.41,19.780001,20.26,19.334414,94200
2016-01-12,20.49,21.1,19.9,20.309999,19.382128,72300
2016-01-13,20.35,20.74,19.32,19.440001,18.551874,91100
2016-01-14,19.639999,20.09,19.290001,19.41,18.523243,63900
2016-01-15,18.84,19.08,17.799999,18.200001,17.368525,216800
2016-01-19,18.98,19.74,18.799999,19.309999,18.427813,213900
2016-01-20,19.049999,19.969999,18.75,19.74,18.838167,101800
2016-01-21,19.860001,20.42,19.620001,20.01,19.095833,93300
2016-01-22,20.25,20.780001,20.25,20.450001,19.51573,75600
2016-01-25,20.42,20.67,19.73,19.76,18.857256,76700
2016-01-26,19.92,20.549999,19.639999,20.33,19.401215,68300
2016-01-27,20.23,21.01,20.08,20.32,19.391668,102300
2016-01-28,20.469999,20.92,20.309999,20.91,19.954714,137900
2016-01-29,20.91,22.0,20.91,21.9,20.899487,171400
2016-02-01,21.74,22.01,21.459999,21.610001,20.622738,109700
2016-02-02,21.459999,21.67,21.139999,21.32,20.345985,80000
2016-02-03,21.450001,21.450001,20.68,21.15,20.18375,87100
2016-02-04,21.120001,21.129999,20.559999,20.66,19.716137,53100
2016-02-05,20.59,20.59,19.639999,19.790001,18.885885,91100
2016-02-08,19.620001,19.620001,19.02,19.360001,18.475529,53000
2016-02-09,19.139999,19.709999,19.030001,19.16,18.284664,39700
2016-02-10,19.18,19.530001,19.030001,19.059999,18.189232,61400
2016-02-11,18.67,19.25,18.67,19.16,18.284664,65900
2016-02-12,19.370001,19.870001,19.1,19.799999,18.895426,137800
2016-02-16,20.02,20.24,19.469999,20.07,19.15309,95300
2016-02-17,21.6,24.139999,21.6,22.35,21.32893,524400
2016-02-18,22.200001,22.25,21.370001,21.49,20.508217,178500
2016-02-19,21.370001,21.450001,21.059999,21.08,20.116947,92700
2016-02-22,21.27,21.59,21.030001,21.440001,20.460503,122600
2016-02-23,21.43,21.860001,21.24,21.33,20.355526,108700
2016-02-24,21.139999,21.889999,20.73,21.75,20.75634,70700
2016-02-25,21.709999,22.48,20.92,21.07,20.107407,53800
2016-02-26,21.110001,21.799999,20.74,20.93,19.973804,79200
2016-02-29,20.879999,21.690001,20.620001,20.67,19.725679,101000
2016-03-01,20.77,21.35,20.68,21.08,20.116947,74800
2016-03-02,21.030001,21.790001,20.91,21.0,20.040606,67200
2016-03-03,21.0,21.360001,20.82,21.280001,20.307812,88000
2016-03-04,21.290001,21.76,21.049999,21.52,20.536848,70900
2016-03-07,21.51,21.889999,21.32,21.84,20.842228,77400
2016-03-08,21.76,21.83,20.950001,21.030001,20.069233,99200
2016-03-09,21.059999,21.200001,20.870001,20.98,20.021517,59400
2016-03-10,21.0,21.66,20.16,20.25,19.324867,85200
2016-03-11,20.41,20.440001,19.77,20.200001,19.277153,153800
2016-03-14,20.219999,20.799999,19.85,20.549999,19.611162,81300
2016-03-15,20.43,20.43,19.389999,19.450001,18.561417,57100
2016-03-16,19.379999,20.290001,19.379999,19.969999,19.057661,72200
2016-03-17,19.85,20.24,19.65,20.200001,19.277153,53000
2016-03-18,20.360001,20.98,20.23,20.82,19.868824,168300
2016-03-21,20.83,21.129999,20.25,20.559999,19.620707,67900
2016-03-22,20.6,20.68,20.42,20.530001,19.592077,66700
2016-03-23,20.540001,20.889999,20.33,20.440001,19.506189,108200
2016-03-24,20.280001,20.370001,19.77,19.85,18.943144,38600
2016-03-28,19.98,19.98,19.610001,19.66,18.76182,64900
2016-03-29,19.950001,22.030001,19.709999,21.860001,20.861315,190100
2016-03-30,22.049999,22.1,21.6,21.719999,20.727709,76200
2016-03-31,21.690001,22.360001,21.540001,22.09,21.080807,70900
2016-04-01,21.98,22.43,21.98,22.32,21.300301,102900
2016-04-04,22.32,22.6,22.02,22.07,21.061722,147000
2016-04-05,21.559999,22.110001,21.559999,21.690001,20.699083,81300
2016-04-06,22.030001,22.209999,21.59,21.799999,20.804056,66000
2016-04-07,21.690001,22.26,21.66,21.84,20.842228,135400
2016-04-08,21.969999,22.01,21.17,21.889999,20.889944,82600
2016-04-11,21.940001,22.280001,21.1,21.17,20.202835,98200
2016-04-12,21.23,21.92,20.98,21.799999,20.804056,62900
2016-04-13,21.98,22.5,21.969999,22.440001,21.414818,87100
2016-04-14,22.379999,22.74,22.290001,22.42,21.395731,40300
2016-04-15,22.25,22.549999,22.25,22.35,21.32893,28800
2016-04-18,22.139999,23.08,22.139999,22.690001,21.653397,64100
2016-04-19,22.799999,22.92,21.84,22.280001,21.262129,54900
2016-04-20,22.23,22.24,21.790001,22.110001,21.099894,62200
2016-04-21,22.190001,22.51,22.110001,22.290001,21.271671,83700
2016-04-22,22.219999,23.26,21.27,23.209999,22.149637,145900
2016-04-25,23.290001,23.540001,22.52,23.370001,22.302332,181200
2016-04-26,22.299999,24.120001,19.950001,23.030001,21.977865,464000
2016-04-27,22.959999,23.98,22.77,23.110001,22.054209,109600
2016-04-28,22.950001,23.139999,22.58,22.950001,21.901516,97900
2016-04-29,22.85,22.940001,22.26,22.620001,21.586596,111900
2016-05-02,22.790001,22.91,21.82,22.610001,21.577051,134600
2016-05-03,22.33,23.32,21.27,22.290001,21.271671,201600
2016-05-04,22.219999,22.43,21.42,21.969999,20.966286,149700
2016-05-05,22.110001,22.129999,21.139999,21.620001,20.632278,110700
2016-05-06,21.43,21.940001,20.719999,21.889999,20.889944,91600
2016-05-09,21.860001,22.15,21.780001,21.98,20.975834,39100
2016-05-10,22.15,22.51,21.74,22.49,21.462534,46800
2016-05-11,22.48,22.530001,22.25,22.370001,21.348015,115200
2016-05-12,22.17,22.469999,21.68,22.1,21.090351,68600
2016-05-13,21.99,22.200001,21.58,22.139999,21.128523,88200
2016-05-16,22.25,22.43,21.299999,22.23,21.214413,65500
2016-05-17,22.09,22.690001,21.889999,22.040001,21.033091,105700
2016-05-18,21.98,22.549999,21.879999,22.32,21.300301,46500
2016-05-19,22.440001,22.450001,21.6,22.0,20.994917,52500
2016-05-20,22.16,22.74,22.049999,22.559999,21.529333,66600
2016-05-23,22.629999,23.01,22.459999,22.49,21.462534,55300
2016-05-24,22.309999,23.15,22.219999,22.93,21.882429,81200
2016-05-25,22.99,23.15,22.76,23.120001,22.063753,79500
2016-05-26,23.08,23.08,22.4,22.959999,21.91106,50900
2016-05-27,23.129999,23.4,22.940001,23.389999,22.321413,87500
2016-05-31,23.49,23.66,23.26,23.49,22.416847,131700
2016-06-01,23.450001,24.32,23.209999,24.25,23.142128,84300
2016-06-02,24.120001,25.469999,24.120001,25.4,24.239586,137400
2016-06-03,25.41,25.41,24.73,25.15,24.001009,80600
2016-06-06,25.309999,25.870001,25.17,25.77,24.592684,142400
2016-06-07,25.83,26.02,25.67,25.790001,24.611771,79200
2016-06-08,25.879999,26.639999,25.809999,26.58,25.365679,69500
2016-06-09,26.469999,26.9,25.74,26.43,25.22253,51100
2016-06-10,26.48,26.66,25.879999,25.99,24.802633,83400
2016-06-13,25.92,26.879999,25.469999,25.639999,24.46862,88500
2016-06-14,25.629999,25.959999,25.49,25.74,24.564053,49700
2016-06-15,25.860001,26.18,25.49,25.540001,24.373192,52300
2016-06-16,25.27,25.620001,25.0,25.49,24.325478,93200
2016-06-17,25.58,25.58,25.0,25.370001,24.210958,149800
2016-06-20,25.74,26.23,25.629999,25.65,24.478167,61900
2016-06-21,25.74,25.940001,25.299999,25.389999,24.230043,42900
2016-06-22,25.49,25.83,25.190001,25.27,24.115528,50800
2016-06-23,25.5,26.24,24.959999,25.98,24.793091,59100
2016-06-24,25.0,25.469999,24.77,25.15,24.001009,176000
2016-06-27,24.860001,25.120001,24.17,24.469999,23.352074,85500
2016-06-28,24.67,25.459999,24.67,25.17,24.020096,71800
2016-06-29,25.969999,26.530001,25.790001,26.51,25.29888,139000
2016-06-30,26.67,26.67,26.049999,26.52,25.308418,116300
2016-07-01,26.639999,26.780001,26.190001,26.48,25.270245,49300
2016-07-05,26.139999,26.6,26.139999,26.23,25.031666,101300
2016-07-06,26.02,26.440001,25.709999,26.309999,25.108015,60700
2016-07-07,26.309999,26.75,25.889999,26.469999,25.260704,55000
2016-07-08,26.799999,27.73,26.719999,27.610001,26.348623,84800
2016-07-11,27.700001,27.700001,27.139999,27.4,26.148216,68100
2016-07-12,27.549999,28.16,27.34,27.65,26.386795,138300
2016-07-13,27.870001,28.110001,27.209999,27.65,26.386795,140200
2016-07-14,27.77,27.809999,27.299999,27.469999,26.215019,68400
2016-07-15,27.75,27.85,26.74,26.85,25.623344,158400
2016-07-18,27.02,27.57,26.77,27.01,25.776035,68900
2016-07-19,27.0,27.309999,26.129999,26.24,25.041212,75100
2016-07-20,26.41,27.059999,25.91,26.0,24.812176,277100
2016-07-21,25.950001,26.07,25.51,25.549999,24.382736,180500
2016-07-22,25.51,26.0,25.209999,25.83,24.649942,160100
2016-07-25,25.950001,26.120001,25.77,25.969999,24.783545,78900
2016-07-26,23.08,24.950001,23.01,24.82,23.686087,395600
2016-07-27,24.02,24.42,23.32,24.27,23.161213,246400
2016-07-28,24.24,25.360001,24.0,24.889999,23.752888,326500
2016-07-29,24.85,24.85,24.190001,24.23,23.123039,97200
2016-08-01,24.16,24.959999,24.16,24.889999,23.752888,185000
2016-08-02,24.940001,24.940001,23.99,24.5,23.380705,167200
2016-08-03,24.43,24.84,24.309999,24.719999,23.590651,151700
2016-08-04,24.68,24.809999,23.969999,23.99,22.894005,54800
2016-08-05,24.209999,24.700001,24.120001,24.530001,23.409334,106600
2016-08-08,24.6,24.629999,24.049999,24.139999,23.037149,57500
2016-08-09,24.360001,24.360001,23.99,24.02,22.922632,84900
2016-08-10,23.99,23.99,23.58,23.73,22.645882,70900
2016-08-11,23.75,24.110001,23.629999,24.059999,22.960808,70300
2016-08-12,24.1,24.23,23.85,24.139999,23.037149,63000
2016-08-15,24.190001,24.4,24.16,24.24,23.132584,68800
2016-08-16,24.16,24.5,23.639999,24.0,22.903547,71700
2016-08-17,24.07,24.200001,23.67,24.09,22.989435,101600
2016-08-18,24.1,24.370001,23.91,24.110001,23.008524,59200
2016-08-19,24.1,24.75,23.809999,24.360001,23.247103,91900
2016-08-22,24.26,25.280001,24.110001,25.1,23.953293,106500
2016-08-23,25.120001,25.66,25.1,25.559999,24.392277,80900
2016-08-24,25.66,26.059999,25.4,25.860001,24.678572,166800
2016-08-25,25.82,26.110001,25.73,25.91,24.72629,66100
2016-08-26,25.870001,26.57,25.870001,26.07,24.878975,71200
2016-08-29,26.200001,26.450001,25.9,26.26,25.060297,63300
2016-08-30,26.17,26.4,25.99,26.27,25.069841,34900
2016-08-31,26.360001,26.809999,26.129999,26.59,25.375221,111000
2016-09-01,26.74,26.74,26.25,26.6,25.384766,64400
2016-09-02,26.620001,26.959999,26.52,26.91,25.680603,76500
2016-09-06,26.870001,26.969999,26.43,26.809999,25.585169,73900
2016-09-07,26.799999,27.040001,26.620001,26.98,25.747404,78000
2016-09-08,26.860001,27.030001,26.540001,26.85,25.623344,54400
2016-09-09,26.610001,26.860001,26.040001,26.1,24.907608,63100
2016-09-12,25.91,26.559999,25.870001,26.540001,25.327507,74400
2016-09-13,26.23,26.68,25.98,26.24,25.041212,51500
2016-09-14,26.23,26.52,24.42,25.870001,24.688116,48200
2016-09-15,25.959999,26.43,25.799999,26.43,25.22253,73300
2016-09-16,26.469999,26.950001,26.290001,26.360001,25.155729,284600
2016-09-19,26.58,27.0,26.290001,26.370001,25.165276,99100
2016-09-20,26.59,26.780001,26.059999,26.17,24.974409,79800
2016-09-21,26.27,26.540001,25.91,26.530001,25.317965,85500
2016-09-22,26.58,27.280001,26.52,27.18,25.938267,71500
2016-09-23,26.99,27.15,26.73,26.950001,25.718775,54000
2016-09-26,26.639999,26.75,26.25,26.25,25.050755,60500
2016-09-27,26.35,26.68,26.200001,26.540001,25.327507,68300
2016-09-28,26.52,26.870001,26.309999,26.780001,25.556543,54000
2016-09-29,26.700001,26.700001,26.07,26.309999,25.108015,69800
2016-09-30,26.51,27.74,26.15,27.6,26.339079,135600
2016-10-03,27.48,28.059999,27.01,27.959999,26.682632,85200
2016-10-04,27.91,28.459999,27.639999,28.389999,27.092987,121400
2016-10-05,28.5,28.84,28.219999,28.32,27.026186,80300
2016-10-06,28.129999,28.129999,27.309999,27.360001,26.110044,49700
2016-10-07,27.16,27.450001,26.67,26.959999,25.728315,58100
2016-10-10,27.049999,27.639999,26.67,27.459999,26.205475,43400
2016-10-11,27.120001,27.219999,26.48,26.790001,25.566086,45800
2016-10-12,26.809999,27.15,26.469999,26.870001,25.642429,35300
2016-10-13,26.559999,26.67,26.120001,26.469999,25.260704,44400
2016-10-14,26.459999,26.889999,26.059999,26.200001,25.003038,50300
2016-10-17,26.0,26.48,26.0,26.35,25.146187,44600
2016-10-18,26.68,26.879999,26.43,26.610001,25.394308,147300
2016-10-19,26.280001,27.040001,26.280001,26.85,25.623344,46600
2016-10-20,26.959999,27.16,26.799999,27.09,25.852379,47300
2016-10-21,26.83,27.26,26.700001,27.16,25.91918,78000
2016-10-24,27.129999,27.870001,27.129999,27.780001,26.510855,139600
2016-10-25,27.82,27.82,27.41,27.67,26.405882,104300
2016-10-26,27.74,27.74,26.67,27.379999,26.129129,64000
2016-10-27,27.48,27.48,26.51,27.0,25.766491,80200
2016-10-28,26.940001,27.01,26.309999,26.66,25.442022,208000
2016-10-31,26.709999,27.01,26.1,26.969999,25.737864,110600
2016-11-01,26.91,26.91,26.4,26.629999,25.413395,75300
2016-11-02,26.49,26.68,25.690001,26.1,24.907608,323900
2016-11-03,23.799999,25.15,23.4,24.1,22.998978,463800
2016-11-04,23.41,23.559999,21.27,22.059999,21.052176,465200
2016-11-07,22.370001,22.84,22.049999,22.469999,21.443443,382700
2016-11-08,22.5,22.549999,22.110001,22.360001,21.338472,158400
2016-11-09,21.959999,23.59,21.709999,23.49,22.416847,227600
2016-11-10,23.76,24.280001,23.370001,24.110001,23.008524,258200
2016-11-11,24.07,25.68,23.68,25.620001,24.449539,251900
2016-11-14,25.879999,26.0,25.030001,25.450001,24.287304,227800
2016-11-15,25.450001,25.6,25.129999,25.17,24.020096,157100
2016-11-16,25.17,25.51,24.92,25.16,24.010553,111200
2016-11-17,25.27,25.33,24.690001,24.709999,23.58111,112100
2016-11-18,24.83,24.83,24.309999,24.59,23.466593,149500
2016-11-21,24.629999,24.700001,23.969999,24.23,23.123039,104800
2016-11-22,24.309999,24.84,23.98,24.83,23.695629,84500
2016-11-23,24.690001,25.059999,24.389999,25.059999,23.915119,72100
2016-11-25,25.299999,26.15,25.209999,26.15,24.955322,61400
2016-11-28,26.0,26.33,25.299999,25.32,24.163242,244400
2016-11-29,25.469999,26.379999,25.139999,25.389999,24.230043,290600
2016-11-30,25.6,25.6,24.77,25.059999,23.915119,99000
2016-12-01,25.110001,25.209999,23.959999,24.24,23.132584,154700
2016-12-02,25.18,26.809999,24.48,26.030001,24.840807,367100
2016-12-05,26.25,26.700001,25.77,25.92,24.735832,138600
2016-12-06,26.02,26.120001,25.66,25.84,24.659485,122700
2016-12-07,25.799999,25.959999,25.32,25.719999,24.544966,75100
2016-12-08,25.82,26.610001,25.65,26.559999,25.346592,74600
2016-12-09,26.690001,27.34,26.42,26.5,25.289333,113100
2016-12-12,26.41,26.450001,25.73,25.969999,24.783545,147700
2016-12-13,26.040001,26.5,25.959999,26.219999,25.022125,101700
2016-12-14,26.280001,26.469999,25.889999,25.959999,24.774006,66400
2016-12-15,26.139999,26.870001,25.91,26.0,24.812176,167200
2016-12-16,25.9,25.9,25.209999,25.360001,24.201416,267000
2016-12-19,25.49,25.91,25.190001,25.309999,24.153696,93100
2016-12-20,25.629999,25.709999,25.1,25.290001,24.134613,238100
2016-12-21,25.16,25.610001,24.440001,24.440001,23.323446,105500
2016-12-22,24.459999,24.610001,24.08,24.290001,23.180302,117100
2016-12-23,24.57,24.74,24.290001,24.58,23.457048,56700
2016-12-27,24.51,25.5,24.280001,25.049999,23.905577,85700
2016-12-28,25.120001,25.15,24.5,24.6,23.476137,41000
2016-12-29,24.719999,25.02,24.559999,24.780001,23.647911,38800
2016-12-30,24.9,25.08,24.35,25.049999,23.905577,72400
2017-01-03,25.209999,25.610001,25.01,25.559999,24.392277,151200
2017-01-04,25.719999,25.83,25.309999,25.52,24.354105,120100
2017-01-05,25.360001,25.76,24.809999,24.93,23.791061,79600
2017-01-06,24.93,24.93,24.09,24.1,22.998978,111900
2017-01-09,23.99,24.66,23.83,24.360001,23.247103,163800
2017-01-10,24.309999,24.620001,23.860001,24.370001,23.256643,84300
2017-01-11,24.360001,24.360001,23.67,23.889999,22.798571,170900
2017-01-12,23.75,24.120001,23.450001,23.780001,22.6936,228900
2017-01-13,23.959999,24.540001,23.77,24.0,22.903547,339400
2017-01-17,23.969999,23.969999,23.48,23.540001,22.464563,115000
2017-01-18,23.6,23.65,23.23,23.4,22.330961,134100
2017-01-19,23.41,23.6,23.07,23.190001,22.130554,102500
2017-01-20,23.139999,23.440001,22.67,22.75,21.710653,118500
2017-01-23,20.860001,21.459999,20.6,21.450001,20.470047,290300
2017-01-24,21.32,22.24,21.129999,22.0,20.994917,193300
